Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HAWORTH ART GALLERY,ADVERTISING GENERAL,ADVERT IN GROUP LEISURE 2017,B000018580/57559,CALVERTON FINANCE LTD,04/01/2017,325.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,DIGITAL EDUCATIONAL RESOURCE,B000018580/58722,TRIO TRAINING,04/01/2017,357.15
TIPPING CHARGES,HIRED VEHICLE,REMOVAL OF WASTE - 9.12.16,B000018578/7871,STANLEY BROS TIPPERS LTD,04/01/2017,390.00
TIPPING CHARGES,HIRED VEHICLE,REMOVAL OF WASTE - 15.12.16,B000018578/7871,STANLEY BROS TIPPERS LTD,04/01/2017,390.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 18.12.16,B000018580/46341,MORGAN HUNT UK LTD,04/01/2017,540.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,FENCING + GATE INSTALLATIONS,B000018578/20,A BYRNE FENCING,04/01/2017,636.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 18.12.16,B000018580/46341,MORGAN HUNT UK LTD,04/01/2017,654.50
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 18.12.16,B000018580/33923,EDEN BROWN LTD,04/01/2017,825.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 11.12.16,B000018580/46341,MORGAN HUNT UK LTD,04/01/2017,888.00
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,CONSULTATION ,B000018580/3304,MORTIMERS ESTATE AGENTS LIMITED,04/01/2017,1000.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018579/25868,HYNDBURN PLUMBING & HEATING SERVICES,04/01/2017,3105.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,C3/PUBLIC REALM SURVEY FEES,B000018580/59315,IBI GROUP,04/01/2017,4007.70
MECHANICAL SWEEPER,AQUISITION OF VEHICLES,EX DEMO SCHMIDT SWINGO 200 SWE,B000018578/7688,AEBI SCHMIDT UK LTD,04/01/2017,49700.00
AREA COUNCILS,MISC EXPENSES OTHER,HIRE VAN,B000018582/2062,INTACK SELF DRIVE,05/01/2017,253.20
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF,B000018582/19414,HEADS RECRUITMENT LIMITED,05/01/2017,299.25
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF,B000018582/19414,HEADS RECRUITMENT LIMITED,05/01/2017,299.25
VEHICLE MAINT SUPERVISION,VEHICLE LEASING,FORD TRANSIT CAGE TIPPER,B000018582/37942,JCB FINANCE LTD,05/01/2017,300.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF,B000018582/19414,HEADS RECRUITMENT LIMITED,05/01/2017,322.64
HEALTH OFFICERS,AGENCY STAFF,AGENCY STAFF,B000018582/58023,BUCKINGHAM FUTURES LTD,05/01/2017,625.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF - W/E 18.12.16,B000018582/19414,HEADS RECRUITMENT LIMITED,05/01/2017,686.70
STREET CLEANSING,HIRED VEHICLE,SWEEPER HIRE,B000018582/6987,DAWSONRENTALS SWEEPERS,05/01/2017,1106.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF,B000018582/55740,RAPID RECRUITMENT LTD,05/01/2017,1481.53
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF,B000018582/55740,RAPID RECRUITMENT LTD,05/01/2017,2319.22
HEALTH OFFICERS,AGENCY STAFF,AGENCY STAFF,B000018582/58023,BUCKINGHAM FUTURES LTD,05/01/2017,3125.00
VEHICLE MAINT SUPERVISION,FUEL STOCK,DIESEL FUEL,B000018582/49952,TOWNSON BROS,05/01/2017,16253.23
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BEARINGS,B000018585/8014,TERBERG MATTEC UK LTD,09/01/2017,282.35
CUSTOMER SERVICES,BPR/CONTACT CENTRE,TELEPHONES,B000018586/2016,INCOM TELECOMMUNICATIONS,09/01/2017,284.94
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CALIPER,B000018585/1918,HYDRAIR,09/01/2017,380.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF,B000018584/19414,HEADS RECRUITMENT LIMITED,09/01/2017,432.09
HAWORTH ART GALLERY,ADVERTISING GENERAL,WEDDING ADVERT,B000018587/28617,ARCHANT LIFE,09/01/2017,450.00
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,ADVERT 16.12.16,B000018583/55711,TRINITY MIRROR PUBLISHING LTD,09/01/2017,475.20
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL 12.12.16-17.12.,B000018586/8287,TRIPLE C SKIPS,09/01/2017,480.00
LAND CHARGES,OTHER FEES,PROPERTY SEARCHES LITIGATION,B000018587/43988,LOCAL GOVERNMENT ASSOCIATION,09/01/2017,481.12
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 25.12.16,B000018586/33923,EDEN BROWN LTD,09/01/2017,550.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,PROP VALVE/CALIPER,B000018585/1918,HYDRAIR,09/01/2017,577.60
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,3TB ENTERPRISE CAPACITY,B000018583/1106,B T BUSINESS DIRECT,09/01/2017,592.51
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 25.12.16,B000018586/46341,MORGAN HUNT UK LTD,09/01/2017,654.50
RECYCLING COLLECTION,ADVERTISING GENERAL,XMAS OPENINGS,B000018584/55711,TRINITY MIRROR PUBLISHING LTD,09/01/2017,884.00
GYPSY SITE,PRIVATE CONTRACTORS WORK,JANUARY 17,B000018587/22006,J W PRICE,09/01/2017,1400.00
GYPSY SITE,GENERAL REPAIR & MAINT BLDGS,WORKS AT WHINNEY HILL,B000018587/30178,B3P SERVICES LTD,09/01/2017,1905.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018583/30178,B3P SERVICES LTD,09/01/2017,2596.50
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF,B000018584/55740,RAPID RECRUITMENT LTD,09/01/2017,3376.93
PRIVATE LANDLORDS SCHEME,FEES-ANALYSTS & CONSULTANTS,LOW DEMAND STATEMENT,B000018587/53366,ARC4 LTD,09/01/2017,4997.50
HLC ENERGY EFFICIENCY IMPROVEM,CONTRACTOR OTHER,HYNDBURN LEISURE CENTRE - POOL,B000018586/1024,CRAIG HAMBLING LTD,09/01/2017,55362.96
ACCRINGTON CREMATORIUM,URNS & CASKETS,POLY CONTAINERS,B000018591/27901,TELESHORE (UK) LTD,11/01/2017,262.98
GREEN INFRASTRUCTURE,MISC EXPENSES OTHER,AQA TRAINING,B000018592/9249,PROSPECTS FOUNDATION,11/01/2017,339.20
LAND CHARGES,LAND CHARGES,LAND CHARGES - DEC 16,B000018595/2496,LANCASHIRE COUNTY COUNCIL,11/01/2017,354.00
TIPPING CHARGES,HIRED VEHICLE,REMOVAL OF WASTE - 21.12.16,B000018591/7871,STANLEY BROS TIPPERS LTD,11/01/2017,390.00
ACCRINGTON MARKET,GENERAL REPAIR & MAINT BLDGS,2 PIN LAMPS,B000018594/1161,DENMANS ELECTRICAL WHOLESALERS,11/01/2017,432.00
ADMINISTRATION SERVICES,OFFICE CONSUMABLES,40 BOXES PAPER,B000018594/781,CANON (UK) LTD,11/01/2017,444.00
ADMINISTRATION SERVICES,OFFICE CONSUMABLES,40 BOXES PAPER,B000018594/781,CANON (UK) LTD,11/01/2017,444.00
INVEST TO SAVE FUND,TRAINING EXPENSES,CONSULTANCY,B000018592/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,11/01/2017,500.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,INVESTIGATION WORK ,B000018591/38733,MARCHBRIDGE BUILDERS LTD,11/01/2017,510.00
GREEN INFRASTRUCTURE,MISC EXPENSES OTHER,NOTICE BOARD,B000018594/58568,NATURE SIGN DESIGN,11/01/2017,710.00
ACCOUNTANCY,PUBLICATIONS & PERIODICALS,LAA CODE 16/17 GUIDANCE,B000018594/44171,CIPFA BUSINES LIMITED,11/01/2017,915.00
GYPSY SITE,NET RENTS,5.12.16 TO 2.1.17,B000018595/45458,GLOSSOP CARAVANS LTD,11/01/2017,925.00
ACCRINGTON CREMATORIUM,NEW EQUIPMENT,CREM MUSIC SYSTEM,B000018591/55609,VIVEDIA LTD,11/01/2017,1000.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,LINE MARKING FLUID,B000018591/57563,BOWCOM,11/01/2017,1056.25
LIBRARY ST DEPOT,ELECTRICITY,CVMU - 1.12.16 TO 31.12.16,B000018594/59343,EDF ENERGY,11/01/2017,1104.18
GYPSY SITE,ELECTRICITY,GYPSY - 26.11.16-1.1.17,B000018594/59343,EDF ENERGY,11/01/2017,1321.67
