Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
CORP & DEM CORE,MARKETING COMMUNICATIONS,HIRE VAN,B000018582/2062,INTACK SELF DRIVE,01/03/2017,253.20
GREEN INFRASTRUCTURE,GENERAL GROUNDS MAINTENANCE,HIMALYAN BALSAM CONTROL,B000018372/49034,THE LANCASHIRE WILDLIFE TRUST,01/03/2017,412.50
GREEN INFRASTRUCTURE,GENERAL GROUNDS MAINTENANCE,BENCH & FENCE REINSTATEMENT,B000018324/55411,WOODY (HYNDBURN) C I C,01/03/2017,620.00
DEVELOPMENT CONTROL B.U.,AGENCY STAFF,TEMP STAFF,B000018167/58852,OYSTER PARTNERSHIP,01/03/2017,1035.44
GREEN INFRASTRUCTURE,GENERAL GROUNDS MAINTENANCE,BIRD BOXES,B000018059/55411,WOODY (HYNDBURN) C I C,01/03/2017,1312.50
ACCOUNTANCY,TRAINING EXPENSES,YEAR END CLOSURE EVENT,B000018693/44171,CIPFA BUSINES LIMITED,06/03/2017,295.00
STRATEGIC HOUSING DEPARTMENT,WARM HOMES HEALTY PEOPLE,TEMP STAFF WE 26.02.17,B000018693/58023,BUCKINGHAM FUTURES LTD,06/03/2017,813.75
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 26.2.17,B000018693/55150,VENN GROUP LIMITED,06/03/2017,904.25
GYPSY SITE,GENERAL REPAIR & MAINT BLDGS,WHINNEY HILL PITCHES 5 12 15,B000018693/30178,B3P SERVICES LTD,06/03/2017,1170.00
ENVIRONMENTAL PROTECTION TEAM,BURIAL FEES,FUNERAL COSTS,B000018693/55164,BARTON & HALLWORTH FUNERAL SERVICES,06/03/2017,1834.00
ACCRINGTON MARKET,MARKETING INITIATIVES,MARKET VEST BAGS,B000018693/44118,MONRO,06/03/2017,1895.04
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018693/34573,MR R WILCOCK,06/03/2017,5390.00
REGISTRATION OF ELECTORS,ADVERTISING GENERAL,ADVERT 17.2.17,B000018694/55711,TRINITY MIRROR PUBLISHING LTD,07/03/2017,259.20
PARKS & OPEN SPACES,WATER CHARGES,WASTE WATER WHITE ASH 22-11-16,B000018698/24576,UNITED UTILITIES WATER PLC,07/03/2017,299.29
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY COVER ,B000018698/19414,HEADS RECRUITMENT LIMITED,07/03/2017,343.35
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF ,B000018698/19414,HEADS RECRUITMENT LIMITED,07/03/2017,343.35
ENVIRONMENTAL PROTECTION TEAM,AIR QUALITY REVIEW,TEMP STAFF W/E 12.2.17,B000018694/58023,BUCKINGHAM FUTURES LTD,07/03/2017,412.50
WILLOWS LANE DEPOT,DEPOT COSTS,YARD SIGNS FOR WILLOWS LANE CA,B000018698/44426,HITCHENS ENGRAVERS,07/03/2017,430.00
HYNDBURN CEMETERIES,SECURITY SYSTEM MAINTENANCE,ENGINEERING CALL OUT  TO CEMET,B000018698/35290,LOGICALTELECOM,07/03/2017,450.00
WILLOWS LANE DEPOT,WATER CHARGES,WASTE WATER CHARGE TOWNS YARD ,B000018698/24576,UNITED UTILITIES WATER PLC,07/03/2017,633.31
HYNDBURN CEMETERIES,RIGHT TO PLACE MONUMENTS,"PERMIT FEE REFUND CK1569, 1578",B000018698/59577,HARRISON MEMORIALS,07/03/2017,680.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF ,B000018698/19414,HEADS RECRUITMENT LIMITED,07/03/2017,757.55
PARKS & OPEN SPACES,SECURITY SYSTEM MAINTENANCE,KEY HOLDER ANNUAL CHARGE FOR L,B000018698/44845,KEYPLUS SECURITY LTD,07/03/2017,770.00
EXTERNAL ELECTIONS 2017,ELECTION FEES-PRESIDING OFF,SUNDRIES BAGS,B000018694/7735,SHAW & SONS LTD,07/03/2017,796.25
GYPSY SITE,NET RENTS,30.1.17 TO 27.2.17,B000018694/45458,GLOSSOP CARAVANS LTD,07/03/2017,920.00
RECYCLING COLLECTION,HIRED VEHICLE,VEHICLE HIRE 01.02.17 01.03.17,B000018698/38664,LEEDS COMMERCIAL LTD,07/03/2017,1000.00
RECYCLING COLLECTION,HIRED VEHICLE,VEHICLE HIRE 01.01.17 TO 01.02,B000018698/38664,LEEDS COMMERCIAL LTD,07/03/2017,1100.00
WILLOWS LANE DEPOT,WATER CHARGES,WASTE WATER AT WILLOWS LANE DE,B000018698/24576,UNITED UTILITIES WATER PLC,07/03/2017,1324.57
WILLOWS LANE DEPOT,DEPOT COSTS,WILLOWS LANE DEPOT LINE PAINTI,B000018698/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,07/03/2017,1466.84
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WK 20-2-17 TO 26-,B000018698/55740,RAPID RECRUITMENT LTD,07/03/2017,2550.54
SADLER ST IND EST-GEN,RENT AND HIRE OF PREMISES,UNITS 1-4 SADLER - 25.3.17-23.,B000018694/59003,LONGDEN & COOK COMMERCIAL,07/03/2017,3500.00
SADLER ST IND EST-GEN,RENT AND HIRE OF PREMISES,UNITS 5-9 SADLER ST 25.3.17-23,B000018694/59003,LONGDEN & COOK COMMERCIAL,07/03/2017,5125.00
WILLOWS LANE DEPOT,SPECIAL BDGS R & M-GENERAL,WASTE BAY STEEL LININGS AT WIL,B000018698/45363,J B IRONWORK LTD,07/03/2017,5994.00
CUSTOMER SERVICES,OFFICE CONSUMABLES,OFFICE BLINDS,B000018699/1340,ELITE BLINDS,08/03/2017,291.67
BANK MILL HOUSE,WATER CHARGES,18.11.16-15.2.17-BANK MILL HSE,B000018700/8325,UNITED UTILITIES WATER,08/03/2017,415.03
LICENSING,COMPUTER RENTAL & MAINT,LALPAC LICENCE,B000018701/32441,IDOX SOFTWARE LTD,08/03/2017,500.00
ACCRINGTON MARKET,RENT AND HIRE OF PREMISES,25.12.16-24.3.17 - SERVICE CHA,B000018699/48913,THREADNEEDLE UK PROPERTY TRUST,08/03/2017,578.15
