Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF,B000018766/33923,EDEN BROWN LTD,05-Apr-17,858.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF,B000018766/33923,EDEN BROWN LTD,05-Apr-17,850.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,EMBEDDED VIEWER,B000018766/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,05-Apr-17,1300.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,I AND W MAINT,B000018766/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,05-Apr-17,400.00
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,STREET NAME PLATES,B000018766/38733,MARCHBRIDGE BUILDERS LTD,05-Apr-17,436.00
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,"RILEY ST, ACC",B000018766/38733,MARCHBRIDGE BUILDERS LTD,05-Apr-17,699.95
CUSTOMER SERVICES,AGENCY STAFF,STAFF,B000018766/46341,MORGAN HUNT UK LTD,05-Apr-17,888.00
INSURANCES,PREMIUMS PAID,LIFE ASSURANCE 17/18,B000018766/46356,LEGAL & GENERAL ASSURANCE SOCIETY,05-Apr-17,13565.14
VEHICLE MAINT SUPERVISION,VEHICLE LEASING,PRUDENTIAL CARE ASSESSMENT FEE,B000018766/57276,CHRYSTAL CONSULTING,05-Apr-17,428.00
STRATEGIC HOUSING DEPARTMENT,WARM HOMES HEALTY PEOPLE,W/E 26.3.17,B000018766/58023,BUCKINGHAM FUTURES LTD,05-Apr-17,852.50
CORPORATE PROPERTY,WATER CHARGES,EAGLE ST 1.4.17 - 31.03.18,B000018766/8325,UNITED UTILITIES WATER,05-Apr-17,1702.72
GYPSY SITE,WATER CHARGES,1.4.17 - 31.3.18,B000018766/8325,UNITED UTILITIES WATER,05-Apr-17,337.68
OTHER SERVICES,SINGLE FUNDING POT,SLA GRANT 17/18,B000018766/905,CITIZENS ADVICE BUREAU,05-Apr-17,40000.00
GREEN INFRASTRUCTURE,RENT AND HIRE OF PREMISES,BELL LANE LEASE,B000018767/3862,MR D MAYES,05-Apr-17,350.00
GYPSY SITE,NET RENTS,PITCH RENT,B000018767/45458,GLOSSOP CARAVANS LTD,05-Apr-17,1227.50
GENERAL EXPENSES,CABINET ACTION FUND,FLOWER DONATION,B000018767/47485,MRS E JOHNSON,05-Apr-17,300.00
FACILITIES TEAM,AGENCY STAFF,M GEE 26.3.17,B000018767/55150,VENN GROUP LIMITED,05-Apr-17,910.75
STREET CLEANSING,AGENCY STAFF,TEMP STAFF 23/24 MARCH,B000018768/15595,APSE,05-Apr-17,1280.00
HEALTH OFFICERS,AGENCY STAFF,TEMP STAFF W/E 31.3.17,B000018768/58023,BUCKINGHAM FUTURES LTD,05-Apr-17,2968.75
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10097 - 8 PILOT STREET,B000018771/34573,MR R WILCOCK,10-Apr-17,5480.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10251 - 136 DOWRY STREET,B000018771/48969,SPAIN BUILDING & MAINTENANCE LTD,10-Apr-17,4270.00
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,ADVERT 24.3.17,B000018771/55711,TRINITY MIRROR PUBLISHING LTD,10-Apr-17,540.00
ENVIRONMENTAL PROTECTION TEAM,RENTAL & MAINT SOFTWARE MISC,CSP FOR GGP WINDOWS,B000018772/1639,GGP SYSTEMS LTD,10-Apr-17,873.02
DEV CONTROL,DEV CONTROL SYSTEM,MTCE 1.4.17-31.3.18,B000018772/1639,GGP SYSTEMS LTD,10-Apr-17,1500.00
CORP & DEM CORE,MARKETING COMMUNICATIONS,SCAITCLIFFE HOUSE SIGN,B000018772/1866,HITCHENS ENGRAVERS LTD,10-Apr-17,970.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,PARIS BUREAU MTCE,B000018772/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,10-Apr-17,800.00
BANK MILL HOUSE,CLEANING OF BUILDINGS,CLEANING - APR 17,B000018772/50873,SERVICEMASTER,10-Apr-17,251.15
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 31.3.17,B000018772/55150,VENN GROUP LIMITED,10-Apr-17,910.75
ACC TC CCTV,PRIVATE CONTRACTORS WORK,CCTV MONITORING - FEB 17,B000018772/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,10-Apr-17,3235.82
OFF STREET PARKING,OTHER DSO    WORK DONE,PARKING ENFORCEMENT 16.4.16-18,B000018772/57907,RIBBLE VALLEY B.C.,10-Apr-17,1187.50
ADMINISTRATION SERVICES,OFFICE CONSUMABLES,40 BOXES PAPER,B000018772/781,CANON (UK) LTD,10-Apr-17,460.00
WILLOWS LANE DEPOT,RATES,WILLOWS LANE 17/18,B000018773/1937,HYNDBURN BOROUGH COUNCIL,10-Apr-17,15028.50
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,RCV CONTRACT HIRE,B000018773/46880,SPECIALIST FLEET SERVICES LTD,10-Apr-17,37354.00
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,REPAIRS,B000018773/53977,GROUNDWORK & LEISURE SERVICES LTD,10-Apr-17,350.00
STREET CLEANSING,AGENCY STAFF,TEMP STAFF W/E 2.4.17,B000018773/55740,RAPID RECRUITMENT LTD,10-Apr-17,2603.32
STREET CLEANSING,AGENCY STAFF,TEMP STAFF W/E 26.3.17,B000018773/55740,RAPID RECRUITMENT LTD,10-Apr-17,2216.67
WILLOWS LANE DEPOT,LICENCES,SUBSISTENCE CHARGES,B000018773/59657,ENVIRONMENT AGENCY,10-Apr-17,1881.00
WILLOWS LANE DEPOT,DEPOT COSTS,FUEL SUPPORT,B000018773/8288,TRISCAN SYSTEMS LIMITED,10-Apr-17,657.76
WILLOWS LANE DEPOT,SEWERAGE,WILLOWS LANE - 1.4.17-31.3.18,B000018773/8325,UNITED UTILITIES WATER,10-Apr-17,7918.34
HYNDBURN CEMETERIES,NEW EQUIPMENT,BRUSH CUTTER,B000018774/1192,DICK LEIGH CHAINSAW SPECIALIST,10-Apr-17,555.00
HYNDBURN CEMETERIES,MATERIALS-DIRECT,TOP SOIL,B000018774/1913,HUPERADE LTD,10-Apr-17,420.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REPAIR DAMAGED GATE AT HUNCOAT,B000018774/20,A BYRNE FENCING,10-Apr-17,266.80
LIBRARY ST DEPOT,GENERAL REPAIR & MAINT BLDGS,PREPARE CONCRETE BASE FOR OIL ,B000018774/38733,MARCHBRIDGE BUILDERS LTD,10-Apr-17,1100.00
LIBRARY ST DEPOT,GENERAL REPAIR & MAINT BLDGS,LAY CONCRETE AT LEY FARM,B000018774/38733,MARCHBRIDGE BUILDERS LTD,10-Apr-17,1220.00
VEHICLE MAINT SUPERVISION,BARRISTERS FEES,OPERATORS LICENCE ADVICE,B000018774/59606,BACKHOUSE JONES SOLICITORS,10-Apr-17,1500.00
HYNDBURN CEMETERIES,FOOTPATH REPAIRS,GATE POINTING,B000018774/7110,PHILIP SUMNER,10-Apr-17,385.00
HYNDBURN CEMETERIES,GENERAL GROUNDS MAINTENANCE,GATE POINTING,B000018774/7110,PHILIP SUMNER,10-Apr-17,385.00
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,ADVERT 31.3.17,B000018775/55711,TRINITY MIRROR PUBLISHING LTD,10-Apr-17,432.00
UNDERSPENDS,MISC EXPENSES OTHER,HEDGE LAYING,B000018775/57719,BOWLAND TREE CRAFT,10-Apr-17,2490.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 12.3.17,B000018776/33923,EDEN BROWN LTD,10-Apr-17,850.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 2.4.17,B000018776/33923,EDEN BROWN LTD,10-Apr-17,832.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 2.4.17,B000018776/46341,MORGAN HUNT UK LTD,10-Apr-17,888.00
HAWORTH ART GALLERY,ADVERTISING GENERAL,EASTER ADVERT FOR FUN DAY,B000018776/54892,MARKETING LANCASHIRE LTD,10-Apr-17,500.00
MOORFIELD ENCAPSULATION,WORK DONE DLO-HIGHWAYS,SUBSISTENCE CHARGES,B000018776/59657,ENVIRONMENT AGENCY,10-Apr-17,446.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10126  FLAT 26 HYNDBROOK H,B000018779/25868,HYNDBURN PLUMBING & HEATING SERVICES,12-Apr-17,4111.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,PARIS SOFTWARE,B000018779/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,12-Apr-17,1685.99
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,WOODLANDS TRASH SCREEN & WATER,B000018779/38733,MARCHBRIDGE BUILDERS LTD,12-Apr-17,294.00
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,BAMFORD CRESCENT,B000018779/38733,MARCHBRIDGE BUILDERS LTD,12-Apr-17,383.00
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CIVIC THEATRE RUNNING GRANT,B000018779/47786,HYNDBURN ARTS LIMITED,12-Apr-17,15000.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG10239   - 7 STATION RD,B000018779/52883,POLLOCK LIFTS,12-Apr-17,15271.75
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,"DFG 10180  6 EACHILL GARDENS, ",B000018779/59246,REGAL CARE SHOWER TRAYS LTD,12-Apr-17,3185.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,"DFG 10329   9 DELAMERE CL, ACC",B000018779/59301,CONSULTANTS & SPEC SURVEYORS LTD,12-Apr-17,255.00
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL 1.3.17 - 31.3.17,B000018779/59343,EDF ENERGY,12-Apr-17,3338.92
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE 1.3.17 - 31.3.17,B000018779/59343,EDF ENERGY,12-Apr-17,4170.46
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE 1.3.17-31.3.17,B000018779/59343,EDF ENERGY,12-Apr-17,5589.26
