Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
BANK MILL HOUSE,CLEANING OF BUILDINGS,CLEANING - JUNE 17,B000018869/50873,SERVICEMASTER,02/06/17,251.15
HAWORTH ART GALLERY,ADVERTISING GENERAL,FOOD FESTIVAL ADVERT,B000018867/17546,SCOTT DAWSON ADVERTISING LTD,02/06/17,300.00
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL W/E 12.5.17,B000018869/8287,TRIPLE C SKIPS,02/06/17,360.00
ACCRINGTON MARKET,ELECTRICITY,CELLAR 9 -24.2.17-12.5.17,B000018869/43682,SCOTTISH POWER,02/06/17,456.40
HAWORTH ART GALLERY,BEDDING PLANTS,BORDER PLANTS,B000018867/7128,PARK LANE PLANTS LTD,02/06/17,550.00
MAYORALTY,CIVIC LUNCHEON,CIVIC LUNCHEON- 13.5.17,B000018867/29112,HYNDBURN LEISURE,02/06/17,554.99
ENVIRONMENTAL PROTECTION TEAM,AIR QUALITY REVIEW,TEMP STAFF W/E 26.5.17,B000018867/58023,BUCKINGHAM FUTURES LTD,02/06/17,672.35
ACCRINGTON MARKET,GENERAL CONTRIBUTIONS,SERVICE CHARGE 1.4.17-23.6.17,B000018869/48913,THREADNEEDLE UK PROPERTY TRUST,02/06/17,740.60
ACCRINGTON MARKET,GENERAL CONTRIBUTIONS,SERVICE CHARGE - 24.6.17-28.9.,B000018869/48913,THREADNEEDLE UK PROPERTY TRUST,02/06/17,756.35
GYPSY SITE,NET RENTS,24.4.17-22.5.17,B000018869/45458,GLOSSOP CARAVANS LTD,02/06/17,920.00
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 28.5.17,B000018867/55150,VENN GROUP LIMITED,02/06/17,939.50
DEVELOPMENT CONTROL B.U.,AGENCY STAFF,TEMP STAFF W/E 21.5.17,B000018869/59684,PARK AVENUE RECRUITMENT,02/06/17,"1,268.25"
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,ONLINE RENEWALS,B000018869/58800,HAYMARKET MEDIA GROUP LTD,02/06/17,"1,290.00"
DEVELOPMENT,EXTERNAL CHARGES - ESG,AFFORDABLE WARMTH PROJECT,B000018867/1957,HYNDBURN HOMEWISE SOCIETY LTD,02/06/17,"1,555.08"
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,C3/2 PUBLIC REALM FEES,B000018867/59315,IBI GROUP,02/06/17,"5,060.00"
ACC TC CCTV,PRIVATE CONTRACTORS WORK,CCTV MONITORING - APRIL 17,B000018867/552,BLACKBURN WITH DARWEN BOROUGH COUNCIL,02/06/17,"7,084.63"
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,TPO INJUNCTION,B000018869/8614,EVERSHEDS SOUTHERLAND (INT) LLP,02/06/17,"7,946.00"
ALLOTMENTS,WATER CHARGES,LEY - 6.2.17 - 14.5.17,B000018871/8325,WATER PLUS LTD,05/06/17,284.30
PUBLIC TRANSPORT,MAINTENANCE,BUS SHLETER REPAIRS,B000018871/8372,VICTORIA GLASS JOINERY & PLUMBING LTD,05/06/17,448.76
LICENSING,HACKNEY CARRIAGE - DRIVERS,DVLA CHECKS,B000018871/59795,G B GROUP PLC,05/06/17,465.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,C4 SCHOOLS PART 2 GIGIFISH,B000018870/58722,P WELLS T/A THE HERITAGE CONNECTION,05/06/17,"1,170.00"
PROPOSED SELEC LICENSING 2017,LEGAL FEES,COUNSELS FEE,B000018871/57667,MR LEO CHARALAMBIDES,05/06/17,"1,500.00"
SCAITCLIFFE HOUSE,WATER CHARGES,2.2.17-14.5.17 - SCAITCLIFFE,B000018871/8325,WATER PLUS LTD,05/06/17,"1,848.82"
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10232 - 42 WINDERMERE AVE,B000018870/7874,STANNAH LIFT SERVICES LIMITED,05/06/17,"3,500.97"
