Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF  WK 18.06.17,B000018937/19414,HEADS RECRUITMENT LIMITED,05/07/2017,322.94
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 25.06.17 ,B000018937/19414,HEADS RECRUITMENT LIMITED,05/07/2017,337.62
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,REPAIR TO SKATEBOARD RAMP AT G,B000018936/45363,J B IRONWORK LTD,05/07/2017,350.00
GREEN WASTE COLLECTION,PRINTING,P.C LICENCES FOR LABEL PRINTIN,B000018936/59748,IML LABELS AND SYSTEMS LTD,05/07/2017,350.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  WK 2,B000018937/19414,HEADS RECRUITMENT LIMITED,05/07/2017,387.27
TIPPING CHARGES,HIRED VEHICLE,TIPPING CHARGES FOR 21.06.17 V,B000018937/7871,STANLEY BROS TIPPERS LTD,05/07/2017,390.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF  WK,B000018937/19414,HEADS RECRUITMENT LIMITED,05/07/2017,403.67
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF   WK ,B000018937/19414,HEADS RECRUITMENT LIMITED,05/07/2017,425.49
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK ,B000018937/19414,HEADS RECRUITMENT LIMITED,05/07/2017,850.98
STREET CLEANSING,MECH SWEEPER BRUSHES,POLY /WIRE BRUSHES FOR SCHMIDT,B000018936/54115,PROBRUSH,05/07/2017,1574.20
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF  WE,B000018937/55740,RAPID RECRUITMENT LTD,05/07/2017,2319.90
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WK 18.06.17 ,B000018937/55740,RAPID RECRUITMENT LTD,05/07/2017,2551.89
WILLOWS LANE DEPOT,PENDLE - OUT OF HOURS,ANNUAL CHARGE FOR LONE WORKER ,B000018936/59807,SECTOR SECURITY SERVICES,05/07/2017,2701.80
CEMETERY AT LEE LANE,CONTRACTOR OTHER,SUPPLY AND FIT NEW RAILINGS TO,B000018936/59499,S L WROUGHT IRON LTD,05/07/2017,3252.00
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,WORKS AT RHYDDINGS PARK,B000018936/58933,HORTICON LTD,05/07/2017,64798.97
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 25.6.17,B000018938/33923,EDEN BROWN LTD,06/07/2017,858.00
NORDEN BROOK BRIDGE,CONTRACTOR OTHER,HARWOOD BROOK FOOTBRIDGE,B000018938/54658,WADE GROUP,06/07/2017,9286.00
UNDERSPENDS,DOMESTIC VILOENCE,GRANT PAYMENT,B000018938/16409,HYND & RIBBLE VALLEY DOMESTIC VIOLENCE FORUM,06/07/2017,10000.00
BANK MILL HOUSE,CLEANING OF BUILDINGS,OFFICE CLEANING - JULY 17,B000018941/50873,SERVICEMASTER,10/07/2017,251.15
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,HOSE,B000018944/7317,Q P S PLASTICS,10/07/2017,255.75
HAWORTH ART GALLERY,SALE OR RETURN SHOP ITEMS,ARTIST FEES,B000018941/59847,BLACKBURN ARTIST SOCIETY,10/07/2017,268.16
MAYORALTY,MISC EXPENSES OTHER,DEPUTY MAYOR'S BADGE,B000018942/11252,VAUGHTONS,10/07/2017,283.96
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,SPARK PLUGS,B000018944/21709,BBC SUPERFACTORS LTD,10/07/2017,289.00
CORPORATE PROPERTY,ASSET MAINT R&M,FIT DEFIB TO WALL - GRIFFIN PU,B000018941/27030,LIGHTING AND BUILDING SERVICES LTD,10/07/2017,300.00
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,FILTER,B000018944/1164,DENNIS EAGLE LIMITED,10/07/2017,306.42
ACC TOWN HALL,ASSET MAINT R&M,REPAIRS TO LIFT,B000018941/1267,E A FOULDS LTD,10/07/2017,309.81
CORPORATE PROPERTY,ASSET MAINT R&M,INSTALL DEFIB AT RISHTON,B000018940/27030,LIGHTING AND BUILDING SERVICES LTD,10/07/2017,325.00
DEVELOPMENT CONTROL B.U.,PRINTING,INK CARTRIDGES,B000018941/2654,LOMAS & THORPE LTD,10/07/2017,326.60
REFEREND16/17 PARLIMENTAR17/18,ELECTION FEES-POSTAL BALLOT,POSTAL VOTES,B000018941/51517,ROYAL MAIL GROUP LTD,10/07/2017,437.14
LICENSING,HACKNEY CARRIAGE - DRIVERS,DVLA CHECK,B000018943/59795,G B GROUP PLC,10/07/2017,489.50
WILLOWS LANE DEPOT,ASSET MAINT R&M,INSTALL ADDITIONAL DETECTOR,B000018940/24998,BELLIT SECURITY LIMITED,10/07/2017,493.00
CORPORATE PROPERTY,GENERAL REPAIR & MAINT BLDGS,REPLACE STEEL ROOF SHEETS,B000018940/37017,PILKINGTON BROS (CHURCH) LTD,10/07/2017,495.50
PARKS & OPEN SPACES,ASSET MAINT R&M,CLEAR GUTTERS - WILSONS,B000018940/27030,LIGHTING AND BUILDING SERVICES LTD,10/07/2017,535.00
LAND CHARGES,LAND CHARGES,LAND CHARGES - JUNE 17,B000018941/2496,LANCASHIRE COUNTY COUNCIL,10/07/2017,558.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,ELECTRIC MOTOR,B000018944/30368,SCL,10/07/2017,602.50
ACCOUNTANCY,GENERAL SUBSCRIPTIONS,LCC VAT ADVISORY 17/18,B000018943/2496,LANCASHIRE COUNTY COUNCIL,10/07/2017,699.00
VEHICLE MAINT SUPERVISION,GENERAL SUBSCRIPTIONS,SUBS 17/18,B000018944/1547,FREIGHT TRANSPORT ASSOC,10/07/2017,735.00
HOUSING ADVICE,RENT DEPOSIT SCHEME, 24.5.17 - 31.5.17,B000018943/28199,HILL VIEW (PRIVATE) HOTEL,10/07/2017,840.00
CUSTOMER SERVICES,BPR/CONTACT CENTRE,BLINDS,B000018940/1340,ELITE BLINDS,10/07/2017,852.51
