Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
BANK MILL HOUSE,CLEANING OF BUILDINGS,CLEANING SEPTEMBER 2017,B000019162/50873,SERVICEMASTER,02/11/2017,251.15
BANK MILL HOUSE,CLEANING OF BUILDINGS,CLEANING NOVEMBER 2017,B000019162/50873,SERVICEMASTER,02/11/2017,251.15
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SUN BLIND MOTOR,B000019211/899,CICELEY COMMERCIALS LTD,30/11/2017,255.55
PEST CONTROL,BAITS & POISONS,PROMRAT4 - RAT WALLS,B000019171/58758,PELSIS LTD,10/11/2017,256.56
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,APSE SEMINAR 3.11.17 CEMETERTY,B000019170/15595,APSE,10/11/2017,259.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,JET & TRACE GULLIES - BOWLING ,B000019186/54512,CLEAR A DRAIN LTD,20/11/2017,260.00
WILLOWS LANE DEPOT,GAS,WILLOWS LANE 31.08.17 - 1.10.1,B000019202/30430,NPOWER BUSINESS,27/11/2017,265.48
MAYORALTY,REMEMBRANCE SUNDAY EXPENSES,CHURCH REMEMBRANCE SUNDAY,B000019175/441,BALDERSTONE BRASS BAND,13/11/2017,275.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,WINDSCREEN,B000019180/38986,LANCASHIRE WINDSCREENS LIMITED,15/11/2017,275.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019212/40686,ASSIST FACILITIES MANAGEMENT,30/11/2017,275.00
PARKS & OPEN SPACES,GAS,WILSONS 31.8.17  -  1.10.17,B000019199/30430,NPOWER BUSINESS,27/11/2017,279.86
STREET CLEANSING,VEHICLE TRACKER / FUEL OBD,TRACKER INSTALLATION ON FLEET ,B000019182/59502,TRACKING INSTALLS @ THE FLEET STORE,15/11/2017,280.00
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,FLEETSTAR PREMIUM ENGINE OIL,B000019180/59186,SAR LUBRICANTS,15/11/2017,284.95
LICENSING,OFFICE CONSUMABLES,TONER FOR LICENSING,B000019166/53622,SPECTRUM COMPUTER SUPPLIES LTD,08/11/2017,290.65
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019212/58699,CHILDREN'S INTEGRATED THERAPY NURSING SERVICE,30/11/2017,294.00
ACCOUNTANCY,TRAINING EXPENSES,INTRO TO GROUP ACCOUNTING 08.1,B000019179/44171,CIPFA BUSINES LIMITED,15/11/2017,295.00
HAWORTH ART GALLERY,ASSET MAINT R&M,CALL OUT TO H.A.G,B000019200/24998,BELLIT SECURITY LIMITED,27/11/2017,295.00
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,2018 SUBSCRIPTION - ,B000019162/39694,ROYAL TOWN PLANNING INSTITUTE,02/11/2017,300.00
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,SUBS 2018 ,B000019163/39694,ROYAL TOWN PLANNING INSTITUTE,06/11/2017,300.00
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,SUBS 18 ,B000019163/39694,ROYAL TOWN PLANNING INSTITUTE,06/11/2017,300.00
MAYORALTY,REMEMBRANCE SUNDAY EXPENSES,G-H REMEMBRANCE SUNDAY,B000019175/57460,STACKSTEADS BAND,13/11/2017,300.00
LICENSING,HACKNEY CARRIAGE - DRIVERS,DVLA CHECKS,B000019175/59795,G B GROUP PLC,13/11/2017,300.00
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,SUBS 17  ,B000019187/39694,ROYAL TOWN PLANNING INSTITUTE,20/11/2017,300.00
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,SUBS 17 ,B000019187/39694,ROYAL TOWN PLANNING INSTITUTE,20/11/2017,300.00
UNDERSPENDS,PRINTING,CATERING PACKS,B000019172/1344,ELLISON PRINTING,10/11/2017,304.00
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,ANTI FREEZE,B000019180/59186,SAR LUBRICANTS,15/11/2017,305.45
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,BANKSMAN CABLE,B000019173/8388,VISION TECHNIQUES LTD,13/11/2017,315.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF ,B000019162/55150,VENN GROUP LIMITED,02/11/2017,322.92
STREET CLEANSING,AGENCY STAFF,"AGENCY COVER, ",B000019170/19414,HEADS RECRUITMENT LIMITED,10/11/2017,322.94
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 29.10.17,B000019175/55150,VENN GROUP LIMITED,13/11/2017,325.00
GYPSY SITE,NET RENTS,PITCH 11  25.09.17 - 23.10.17,B000019163/45458,GLOSSOP CARAVANS LTD,06/11/2017,332.28
GYPSY SITE,NET RENTS,23.10.17  - 20.11.17,B000019198/45458,GLOSSOP CARAVANS LTD,27/11/2017,332.28
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,SUBS 17,B000019198/39694,ROYAL TOWN PLANNING INSTITUTE,27/11/2017,333.00
WILLOWS LANE DEPOT,DEPOT COSTS,POWER WASH CHEMICALS WILLOWS L,B000019197/4467,HOPE & BROWN LTD,24/11/2017,337.56
GENERAL EXPENSES,CABINET ACTION FUND,ELECT CHARGER POINT,B000019179/35310,SWALEC,15/11/2017,349.70
DIABLED FACILITIES GRANT,GENERAL REPAIR & MAINT BLDGS,DIABLED FACILITIES GRANT,B000019162/57067,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,02/11/2017,350.00
WILLOWS LANE DEPOT,DEPOT COSTS,VEHICLE STICKERS FOR WASTE SER,B000019182/59693,VANTEX (UK) LTD,15/11/2017,350.80
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,SYNMAX ENGINE OIL,B000019180/59186,SAR LUBRICANTS,15/11/2017,362.85
MANAGING DIRECTOR &SECRETARIAT,TRAINING EXPENSES,MEMBERSHIP RENEWAL ,B000019207/34796,SOLACE,29/11/2017,377.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLES FOR WILLOWS L,B000019170/7871,STANLEY BROS TIPPERS LTD,10/11/2017,390.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE FOR WILLOWS LA,B000019170/7871,STANLEY BROS TIPPERS LTD,10/11/2017,390.00
TIPPING CHARGES,HIRED VEHICLE,TIPPING COSTS WILLOWS LANE TRA,B000019182/7871,STANLEY BROS TIPPERS LTD,15/11/2017,390.00
ELMFIELD HALL FLATS,GENERAL REPAIR & MAINT BLDGS,FIRE RISK ASSESSMENT- ELMFIELD,B000019212/20408,PENNINE FIRE & SAFETY LIMITED,30/11/2017,395.00
LAND CHARGES,LAND CHARGES,LLC SEARCHES,B000019163/2496,LANCASHIRE COUNTY COUNCIL,06/11/2017,399.00
PARKS & OPEN SPACES,HIRED VEHICLE,GRASS CUTTING ,B000019185/59919,P & C DICKSON FARMING LIMTED,16/11/2017,400.00
STREET CLEANSING,AGENCY STAFF,AGENCY COVER ,B000019170/19414,HEADS RECRUITMENT LIMITED,10/11/2017,403.67
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019182/19414,HEADS RECRUITMENT LIMITED,15/11/2017,403.67
VEHICLE MAINT SUPERVISION,TELEPHONES,TELECOM CHARGES,B000019180/35290,LOGICALTELECOM,15/11/2017,407.23
PARKS & OPEN SPACES,SEWERAGE,WASTE WATER FOR RHYDDINGS PARK,B000019197/8325,WATER PLUS LTD,24/11/2017,417.41
ACCRINGTON MARKET,YARD CLEANING,2.8.17-2.11.17 - PUBLIC CONVEN,B000019199/8325,WATER PLUS LTD,27/11/2017,423.61
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY COVER ,B000019170/19414,HEADS RECRUITMENT LIMITED,10/11/2017,425.49
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 19.11.17,B000019206/19414,HEADS RECRUITMENT LIMITED,28/11/2017,425.49
HAWORTH ART GALLERY,ADVERTISING GENERAL,ADVERT IN LANCS LIFE MAGAZINE,B000019162/28617,ARCHANT LIFE,02/11/2017,450.00
ACCOUNTANCY,AGENCY STAFF, W/E 27.10.17,B000019166/35450,RBS INVOICE FINANCE LTD,08/11/2017,471.90
