Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ADMINISTRATION SERVICES,CLEANING MATERIALS,CLEANING MATERIALS,B000019216/7033,OPTION HYGIENE,06/12/2017,316.81
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY COVER  WK 12.11.1,B000019219/19414,HEADS RECRUITMENT LIMITED,06/12/2017,338.21
HYNDBURN CEMETERIES,AGENCY STAFF,AGNCY COVER  WK 19.11.17,B000019219/19414,HEADS RECRUITMENT LIMITED,06/12/2017,343.67
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019219/19414,HEADS RECRUITMENT LIMITED,06/12/2017,403.67
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF WK 29.10.17 ,B000019219/19414,HEADS RECRUITMENT LIMITED,06/12/2017,425.49
SCAITCLIFFE HOUSE,HOSPITALITY,WATER & ANNUAL MTCE,B000019216/16592,SELECT MARKETING NW LTD,06/12/2017,466.75
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WK 5.11.17  ,B000019219/19414,HEADS RECRUITMENT LIMITED,06/12/2017,470.81
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 3.12.17,B000019216/60226,SELLICK PARTNERSHIP LTD,06/12/2017,623.82
GREEN INFRASTRUCTURE,GREEN INFRASTRUCTURE,TREES,B000019217/59538,CHEVIOT TREES LTD,06/12/2017,667.80
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF   WK 26.11,B000019219/19414,HEADS RECRUITMENT LIMITED,06/12/2017,687.34
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 5.11.17 ,B000019219/19414,HEADS RECRUITMENT LIMITED,06/12/2017,769.16
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY COVER ,B000019219/59970,CRYSTAL UMBRELLA,06/12/2017,923.00
HYNDBURN CEMETERIES,HEADSTONE SAFETY,STONE FOR G/H CEMETERY,B000019217/60214,SPECIALISED YORKSTONE SUPPLIES LTD,06/12/2017,1000.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019217/25868,HYNDBURN PLUMBING & HEATING SERVICES,06/12/2017,3830.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WK  20.11.17 ,B000019219/55740,RAPID RECRUITMENT LTD,06/12/2017,5563.69
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,ENCY SUBSCRIPTIONS,B000019216/50652,THOMSON REUTERS,06/12/2017,6763.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,10LTR MAXICROP,B000019222/51506,PROGREEN WEED CONTROL SOLUTIONS LTD,07/12/2017,486.00
PEST CONTROL,BAITS & POISONS,PROMRAT4- RAT WALLS ( BUY 4 GE,B000019222/58758,PELSIS LTD,07/12/2017,513.12
SKATE PARK ACC RAMPS,MISCELLANEOUS,PROVIDE IMPROVEMENTS TO THE BOLLARDS,B000019222/52330,JOHN WADE GROUNDWORKS LTD,07/12/2017,1895.00
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,CREM SUCTION  CONTROL,B000019222/8652,THE PHOENIX PARTNERSHIP,07/12/2017,2537.00
REFUSE/CLEANSING ADMIN STAFF,FIRE RISK ASSESSMENTS,PROVIDE RISK ASSESSMENTS TO TH,B000019222/60107,FIRE COMPLIANCE MANAGEMENT SERVICES,07/12/2017,4325.00
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,WORKS AT RHYDDINGS PARK,B000019222/58933,HORTICON LTD,07/12/2017,53109.43
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,TRASH SCREEN CLEARANCE,B000019223/38733,MARCHBRIDGE BUILDERS LTD,11/12/2017,313.25
PUBLIC TRANSPORT,MAINTENANCE,REGLAZE BUS SHELTERS,B000019223/8372,VICTORIA GLASS JOINERY & PLUMBING LTD,11/12/2017,365.34
BUILDING CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,RICS FEES 2018,B000019223/35163,RICS,11/12/2017,519.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,SUPPORT AND MAINT PARIS,B000019223/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,11/12/2017,800.00
HLC ENERGY EFFICIENCY IMPROVEM,CONTRACTOR OTHER,RETENTIONS MH LC SAUNA,B000019224/59128,GEORGE PEARCE CONSTRUCTION,11/12/2017,904.18
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019224/46341,MORGAN HUNT UK LTD,11/12/2017,914.64
FACILITIES TEAM,AGENCY STAFF,STAFF  WE 22.10.17,B000019223/55150,VENN GROUP LIMITED,11/12/2017,933.50
FACILITIES TEAM,AGENCY STAFF,STAFF WE 27.11.17,B000019223/55150,VENN GROUP LIMITED,11/12/2017,939.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000019223/33923,EDEN BROWN LTD,11/12/2017,962.00
LEISURE IN HYNDBURN,BARRISTERS FEES,LEGAL ADVICE,B000019224/60236,MR ANDREW GRANTHAM,11/12/2017,1500.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019223/7874,STANNAH LIFT SERVICES LIMITED,11/12/2017,2504.00
"DS6776-368-370 BBURN RD,BB51SA",GENERAL REPAIR & MAINT BLDGS,DISABLED FACILITIES GRANT,B000019223/59927,CONNOLLY RECLAIMED STONE LTD,11/12/2017,2768.75
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,PARIS TRANSACTION SERVICES,B000019223/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,11/12/2017,3440.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019223/34573,MR R WILCOCK,11/12/2017,3970.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019223/47956,BRYAN LEE BULDING CONTRACTORS,11/12/2017,4693.82
UNDERSPENDS,RENTAL & MAINT SOFTWARE MISC,ORACLE LICENCE FEES EFIN5 UPGR,B000019224/59305,ADVANCED BUSINESS SOLUTIONS,11/12/2017,8450.50
UNDERSPENDS,PRIVATE CONTRACTORS WORK,REBUILD WALL ,B000019224/45450,MERCERS BUILDERS LTD,11/12/2017,16980.00
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,OXYGEN,B000019227/634,BRITISH OXYGEN CO LTD,12/12/2017,259.25
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SKIDS,B000019227/7688,AEBI SCHMIDT UK LTD,12/12/2017,454.60
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BRAKE CALIPERS,B000019227/1918,HYDRAIR,12/12/2017,477.80
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,PULLEY KIT/BEARINGS,B000019227/1164,DENNIS EAGLE LIMITED,12/12/2017,483.32
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000019227/29877,ROSSENDALE VULCANISING (SALES LTD),12/12/2017,2699.00
REGISTRATION OF ELECTORS,CANVASS,CANVASS RETURN POSTAGE,B000019232/51517,ROYAL MAIL GROUP LTD,13/12/2017,254.41
PEST CONTROL,BAITS & POISONS,BATE BOXES PEST ITEMS,B000019230/58758,PELSIS LTD,13/12/2017,257.60
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,STRAWBERRY TREE,B000019230/45940,BRENTWOOD MOSS NURSERIES,13/12/2017,258.00
MEMBER SERVICES,MISC EXPENSES OTHER,VEHICLE HIRE 13 DAYS 29.11.17 ,B000019230/2062,INTACK SELF DRIVE,13/12/2017,293.89
STRATEGIC HOUSING DEPARTMENT,SUBSIDISED PROFESSIONAL SUBS,SUBS DEC 18 .  F.G.,B000019232/23121,CHARTERED INSTITUTE OF HOUSING,13/12/2017,298.00
WILLOWS LANE DEPOT,DEPOT COSTS,POWER WASH CHEMICALS WILLOWS L,B000019230/4467,HOPE & BROWN LTD,13/12/2017,307.55
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF WK 26.11.17,B000019230/19414,HEADS RECRUITMENT LIMITED,13/12/2017,343.67
LICENSING,HACKNEY CARRIAGE - DRIVERS,DVLA CHECKS,B000019232/59795,G B GROUP PLC,13/12/2017,345.00
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE WILLOWS LANE BAYS,B000019230/7871,STANLEY BROS TIPPERS LTD,13/12/2017,390.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019230/19414,HEADS RECRUITMENT LIMITED,13/12/2017,403.67
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,AGENCY STAFF  03.12.17 ,B000019230/19414,HEADS RECRUITMENT LIMITED,13/12/2017,503.28
ACCRINGTON MARKET,GENERAL CONTRIBUTIONS,SERV CHARGERS 25.12.17  -  24.,B000019231/48913,THREADNEEDLE UK PROPERTY TRUST,13/12/2017,756.35
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF  28.11,B000019230/59970,CRYSTAL UMBRELLA,13/12/2017,955.50
WILLOWS LANE DEPOT,DEPOT COSTS,WATER COOLER MAINTENANCE COVER,B000019230/59510,THE BOILING TAP COMPANY,13/12/2017,1196.00
HUMAN RESOURCES,TRAINING EXPENSES,ELECT ADMIN TRAINING,B000019231/350,ASSOC OF ELECTORAL ADMINISTRATORS,13/12/2017,1210.00
GYPSY SITE,NET RENTS,PITCH FEES,B000019231/45458,GLOSSOP CARAVANS LTD,13/12/2017,1290.76
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,"NURSERY STOCK, VARIETY OF TREE",B000019230/45940,BRENTWOOD MOSS NURSERIES,13/12/2017,2016.00
RECYCLING COLLECTION,CANS PLASTICS 50% INCOME LCC,QTR 2 LOI COST SHARING RECYCLI,B000019230/2506,LANCASHIRE COUNTY COUNCIL,13/12/2017,2878.34
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL WE 29.11.17,B000019231/59730,BLACKBURN SKIPS LIMITED,13/12/2017,3315.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF 27.11.17 3-12.17 ,B000019230/55740,RAPID RECRUITMENT LTD,13/12/2017,5491.23
RISHTON FACELIFTING SCHEME,CONTRACTOR OTHER,SPRING ST VAL 1,B000019231/7524,ROSS LEE CONSTRUCTION LTD,13/12/2017,25873.51
STREET CLEANSING,PRIVATE CONTRACTORS WORK,HEDGE CUTTING CARRIED OUT IN T,B000019235/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,14/12/2017,1000.00
ENVIRONMENTAL PROTECTION TEAM,EQUIPMNT REPAIR & MAINT,2 X 4223 HANDSETS,B000019236/14149,DAISY CORPORATE SERVICES LTD,15/12/2017,284.00
DEVELOPMENT,SUBSIDISED PROFESSIONAL SUBS, SUBS - 31 ,B000019238/23121,CHARTERED INSTITUTE OF HOUSING,15/12/2017,298.00
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,TONER CARTRIDGES,B000019236/53622,SPECTRUM COMPUTER SUPPLIES LTD,15/12/2017,331.12
LICENSING,OFFICE CONSUMABLES,TONER ,B000019236/53622,SPECTRUM COMPUTER SUPPLIES LTD,15/12/2017,340.97
COMPUTER SERVICES,TELEPHONES,VP11871270 DEC 17,B000019237/644,BRITISH TELECOMMUNICATIONS PLC,15/12/2017,417.01
LOCAL TAXATION,OFFICE CONSUMABLES,CIPFA SEMINAR,B000019238/44171,CIPFA BUSINES LIMITED,15/12/2017,490.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 10/12/17,B000019237/60226,SELLICK PARTNERSHIP LTD,15/12/2017,627.02
ACCRINGTON MARKET,DISPOSAL UNIT RENTAL,MED/SANITARY DISPOSAL DEC 17 -,B000019237/779,CANNON HYGIENE LTD,15/12/2017,673.65
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING SERVICES,B000019238/29112,HYNDBURN LEISURE,15/12/2017,860.54
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,WOODNOOK SECURITY - NOV,B000019237/48843,CLEARWAY ENV SERVICES (UK) LTD,15/12/2017,996.00
