Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
REGENERATION,HOUSING,SUBSCRIPTION,P-CARD- JAN 18,CIH,02/01/2018,298.00
COMMUNITY SAFETY PARTNERSHIP,CRIME & DISORDER INITIATIVES,PCC FUNDING - MEDIATION SERVIC,B000019257/58500,SMILE MEDIATION,04/01/2018,2500.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019257/50640,PRISM MEDICAL UK,04/01/2018,1865.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019257/59330,TOTAL HYGIENE LTD,04/01/2018,4240.00
GYPSY SITE,NET RENTS,DECEMBER 17,B000019257/45458,GLOSSOP CARAVANS LTD,04/01/2018,332.28
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/E 24/12/2017,B000019261/58023,BUCKINGHAM FUTURES LTD,04/01/2018,680.73
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000019261/59970,CRYSTAL UMBRELLA,04/01/2018,962.00
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000019261/58023,BUCKINGHAM FUTURES LTD,04/01/2018,1007.10
HOUSING ADVICE,ACCOMOD'N BASED DOMESTIC ABUSE,DCLG SERVICE,B000019257/15696,HYNDBURN & RIBBLE VALLEY OUTREACH,04/01/2018,42634.36
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 17.12.17,B000019257/55150,VENN GROUP LIMITED,04/01/2018,507.78
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 3.12.17,B000019257/55150,VENN GROUP LIMITED,04/01/2018,896.48
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 10.12.17,B000019257/55150,VENN GROUP LIMITED,04/01/2018,900.90
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 17.12.17,B000019257/33923,EDEN BROWN LTD,04/01/2018,962.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 24.12.17,B000019257/55150,VENN GROUP LIMITED,04/01/2018,1036.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 17.12.17,B000019257/55150,VENN GROUP LIMITED,04/01/2018,1036.00
HUMAN RESOURCES,TRAINING EXPENSES,TRAINING COSTS,B000019257/41978,MYERSCOUGH COLLEGE,04/01/2018,565.00
HUMAN RESOURCES,DRUGS & ALCOHOL,LAB COLLECTIONS - NOV 17,B000019257/57686,D TEC INTERNATIONAL,04/01/2018,1080.00
HYNDBURN CEMETERIES,AGENCY STAFF, AGENCY STAFF WK 03/12/,B000019261/19414,HEADS RECRUITMENT LIMITED,04/01/2018,343.67
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,TRAINING COSTS ,B000019261/15595,APSE,04/01/2018,409.00
PEEL PARK PLAY AREA,CONTRACTOR OTHER,PROVIDE A MODIFICATION TO A CL,B000019262/8506,WICKSTEED LEISURE LIMITED,04/01/2018,2463.00
POLICY AND PERFORMANCE REVIEW,DOMESTIC VILOENCE,DOMESTIC ABUSE SERVICES,B000019257/11051,LANCASHIRE POLICE AUTHORITY,04/01/2018,7000.00
REFUSE/CLEANSING ADMIN STAFF,FIRE RISK ASSESSMENTS,PROVISION OF COMPARTMENTATION/,B000019262/60107,FIRE COMPLIANCE MANAGEMENT SERVICES,04/01/2018,12267.45
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 17/12/2017,B000019261/19414,HEADS RECRUITMENT LIMITED,04/01/2018,478.27
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 24/12/2017,B000019261/19414,HEADS RECRUITMENT LIMITED,04/01/2018,514.08
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 17/12/2017,B000019261/55740,RAPID RECRUITMENT LTD,04/01/2018,4685.87
ACC TOWN CENTRE,T C PROMOTIONS,EVENT MEDICAL COVER,B000019263/60257,PB ACTIVITIES AND TRAINING,08/01/2018,800.00
ACC TOWN CENTRE,T C PROMOTIONS,MAIL DROP ,B000019263/17546,SCOTT DAWSON ADVERTISING LTD,08/01/2018,2382.00
ACC TOWN CENTRE,T C PROMOTIONS,FIREWORK DISPLAY - CHRISTMAS L,B000019263/13935,PHENOMENAL FIREWORKS LTD,08/01/2018,2500.00
ACC TWN CNTR INFRASTR IMPROVE,OTHER FEES,RETOUCH & RETRIEVE 7 IMAGES,B000019264/2496,LANCASHIRE COUNTY COUNCIL,08/01/2018,275.00
ACC TWN CNTR INFRASTR IMPROVE,OTHER FEES,VALUATION,B000019263/26757,TREVOR DAWSON LTD,08/01/2018,500.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 24/12/17,B000019263/60226,SELLICK PARTNERSHIP LTD,08/01/2018,545.08
ACCRINGTON MARKET,GENERAL REPAIR & MAINT BLDGS,MARKET CARRIER BAGS,B000019264/44118,MONRO,08/01/2018,1692.00
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL W/E 29.12.17,B000019264/59730,BLACKBURN SKIPS LIMITED,08/01/2018,3315.00
COMPUTER SERVICES,TELEPHONES,Jan-18,B000019264/40272,CABLE & WIRELESS,08/01/2018,3317.25
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,PRESS NOTICE,B000019264/59724,TMP (UK) TLD,08/01/2018,310.80
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019265/50640,PRISM MEDICAL UK,08/01/2018,1559.40
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019265/7874,STANNAH LIFT SERVICES LIMITED,08/01/2018,3256.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019265/34573,MR R WILCOCK,08/01/2018,5150.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019265/30178,B3P SERVICES LTD,08/01/2018,12295.00
PROPOSED SELEC LICENSING 2017,ADVERTISING GENERAL,SL NOTICE - EVENING TELEGRAPH ,B000019263/59724,TMP (UK) TLD,08/01/2018,863.84
REGISTRATION OF ELECTORS,CANVASS,CANVASS SOFTWARE,B000019263/46684,HALAROSE LIMITED,08/01/2018,2162.68
REGENERATION,HOUSING,SUBSCRIPTION,P-CARD- JAN 18,RICS,09/01/2018,519.00
ACC TOWN CENTRE,T C PROMOTIONS,XMAS LIGHT SWITCH ON,B000019269/11012,2BR,10/01/2018,7999.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 8.1.18,B000019274/60226,SELLICK PARTNERSHIP LTD,10/01/2018,549.80
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,creamator repairs,B000019272/8652,THE PHOENIX PARTNERSHIP,10/01/2018,1859.68
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,site visit to repair air fans,B000019272/8652,THE PHOENIX PARTNERSHIP,10/01/2018,4074.60
COMMUNITY SAFETY PARTNERSHIP,CRIME & DISORDER INITIATIVES,PCC FUNDING- STAY SAFE PROJECT,B000019269/40896,AAWAZ,10/01/2018,1850.00
COMMUNITY SAFETY PARTNERSHIP,POLICE & CRIME COMMISS'NER OFF,SERVICES FOR CARE LEAVERS,B000019274/29112,HYNDBURN LEISURE,10/01/2018,2000.00
CORP & DEM CORE,MARKETING COMMUNICATIONS,REPLACEMENT FLAG,B000019269/30597,HAMPSHIRE FLAG COMPANY,10/01/2018,547.70
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 17.12.17,B000019269/46341,MORGAN HUNT UK LTD,10/01/2018,716.88
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 24.12.17,B000019269/46341,MORGAN HUNT UK LTD,10/01/2018,741.60
DEVELOPMENT,CONTBN HYNDBURN HOMEWISE,AGENCY SERVICE - JAN- MAR 18,B000019269/1957,HOMEWISE SOCIETY LTD,10/01/2018,6431.75
DOG WARDEN,KENNELING - DAYTIME,KENNELLING COSTS DEC 17,B000019273/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,10/01/2018,878.08
ENVIRONMENTAL PROTECTION TEAM,LEGAL FEES,BRIEF ON APPEAL,B000019270/60277,MISS HAYLEY BENNETT,10/01/2018,300.00
GYPSY SITE,NET RENTS,4.12.17 TO 1.1.18,B000019269/45458,GLOSSOP CARAVANS LTD,10/01/2018,1290.76
HYNDBURN CEMETERIES,HEADSTONE SAFETY,STONE,B000019274/60214,SPECIALISED YORKSTONE SUPPLIES LTD,10/01/2018,1000.00
LICENSING,OFFICE CONSUMABLES,TAXI LICENSING GOODS,B000019274/21487,VIP-SYSTEM LTD,10/01/2018,1570.62
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,TO CARRY OUT REPAIRS TO INSPEC,B000019272/54658,WADE GROUP,10/01/2018,330.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,BOX OF 100 ECO PLUG MAX,B000019272/55274,SHERRIFF AMENITY,10/01/2018,360.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REFURBISH 6 BENCHES AS PER QUO,B000019272/7110,PHILIP SUMNER,10/01/2018,596.00
PARKS & OPEN SPACES,AGENCY STAFF,GROUNDS STAFF ,B000019273/19414,HEADS RECRUITMENT LIMITED,10/01/2018,613.69
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF ,B000019273/19414,HEADS RECRUITMENT LIMITED,10/01/2018,687.34
PEST CONTROL,EQUIPMNT REPAIR & MAINT,SEWER BAIT DEPOSITER,B000019272/8397,W & G POLLARD (ACCRINGTON) LTD,10/01/2018,258.00
RECYCLING COLLECTION,ADVERTISING GENERAL,1/2 PAGE CHRISTMAS ADVERT,B000019272/48023,MEN MEDIA LTD,10/01/2018,884.00
REFUSE COLLECTION,PROTECTIVE CLOTHING,HYNDBURN CREST/LOGO'S,B000019272/49604,BE SMART CLOTHING LTD,10/01/2018,430.00
REFUSE/CLEANSING ADMIN STAFF,FIRE RISK ASSESSMENTS,CARRY OUT FIRE RISK ASSESSMENT,B000019272/60107,FIRE COMPLIANCE MANAGEMENT SERVICES,10/01/2018,1500.00
REGISTRATION OF ELECTORS,CANVASS,PRINTING OF REMINDERS,B000019269/44031,PRINT IMAGE NETWORK LTD,10/01/2018,2526.86
RHYDDINGS PARK COACH HSE&GRDN,MISCELLANEOUS,INTERIN PAYMENT NO 3 RHYDDINGS,B000019273/7524,ROSS LEE CONSTRUCTION LTD,10/01/2018,67859.41
STREET CLEANSING,PRIVATE CONTRACTORS WORK,"CARRY OUT REPAIRS, SUPPLY AND ",B000019272/52243,J B IRONWORK LTD,10/01/2018,495.00
STREET CLEANSING,AGENCY STAFF, AGENCY STAFF WK 31,B000019273/19414,HEADS RECRUITMENT LIMITED,10/01/2018,510.22
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019273/55740,RAPID RECRUITMENT LTD,10/01/2018,6049.42
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019273/55740,RAPID RECRUITMENT LTD,10/01/2018,6993.24
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,LENSES,B000019268/1164,DENNIS EAGLE LIMITED,10/01/2018,388.41
VEHICLE MAINT SUPERVISION,LAUNDRY,PROTECTIVE CLOTHING,B000019268/49604,BE SMART CLOTHING LTD,10/01/2018,706.16
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BRAKE PADS AND DISCS,B000019271/1918,HYDRAIR,10/01/2018,274.97
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FAG WHEEL BEARINGS,B000019271/1918,HYDRAIR,10/01/2018,280.50
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,REPAIRS,B000019271/59990,MITCHELL POWERSYSTEMS,10/01/2018,345.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,NOX SENSOR,B000019268/899,CICELEY COMMERCIALS LTD,10/01/2018,350.63
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SPRING BRAKE,B000019268/1918,HYDRAIR,10/01/2018,385.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,HUB ASSEMBLY,B000019271/1918,HYDRAIR,10/01/2018,495.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BATTERIES,B000019268/1918,HYDRAIR,10/01/2018,641.04
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,OVERLOAD INDICATOR,B000019271/7688,AEBI SCHMIDT UK LTD,10/01/2018,865.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,MODULE,B000019268/1164,DENNIS EAGLE LIMITED,10/01/2018,1499.73
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000019271/29877,ROSSENDALE VULCANISING (SALES LTD),10/01/2018,3506.00
ACC TOWN HALL,ELECTRICITY,A.T.H- 1.12.17 TO 31.12.17,B000019277/59343,EDF ENERGY,12/01/2018,1282.61
ACC TOWN HALL,ELECTRICITY,A.T.H- 1.10.17 TO 31.10.17,B000019277/59343,EDF ENERGY,12/01/2018,1367.59
ACC TOWN HALL,ELECTRICITY,A.T.H. - 1.11.17 TO 30.11.17,B000019277/59343,EDF ENERGY,12/01/2018,1403.20
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,GRANT ,B000019277/50717,HIGH EFFICIENCY LTD,12/01/2018,285.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E - 7.1.18,B000019278/46341,MORGAN HUNT UK LTD,12/01/2018,370.80
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,ASSESSMENT ,B000019277/59174,KEPPIE MASSIE,12/01/2018,1200.00
HAWORTH ART GALLERY,ADVERTISING GENERAL,ADVERT IN GROUP LEISURE,B000019278/57559,CALVERTON FINANCE LTD,12/01/2018,1000.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 7.1.18,B000019278/55150,VENN GROUP LIMITED,12/01/2018,569.40
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W.E 24.12.17,B000019278/55150,VENN GROUP LIMITED,12/01/2018,719.68
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 5.1.18,B000019278/55150,VENN GROUP LIMITED,12/01/2018,985.32
HUMAN RESOURCES,TRAINING EXPENSES,A-Z PLANNING LAW,B000019277/53786,MBL SEMINARS,12/01/2018,480.00
HYNDBURN CEMETERIES,HEADSTONE SAFETY,WALLING SUPERVISION TRAINING,B000019277/58693,ALAN RHODES,12/01/2018,2000.00
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS LOCAL GOVT ANNUAL SUBS,B000019278/50652,THOMSON REUTERS,12/01/2018,337.00
LOCAL TAXATION,COMPUTER RENTAL & MAINT,SUBS 18,B000019278/52997,IRRV,12/01/2018,1095.00
STRAT DIRECTOR COMM. SERVICES,SUBSIDISED PROFESSIONAL SUBS,SUBS 18,B000019277/58814,CIPFA,12/01/2018,310.00
UNDERSPENDS,RENTAL & MAINT SOFTWARE MISC,EFIN 5 UPGRADE,B000019277/59305,ADVANCED BUSINESS SOLUTIONS,12/01/2018,5287.50
HOUSING BENEFIT ADMIN,SWIPE CARDS,DECEMBER,29785,ALLPAY.NET LTD,15/01/2018,2015.59
HOUSING BENEFIT ADMIN,SECURITY SERVICE,G4S  DEC,29785,G4S CASH SOLUTIONS,15/01/2018,307.32
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,ASSESSMENT ,B000019288/59174,KEPPIE MASSIE,17/01/2018,1700.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019289/25868,HYNDBURN PLUMBING & HEATING SERVICES,17/01/2018,3730.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019290/52883,POLLOCK LIFTS,17/01/2018,10193.00
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000019286/58023,BUCKINGHAM FUTURES LTD,17/01/2018,962.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 24.12.17,B000019290/33923,EDEN BROWN LTD,17/01/2018,715.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,PARIS UPGRADE V 3.0.3,B000019290/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,17/01/2018,3050.00
LEISURE IN HYNDBURN,LIH R&M,INSTALL 3 FIRE SOUNDERS,B000019290/24998,BELLIT SECURITY LIMITED,17/01/2018,614.98
LEISURE IN HYNDBURN,GRANTS-GENERAL,SWIMMING CONT - DEC 17,B000019290/29112,HYNDBURN LEISURE,17/01/2018,725.00
LEISURE IN HYNDBURN,GRANTS-GENERAL,CONTRIBUTION ARMED FORCES - 1.,B000019288/29112,HYNDBURN LEISURE,17/01/2018,861.20
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC  HALL - DEC 17,B000019290/29112,HYNDBURN LEISURE,17/01/2018,3200.00
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,MGT FEE - JAN 18,B000019290/29112,HYNDBURN LEISURE,17/01/2018,12083.33
LOCAL TAXATION,LEGAL FEES,COSTS,B000019284/27972,ROSSENDALES,17/01/2018,310.00
LOCAL TAXATION,LEGAL FEES,COSTS,B000019284/49780,ROSSENDALES COLLECT LTD,17/01/2018,567.11
LYNDON PF SPORTS FACILITIES,CONTRACTOR OTHER,G-H FOOTBALL PITCH DRAINAGE,B000019290/57454,REILLY DEVELOPMENT LTD,17/01/2018,14786.95
LYNDON PF SPORTS FACILITIES,CONTRACTOR OTHER,ACCOMMADTING FEE  ,B000019290/57454,REILLY DEVELOPMENT LTD,17/01/2018,100000.00
LYNDON PLAYING FIELDS GT HWD,CONTRACTOR OTHER,ADMIN FEE - LYNDON PF,B000019290/57454,REILLY DEVELOPMENT LTD,17/01/2018,6000.00
MARKETS,PROTECTIVE CLOTHING,PROTECTIVE CLOTHING,B000019290/59122,SIGN IT UP,17/01/2018,913.50
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,CS01148-SERVICE-PARTS AS PER Q,B000019287/30689,SUTCLIFFE PLAY LTD,17/01/2018,398.04
PARKS & OPEN SPACES,SEWERAGE,WASTE WATER CHARGES WHITE ASH ,B000019286/8325,WATER PLUS LTD,17/01/2018,496.75
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFFWK 7.1.18,B000019286/19414,HEADS RECRUITMENT LIMITED,17/01/2018,540.04
PROPOSED SELEC LICENSING 2017,ADVERTISING GENERAL,ADVERT 5.1.18,B000019290/59724,TMP (UK) TLD,17/01/2018,863.84
PUBLIC TRANSPORT,CLEANING,BUS SHELTER CLEANING,B000019290/27106,ATKINSON CLEANING SERVICES LIMITED,17/01/2018,530.25
PUBLIC TRANSPORT,CLEANING,BUS SHELTER CLEANING - DEC 17,B000019290/27106,ATKINSON CLEANING SERVICES LIMITED,17/01/2018,530.25
