Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HAWORTH ART GALLERY,EQUIPMENT-RESALE,GOODS FOR RE SALE IN SHOP,B000019324/56705,ART ANGELS PUBLISHING LTD,05/02/2018,250.38
ADMINISTRATION SERVICES,CLEANING MATERIALS,CLEANING MATERIALS,B000019324/7033,OPTION HYGIENE,05/02/2018,256.96
HAWORTH ART GALLERY,ADVERTISING GENERAL,AD DISCOVER BRITAIN YEAR BOOK,B000019324/59825,DESTINATION UK LTD,05/02/2018,279
ALLOTMENTS,GENERAL REPAIR & MAINT BLDGS,WORKS AT WHITEASH GARAGE,B000019323/1248,DUNCAN CAMPBELL,05/02/2018,350
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,SUBS 18,B000019323/46443,HBINFO LTD,05/02/2018,425
HAWORTH ART GALLERY,EQUIPMENT-RESALE,GOODS FOR RE SALE IN SHOP,B000019324/57884,QUAIL CERAMICS,05/02/2018,475.6
HUMAN RESOURCES,DRUGS & ALCOHOL,CE00798-SERVICE-2 X CHAIN OF C,B000019321/57686,D TEC INTERNATIONAL,05/02/2018,720
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 28.1.18,B000019323/46341,MORGAN HUNT UK LTD,05/02/2018,914.64
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 28.1.18,B000019323/33923,EDEN BROWN LTD,05/02/2018,936
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 26.1.18,B000019323/33923,EDEN BROWN LTD,05/02/2018,962
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 26.1.18,B000019323/55150,VENN GROUP LIMITED,05/02/2018,1036.74
GYPSY SITE,NET RENTS,1.1.18 - 29.1.18,B000019323/45458,GLOSSOP CARAVANS LTD,05/02/2018,1290.76
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019323/7874,STANNAH LIFT SERVICES LIMITED,05/02/2018,2601
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,NEW BOILER & CENTRAL HEATING -,B000019323/50717,HIGH EFFICIENCY LTD,05/02/2018,3125
SADLER ST IND EST-GEN,RENT AND HIRE OF PREMISES,25.12.17-24.3.18- 5/9 SADLER S,B000019323/59003,LONGDEN & COOK COMMERCIAL,05/02/2018,5125
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019321/7874,STANNAH LIFT SERVICES LIMITED,05/02/2018,5619
HOUSING BENEFIT ADMINISTRATION,LEGAL FEES,DEBT COLLECTION SERVICES,B000019324/49780,ROSSENDALES COLLECT LTD,05/02/2018,6222.67
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019323/30178,B3P SERVICES LTD,05/02/2018,12897.72
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019321/21792,H & M BUILDING & JOINERY LTD,05/02/2018,24600
HOUSING BENEFIT ADMINISTRATION,LEGAL FEES,DEBT COLLECTION,B000019327/49780,ROSSENDALES COLLECT LTD,07/02/2018,624.77
ACCOUNTANCY,AGENCY STAFF,WE 28.01.18 T STAFF,B000019327/60226,SELLICK PARTNERSHIP LTD,07/02/2018,630.9
ACCOUNTANCY,AGENCY STAFF,WE 04.02.18 T STAFF,B000019327/60226,SELLICK PARTNERSHIP LTD,07/02/2018,633.94
WOODNOOK STRATEGIC ACQUISITION,CONTRACTOR OTHER, CLEAR YARD,B000019327/1248,DUNCAN CAMPBELL,07/02/2018,720
ACCRINGTON MARKET,GENERAL CONTRIBUTIONS,PEEL ST KIOSK  SERV CHARGRE,B000019327/48913,THREADNEEDLE UK PROPERTY TRUST,07/02/2018,756.35
HUMAN RESOURCES,TRAINING EXPENSES,LICENSING TRAINING S.G.,B000019327/47283,INSTITUTE OF LICENSING,07/02/2018,900
HUMAN RESOURCES,TRAINING EXPENSES,ARB TRAINING,B000019327/41978,MYERSCOUGH COLLEGE,07/02/2018,1180
HUMAN RESOURCES,TRAINING EXPENSES,CORPORATE TRAINING,B000019327/60336,GENDERED INTELLIGENCE CIC,07/02/2018,1785
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL WE 31.01.18,B000019327/59730,BLACKBURN SKIPS LIMITED,07/02/2018,3315
PLANNING POLICY B.U.,PUBLIC PARTICIPATION EXPENSE,PLANS,B000019327/59525,THE PLANNING INSPECTORATE,07/02/2018,36176
TIPPING CHARGES,HIRED VEHICLE,HIRE OF WAGON 1 DAY 22/01/2017,B000019329/11790,S & B TIPPERS,08/02/2018,390
TIPPING CHARGES,HIRED VEHICLE,HIRE OF WAGON 29/01/2018,B000019329/11790,S & B TIPPERS,08/02/2018,390
SKATE PARK ACC RAMPS,MISCELLANEOUS,PLAYGROUND REPAIRS,B000019329/20,A BYRNE FENCING,08/02/2018,400
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 28/01/2018,B000019329/19414,HEADS RECRUITMENT LIMITED,08/02/2018,403.67
WILLOWS LANE DEPOT,DEPOT COSTS,WORKS TO WILLOWS LANE DEPOT,B000019329/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,08/02/2018,450
PARKS & OPEN SPACES,SERVICE TRAINING EXPENSES,CS01224-SERVICE-CITY & GUILDS ,B000019328/41978,MYERSCOUGH COLLEGE,08/02/2018,460
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 21/01/2018,B000019329/19414,HEADS RECRUITMENT LIMITED,08/02/2018,470.81
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 21/01/2018,B000019329/19414,HEADS RECRUITMENT LIMITED,08/02/2018,613.69
PARKS & OPEN SPACES,IMPLEMENTS & TOOLS,VEHICLE EQUIPMENT RECORD BOOKS,B000019329/1344,ELLISON PRINTING,08/02/2018,673
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 28/01/2018,B000019329/19414,HEADS RECRUITMENT LIMITED,08/02/2018,687.34
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF,B000019329/58023,BUCKINGHAM FUTURES LTD,08/02/2018,962
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,CH01500-SERVICE-CREAMATOR FAIL,B000019328/8652,THE PHOENIX PARTNERSHIP,08/02/2018,1307.2
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 28/01/2018,B000019329/55740,RAPID RECRUITMENT LTD,08/02/2018,4671.21
RHYDDINGS PARK COACH HSE&GRDN,MISCELLANEOUS,RHYDDINGS PARK COACH HOUSE / K,B000019329/48678,SUNDERLAND PEACOCK & ASSOCIATES LTD,08/02/2018,5426.25
ACCRINGTON CREMATORIUM,MISC EXPENSES OTHER,CREAMTIONS AT BURNLEY,B000019329/45173,BURNLEY BOROUGH COUNCIL,08/02/2018,9678
VEHICLE MAINT SUPERVISION,FUEL STOCK,FUEL,B000019329/7979,T SPLITT,08/02/2018,29188.64
RHYDDINGS PARK COACH HSE&GRDN,MISCELLANEOUS,"RHYDDINGS PARK, OSWALDTWISTLE ",B000019329/7524,ROSS LEE CONSTRUCTION LTD,08/02/2018,39770.53
LOCAL TAXATION,LEGAL FEES,DEBT RECOVERY,B000019333/49780,ROSSENDALES COLLECT LTD,12/02/2018,255.4
LEISURE IN HYNDBURN,LIH R&M,HYND LEISURE INVESTIGATE LEAK,B000019331/45450,MERCERS BUILDERS LTD,12/02/2018,260
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,SIGNS,B000019333/24038,G & G SIGNS,12/02/2018,287.55
ALLOTMENTS,GENERAL REPAIR & MAINT BLDGS,URGENT TREE REMOVAL STEINER VI,B000019331/55074,SCOTT MITCHELL,12/02/2018,350
ACCRINGTON MARKET,WATER CHARGES,WATER 03.11.17 - 25.01.18,B000019331/8325,WATER PLUS LTD,12/02/2018,352.28
LAND CHARGES,LAND CHARGES,LLC SEARCHES,B000019333/2496,LANCASHIRE COUNTY COUNCIL,12/02/2018,402
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,MOWER PARTS,B000019330/1640,GIBSONS GARDEN MACHINERY LTD,12/02/2018,436.09
ACC TWN CNTR INFRASTR IMPROVE,CONTRACTOR OTHER,TAKE DOWN CATENARY CABLES,B000019331/27030,LIGHTING AND BUILDING SERVICES LTD,12/02/2018,475
WOODNOOK STRATEGIC ACQUISITION,CONTRACTOR OTHER,CLEAR WASTE ,B000019333/46845,WASTE & HAULAGE,12/02/2018,650
DEVELOPMENT,EXTERNAL CHARGES - ESG,FEES FOR AFFORDABLE WARMTH GRA,B000019333/1957,HOMEWISE SOCIETY LTD,12/02/2018,766.8
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,STREET NAMEPLATES,B000019333/38733,MARCHBRIDGE BUILDERS LTD,12/02/2018,890
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019331/46341,MORGAN HUNT UK LTD,12/02/2018,914.64
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,SECURITY WOODNOOK,B000019333/48843,CLEARWAY ENV SERVICES (UK) LTD,12/02/2018,978
