Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
UNDERSPENDS,REPAIRS FIXTURES & FITTINGS,HF11091-SERVICE-KGV PAVILION V,B000019356/59248,LANCASHIRE GAS SERVICES,01/03/2018,365.11
UNDERSPENDS,REPAIRS FIXTURES & FITTINGS,WORKS AT ACC CEM,B000019357/59248,LANCASHIRE GAS SERVICES,01/03/2018,400.98
UNDERSPENDS,REPAIRS FIXTURES & FITTINGS,WORKS AT WILSON,B000019357/59248,LANCASHIRE GAS SERVICES,01/03/2018,1503.50
COMMUNITY SAFETY PARTNERSHIP,CRIME & DISORDER INITIATIVES,SERVICES FOR CARE LEAVERS,B000019274/29112,HYNDBURN LEISURE,01/03/2018,2000.00
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,"SERVICE-CAMERA, GPS, ",B000019360/46880,SPECIALIST FLEET SERVICES LTD,02/03/2018,2237.45
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,"SERVICE-CAMERA, GPS",B000019360/46880,SPECIALIST FLEET SERVICES LTD,02/03/2018,2237.45
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,"SERVICE-CAMERA, GPS, ",B000019360/46880,SPECIALIST FLEET SERVICES LTD,02/03/2018,2237.45
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,"SERVICE-CAMERA, GPS,",B000019360/46880,SPECIALIST FLEET SERVICES LTD,02/03/2018,2237.45
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,"SERVICE-CAMERA, GPS, ",B000019360/46880,SPECIALIST FLEET SERVICES LTD,02/03/2018,2237.45
LOCAL TAXATION,LEGAL FEES,DEBT RECOVERY,B000019362/49780,ROSSENDALES COLLECT LTD,05/03/2018,283.01
HUMAN RESOURCES,INTERVIEW EXPENSES,4 X REPORT HEAD OF ACC RECRUIT,B000019364/60234,SAVILLE ASSESSMENT LTD,05/03/2018,293.60
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,EXHAUST,B000019363/46914,OMC FORD (ACCRINGTON),05/03/2018,294.44
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,LIFT AXLE VALVE,B000019363/59948,EURO MUNICIPAL LTD,05/03/2018,300.00
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,PRESS NOTICE,B000019362/59724,TMP (UK) TLD,05/03/2018,310.80
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,WINDOW REGULATOR,B000019363/1164,DENNIS EAGLE LIMITED,05/03/2018,340.10
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS LOCAL GOV LAW R70,B000019362/50652,THOMSON REUTERS,05/03/2018,368.00
BUILDING CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,RENEWAL MEMBERSHIP,B000019364/35163,RICS,05/03/2018,467.10
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SIDE SKIDS,B000019363/7688,AEBI SCHMIDT UK LTD,05/03/2018,576.72
PROPOSED SELEC LICENSING 2017,PRINTING,SL FORMS,B000019364/2930,MERCER PRINT UK LTD.,05/03/2018,868.00
HYNDBURN CEMETERIES,HEADSTONE SAFETY,WALLING STONE,B000019362/60345,SPECIALISED YORK STONE SUPPLIES LTD,05/03/2018,1000.00
HYNDBURN CEMETERIES,HEADSTONE SAFETY,WALLING TUITION,B000019362/58693,ALAN RHODES,05/03/2018,2000.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019362/60110,HARTLEY PROPERTY SERVICES LTD,05/03/2018,4098.99
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019362/21792,H & M BUILDING & JOINERY LTD,05/03/2018,4485.00
LICENSING,DRIVERS,DVLA CHECKS,B000019365/59795,G B GROUP PLC,06/03/2018,305.00
GYPSY SITE,WATER CHARGES,GYPSY SITE - 1.4.18-31.3.19,B000019365/8325,WATER PLUS LTD,06/03/2018,354.98
LOCAL TAXATION,AGENCY STAFF,TEMP STAFF W/E 11.2.18,B000019365/46341,MORGAN HUNT UK LTD,06/03/2018,830.48
GYPSY SITE,NET RENTS,29.1.18 TO 26.2.18,B000019365/45458,GLOSSOP CARAVANS LTD,06/03/2018,960.00
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF W/E 19.2.18,B000019365/58852,OYSTER PARTNERSHIP,06/03/2018,999.00
LOCAL TAXATION,AGENCY STAFF,TEMP STAFF W/E 25.2.18,B000019365/46341,MORGAN HUNT UK LTD,06/03/2018,1036.00
LOCAL TAXATION,AGENCY STAFF,TEMP STAFF W/E 18.2.18,B000019365/46341,MORGAN HUNT UK LTD,06/03/2018,1036.56
ALLOTMENTS,GENERAL REPAIR & MAINT BLDGS,WORKS AT ALLOTMENT SITES,B000019365/1248,DUNCAN CAMPBELL,06/03/2018,1200.00
RISHTON FACELIFTING SCHEME,CONTRACTOR OTHER,"SPRING ST, RISHTON - FACELIFTI",B000019365/7524,ROSS LEE CONSTRUCTION LTD,06/03/2018,38555.86
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 25.2.18,B000019372/55150,VENN GROUP LIMITED,07/03/2018,312.00
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,SERVICE-HP 280 G2 SFF ,B000019373/1106,B T BUSINESS DIRECT,07/03/2018,399.00
STREET CLEANSING,PRIVATE CONTRACTORS WORK,G-H CEM GATE POSTS,B000019372/45363,J B I ENGINEERING NW LTD,07/03/2018,495.00
POLICY AND PERFORMANCE REVIEW,NEW EQUIPMENT,SERVICE-HP Probook 450,B000019373/1106,B T BUSINESS DIRECT,07/03/2018,560.33
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,SERVICE-VRanger backup,B000019373/42067,XICON LIMITED,07/03/2018,588.10
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 25.2.18,B000019372/46341,MORGAN HUNT UK LTD,07/03/2018,741.60
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 25.2.18,B000019372/33923,EDEN BROWN LTD,07/03/2018,890.50
PENDLE ST PH1,LEGAL FEES,PROFESSIONAL SERVICES,B000019372/30073,MR IAN PONTER,07/03/2018,900.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 18.2.18,B000019372/55150,VENN GROUP LIMITED,07/03/2018,946.40
UNDERSPENDS,MISC EXPENSES OTHER,ADMIN FEE ,B000019369/60387,PUGH & COMPANY,07/03/2018,1500.00
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,4.11.17 TO 3.2.18,B000019374/31105,KONICA MINOLTA B S EAST LTD,07/03/2018,1556.15
POLICY AND PERFORMANCE REVIEW,AGENCY STAFF,COMMUNITY SAFETY SUPPORT,B000019372/40624,BURNLEY BOROUGH COUNCIL,07/03/2018,2000.00
UNDERSPENDS,MISC EXPENSES OTHER,DEPOSIT FEE ,B000019369/60387,PUGH & COMPANY,07/03/2018,2300.00
DEV CONTROL,DEV CONTROL SYSTEM,DOCUMENT MANAGEMENT SYSTEM,B000019372/59944,IDOX SOFTWARE LTD,07/03/2018,5937.93
REGISTRATION OF ELECTORS,AGENCY STAFF,LAND CHARGES - OCT - DEC 17,B000019372/45531,BOROUGH OF PENDLE,07/03/2018,5945.14
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,ARDEN HALL,B000019378/54512,CLEAR A DRAIN LTD,09/03/2018,255.00
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,WORKS TO BOILER,B000019378/59736,FIREFLY ENERGI LTD,09/03/2018,1311.45
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,WORKS TO BOILER,B000019378/59736,FIREFLY ENERGI LTD,09/03/2018,1737.75
HOUSING ADVICE,GRANTS,SERVICE LEVEL AGREEMENT 18,B000019378/55099,NIGHTSAFE,09/03/2018,3500.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019378/25868,HYNDBURN PLUMBING & HEATING SERVICES,09/03/2018,9740.00
ACCRINGTON MARKET,CLEANING MATERIALS,CLEANING MATERIALS,B000019381/7033,OPTION HYGIENE,12/03/2018,266.13
HUMAN RESOURCES,TRAINING EXPENSES,TRAINING S.B. & J.G.,B000019379/55865,R H ENVIRONMENTAL LIMITED,12/03/2018,286.20
PARKS & OPEN SPACES,WATER CHARGES,WASTE WATER CHARGES WHITE ASH ,B000019380/8325,WATER PLUS LTD,12/03/2018,311.82
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE 26.2.18 REF 35,B000019380/7871,STANLEY BROS TIPPERS LTD,12/03/2018,390.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF ,B000019380/19414,HEADS RECRUITMENT LIMITED,12/03/2018,403.67
REGISTRATION OF ELECTORS,NEW EQUIPMENT,SCANNER MAINT 09.03.18 - 08.03,B000019379/46277,E FILE UK LTD,12/03/2018,425.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF   WK 18.02.18,B000019380/19414,HEADS RECRUITMENT LIMITED,12/03/2018,466.41
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019379/46341,MORGAN HUNT UK LTD,12/03/2018,512.94
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK 25.2.18,B000019380/58023,BUCKINGHAM FUTURES LTD,12/03/2018,540.85
ACCOUNTANCY,AGENCY STAFF,STAFF W/E 25.02.18,B000019379/60226,SELLICK PARTNERSHIP LTD,12/03/2018,633.94
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 25.02.18,B000019380/19414,HEADS RECRUITMENT LIMITED,12/03/2018,687.34
PARKS & OPEN SPACES,SECURITY SYSTEM MAINTENANCE,ALARM RESPONSE  17.02.18 ,B000019380/44845,KEYPLUS SECURITY LTD,12/03/2018,857.50
WOODNOOK STRATEGIC ACQUISITION,SECURING PREMISES,RENTAL CHARGES,B000019379/48843,CLEARWAY ENV SERVICES (UK) LTD,12/03/2018,860.00
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING SERVICES BROADWAY,B000019381/2586,HYNDBURN LEISURE,12/03/2018,860.54
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK  11.2.18 ,B000019380/58023,BUCKINGHAM FUTURES LTD,12/03/2018,895.20
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK  18.2.18 ,B000019380/58023,BUCKINGHAM FUTURES LTD,12/03/2018,962.00
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF  25.02.18 ,B000019380/58023,BUCKINGHAM FUTURES LTD,12/03/2018,962.00
RECYCLING COLLECTION,CANS PLASTICS 50% INCOME LCC,PLASTICS INCOME COST SHARE QTR,B000019380/2506,LANCASHIRE COUNTY COUNCIL,12/03/2018,1199.36
ACCRINGTON MARKET,WATER CHARGES,WATER MARKET HALL 02.11.17 - 2,B000019381/6870,UNITED UTILITIES,12/03/2018,2251.92
