Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONEMNTAL SERVICES,CEMETERIES,WOOD,P-CARD JUNE 18,WHEWELLS,23/05/2018,288.00
ENVIRONEMNTAL SERVICES,PARKS,INSTARMAC,P-CARD JUNE 18,PAVING EXPERTS,24/05/2018,399.78
ENVIRONEMNTAL SERVICES,CEMETERIES,TOP SOIL,P-CARD JUNE 18,GREENVALE,31/05/2018,270.00
P & C G,IT,COMPUTER SOFTWARE,P-CARD JUNE 18,DELL,02/06/2018,1101.6
ACC TC CCTV,TELEPHONE LEASE,CCTV,B000019551/26383,BT REDCARE,06/06/2018,13370.65
LYNDON PF SPORTS FACILITIES,CONTRACTOR OTHER,FOOTBALL PITCH DRAINAGE,B000019551/57454,REILLY DEVELOPMENT LTD,06/06/2018,1410.17
LICENSING,DRIVERS,DVLA CHECKS,B000019551/59795,G B GROUP PLC,06/06/2018,459.50
HUMAN RESOURCES,WORKPLACE HEALTH AWARENESS,BIKES AND ACCESSORIES,B000019551/60594,"BLOOD, SWEAT AND GEARS",06/06/2018,2860.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019552/47956,BRYAN LEE BULDING CONTRACTORS,06/06/2018,3646.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019552/50640,PRISM MEDICAL UK,06/06/2018,2615.13
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,OIL SUMP,B000019553/899,CICELEY COMMERCIALS LTD,06/06/2018,446.55
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019554/31295,ASTOR-BANNERMAN (MEDICAL)LTD,06/06/2018,7980.25
CORPORATE PROPERTY,ASSET MAINT R&M,"24/26 Whalley Rd - repl lead, extend gutter",B000019554/37017,PILKINGTON BROS (CHURCH) LTD,06/06/2018,1005.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019554/47956,BRYAN LEE BULDING CONTRACTORS,06/06/2018,455.29
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019554/47956,BRYAN LEE BULDING CONTRACTORS,06/06/2018,4097.04
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019554/50640,PRISM MEDICAL UK,06/06/2018,4578.47
P & C G,ADMIN,STATIONERY,P-CARD JUNE 18,OFFICE DEPOT,06/06/2018,398.10
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019555/35745,AGS HEATING & PLUMBING LTD,07/06/2018,3525.00
HAWORTH ART GALLERY,ASSET MAINT R&M,HAG SB AND PS INTRUDER A - ADD ADDRESS,B000019558/24998,BELLIT SECURITY LIMITED,11/06/2018,492.00
