Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
LAND CHARGES,LAND CHARGES,LLC SEARCHES,B000019671/2496,LANCASHIRE COUNTY COUNCIL,06/08/2018,375
HAWORTH ART GALLERY,ASSET MAINT R&M,HAG LIGHTS,B000019671/24998,BELLIT SECURITY LIMITED,06/08/2018,455
UNDERSPENDS,CIVIC SUNDAY EXPENSES,TEMP STAFF W/E 20.7.18,B000019670/22288,ADECCO UK LIMITED,06/08/2018,517.26
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 29.7.18,B000019670/55150,VENN GROUP LIMITED,06/08/2018,553.8
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 22.7.18,B000019670/55150,VENN GROUP LIMITED,06/08/2018,641.42
MUNICIPAL ELECTIONS,ADVERTISING,VACANCY AD LAWYER,B000019671/60805,LOCAL GOVERNMENT LAWYER,06/08/2018,650
LEISURE IN HYNDBURN,LIH R&M,CLAYTON CIVIC HALL,B000019671/60330,CALBARRIE COMPLIANCE SERVICES,06/08/2018,656.25
ACCOUNTANCY,GENERAL SUBSCRIPTIONS,VAT ADVISORY SERVICE 18/19,B000019672/2496,LANCASHIRE COUNTY COUNCIL,06/08/2018,699
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 29.7.18,B000019670/46341,MORGAN HUNT UK LTD,06/08/2018,734.84
Corporate Property Bus Unit,AGENCY STAFF,STAFF 23.07.18,B000019671/58852,OYSTER PARTNERSHIP,06/08/2018,780.3
Corporate Property Bus Unit,AGENCY STAFF,STAFF 16.07.18,B000019671/58852,OYSTER PARTNERSHIP,06/08/2018,810
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 29.7.18,B000019670/46341,MORGAN HUNT UK LTD,06/08/2018,942.02
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 22.7.18,B000019670/33923,EDEN BROWN LTD,06/08/2018,989.63
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 29.7.18,B000019670/33923,EDEN BROWN LTD,06/08/2018,1010.1
ACCRINGTON MARKET,ASSET MAINT R&M,REPLACE CONTROL PANEL AND KEYPAD,B000019670/24998,BELLIT SECURITY LIMITED,06/08/2018,1200.92
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,OXYGEN,B000019675/634,BRITISH OXYGEN CO LTD,08/08/2018,272.73
SCAITCLIFFE HOUSE,CLEANING MATERIALS,CLEANING MATERIALS,B000019674/7033,OPTION HYGIENE,08/08/2018,291.09
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SIDE SKIDS,B000019675/7688,AEBI SCHMIDT UK LTD,08/08/2018,577.07
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,BELTS,B000019675/1164,DENNIS EAGLE LIMITED,08/08/2018,1374.77
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC JUL 18,B000019674/29112,HYNDBURN LEISURE,08/08/2018,1600
CORPORATE PROPERTY,ASSET MAINT R&M,"FENCING ON HARTLEY ST, OSW",B000019676/20,A BYRNE FENCING,08/08/2018,3180
HOUSING ADVICE,GRANTS,NIGHT SHELTER PROV 18/19,B000019674/19391,MAUNDY RELIEF,08/08/2018,9000
CORP & DEM CORE,MARKETING COMMUNICATIONS,PHOTOS AND FRAMES,B000019680/1610,GARTH DAWSON STUDIO,13/08/2018,268
LICENSING,DRIVERS,DVLA CHECKS,B000019681/59795,G B GROUP PLC,13/08/2018,295
OFF STREET PARKING,GENERAL REPAIR & MAINT BLDGS,TESTING - CAR PARK LIGHTING,B000019682/26968,LIGHTING AND BUILDING SERVICES LTD,13/08/2018,375
ACC TOWN HALL,ASSET MAINT R&M,BATTERY TO FRONT DOOR,B000019683/37111,AUTOMATIC DOOR COMPANY,13/08/2018,404.14
OFF STREET PARKING,GENERAL REPAIR & MAINT BLDGS,REPIAR LIGHTS ON DOWRY STREET,B000019682/26968,LIGHTING AND BUILDING SERVICES LTD,13/08/2018,425
PUBLIC TRANSPORT,CLEANING,BUS SHELTER ELECTRICAL DISCONNECTION ,B000019680/60587,JONES LIGHTING,13/08/2018,475
UNDERSPENDS,CIVIC SUNDAY EXPENSES,TEMP STAFF W/E 5.8.18,B000019682/60568,CUMMINS MELLOR,13/08/2018,510.6
GYPSY SITE,GENERAL REPAIR & MAINT BLDGS,WHINNEY HILL PITCH 4 AND 5,B000019683/30178,B3P SERVICES LTD,13/08/2018,512.4
UNDERSPENDS,CIVIC SUNDAY EXPENSES,TEMP STAFF W/E 27.7.18,B000019682/22288,ADECCO UK LIMITED,13/08/2018,517.26
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,COMPUTER EQPT,B000019680/42067,XICON LIMITED,13/08/2018,695
HUMAN RESOURCES,TRAINING EXPENSES,STOREKEEPING TRAINING,B000019681/52325,BASIS (REGISTRATION) LTD,13/08/2018,722
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF W/E 30.7.18,B000019682/58852,OYSTER PARTNERSHIP,13/08/2018,743.31
FACILITIES TEAM,AGENCY STAFF,STAFF WE 06.7.18,B000019683/59823,HAYS,13/08/2018,963.52
FACILITIES TEAM,AGENCY STAFF,STAFF WE 20.07.18,B000019683/59823,HAYS,13/08/2018,967.68
ALLOTMENTS,WATER CHARGES,LEY - 6.5.18-1.8.18,B000019681/8325,WATER PLUS LTD,13/08/2018,994.2
DEVELOPMENT,AGENCY STAFF,STAFF  W/E 29.6.18,B000019683/59823,HAYS,13/08/2018,1030.04
HOUSING BENEFIT ADMINISTRATION,LICENCES- OPERATORS,TEMP STAFF W/E 5.8.18,B000019681/46341,MORGAN HUNT UK LTD,13/08/2018,1067.08
DEVELOPMENT,AGENCY STAFF,STAFF WE 13.07.18,B000019683/59823,HAYS,13/08/2018,1132.05
DEVELOPMENT,AGENCY STAFF,STAFF W/E 20.07.18,B000019683/59823,HAYS,13/08/2018,1150.15
FACILITIES TEAM,AGENCY STAFF,STAFF W/E 13.07.18,B000019683/59823,HAYS,13/08/2018,1157.12
FACILITIES TEAM,AGENCY STAFF,STAFF WE 29/06/18,B000019683/59823,HAYS,13/08/2018,1167.36
ACCRINGTON MARKET,WATER CHARGES,PEEL ST 29.4.18-19.7.18,B000019682/8325,WATER PLUS LTD,13/08/2018,1679.01
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL 31.7.18,B000019682/59730,BLACKBURN SKIPS LIMITED,13/08/2018,1755
