Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONTRIBUTION TO GRANT FOR FORP EVENTS AS PART OF HERITAGE LOTTERY PROJECT AT RHYDDINGS PARK,B000019722/60670,FRIENDS OF RHYDDINGS PARK,04/09/2018,500.00
WILLOWS LANE DEPOT,DEPOT COSTS,POWER WASH DETERGEANT FOR WILLOWS LANE DEPOT,B000019724/4467,HOPE & BROWN LTD,05/09/2018,263.61
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE FOR WILLOWS LANE TIP BAYS 22.08.18,B000019724/7871,STANLEY BROS TIPPERS LTD,05/09/2018,390.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 26.08.18 ,B000019724/19414,HEADS RECRUITMENT LIMITED,05/09/2018,455.13
HYNDBURN CEMETERIES,NEW SEATS,CAST IRON MEMORIAL BENCH FOR ACCRINGTON CEMETERY,B000019724/14010,BROXAP LTD,05/09/2018,548.00
CUSTOMER SERVICES,TRAINING EXPENSES,TRAINING FEE,B000019723/44171,CIPFA BUSINES LIMITED,05/09/2018,590.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,1 CONSULTANCY DAY,B000019723/783,CAPITA BUSINESS SERVICES LTD,05/09/2018,650.00
BUILDING CONTROL B.U.,DEV CONTROL SYSTEM,COMP PERSONS LOADER,B000019723/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,05/09/2018,655.36
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF WK 19-8-18  ,B000019724/19414,HEADS RECRUITMENT LIMITED,05/09/2018,816.90
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  12.08.18 ,B000019724/19414,HEADS RECRUITMENT LIMITED,05/09/2018,910.26
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  WK 26.08.18 ,B000019724/19414,HEADS RECRUITMENT LIMITED,05/09/2018,910.26
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 20.08.18 - 26.8.18 ,B000019724/55740,RAPID RECRUITMENT LTD,05/09/2018,3453.02
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,"GRASS CUTTING CONTRACT , HIGHAMS",B000019724/57700,MASTER GROUND SERVICES,05/09/2018,6053.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019723/52883,POLLOCK LIFTS,05/09/2018,13281.00
HOUSING BENEFIT ADMINISTRATION,KENNELING - OUT OF HOURS,AGENCY STAFF,B000019727/55150,VENN GROUP LIMITED,10/09/2018,423.28
LAND CHARGES,LAND CHARGES,LLC SEARCHES,B000019728/2496,LANCASHIRE COUNTY COUNCIL,10/09/2018,426.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,GDPR WEBINAR,B000019728/783,CAPITA BUSINESS SERVICES LTD,10/09/2018,500.00
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019727/46341,MORGAN HUNT UK LTD,10/09/2018,572.85
HUMAN RESOURCES,TRAINING EXPENSES,PACE TRAINING,B000019727/45293,AQUILA TRAINING,10/09/2018,650.00
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,INSTALLATION OF ST NAMES,B000019728/38733,MARCHBRIDGE BUILDERS LTD,10/09/2018,790.00
HUMAN RESOURCES,EMPLOYEE ASSISTANCE PROGRAMME,EAP PROGRAMME (12 MONTHS),B000019727/58952,EMPLOYEE ADVISORY RESOURCE LTD,10/09/2018,2009.00
ACC TOWN CENTRE,EVENT EXPENDITURE,CHOCOLATE FESTIVL U2,B000019728/17546,SCOTT DAWSON ADVERTISING LTD,10/09/2018,2500.00
BUILDING CONTROL B.U.,TRAINING EXPENSES,LABC QUAL A WRIGHT,B000019728/46347,DISTRICT SURVEYORS ASSOCIATION LTD,10/09/2018,2501.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019728/50640,PRISM MEDICAL UK,10/09/2018,2605.52
REGISTRATION OF ELECTORS,CANVASS,RETURN POSTAGE CANVASS 18,B000019728/51517,ROYAL MAIL GROUP LTD,10/09/2018,3408.65
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019727/51317,PRISM MEDICAL UK,10/09/2018,3559.70
ACC TOWN CENTRE,EVENT EXPENDITURE,RALLY CHALLENGE,B000019728/17546,SCOTT DAWSON ADVERTISING LTD,10/09/2018,3995.00
BUILDING CONTROL B.U.,COMPUTER RENTAL & MAINT,SUPP AND MAIN 1.10.18 - 30.9.19,B000019728/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,10/09/2018,10104.36
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,TREE WORK,B000019731/22189,ROY CATTERMOLE (TREE SURGEON),11/09/2018,400.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,NOTICE BOARD FOR PEEL PARK,B000019731/54425,METROPLAN LIMITED,11/09/2018,495.32
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,WORKS AT WILLOWS LANE DEPOT.,B000019731/22189,ROY CATTERMOLE (TREE SURGEON),11/09/2018,500.00
STREET CLEANSING,TRAFFIC MANAGEMENT,TRAFFIC MANAGEMENT FOR DUNKENHALGH WAY,B000019731/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,11/09/2018,525.00
STREET CLEANSING,PRIVATE CONTRACTORS WORK,GRASS CUTTING AND LITTER REMOVAL ,B000019731/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,11/09/2018,540.00
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,PUBLIC NOTICE 7/9/18,B000019733/59724,TMP (UK) TLD,12/09/2018,440.40
DEVELOPMENT,AGENCY STAFF,TEMP STAFF - WE 10/08,B000019733/59823,HAYS,12/09/2018,1121.80
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF WE 10/08/18,B000019733/59823,HAYS,12/09/2018,1124.48
DEVELOPMENT,AGENCY STAFF,TEMP STAFF- WE 17/08,B000019733/59823,HAYS,12/09/2018,1166.76
VEHICLE MAINT SUPERVISION,COMPUTER RENTAL & MAINT,FLEETMASTER LICENCE RENEWAL,B000019732/44243,TRAPEZE GROUP (UK) LTD,12/09/2018,7769.46
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE FOR WILLOWS LANE TIP BAYS 3.9.18 ,B000019735/7871,STANLEY BROS TIPPERS LTD,14/09/2018,390.00
RHYDDINGS PARK COACH HSE&GRDN,MISCELLANEOUS,S/S UNDER COUNTER FRIDGE FOR RHYDDINGFS COACH HOUSE,B000019735/56939,AFFORDABLE BAR & CATERING EQUIPMENT DIRECT,14/09/2018,475.00
WILLOWS LANE DEPOT,SECURITY SYSTEM MAINTENANCE,ALARM RESPONSE TO RANGER STREET 31.08.18 AND ANNUAL KEY HOLDER LICENCE FOR WILLOWS LANE AND RANGER,B000019735/44845,KEYPLUS SECURITY LTD,14/09/2018,530.00
PARKS & OPEN SPACES,AGENCY STAFF,"AGENCY STAFF , WK 2.9.18 ",B000019735/19414,HEADS RECRUITMENT LIMITED,14/09/2018,711.88
WHEELED BINS,EQUIPMENT,WHEELED BINS 240LTR BROWN X 60,B000019735/59653,MGB PLASTICS,14/09/2018,885.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 19.08.18 ,B000019735/19414,HEADS RECRUITMENT LIMITED,14/09/2018,910.26
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF WK 2.9.18 ,B000019735/19414,HEADS RECRUITMENT LIMITED,14/09/2018,910.26
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF  WK 27.08.18 TO 02.09.18 ,B000019735/55740,RAPID RECRUITMENT LTD,14/09/2018,1724.05
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,FRIENDS OF RHYDDINGS PARK SIGNAGE PROJECT - PAYMENT 1,B000019735/47786,HYNDBURN ARTS LIMITED,14/09/2018,2000.00
WASTE SERVICES,AGENCY STAFF,3-9-18 TO 9-9-18 AGENCY STAFF ,B000019735/55740,RAPID RECRUITMENT LTD,14/09/2018,2115.88
RECYCLING COLLECTION,WASTE DISPOSAL CHARGES,AUGUST 2018 PLASTICS CANS AND GLASS 267.900KGS,B000019735/33025,RISHTON WASTE PAPER LTD,14/09/2018,9376.50
HAWORTH ART GALLERY,EQUIPMENT-RESALE,GOODS FOR RE-SALE IN SHOP,B000019737/58232,LAYLA AMBER ROUS,17/09/2018,253.50
LOCAL TAXATION,LEGAL FEES,COMMISSION ON MONIES COLLECTED,B000019736/49780,ROSSENDALES COLLECT LTD,17/09/2018,264.05
MEMBER SERVICES,MISC EXPENSES OTHER,UNION & ARMED FORCES DAY FLAG,B000019736/30597,HAMPSHIRE FLAG COMPANY,17/09/2018,281.94
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,"WOODSLAND, GRAFTON AVE, BAMFORD CRES - TRASH SCREENS 11/9/18",B000019737/38733,MARCHBRIDGE BUILDERS LTD,17/09/2018,295.58
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS LOCAL GOV LAW R73,B000019738/50652,THOMSON REUTERS,17/09/2018,368.00
