Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING BROADWAY,B000019763/29112,HYNDBURN LEISURE,03/10/2018,860.54
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000019763/33923,EDEN BROWN LTD,03/10/2018,1010.10
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000019763/33923,EDEN BROWN LTD,03/10/2018,880.43
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF  ,B000019763/55150,VENN GROUP LIMITED,03/10/2018,962.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF,B000019763/55150,VENN GROUP LIMITED,03/10/2018,962.00
REFUSE/CLEANSING ADMIN STAFF,CIVIL CONTINGENCY ACT,SECRETARY CONTRIBUTION LRF 2018-2019,B000019764/11051,LANCASHIRE POLICE AUTHORITY,03/10/2018,837.40
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 09.09.18  ,B000019764/19414,HEADS RECRUITMENT LIMITED,03/10/2018,910.26
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 16.09.18 ,B000019764/19414,HEADS RECRUITMENT LIMITED,03/10/2018,910.26
HYNDBURN CEMETERIES,AGENCY STAFF, AGENCY STAFF  WK 16.09.18,B000019764/19414,HEADS RECRUITMENT LIMITED,03/10/2018,735.21
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFFF  WK 9.9.18 ,B000019764/19414,HEADS RECRUITMENT LIMITED,03/10/2018,910.26
PARKS & OPEN SPACES,MATERIALS-DIRECT,SIGN PANEL  GATTY PARK CAFE,B000019764/44426,HITCHENS ENGRAVERS,03/10/2018,616.00
WILLOWS LANE DEPOT,DEPOT COSTS,WORKS AT WILLOWS LANE,B000019764/47016,J E MORTEN LTD,03/10/2018,450.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 17.9.18 - 23.9.18 ,B000019764/55740,RAPID RECRUITMENT LTD,03/10/2018,2664.44
