Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
UNDERSPENDS,RISK ASSESSMENTS,HIGHAMS CHANGING PAVILION,B000019828/60330,CALBARRIE COMPLIANCE SERVICES,01/11/2018,323.85
UNDERSPENDS,RISK ASSESSMENTS,ACC CEM ELECT TEST,B000019828/60330,CALBARRIE COMPLIANCE SERVICES,01/11/2018,342.90
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF WK 1.10.18 TO 7.10.18 15 ,B000019829/58023,BUCKINGHAM FUTURES LTD,01/11/2018,390.00
LAND CHARGES,LAND CHARGES,LLC SEARCHES,B000019828/2496,LANCASHIRE COUNTY COUNCIL,01/11/2018,489.00
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONTRIBUTION TO GRANT FEE FOR  EVENTS  AT RHYDDINGS PARK,B000019829/60670,FRIENDS OF RHYDDINGS PARK,01/11/2018,500.00
SCAITCLIFFE HOUSE,CLEANING MATERIALS,CLEANING MATERIALS,B000019828/7033,OPTION HYGIENE,01/11/2018,574.24
PARKS & OPEN SPACES,LEGAL FEES,REVIEW OF FCR FORM FOR HIGHAMS PLAYING FIELDS ,B000019829/57692,FIELDS IN TRUST,01/11/2018,1400.00
TOWNSCAPE HERITAGE INITIATIVE,PLAN PRINTING,C4 ACTIVITIES DIGIFISH SCHOOLS FIKLM,B000019828/60610,DIGIFISH,01/11/2018,1437.50
Corporate Property Bus Unit,AGENCY STAFF,STAFF,B000019828/58852,OYSTER PARTNERSHIP,01/11/2018,1440.00
WASTE SERVICES,AGENCY STAFF,WASTE SERVICES WK 22.10.18 TO 28.10.18 ,B000019829/55740,RAPID RECRUITMENT LTD,01/11/2018,1878.24
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,GRASS CUTTING CONTRACT HIGHAMS PLAYING FIELD,B000019829/57700,MASTER GROUND SERVICES,01/11/2018,6053.50
VEHICLE MAINT SUPERVISION,FUEL STOCK, FUEL ,B000019829/7979,T SPLITT,01/11/2018,26763.40
ACCRINGTON CREMATORIUM,EQUIPMNT REPAIR & MAINT,Catafalque Curtain Alterations,B000019830/33866,ZAGOTA CREATIONS LTD,02/11/2018,550.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,PRO MASTER 10 BOWLS SEED ,B000019830/32109,D L F TRIFOLIUM LTD,02/11/2018,1176.00
STREET CLEANSING,WEEDKILLING,TO PROVIDE TWO WEED CONTROL TREATMENTS,B000019830/42709,RM SERVICES LTD,02/11/2018,1770.00
STREET CLEANSING,PRIVATE CONTRACTORS WORK,RURAL GRASS VERGE CUTTING ,B000019830/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,02/11/2018,1800.00
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,medical refs july - sept 18,B000019830/7171,PEEL HOUSE MEDICAL PRACTICE,02/11/2018,2490.00
DISABLED FACILITIES GENERAL,GENERAL REPAIR & MAINT BLDGS,WELKER RD/RICHMOND RD BUILDING COLLAPSE,B000019831/38733,MARCHBRIDGE BUILDERS LTD,05/11/2018,399.00
LEGAL SERVICES,HEALTH SCREENING,VACANCY AD,B000019833/60805,LOCAL GOVERNMENT LAWYER,05/11/2018,650.00
DISABLED FACILITIES GENERAL,GENERAL REPAIR & MAINT BLDGS,WALKER RD/RICHMOND RD BUILDING COLLAPSE,B000019831/38733,MARCHBRIDGE BUILDERS LTD,05/11/2018,847.28
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000019831/46341,MORGAN HUNT UK LTD,05/11/2018,942.02
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY FEES,B000019831/46341,MORGAN HUNT UK LTD,05/11/2018,1067.08
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,GROUPWISE LICENSES,B000019833/60502,SECTOR IT SOLUTIONS LTD,05/11/2018,1218.96
HUMAN RESOURCES,DRUGS & ALCOHOL,50 X DRUGWIPES,B000019832/57686,D TEC INTERNATIONAL,05/11/2018,1409.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019832/50640,PRISM MEDICAL UK,05/11/2018,1850.01
REGISTRATION OF ELECTORS,CANVASS,CANVASS FINALS OUT GOING POSTAGE,B000019831/54880,PRINT IMAGE FACILITIES LLP,05/11/2018,2418.64
HAWORTH ART GALLERY,WEDDING EXPENDITURE,ALL INC WEDDING PACKAGE,B000019831/57628,S.R.S. CATERING LTD,05/11/2018,3333.34
POLICY AND PERFORMANCE REVIEW,DOMESTIC VILOENCE,DOMESTIC ABUSE SERVICES,B000019831/11051,LANCASHIRE POLICE AUTHORITY,05/11/2018,7000.00
ALLOTMENTS,WATER CHARGES,WATER LEY FARM,B000019836/8325,WATER PLUS LTD,06/11/2018,326.00
STRATEGIC HOUSING DEPARTMENT,ADVERTISING GENERAL,AD ACC OB 26.10.18,B000019836/60625,REACH PUBLISHING SERVICES LTD,06/11/2018,371.00
VEHICLE MAINT SUPERVISION,VEHICLE LEASING,VEHICLE LEASE,B000019836/37942,JCB FINANCE LTD,06/11/2018,1949.93
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019836/25868,HYNDBURN PLUMBING & HEATING SERVICES,06/11/2018,3510.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000019836/48969,SPAIN BUILDING & MAINTENANCE LTD,06/11/2018,5385.00
LIFT IMPROVEMENTS,CONTRACTOR OTHER,WORKS TO LIFT- ACC MARKET,B000019838/59916,CONCEPT ELEVATORS,07/11/2018,328.00
AMH ROOF & GUTTER WORKS,CONTRACTOR OTHER,HANDRAILS TO STAIRCASES- MARKET,B000019838/37017,PILKINGTON BROS (CHURCH) LTD,07/11/2018,442.94
PARKS & OPEN SPACES,GAS,RHUDDINGS COACH HOUSE - 30.9.18-31.10.18,B000019838/61050,YU ENERGY,07/11/2018,488.73
LIBRARY ST DEPOT,ELECTRICITY,CVMU - 1.9.18 - 30.9.18,B000019838/59343,EDF ENERGY,07/11/2018,648.96
CORPORATE PROPERTY,ASSET MAINT R&M,ASBESTOS SURVEY - MERCER HALL,B000019838/32038,ACM MANAGEMENT SOLUTIONS LTD,07/11/2018,650.00
HAWORTH ART GALLERY,ASSET MAINT R&M,REBUILD WALL & REPAIR FENCE,B000019838/45450,MERCERS BUILDERS LTD,07/11/2018,715.00
UNDERSPENDS,RISK ASSESSMENTS,"ELEC TESTING - EAGLE ST, ACC",B000019838/60330,CALBARRIE COMPLIANCE SERVICES,07/11/2018,730.25
SCAITCLIFFE HOUSE,ASSET MAINT R&M,REPAIRS TO AIR CONDITIONING ON 2ND FLOOR,B000019838/56939,AFFORDABLE BAR & CATERING EQUIPMENT DIRECT,07/11/2018,750.00
HOMELESSNESS-302 BURNLEY RD AC,ASSET MAINT R&M,DRYROT TREATMENT,B000019838/21510,STONE OAK LTD,07/11/2018,768.00
CORPORATE PROPERTY,ASSET MAINT R&M,REBUILD STONE WALL ,B000019838/45450,MERCERS BUILDERS LTD,07/11/2018,980.00
CUSTOMER SERVICES,BPR/CONTACT CENTRE,CAB PBS APPTS AUG 18,B000019837/60659,CITIZENS ADVICE ROSSENDALE & HYNDBURN LTD,07/11/2018,1008.00
PARKS & OPEN SPACES,ASSET MAINT R&M,REBUILD STONE WALL - OAKHILL PARK,B000019838/45450,MERCERS BUILDERS LTD,07/11/2018,1020.00
CUSTOMER SERVICES,BPR/CONTACT CENTRE,UC CAB PBS OCT 18,B000019837/60659,CITIZENS ADVICE ROSSENDALE & HYNDBURN LTD,07/11/2018,1260.00
LIFT IMPROVEMENTS,CONTRACTOR OTHER,REPAIRS TO LIFT- LIFT 1 PEEL ST,B000019838/59916,CONCEPT ELEVATORS,07/11/2018,1328.00
ACC TOWN HALL,ELECTRICITY,A.T.H - 1.9.18 - 30.9.18,B000019838/59343,EDF ENERGY,07/11/2018,1332.71
CUSTOMER SERVICES,BPR/CONTACT CENTRE,PBS CAB APPTS SEPT 18,B000019837/60659,CITIZENS ADVICE ROSSENDALE & HYNDBURN LTD,07/11/2018,1449.00
HAG EXTERNAL WORKS,CONTRACTOR OTHER,VACCUMM CEILINGS AT H.A.G,B000019838/37017,PILKINGTON BROS (CHURCH) LTD,07/11/2018,1577.23
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE - 1.9.18 - 30.9.18,B000019838/59343,EDF ENERGY,07/11/2018,2389.66
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE - 1.9.18-30.9.18,B000019838/59343,EDF ENERGY,07/11/2018,2988.19
STREET CLEANSING,IMPLEMENTS & TOOLS,IMPACT GUN AND SOCKETS,B000019841/49523,R M WILLIAMS (ACCRINGTON) LTD,09/11/2018,316.18
HYNDBURN CEMETERIES,PROTECTIVE CLOTHING,PPE ACCRINGTON CEMETERY,B000019841/666,"BUBBLES, BRUSHES & WIPER CO LTD",09/11/2018,448.84
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF - 14.10.18 ,B000019841/19414,HEADS RECRUITMENT LIMITED,09/11/2018,455.13
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF - WK 28.10.18,B000019841/19414,HEADS RECRUITMENT LIMITED,09/11/2018,455.13
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF WK  21.10.18 ,B000019841/19414,HEADS RECRUITMENT LIMITED,09/11/2018,455.13
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000019841/58023,BUCKINGHAM FUTURES LTD,09/11/2018,563.42
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF ,B000019841/58023,BUCKINGHAM FUTURES LTD,09/11/2018,754.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE FOR WILLOWS LANE SKIP BAY 22.10.18 AND 26.10.18,B000019841/7871,STANLEY BROS TIPPERS LTD,09/11/2018,780.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 21.10.18 ,B000019841/19414,HEADS RECRUITMENT LIMITED,09/11/2018,910.26
RECYCLING COLLECTION,CANS PLASTICS 50% INCOME LCC,LOI QTR 1 2018-2019,B000019841/2506,LANCASHIRE COUNTY COUNCIL,09/11/2018,1715.92
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 29.10.18 - 4.11.18 ,B000019841/55740,RAPID RECRUITMENT LTD,09/11/2018,2115.88
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF  WK 29.10.18 - 4.11.18 ,B000019841/55740,RAPID RECRUITMENT LTD,09/11/2018,2115.88
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF  WK 30.07.18-5.8.18  ,B000019841/55740,RAPID RECRUITMENT LTD,09/11/2018,4024.36
