Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
PA Speakers,EQUIPMENT,PA SYSTEM SPEAKERS,B000019921/60658,CONNEVANS LTD,02/01/2019,285.89
ACCOUNTANCY,TRAINING EXPENSES,18/19 ACCOUNTS CLOSEDOWN,B000019921/44171,CIPFA BUSINES LIMITED,02/01/2019,295.00
GREEN INFRASTRUCTURE,GENERAL GROUNDS MAINTENANCE,TREE SAFETY,B000019921/55411,WOODY (HYNDBURN) C I C,02/01/2019,300.00
UNDERSPENDS,MISC EXPENSES OTHER,CELEBRATION EVENT,B000019921/9249,PROSPECTS FOUNDATION,02/01/2019,314.42
GENERAL EXPENSES,CABINET ACTION FUND,ACC PALS TRAIL FLYER,B000019920/17546,SCOTT DAWSON ADVERTISING LTD,02/01/2019,340.00
STREET SEATS GENERAL,WORK DONE DLO-HIGHWAYS,BENCH AT CLAYTON-LE-MOORS,B000019920/20,A BYRNE FENCING,02/01/2019,370.00
ACCRINGTON MARKET,MARKETING INITIATIVES,EVENT FIRST AID TRAINING,B000019921/60020,S P SERVICES,02/01/2019,379.35
REGISTRATION OF ELECTORS,CANVASS,RETURN POSTAGE CANVASS 18,B000019921/51517,ROYAL MAIL GROUP LTD,02/01/2019,586.25
MAYORALTY,REMEMBRANCE SUNDAY EXPENSES,REMEMBRANCE DAY SERVICE SHEETS,B000019921/17546,SCOTT DAWSON ADVERTISING LTD,02/01/2019,606.00
PUBLIC TRANSPORT,CLEANING,REPAIRS TO BUS SHELTERS,B000019921/58050,PAUL WALSH GROUNDWORK & PLANT HIRE,02/01/2019,750.00
GREEN INFRASTRUCTURE,WOODNOOK ROTHWELL,BIRD MOUTH FENCING,B000019921/58049,BREWERS CONTRACTORS LTD,02/01/2019,850.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 16.12.18,B000019921/46341,MORGAN HUNT UK LTD,02/01/2019,852.91
ACCOUNTANCY,PUBLICATIONS & PERIODICALS,CODE OF PRACTICE 18/19,B000019921/44171,CIPFA BUSINES LIMITED,02/01/2019,983.75
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 16.12.18,B000019921/46341,MORGAN HUNT UK LTD,02/01/2019,1009.40
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 16.12.18,B000019921/33923,EDEN BROWN LTD,02/01/2019,1010.10
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY FEES W/E 23.12.18,B000019920/46341,MORGAN HUNT UK LTD,02/01/2019,1026.13
