Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
DEV CONTROL,ADVERTISING GENERAL,PRESS NOTICE,B000020156/59724,TMP (UK) LTD,08/05/2019,332.40
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  WK 21.4.19,B000020158/19414,HEADS RECRUITMENT LIMITED,08/05/2019,356.48
WILLOWS LANE DEPOT,DEPOT COSTS,POWER WASH SOLUTION ,B000020158/4467,HOPE & BROWN LTD,08/05/2019,360.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE FOR WILLOWS LANE SKIP BAYS 17.4.19 REF 375188,B000020158/7871,STANLEY BROS TIPPERS LTD,08/05/2019,390.00
HYNDBURN CEMETERIES,NEW EQUIPMENT,SPEED BRACES FOR ACCRINGTON CEMETERY OFFICE,B000020158/27901,TELESHORE (UK) LTD,08/05/2019,394.00
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,LOCAL GOVT LAW,B000020156/50652,THOMSON REUTERS PROFESSIONAL UK LTD,08/05/2019,401.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E  14.4.19 ,B000020158/19414,HEADS RECRUITMENT LIMITED,08/05/2019,434.46
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  W/E 7.4.19,B000020158/19414,HEADS RECRUITMENT LIMITED,08/05/2019,434.46
HYNDBURN CEMETERIES,GENERAL GROUNDS MAINTENANCE,ACCRINGTON CEMETERY GULLY CLEAN  ,B000020158/61581,C J JETZ LTD,08/05/2019,552.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 21.4.19,B000020158/19414,HEADS RECRUITMENT LIMITED,08/05/2019,757.52
ACCRINGTON CREMATORIUM,URNS & CASKETS,ASHES LOCK BOXES AND BAGS ,B000020158/27901,TELESHORE (UK) LTD,08/05/2019,775.00
PARKS & OPEN SPACES,IMPLEMENTS & TOOLS,REACTEC RENEWAL SOFTWARE SUBSCRIPTION HAV MONITORS X 15,B000020158/44219,REACTEC,08/05/2019,954.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 22.4.19 TO 28.4.19,B000020158/55740,RAPID RECRUITMENT LTD,08/05/2019,1309.52
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 15.4.19 TO 21.4.19 ,B000020158/55740,RAPID RECRUITMENT LTD,08/05/2019,1404.49
HUMAN RESOURCES,TRAINING EXPENSES,TRAINING PARKS STAFF,B000020156/41978,MYERSCOUGH COLLEGE,08/05/2019,2121.00
REFUSE/CLEANSING ADMIN STAFF,TRAINING EXPENSES,DDP PROGRAMME  SR,B000020157/61614,IN PROFESSIONAL DEVELOPMENT,08/05/2019,2500.00
BUILDING CONTROL B.U.,GRASS CUTTING CONTRACT,MARCH COSTS BLDG CONTROL,B000020157/55748,URBAN VISION PARTNERSHIP LTD,08/05/2019,4452.75
DEVELOPMENT CONTROL B.U.,R & M SOFTWARE MISC,MAINTENANCE AND SUPPORT,B000020156/1639,GGP SYSTEMS LTD,08/05/2019,7009.24
