Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 5.5.19,B000020205/19414,HEADS RECRUITMENT LIMITED,04/06/2019,868.92
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 5.5.19 ,B000020205/19414,HEADS RECRUITMENT LIMITED,04/06/2019,690.68
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 12.5.19 ,B000020205/19414,HEADS RECRUITMENT LIMITED,04/06/2019,741.99
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  WK  12.5.19 ,B000020205/19414,HEADS RECRUITMENT LIMITED,04/06/2019,690.68
CCTV'S,PRIVATE CONTRACTORS WORK,MONITORING OF HYNDBURN CAMERAS FOR APRIL 2019,B000020205/28873,BLACKBURN WITH DARWEN B.C.,04/06/2019,7389.83
RECYCLING COLLECTION,WASTE DISPOSAL CHARGES,APRIL 2019 PLASTICS/CANS/GLASS ,B000020205/33025,RISHTON WASTE PAPER LTD,04/06/2019,8037.97
HYNDBURN CEMETERIES,MATERIALS-DIRECT,BRICK LINED VAULT AT DILL HALL CEMETERY,B000020205/42573,C.B. PRICE & SON LTD,04/06/2019,3250.00
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,CONTRACT VEHICLE HIRE  11.6.19 TO 10.6.20 ,B000020205/46880,SPECIALIST FLEET SERVICES LTD,04/06/2019,37088.00
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,REMAINDER OF GRANT PAYABLE FOR CULTURE AND HERITAGE EVENT,B000020205/47786,HYNDBURN ARTS LIMITED,04/06/2019,916.67
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,REMAINDER OF GRANT FOR BRASS BAND EVENT 18.5.19,B000020205/47786,HYNDBURN ARTS LIMITED,04/06/2019,425.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 20.5.19 TO 26.5.19 ,B000020205/55740,RAPID RECRUITMENT LTD,04/06/2019,1358.57
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF  WK 13.5.19 TO 19.5.19  ,B000020205/55740,RAPID RECRUITMENT LTD,04/06/2019,1636.88
PARKS & OPEN SPACES,DISPOSAL UNIT RENTAL,DISPOSAL SANITARY SERVICE FOR RHYDDINGS PARK 18.5.19 TO 11.12.19,B000020205/7087,P H S GROUP LTD,04/06/2019,253.71
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE FOR WILLOWS LANE 17.5.19 ,B000020205/7871,STANLEY BROS TIPPERS LTD,04/06/2019,390.00
EXTERNAL ELECTIONS,HIRE OF POLLING STATIONS,EURO ELECTION 19,B000020206/43488,GM FITTED FURNITURE,04/06/2019,300.00
EXTERNAL ELECTIONS,HIRE OF POLLING STATIONS,EURO ELECTION 19,B000020206/7837,ST CHRISTOPHERS C E SCHOOL,04/06/2019,300.00
EXTERNAL ELECTIONS,HIRE OF POLLING STATIONS,EPE ELECTION 19,B000020206/9241,PEEL PARK PRIMARY SCHOOL,04/06/2019,300.00
MUNICIPAL ELECTIONS,HIRE OF POLLING STATIONS,ELECTION 2.5.19,B000020207/43488,GM FITTED FURNITURE,05/06/2019,300.00
MUNICIPAL ELECTIONS,HIRE OF POLLING STATIONS,ELECTION 2.5.19,B000020207/7837,ST CHRISTOPHERS C E SCHOOL,05/06/2019,300.00
