Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
WILLOWS LANE DEPOT,DEPOT COSTS,SUPPLY AND FIT PARTS TO WILLOWS LANE STEAM CLEANER MACHINES 1 AND 2,B000020266/30560,STEAM CLEANERS LTD,03/07/2019,294.12
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 24.6.19 ,B000020266/7871,STANLEY BROS TIPPERS LTD,03/07/2019,390.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF 16.6.19 ,B000020266/19414,HEADS RECRUITMENT LIMITED,03/07/2019,434.46
ADMINISTRATION EXPENSES,PHOTOCOPYING,REPLACEMENT TONER CARTRIDGES ,B000020266/999,SHARP BUSINESS SYSTEMS UK PLC,03/07/2019,469.40
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020269/30178,B3P SERVICES LTD,03/07/2019,482.10
HUMAN RESOURCES,TRAINING EXPENSES,LICENSING QUALIFICATION ,B000020269/47283,INSTITUTE OF LICENSING,03/07/2019,561.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 23.6.19,B000020269/61546,R K GROUP,03/07/2019,765.27
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 9.6.19 ,B000020266/19414,HEADS RECRUITMENT LIMITED,03/07/2019,868.92
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF  WK 17.6.19-23.6.19 ,B000020266/55740,RAPID RECRUITMENT LTD,03/07/2019,893.18
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 23.6.19,B000020269/46341,MORGAN HUNT UK LTD,03/07/2019,970.51
MOT GENERAL,AGENCY STAFF,TEMP STAFF W/E 30.6.19,B000020268/61466,AUTOTECH RECRUIT,03/07/2019,975.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 23.6.19,B000020269/33923,EDEN BROWN LTD,03/07/2019,1010.10
LICENSING,OFFICE CONSUMABLES,GOODS FOR TAXI LICENSING,B000020267/60103,NEWAUTO LTD,03/07/2019,1063.90
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 16.6.19 ,B000020266/19414,HEADS RECRUITMENT LIMITED,03/07/2019,1170.59
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF 27.5.19 TO 16.6.19 ,B000020266/58023,BUCKINGHAM FUTURES LTD,03/07/2019,1414.83
LICENSING,OFFICE CONSUMABLES,GOODS FOR TAXI LICENSING,B000020267/21487,VIP-SYSTEM LTD,03/07/2019,2384.34
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020267/30178,B3P SERVICES LTD,03/07/2019,4110.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020267/25868,HYNDBURN PLUMBING & HEATING SERVICES,03/07/2019,4415.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020267/59806,GREENWOOD PLUMBERS,03/07/2019,5359.38
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,GRASS CUTTING CONTRACT  HIGHAMS BANKING,B000020266/57700,MASTER GROUND SERVICES,03/07/2019,6053.50
BUILDING CONTROL B.U.,AGENCY STAFF,TEMP STAFF - MAY 19,B000020269/55748,URBAN VISION PARTNERSHIP LTD,03/07/2019,6454.66
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020267/45450,MERCERS BUILDERS LTD,03/07/2019,7000.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020267/7874,STANNAH LIFT SERVICES LIMITED,03/07/2019,7018.66
"AUDIT, BANK & TREASURY FEES",APPROVED AUDIT FEES,2018/19 EXTERNAL AUDIT 4/4,B000020269/38319,GRANT THORNTON UK LLP,03/07/2019,9033.50
RECYCLING COLLECTION,HEALTH SCREENING,1 DAY NOISE SURVEY 7AM - 2.30PM ,B000020272/61181,HOLMES ENVIRONMENTAL MONITORING,05/07/2019,325.00
WILLOWS LANE DEPOT,PENDLE - OUT OF HOURS,LONE WORKING MONITORING ,B000020272/59807,SECTOR SECURITY SERVICES,05/07/2019,2701.80
UNAPPORTIONED CENTRAL O/HEAD,MARKETING COMMUNICATIONS,MEMBERS BOARD,B000020274/54933,THE SMALL SIGN COMPANY,08/07/2019,285.00
BUILDING CONTROL B.U.,MISC EXPENSES OTHER,NEW CHAIR FOR STAFF,B000020273/9535,BEVLAN OFFICE INTERIORS LTD,08/07/2019,409.40
HEAD OF REVENUES,LEGAL FEES,LEGAL FEES,B000020273/61682,DR ANJA LANSBERGEN,08/07/2019,650.00
ACCOUNTANCY,FEES-ANALYSTS & CONSULTANTS,MERCER ACTURIAL SERVICES 19,B000020273/2496,LANCASHIRE COUNTY COUNCIL,08/07/2019,733.00
HAWORTH ART GALLERY,ADVERTISING GENERAL,ADVERT,B000020273/61523,KINGFISHER MEDIA LTD,08/07/2019,734.00
FACILITIES TEAM,AGENCY STAFF,STAFF W/E 28.06.19,B000020273/59823,HAYS,08/07/2019,748.97
