Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL SERVICES,PARKS,ZIP TIES/BANNERS,P -CARD - SEPT 19,VISTAPRINT,14/08/2019,387.28
ENVIRONMENTAL SERVICES,WASTE SERVICES,PROP HIRE FOR EVENTS,P -CARD - SEPT 19,SCENEDOCK,22/08/2019,408.00
P & C G,ADMIN SERVICES,STATIONERY,P -CARD - SEPT 19,OFFICE DEPOT,03/09/2019,612.02
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 4.8.19 ,B000020384/19414,HEADS RECRUITMENT LIMITED,04/09/2019,434.46
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF   WK 11.8.19  ,B000020384/19414,HEADS RECRUITMENT LIMITED,04/09/2019,462.93
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF WK 11.8.19 ,B000020384/19414,HEADS RECRUITMENT LIMITED,04/09/2019,434.46
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 4.8.19 ,B000020384/19414,HEADS RECRUITMENT LIMITED,04/09/2019,462.93
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  WK 11.8.19 ,B000020384/19414,HEADS RECRUITMENT LIMITED,04/09/2019,462.93
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 11.8.19 ,B000020384/19414,HEADS RECRUITMENT LIMITED,04/09/2019,434.46
HYNDBURN CEMETERIES,AGENCY STAFF,"AGENCY STAFF , WE 18.8.19 ",B000020384/19414,HEADS RECRUITMENT LIMITED,04/09/2019,379.84
WILLOWS LANE DEPOT,DEPOT COSTS,GARDENA HOSE CONNECTOR X 2,B000020384/4467,HOPE & BROWN LTD,04/09/2019,371.20
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,"KIDS FUN, HOLIDAY CLUB DELIVERY 07/8 14/8 AND 21/08",B000020384/47786,HYNDBURN ARTS LIMITED,04/09/2019,300.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF 21.8.19 TO 18.8.19 ,B000020384/55740,RAPID RECRUITMENT LTD,04/09/2019,483.96
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF   12.8.19 TO 18.8.19,B000020384/58023,BUCKINGHAM FUTURES LTD,04/09/2019,528.67
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF ,B000020385/19414,HEADS RECRUITMENT LIMITED,04/09/2019,462.93
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF ,B000020385/19414,HEADS RECRUITMENT LIMITED,04/09/2019,434.46
HYNDBURN CEMETERIES,SECURITY SYSTEM MAINTENANCE,PHONE UPDATE + MAINTENANCE,B000020385/35290,LOGICALTELECOM,04/09/2019,600.00
WASTE SERVICES,AGENCY STAFF, AGENCY STAFF W/E 26-8-2019,B000020385/55740,RAPID RECRUITMENT LTD,04/09/2019,623.89
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,GRASS CUTTING PER CONTRACT,B000020385/57700,MASTER GROUND SERVICES,04/09/2019,6053.50
PARKS & OPEN SPACES,LICENSING PLACES OF ENTERTMT,MUSIC LICENCE FOR PARKS,B000020385/60557,PPL PRS LTD,04/09/2019,825.03
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,HIRE OF SUPERSTAGE FOR ACCRINGTON EVENT 23/08/2019,B000020385/61878,LIAM FORRISTAL,04/09/2019,1700.00
HYNDBURN CEMETERIES,SEWERAGE,DILL HALL CEM WATER RATES,B000020385/8325,WATER PLUS LTD,04/09/2019,494.46
TIPPING CHARGES,HIRED VEHICLE,HIRE OF TIPPER WAGON 09/08/19,B000020385/9294,STANLEY BROTHERS (TIPPERS) LTD,04/09/2019,390.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF TIPPER WAGON  16.08.2019,B000020385/9294,STANLEY BROTHERS (TIPPERS) LTD,04/09/2019,390.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OFTIPPER WAGON  01/08/2019,B000020385/9294,STANLEY BROTHERS (TIPPERS) LTD,04/09/2019,390.00
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,WEEKLY PRINT RUN,B000020386/25419,ELECTORAL REFORM SERVICES,04/09/2019,962.56
HUMAN RESOURCES,TRAINING EXPENSES,LEVEL 3 CERT,B000020386/46347,DISTRICT SURVEYORS ASSOCIATION LTD,04/09/2019,600.00
REGISTRATION OF ELECTORS,CANVASS,CANVASS RETURN POSTAGE,B000020386/51517,ROYAL MAIL GROUP LTD,04/09/2019,1760.84
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,VIABILITY ASSESSMENT,B000020386/59174,KEPPIE MASSIE,04/09/2019,2200.00
MARKETS - OPERATIONS,YARD CLEANING,WASTE DISPOSAL AUG 19,B000020386/59730,BLACKBURN SKIPS LIMITED,04/09/2019,1773.00
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,FILTER ELEMENET,B000020387/1164,DENNIS EAGLE LIMITED,04/09/2019,450.72
MOT GENERAL,AGENCY STAFF,STAFF WE 01.09.19,B000020387/61466,AUTOTECH RECRUIT,04/09/2019,775.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020390/34573,MR R WILCOCK,04/09/2019,4855.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020390/47956,BRYAN LEE BULDING CONTRACTORS,04/09/2019,6972.52
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 30.8.19,B000020390/59823,HAYS,04/09/2019,1117.50
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF W/E 23.8.19,B000020390/59823,HAYS,04/09/2019,837.51
HAWORTH ART GALLERY,EQUIPMNT REPAIR & MAINT,UPKEEP AND SERVICE OF ENV CONTROLS,B000020393/20441,MEACO MEASUREMENTS,09/09/2019,400.00
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING BROADWAY 1-31.08.2019,B000020393/29112,HYNDBURN LEISURE,09/09/2019,936.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT ,B000020393/61904,RENT UK PROPERTY,09/09/2019,330.00
HAWORTH ART GALLERY,SALE OR RETURN SHOP ITEMS,ARTIST SALES 01/04/2019 - 01/09/2019,B000020393/70,A SANDERS & D WALLACE,09/09/2019,355.52
LOCAL TAXATION,LEGAL FEES,COMMISSION ON MONIES RECOVERED,B000020394/27972,ROSSENDALES,09/09/2019,279.51
LOCAL TAXATION,LEGAL FEES,COMMISSION ON MONIES RECOVERED,B000020394/27972,ROSSENDALES,09/09/2019,261.88
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF  W/E 1.9.19,B000020394/46341,MORGAN HUNT UK LTD,09/09/2019,393.45
SCAITCLIFFE HOUSE,ASSET MAINT R&M,SCAITCLIFFE HOUSE - NEW SHOWER,B000020394/59248,LANCASHIRE GAS SERVICES,09/09/2019,570.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020394/59806,GREENWOOD PLUMBERS,09/09/2019,320.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020394/61433,JCM STEEL FABRICATIONS LTD,09/09/2019,1250.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 28.8.19,B000020394/61898,AURORA ACCOUNTING SERVICES,09/09/2019,875.00
DFG Affordable Warmth Grant,OTHER FEES,HOMEWISE - A W GRANTS FEE,B000020395/1957,HOMEWISE SOCIETY LTD,09/09/2019,1425.48
HYNDBURN CEMETERIES,ASSET MAINT R&M,ACC CEMETERY - NEW DVR EQUIPMENT,B000020395/24998,FULL CIRCUIT FIRE & SECURITY LTD,09/09/2019,391.34
HYNDBURN CEMETERIES,ASSET MAINT R&M,ACC CEMETERY - NEW HARD DRIVES,B000020395/24998,FULL CIRCUIT FIRE & SECURITY LTD,09/09/2019,383.97
MARKETS - OPERATIONS,ASSET MAINT R&M,MARKET HALL - LEAKS AND COVERING,B000020395/37017,PILKINGTON BROS (CHURCH) LTD,09/09/2019,268.20
MARKETS - OPERATIONS,ASSET MAINT R&M,ACCRINGTON MARKET HALL - LIGHTING,B000020395/37017,PILKINGTON BROS (CHURCH) LTD,09/09/2019,735.62
Corporate Property Bus Unit,AGENCY STAFF,OYSTER - W/C 19.08.19,B000020395/58852,OYSTER PARTNERSHIP,09/09/2019,1373.40
PENDLE ST PH1,CONTRACTOR OTHER,SCAFFOLDING,B000020395/61130,KIRK SCAFFOLDING LTD,09/09/2019,318.86
WASTE SERVICES,AGENCY STAFF,TEMP STAFF WK 26.8.19 TO 1.9.19,B000020396/55740,RAPID RECRUITMENT LTD,09/09/2019,290.38
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,ADVERTISEMENT POSTS AUGUST 19,B000020396/57973,NEWSQUEST,09/09/2019,904.62
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,ADVERT,B000020396/60625,REACH PUBLISHING SERVICES LTD,09/09/2019,750.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE FOR WILLOWS LANE SKIP BAYS  - JOB 383816 27.8.19,B000020396/7871,STANLEY BROS TIPPERS LTD,09/09/2019,390.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000020397/29877,ROSSENDALE VULCANISING (SALES LTD),09/09/2019,4458.00
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,DAMAGE REPAIRS ,B000020397/8014,TERBERG MATTEC UK LTD,09/09/2019,4196.88
"AUDIT, BANK & TREASURY FEES",APPROVED AUDIT FEES,INSTALMENT 1 OF 4 - EXTERNAL AUDIT,B000020398/38319,GRANT THORNTON UK LLP,09/09/2019,9033.50
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS ON LG LAW RLS 79,B000020398/50652,THOMSON REUTERS PROFESSIONAL UK LTD,09/09/2019,401.00
DEV CONTROL,MINOR DVLPMNTS - DWELLINGS,PLANNING REFUND,B000020398/61906,PORTALPLANQUEST LTD,09/09/2019,462.00
ENVIRONMENTAL SERVICES,CEMETERIES,WOOD,P -CARD - SEPT 19,WHEWELLS,09/09/2019,257.18
