Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL SERVICES,PARKS,VOUCHERS,P-CARD-OCT 19,REID RESTAURANTS,13/09/2019,250.00
ENVIRONMENTAL SERVICES,CEMETERIES,CONCRETE,P-CARD-OCT 19,GREENVALE PRODUCTS,17/09/2019,350.00
ENVIRONMENTAL SERVICES,PARKS,DCPC,P-CARD-OCT 19,ENTERPRISE DRIVER,26/09/2019,1699.48
P & C G ,CENTRAL ADMIN,JOB ADVERTS,P-CARD-OCT 19,LINKEDIN,27/09/2019,414.92
P & C G ,CENTRAL ADMIN,STATIONERY,P-CARD-OCT 19,OFFICE DEPOT,27/09/2019,324.52
REFUSE COLLECTION,COMPUTER RENTAL & MAINT,IPHONE 7 32GB ,B000020440/46800,ADEPT4 MANAGED IT LIMITED,02/10/2019,374.16
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE 18.9.19 ,B000020437/7871,STANLEY BROS TIPPERS LTD,02/10/2019,390.00
MOT GENERAL,RENT AND HIRE OF PREMISES,TEMP STAFF W/E 29.9.19,B000020438/61466,AUTOTECH RECRUIT,02/10/2019,400.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 19.9.19 TO 22.9.19,B000020437/55740,RAPID RECRUITMENT LTD,02/10/2019,406.11
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,TRAFFIC MANAGEMENT 7.9.19,B000020437/19776,BIBBY FACTORS NORTHWEST LTD,02/10/2019,445.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT ,B000020436/61967,HALES HOMES,02/10/2019,450.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 8.9.19  ,B000020437/19414,HEADS RECRUITMENT LIMITED,02/10/2019,462.93
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK  15.9.19  ,B000020437/19414,HEADS RECRUITMENT LIMITED,02/10/2019,462.93
