Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
P & C G,CENTRAL ADMIN,STATIONERY,P-CARD - NOV 19,OFFICE DEPOT,15/10/2019,1637.90
P & C G,CENTRAL ADMIN,SUBSCRIPTION,P-CARD - NOV 19,THE LAW SOCIETY,15/10/2019,338.00
P & C G,CENTRAL ADMIN,STAMPS,P-CARD - NOV 19,POST OFFICE,16/10/2019,2450.00
ENVIRONMENTAL SERVICES,PARKS,TABLEWARE,P-CARD - NOV 19,MARKS & SPENCERS,17/10/2019,340.00
ENVIRONMENTAL SERVICES,PARKS,TABLEWARE,P-CARD - NOV 19,AMAZON,21/10/2019,333.06
P & C G,LEGAL SERVICES,SUBSCRIPTION,P-CARD - NOV 19,THE LAW SOCIETY,21/10/2019,338.00
P & C G,LEGAL SERVICES,SUBSCRIPTION,P-CARD - NOV 19,THE LAW SOCIETY,21/10/2019,338.00
P & C G,LEGAL SERVICES,SUBSCRIPTION,P-CARD - NOV 19,THE LAW SOCIETY,22/10/2019,338.00
P & C G,CENTRAL ADMIN,STATIONERY,P-CARD - NOV 19,OFFICE DEPOT,22/10/2019,272.70
P & C G,CENTRAL ADMIN,AIR TICKET,P-CARD - NOV 19,BRUSSELS AIRLINE,22/10/2019,1352.78
P & C G,CENTRAL ADMIN,EYE CARE VOUCHERS,P-CARD - NOV 19,EDENRED,22/10/2019,756.75
P & C G,CENTRAL ADMIN,ADVERT,P-CARD - NOV 19,LINKEDIN,22/10/2019,509.20
P & C G,LEGAL SERVICES,SUBSCRIPTION,P-CARD - NOV 19,THE LAW SOCIETY,25/10/2019,338.00
PARKS & OPEN SPACES,ASSET MAINT R&M,CUTWOOD PARK COPING STONES,B000020512/45450,MERCERS BUILDERS LTD,06/11/2019,340.00
LIBRARY ST DEPOT,ASSET MAINT R&M,CVMU RSO CALLOUT AND REPAIR,B000020512/54975,ROLLER SHUTTER SERVICES LTD,06/11/2019,353.34
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT,B000020512/62066,INA LETTINGS,06/11/2019,360.00
PARKS & OPEN SPACES,ASSET MAINT R&M,LOWERFOLD PARK ETRANCE POST,B000020512/45450,MERCERS BUILDERS LTD,06/11/2019,380.00
CORPORATE PROPERTY,ASSET MAINT R&M,GT HARWOOD WALL AT TOWN HALL ST,B000020512/45450,MERCERS BUILDERS LTD,06/11/2019,385.00
CORPORATE PROPERTY,ASSET MAINT R&M,"DAMAGED WALL CARPARK SCHOOL ST, RISHTON",B000020512/45450,MERCERS BUILDERS LTD,06/11/2019,495.00
ALLOTMENTS,WATER CHARGES,WATER LEY FARM 11.08.19 - 28.10.19,B000020512/8325,WATER PLUS LTD,06/11/2019,653.81
PARKS & OPEN SPACES,ASSET MAINT R&M,LOWERFOLD PARK WALL REPAIRS,B000020512/45450,MERCERS BUILDERS LTD,06/11/2019,775.00
ACC TOWN HALL,ASSET MAINT R&M,BROADWAY OFFICES DESIGN FEES,B000020513/52714,THE INTELLIGENT DESIGN CENTRE LTD,06/11/2019,850.00
