Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
REGENERATION,HOUSING,PROPERTY RENT,P-CARD - DEC 19,PROPERTY SHOP,15/11/2019,425.42
ENVIRONMENTAL SERVICES,WASTE SERVICES,DOOR MATS,P-CARD - DEC 19,IKEA,19/11/2019,258.29
ENVIRONMENTAL SERVICES,WASTE SERVICES,HEATERS,P-CARD - DEC 19,SCREWFIX,19/11/2019,628.97
ENVIRONMENTAL SERVICES,WASTE SERVICES,CAMERAS,P-CARD - DEC 19,AMAZON,20/11/2019,331.20
P & C G,CENTRAL ADMIN,STATIONERY,P-CARD - DEC 19,OFFICE DEPOT,28/11/2019,277.95
ENVIRONMENTAL SERVICES,CEMETERIES,CONCRETE,P-CARD - DEC 19,GREENVALE PRODUCTS,28/11/2019,350.00
ENVIRONMENTAL SERVICES,WASTE SERVICES,2 X CHEST FREEZERS,P-CARD - DEC 19,AMAZON,28/11/2019,515.83
LEISURE IN HYNDBURN,GRANTS-GENERAL,CONTRIBUTION TO ACTIVE LANCASHIRE 19/20,B000020574/60804,ACTIVE LANCASHIRE,03/12/2019,1500.00
ADMINISTRATION SERVICES,EQUIPMNT REPAIR & MAINT,22.08.19 - 21.11.19,B000020575/781,CANON (UK) LTD,04/12/2019,285.24
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,MEMBERSHIP FEE,B000020575/39694,ROYAL TOWN PLANNING INSTITUTE,04/12/2019,315.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FIT AND SUPPLY GOODS  STEAM CLEANER,B000020577/30368,SCL,04/12/2019,319.30
DEV CONTROL,FINANCIAL VIABILITY ASSESMENTS,PROFESSIONAL SERVICES,B000020575/59174,KEPPIE MASSIE,04/12/2019,375.00
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,OXYGEN ,B000020577/634,BRITISH OXYGEN CO LTD,04/12/2019,401.81
Corporate Property Bus Unit,SUBSIDISED PROFESSIONAL SUBS,2020 PROFESSIONAL SUBS,B000020578/35163,RICS,04/12/2019,539.00
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,SUPPORT & MTCE 01/12/19 - 30/11/20,B000020576/43299,SITEHELPDESK.COM,04/12/2019,639.75
HUMAN RESOURCES,TRAINING EXPENSES,TIME MANAGEMENT TRAINING,B000020575/62124,BLUE CONCEPT,04/12/2019,789.00
MOT GENERAL,AGENCY STAFF,TEMP STAFF P/E 01.12.19,B000020577/61466,AUTOTECH RECRUIT,04/12/2019,975.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,2 X AUTOCARD - 3 YEAR SUBS,B000020576/62028,DIGITAL RIVER IRELAND LTD,04/12/2019,1440.00
PLANNING POLICY B.U.,PUBLIC PARTICIPATION EXPENSE,LOCAL PLAN HABITAT SURVEY,B000020575/35547,G SKELCHER & C DAY,04/12/2019,2350.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020576/25868,HYNDBURN PLUMBING & HEATING SERVICES,04/12/2019,4073.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,SHOP RESTORATION GRANT,B000020575/61278,A Y A ACCOUNTANTS,04/12/2019,5480.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,SHOP RESTORATION GRANT,B000020575/62122,FRANCIS ROBERTS ARCHITECTS,04/12/2019,15283.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF - NOV 19,B000020579/61898,AURORA ACCOUNTING SERVICES,05/12/2019,910.00
REGENERATION,ART GALLERY,PHOTOCOPY TONER,P-CARD - DEC 19,CARTRIDGE SAVE,05/12/2019,278.95
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,PRINTED FLYERS FOR CHRISTMAS LIGHT SWITCH ON'S,B000020582/2930,MERCER PRINT UK LTD.,09/12/2019,293.00
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,BEARING TO REPAIR THE BICYCLE MILL AT BOLTON AVE,B000020585/30689,SUTCLIFFE PLAY LTD,09/12/2019,298.02
PENDLE ST PH1,CONTRACTOR OTHER,SCAFFOLDING HIRE,B000020586/61130,KIRK SCAFFOLDING LTD,09/12/2019,308.57
PENDLE ST PH1,CONTRACTOR OTHER,SCAFFOLDING HIRE,B000020586/61130,KIRK SCAFFOLDING LTD,09/12/2019,318.86
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,"CHAIN, RATCHET ANGLES",B000020584/58111,MRB WORKSHOP SERVICES,09/12/2019,328.40
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,ATTENDANCE AND SUPPLY OF PHOTOS - ACC,B000020585/58285,TIM BRADLEY,09/12/2019,350.00
