Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
REFEREND16/17 PARLIMENTAR17/18,HIRE OF POLLING STATIONS,HIRE OF POLLING STATION PARL 19,B000020686/29112,HYNDBURN LEISURE,31/01/2020,256.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,PAYMENT FOR BOND,B000020687/61195,H2 HOMES LETTINGS & PROPERTY SERVICES,31/01/2020,425.00
Asbestos removal various sites,CONTRACTOR OTHER,ARTHUR WILSON CENTRE ASBESTOS SURVEY,B000020688/59301,CONSULTANTS & SPEC SURVEYORS LTD,31/01/2020,550.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT AND DEPOSIT,B000020687/50914,TIME TO MOVE (GB) LTD,31/01/2020,650.00
LAND ASSEMBLY & REMEDIATION,LEGAL FEES,EXCLUSIVITY AGREEMENT,B000020685/62272,FORBES SOLICITORS,31/01/2020,800.00
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 26.01.20,B000020685/46341,MORGAN HUNT UK LTD,31/01/2020,948.68
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 26.01.20,B000020685/46341,MORGAN HUNT UK LTD,31/01/2020,970.51
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 24.01.20,B000020685/33923,EDEN BROWN LTD,31/01/2020,1010.10
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 12.01.20,B000020686/61657,G2 RECRUITMENT SOLUTIONS,31/01/2020,1020.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 29.12.19 - 5.1.20,B000020686/61657,G2 RECRUITMENT SOLUTIONS,31/01/2020,1082.73
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 22.12.19,B000020686/61657,G2 RECRUITMENT SOLUTIONS,31/01/2020,1887.00
BUILDING CONTROL B.U.,GRASS CUTTING CONTRACT,TEMP STAFF DEC 2019,B000020688/55748,CAPITA PROPERTY & INFRASTRUCTURE LTD,31/01/2020,3496.50
GYPSY SITE,RENT AND HIRE OF PREMISES,PITCH RENTALS,B000020686/45458,GLOSSOP CARAVANS LTD,31/01/2020,7658.80
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020685/25868,HYNDBURN PLUMBING & HEATING SERVICES,31/01/2020,11687.00
BUILDING CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,MEMBERSHIP SUBS 2020,B000020680/61434,CHARTERED INSTITUTE OF BUILDING,29/01/2020,253.00
LICENSING,OFFICE CONSUMABLES,4 TONER CARTRIDGES,B000020680/53622,SPECTRUM COMPUTER SUPPLIES LTD,29/01/2020,260.84
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,SUPPLY GOODS AND SERVICE,B000020681/30368,SCL,29/01/2020,297.40
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,2 X UPS NETWORK CARDS,B000020680/1106,B T BUSINESS DIRECT,29/01/2020,404.86
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,SUPPLY AND FIT GOODS,B000020681/30368,SCL,29/01/2020,472.60
VEHICLE MAINT SUPERVISION,COMPUTER RENTAL & MAINT,"10.5"" IPAD ",B000020679/1106,B T BUSINESS DIRECT,29/01/2020,479.25
VEHICLE MAINT SUPERVISION,TRAINING EXPENSES,TRAINING,B000020681/1547,FREIGHT TRANSPORT ASSOC,29/01/2020,550.00
HOUSING ADVICE,GRANTS,5 X SAMSUNG A10 ,B000020679/46800,CLOUDCOCO,29/01/2020,655.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SKIDS FOR SWEEPERS,B000020681/7688,AEBI SCHMIDT UK LTD,29/01/2020,759.19
MOT GENERAL,AGENCY STAFF,STAFF P/E 26.01.20,B000020681/61466,AUTOTECH RECRUIT,29/01/2020,975.00
TECH. REFRESH (ANNUAL REPLACEM,EQUIPMENT,"NETWORK CARD, RACK & BATTERY PACK",B000020679/1106,B T BUSINESS DIRECT,29/01/2020,1681.82
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020679/30178,B3P SERVICES LTD,29/01/2020,3357.37
LICENSING,DVLA FEES,DVLA CHECKS,B000020677/62170,PERSONNEL CHECKS,28/01/2020,268.00
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,SUBS 2020,B000020677/39694,ROYAL TOWN PLANNING INSTITUTE,28/01/2020,315.00
ACC TOWN HALL,ASSET MAINT R&M,BROADWAY OFFICES BLOCKED DRAIN,B000020677/54512,CLEAR A DRAIN LTD,28/01/2020,375.00
GENERAL EXPENSES,CABINET ACTION FUND,EVENT COST RISHTON XMAS LIGHT SWITCH ON,B000020678/57067,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,28/01/2020,425.00
CREMATOR PURCHASE,CONTRACTOR OTHER,ACC CREM DESIGN FEES,B000020677/52714,THE INTELLIGENT DESIGN CENTRE LTD,28/01/2020,1400.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,BUILDING REPAIRS ,B000020674/62122,FRANCIS ROBERTS ARCHITECTS,28/01/2020,2327.00
REGISTRATION OF ELECTORS,CANVASS,FINAL HALF CANVASS 2019,B000020678/62168,CIVICA ELECTION SERVICES,28/01/2020,3235.73
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,BUILDING REPAIRS ,B000020674/62169,ONE 7 GRP  LTD,28/01/2020,17247.00
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,BUILDING REPAIRS ,B000020674/61879,SPACE TO MAKE,28/01/2020,21018.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF  WK 6.1.20 TO 12.1.20,B000020673/55740,RAPID RECRUITMENT LTD,27/01/2020,324.72
WILLOWS LANE DEPOT,DEPOT COSTS,STEAM CLEANER MAINTENANCE REPAIRS,B000020673/30560,STEAM CLEANERS LTD,27/01/2020,444.55
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 12.1.20 ,B000020673/19414,HEADS RECRUITMENT LIMITED,27/01/2020,736.16
CUSTOMER SERVICES,PLAN PRINTING,STAFF W/E 19.01.20,B000020672/46341,MORGAN HUNT UK LTD,27/01/2020,786.90
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 14.01.20,B000020672/33923,EDEN BROWN LTD,27/01/2020,996.45
HOUSING BENEFIT ADMIN,SWIPE CARDS,DECEMBER,32538,ALLPAY.NET LTD,27/01/2020,1409.18
16 CHINA ST DV RENOVATION,CONTRACTOR OTHER,REFURBISHMENT SURVEY ,B000020671/59301,CONSULTANTS & SPEC SURVEYORS LTD,24/01/2020,495.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,RETENTION AND DISPOSAL MODULE,B000020671/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,24/01/2020,794.71
Corporate Property Bus Unit,AGENCY STAFF,STAFF W/E 06.01.20,B000020671/58852,OYSTER PARTNERSHIP,24/01/2020,1224.00
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW BOILER,B000020671/50717,HIGH EFFICIENCY LTD,24/01/2020,3675.00
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW BOILER,B000020671/35745,AGS HEATING & PLUMBING LTD,24/01/2020,3690.00
LOCAL TAXATION,LEGAL FEES,COMMISSION ON MONIES RECOVERED,B000020667/27972,ROSSENDALES,22/01/2020,280.74
VEHICLE MAINT SUPERVISION,TELEPHONES,PHONE SERVICE CHARGES,B000020668/35290,LOGICALTELECOM,22/01/2020,448.97
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SENSOR + HINGE + DELIVERY,B000020668/8014,TERBERG MATTEC UK LTD,22/01/2020,551.93
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,"GRINDER, TRANSFORMER, BATTERY",B000020668/7805,SPALDINGS UK LTD,22/01/2020,554.00
MARKETS - OPERATIONS,ASSET MAINT R&M,PLUMBING SUPPLIES,B000020667/50717,HIGH EFFICIENCY LTD,22/01/2020,595.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FILTER KIT,B000020668/1758,GUNN JCB LTD,22/01/2020,659.22
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,PARIS CONTACT PAY,B000020667/17209,CIVICA UK LIMITED,22/01/2020,928.63
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,PARIS WEB PAY,B000020667/17209,CIVICA UK LIMITED,22/01/2020,928.63
MOT GENERAL,AGENCY STAFF,TEMP STAFF,B000020668/61466,AUTOTECH RECRUIT,22/01/2020,975.00
MARKETS - OPERATIONS,YARD CLEANING,SKIP COLLECTION 03.12.19 - 28.12.19,B000020667/59730,BLACKBURN SKIPS LIMITED,22/01/2020,1773.00
WOODNOOK VALE ENTRANCE IMPS,CONTRACT WORKS,ENTRANCE WORKS,B000020667/60953,JOHN WADE GROUNDWORK LTD,22/01/2020,3523.53
COMMUNITY SAFETY PARTNERSHIP,CRIME & DISORDER INITIATIVES,POLICE & CRIME COMMISSIONE FUNDING ,B000020667/35258,HARV DOMESTIC VIOLENCE TEAM,22/01/2020,5000.00
BANK CHARGES,BANK CHARGES,STREAMLINE,32514,WORLDPAY,21/01/2020,1229.93
BANK CHARGES,BANK CHARGES,STREAMLINE,32514,WORLDPAY,21/01/2020,1843.66
HYNDBURN CEMETERIES,ASSET MAINT R&M,ACC CEMETERY - BOILER FAULT,B000020664/59248,LANCASHIRE GAS SERVICES,20/01/2020,263.70
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,SW/HW RUNTIME LICENCE PARIS,B000020660/17209,CIVICA UK LIMITED,20/01/2020,280.75
SCAITCLIFFE HOUSE,ASSET MAINT R&M,SCAITCLIFFE - PPM LIGHTNING PROTECTION,B000020664/60080,BEST,20/01/2020,287.00
PENDLE ST PH1,CONTRACTOR OTHER,SCAFFOLDING,B000020660/61130,KIRK SCAFFOLDING LTD,20/01/2020,318.86
HAWORTH ART GALLERY,GENERAL CONTRIBUTIONS,INTERNAL SIGNAGE,B000020661/54933,THE SMALL SIGN COMPANY,20/01/2020,347.50
TIPPING CHARGES,HIRED VEHICLE,HIRE OF WAGON 20/12/2019 1 DAY,B000020665/9294,STANLEY BROTHERS (TIPPERS) LTD,20/01/2020,390.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF WAGON 06.01.2020,B000020665/9294,STANLEY BROTHERS (TIPPERS) LTD,20/01/2020,390.00
HUMAN RESOURCES,TRAINING EXPENSES,PREMISES TRAINING,B000020661/26128,GOVNET COMMUNICATIONS,20/01/2020,395.00
SCAITCLIFFE HOUSE,CLEANING MATERIALS,CLEANING MATERIALS,B000020660/7033,OPTION HYGIENE,20/01/2020,399.63
ARSON REFUSE VEHICLES,EMERGENCY REPAIRS,DILL HALL - BREAK IN,B000020664/37017,PILKINGTON BROS (CHURCH) LTD,20/01/2020,405.54
ARSON REFUSE VEHICLES,EMERGENCY REPAIRS,LOWERFOLD PARK - BREAK IN,B000020664/37017,PILKINGTON BROS (CHURCH) LTD,20/01/2020,406.66
CORPORATE PROPERTY,ASSET MAINT R&M,WATER SAMPLES,B000020664/57133,INTERSERVE FS (UK) LTD,20/01/2020,409.00
INSURANCES,EXCESS PAYMENTS,DAMAGE TO HIRE VEHICLE,B000020665/1164,DENNIS EAGLE LIMITED,20/01/2020,424.78
STRAT DIRECTOR COMM. SERVICES,SUBSIDISED PROFESSIONAL SUBS,1.1.20 TO 31.12.20 PQ FELLOW OF CIPFA,B000020661/58814,CIPFA,20/01/2020,432.00
ARSON REFUSE VEHICLES,EMERGENCY REPAIRS,ACC CREMATORIUM - BREAK IN,B000020664/37017,PILKINGTON BROS (CHURCH) LTD,20/01/2020,583.88
ACCOUNTANCY,TRAINING EXPENSES,FINANCIAL REPORTING WORKSHOP,B000020660/58814,CIPFA,20/01/2020,590.00
EXTERNAL ELECTIONS,HIRE OF POLLING STATIONS,TOILET HIRE FOR PARL19 POLLING STATIONS,B000020664/62230,PORTABLE TOILET COMPANY LTD,20/01/2020,600.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FRONT UPPER SCREEN SWEEPER,B000020662/7688,AEBI SCHMIDT UK LTD,20/01/2020,618.56
ARSON REFUSE VEHICLES,EMERGENCY REPAIRS,GT HARWOOD CEMETERY - BREAK IN,B000020664/37017,PILKINGTON BROS (CHURCH) LTD,20/01/2020,625.55
ARSON REFUSE VEHICLES,EMERGENCY REPAIRS,BULLOUGH PARK - BREAK IN,B000020664/37017,PILKINGTON BROS (CHURCH) LTD,20/01/2020,653.33
Replacement Boilers various,CONTRACTOR OTHER,MARKET HALL -BOILER REPAIRS,B000020664/59248,LANCASHIRE GAS SERVICES,20/01/2020,774.35
DFG Affordable Warmth Grant,CONTRACTOR OTHER,FEES,B000020661/62221,RHEA PROJECTS,20/01/2020,865.20
RECYCLING COLLECTION,ADVERTISING GENERAL,ADVERTS DECEMBER 2020 OBSERVER/LANCS LIVE,B000020665/60625,REACH PUBLISHING SERVICES LTD,20/01/2020,884.00
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 12.01.20,B000020660/46341,MORGAN HUNT UK LTD,20/01/2020,970.51
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 12.01-20,B000020660/33923,EDEN BROWN LTD,20/01/2020,1010.10
LEISURE IN HYNDBURN,GRANTS-GENERAL, USE OF FACILITIES ARMED FORCES DAY,B000020660/29112,HYNDBURN LEISURE,20/01/2020,1027.60
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SKIDS - SWEEPERS,B000020662/7688,AEBI SCHMIDT UK LTD,20/01/2020,1196.81
PARKS & OPEN SPACES,ASSET MAINT R&M,WILSON PAVILION - CLEAR OLD BOILER ROOMS,B000020664/59248,LANCASHIRE GAS SERVICES,20/01/2020,1314.50
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 15.12.19,B000020660/61657,G2 RECRUITMENT SOLUTIONS,20/01/2020,1858.44
Hedge Cutting Machinery grant,CAPITAL GRANTS,MCCONNEL CUTTER BAR HEDGE CUTTER (PAYM FROM AREA COUNCIL CAP BUDGET,B000020664/55299,ALTHAM PARISH COUNCIL,20/01/2020,1900.00
REFEREND16/17 PARLIMENTAR17/18,ELECTION FEES-POSTAL BALLOT,PARL 2019 POSTAL PACKS AND POSTAGE,B000020660/62168,CIVICA ELECTION SERVICES,20/01/2020,2775.71
DEFIBRILLATOR AND CABINET,CONTRACTOR OTHER,2 DEFIBS AND 1 DEFIB CABINET,B000020664/62231,MARTEK LIFECARE,20/01/2020,3118.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000020662/29877,ROSSENDALE VULCANISING (SALES LTD),20/01/2020,3581.00
REFEREND16/17 PARLIMENTAR17/18,ELECTION FEES-PRESIDING OFF,PARL 19 BALLOT BOOKS,B000020660/62168,CIVICA ELECTION SERVICES,20/01/2020,5486.51
REFEREND16/17 PARLIMENTAR17/18,ELECTION FEES-POSTAL BALLOT,PARL 2019 POSTAL PACKS AND POSTAGE,B000020661/62168,CIVICA ELECTION SERVICES,20/01/2020,15619.06
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,TRAFFIC MGT SATURDAY 14.12.19,B000020659/34881,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,17/01/2020,445.00
PARKS & OPEN SPACES,IMPLEMENTS & TOOLS, BACKPACK,B000020659/1192,DICK LEIGH CHAINSAW SPECIALIST,17/01/2020,582.20
ARSON REFUSE VEHICLES,HIRED VEHICLE,VEHICLE HIRE,B000020659/59171,COLLETT TRANSPORT SERVICES,17/01/2020,4360.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,VEHICLE HIRE,B000020659/59171,COLLETT TRANSPORT SERVICES,17/01/2020,4360.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,VEHICLE HIRE,B000020659/59171,COLLETT TRANSPORT SERVICES,17/01/2020,4360.00
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR, STACK TESTING,B000020659/28418,FACULTATIEVE TECHNOLOGIES,17/01/2020,8516.00
HOUSING BENEFIT ADMIN,SECURITY SERVICE,G4S  DECEMBER,32503,G4S CASH SOLUTIONS,17/01/2020,402.82
WILLOWS LANE DEPOT,SECURITY SYSTEM MAINTENANCE,ALARM RESPONSE RANGER ST/ WILLOWS LANE DECEMBER 19,B000020658/44845,KEYPLUS SECURITY LTD,16/01/2020,312.50
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 29.12.19 2 X OPERATIVES GROUNDS MAINTENANCE,B000020658/19414,HEADS RECRUITMENT LIMITED,16/01/2020,392.95
PEST CONTROL,SUBSIDISED PROFESSIONAL SUBS,ANNUAL SERVICE CHARGE ,B000020658/60701,BRITISH PEST CONTROL ASSOCIATION,16/01/2020,430.00
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF WK 5.1.20,B000020658/19414,HEADS RECRUITMENT LIMITED,16/01/2020,484.43
RECYCLING COLLECTION,PAPER CARDBOARD - SALE OF MATS,MIXED RECYCLING DECEMBER 2019 25.660KGS  @ £30 PER TONNE,B000020658/33025,RISHTON WASTE PAPER LTD,16/01/2020,769.80
DOG WARDEN,KENNELING - DAYTIME,"STRAY DOGS FEES, DAY RATES - DEC 2019",B000020658/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,16/01/2020,811.86
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,MEDICAL REFS OCT/NOV/DEC 19 ACCRINGTON CEMETERY,B000020658/7171,PEEL HOUSE MEDICAL PRACTICE,16/01/2020,2970.00
CCTV'S,PRIVATE CONTRACTORS WORK,MONITORING OF HYNDBURN CCTV,B000020658/28873,BLACKBURN WITH DARWEN B.C.,16/01/2020,7526.68
ACCRINGTON CREMATORIUM,MERCURY ABATEMENT,MERCURY ABATED CREMATION CREDITS  FOR 2019,B000020658/57342,SCARBOROUGH BOROUGH COUNCIL,16/01/2020,16110.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BUMPER COVER ASSEMBLY,B000020653/1164,DENNIS EAGLE LIMITED,15/01/2020,327.05
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,BALL JOINTS,B000020653/7688,AEBI SCHMIDT UK LTD,15/01/2020,416.62
LEISURE IN HYNDBURN,GRANTS-GENERAL,CONT TOWARDS REDUCED SWIM OCT 19,B000020652/29112,HYNDBURN LEISURE,15/01/2020,451.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT ,B000020652/62217,HOLTWAY PROPERTIES LTD,15/01/2020,500.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,ENGINEER,B000020653/8014,TERBERG MATTEC UK LTD,15/01/2020,617.36
FACILITIES TEAM,AGENCY STAFF,STAFF W/E 10.02.20,B000020652/59823,HAYS,15/01/2020,790.84
MOT GENERAL,AGENCY STAFF,STAFF,B000020653/61466,AUTOTECH RECRUIT,15/01/2020,987.50
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,RECHARGE CLAYTON CIVIC HALL DEC 19,B000020652/29112,HYNDBURN LEISURE,15/01/2020,1600.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020652/25868,HYNDBURN PLUMBING & HEATING SERVICES,15/01/2020,3935.00
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,TYRES,B000020653/29877,ROSSENDALE VULCANISING (SALES LTD),15/01/2020,10007.00
PARKS & OPEN SPACES,ELECTRICITY,COMMUNITY HUB RHYDDINGS DEC 19,B000020651/59343,EDF ENERGY,14/01/2020,273.03
FACILITIES TEAM,AGENCY STAFF,STAFF W/E 03.02.20,B000020651/59823,HAYS,14/01/2020,335.25
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING BROADWAY DEC 19,B000020651/29112,HYNDBURN LEISURE,14/01/2020,936.00
