Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HOUSING ADVICE,RENT DEPOSIT SCHEME,2 MONTHS SERVICE CHARGE,B000020728/62331,AUXILIUM HOUSING ASSOCIATION,26/02/20,260.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020718/25868,HYNDBURN PLUMBING & HEATING SERVICES,18/02/20,265.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,MIRROR AND BUMPER ASSEMBLY,B000020727/1164,DENNIS EAGLE LIMITED,25/02/20,273.43
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,TOOLS,B000020727/18374,AUTOMOTIVE TOOL AND SUPPLIES,25/02/20,276.50
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SERVICE PARTS,B000020700/42081,TOWNSON TRACTORS,10/02/20,279.01
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,"CLEARANCE OF TRASH SCREEN, WOODLANDS, CLAYTON",B000020735/28458,MARCHBRIDGE BUILDERS LTD,28/02/20,288.23
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BUMPER AND LIGHTING UNIT,B000020727/899,CICELEY COMMERCIALS LTD,25/02/20,288.72
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,2 X BATTERY,B000020727/1918,HYDRAIR,25/02/20,289.14
CHURCH ST PLAY AREA,CONTRACTOR OTHER,PAINT 3 BENCHES AND A PICNIC TABLE ,B000020706/7110,PHILIP SUMNER LTD,12/02/20,290.00
ADMINISTRATION SERVICES,EQUIPMNT REPAIR & MAINT,COPIER CHARGES - 29.11.19-21.2.20,B000020737/781,CANON (UK) LTD,29/02/20,293.16
PARKS & OPEN SPACES,ELECTRICITY,COMMUNITY HUB - JAN 20,B000020715/59343,EDF ENERGY,17/02/20,298.97
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,emergency dismantle of tree at mercer park ,B000020691/22189,ROY CATTERMOLE (TREE SURGEON),04/02/20,300.00
PROPOSED SELEC LICENSING 2017,MOBILES,2 SAMSUNG A10 MOBILES,B000020722/46800,CLOUDCOCO,21/02/20,300.00
LOWER WOODNOOK HSING RENEW SCH,CONTRACTOR OTHER,CDM ADVISOR VAL 1 WOODNOOK,B000020729/44108,RJD ASSOCIATES (NORTH WEST) LIMITED,26/02/20,300.00
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,VARIOUS STOCK ITEMS,B000020700/7688,AEBI SCHMIDT UK LTD,10/02/20,305.00
PENDLE ST PH1,CONTRACTOR OTHER,SCAFFOLDING AND PANELS,B000020698/61130,KIRK SCAFFOLDING LTD,07/02/20,318.86
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,REPAIR TO LIFT,B000020727/9544,CALIBRATION & CONSULTANCY SERVICES UK LTD,25/02/20,322.00
"DS6909 WALL BURNLEY RD, CLAYTN",GENERAL REPAIR & MAINT BLDGS,REPAIRS TO WALL,B000020728/7524,ROSS LEE CONSTRUCTION LTD,26/02/20,322.90
DEFIBRILLATOR AND CABINET,CONTRACTOR OTHER,INST OF DEFIB CAB PEEL PARK PUB / PAYM FROM PEEL/BARN AREA COUNCIL CAP PROJ SCHEME,B000020719/62321,C & W ELECTRICAL SERVICES LTD,19/02/20,323.00
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,CHARGES   16.01.20 - 15.02.20,B000020722/61288,XBM LTD,21/02/20,348.75
CORPORATE PROPERTY,ASSET MAINT R&M,MANAGEMENT SURVEY 14 BROADWAY,B000020726/59301,CONSULTANTS & SPEC SURVEYORS LTD,25/02/20,350.00
