Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
REGISTRATION OF ELECTORS,TRAINING EXPENSES,WINTER USER GROUP XPRESS,B000020740/17209,CIVICA UK LIMITED,04/03/2020,260.25
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,WING & STEP,B000020741/2521,LANCASHIRE LEYLAND DAF LTD,04/03/2020,303.94
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE - 20.2.20 ,B000020742/7871,STANLEY BROS TIPPERS LTD,04/03/2020,390.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 2.12.19 ,B000020742/55740,RAPID RECRUITMENT LTD,04/03/2020,409.22
MOT GENERAL,STATIONERY,40 X COMPLIANCE BOOKS,B000020741/62113,KBR PRINT SOLUTIONS LTD,04/03/2020,421.00
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,COSHH TEST EXHAUST EXTRACTION,B000020741/58111,MRB WORKSHOP SERVICES,04/03/2020,440.00
ACCOUNTANCY,ADVERTISING,ADVERTISING ,B000020740/62354,REDACTIVE PUBLISHING LTD,04/03/2020,695.00
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF  10.2.20 TO 16.2.20,B000020742/58023,BUCKINGHAM FUTURES LTD,04/03/2020,714.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF   WK 25.11.19 ,B000020742/55740,RAPID RECRUITMENT LTD,04/03/2020,818.44
MILNSHAW PARK PLAY AREA,MISCELLANEOUS,FEES FOR MILNSHAW,B000020743/52714,THE INTELLIGENT DESIGN CENTRE LTD,04/03/2020,840.70
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,PHASE 4 EVENTS ATH,B000020740/29112,HYNDBURN LEISURE,04/03/2020,916.67
MOT GENERAL,TRAINING EXPENSES,TEMP STAFF W/E 1.3.20,B000020741/61466,AUTOTECH RECRUIT,04/03/2020,975.00
HEALTH FOOD & SAFETY,COMPUTER RENTAL & MAINT,AOM ANNUAL LICENCES X 5 01.4.20 TO 31.3.21,B000020742/17209,CIVICA UK LIMITED,04/03/2020,1837.80
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,PARIS SOFTWARE EXTENSION,B000020744/17209,CIVICA UK LIMITED,04/03/2020,1838.70
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW BOILER ,B000020744/50717,HIGH EFFICIENCY LTD,04/03/2020,1845.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 23.2.20,B000020744/61657,G2 RECRUITMENT SOLUTIONS,04/03/2020,1898.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,HIRE OF REFUSE VEHICLE,B000020743/59171,COLLETT TRANSPORT SERVICES,04/03/2020,3800.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,HIRE OF REFUSE VEHICLE,B000020743/59171,COLLETT TRANSPORT SERVICES,04/03/2020,3800.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,HIRE OF REFUSE VEHICLE,B000020743/59171,COLLETT TRANSPORT SERVICES,04/03/2020,3800.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,HIRE OF REFUSE VEHICLE,B000020743/59171,COLLETT TRANSPORT SERVICES,04/03/2020,3800.00
ARSON REFUSE VEHICLES,HIRED VEHICLE,HIRE OF REFUSE VEHICLE,B000020743/59171,COLLETT TRANSPORT SERVICES,04/03/2020,3800.00
CCTV'S,PRIVATE CONTRACTORS WORK,MONITORING OF HYNDBURN CAMERAS X 45,B000020742/28873,BLACKBURN WITH DARWEN B.C.,04/03/2020,7526.68
INDOOR MARKET HALL REDEVELOPMT,OTHER FEES,BUILDING WORKS,B000020743/62302,DAWNVALE LIMITED,04/03/2020,8992.50
SYRIAN RESETTLEMENT PROGRAMME,LOCAL INTEGRATION FUND,SYRIAN REFUGEE SUPPORT - FINAL PAYMENT,B000020744/19391,MAUNDY RELIEF,04/03/2020,10000.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000020740/62357,UPASALPHA LIMITED,04/03/2020,26083.00
HOUSING ADVICE,NEW EQUIPMENT,OFFICE CHAIR,B000020747/9535,BEVLAN OFFICE INTERIORS LTD,06/03/2020,313.95
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 23.02.20,B000020747/46341,MORGAN HUNT UK LTD,06/03/2020,551.26
FACILITIES TEAM,AGENCY STAFF,STAFF W/E 20.12.19,B000020747/59823,HAYS,06/03/2020,673.98
FACILITIES TEAM,AGENCY STAFF,STAFF W/E 14.02.20,B000020747/59823,HAYS,06/03/2020,713.50
FACILITIES TEAM,AGENCY STAFF,STAFF W/E 21.02.20,B000020747/59823,HAYS,06/03/2020,759.95
FACILITIES TEAM,AGENCY STAFF,STAFF W/E 28.02.20,B000020747/59823,HAYS,06/03/2020,788.30
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 23.02.20,B000020747/46341,MORGAN HUNT UK LTD,06/03/2020,970.51
Corporate Property Bus Unit,AGENCY STAFF,STAFF W/E 24.02.20,B000020747/58852,OYSTER PARTNERSHIP,06/03/2020,1183.68
"AUDIT, BANK & TREASURY FEES",FEES-ANALYSTS & CONSULTANTS,MERCHANT ACQUIRING SERVICES TENDER,B000020747/62362,BRC CONSULTING SERVICES,06/03/2020,1885.80
