Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
CORPORATE PROPERTY,ASSET MAINT R&M,ANNUAL SERVICE 3 CLOCKS,B000020850/55910,LANCASHIRE CLOCKMAKERS,06/04/2020,255.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,HYDRAULIC REPAIRS,B000020852/7228,PIRTEK PRESTON 2004 LTD,06/04/2020,268.51
TIPPING CHARGES,HIRED VEHICLE,HIRE OF TIP WAGON 27/03/20 ,B000020845/9294,STANLEY BROTHERS (TIPPERS) LTD,06/04/2020,275.00
HYNDBURN CEMETERIES,GENERAL GROUNDS MAINTENANCE,BENCH REPAIR,B000020845/7110,PHILIP SUMNER LTD,06/04/2020,290.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,PARTS FOR SWEEPER REPAIR,B000020848/7688,AEBI SCHMIDT UK LTD,06/04/2020,328.82
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,HEDGE TRIMMER,B000020852/1192,DICK LEIGH CHAINSAW SPECIALIST,06/04/2020,339.20
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,HYDRAULIC REPAIRS,B000020848/7228,PIRTEK PRESTON 2004 LTD,06/04/2020,349.94
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,REPAIRS,B000020853/7228,PIRTEK PRESTON 2004 LTD,06/04/2020,372.01
ACCRINGTON CREMATORIUM,NEW EQUIPMENT,MONTHLY TRIBUTE CHARGE,B000020845/55609,OBITUS (VIVEDIA LTD),06/04/2020,380.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE 23/03/2020 ,B000020845/9294,STANLEY BROTHERS (TIPPERS) LTD,06/04/2020,390.00
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,RENTAL PHOTOCOPIER ,B000020847/62209,RIGBY CAPITAL LTD,06/04/2020,393.22
HUMAN RESOURCES,TRAINING EXPENSES,TEST/TRAINING - CREMATOR TECH,B000020845/8066,FEDERATION OF BURIAL & CREMATION AUTHORITIES,06/04/2020,500.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/E 29/03/2020,B000020845/58023,BUCKINGHAM FUTURES LTD,06/04/2020,504.00
PEST CONTROL,HIRED VEHICLE,VEHICLE HIRE,B000020845/2062,INTACK SELF DRIVE,06/04/2020,506.40
HYNDBURN CEMETERIES,NEW SEATS,MEMORIAL BENCH,B000020845/14010,BROXAP LTD,06/04/2020,553.00
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF - W/E 27/03/20,B000020850/59823,HAYS,06/04/2020,740.75
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF W/E 22-3-20,B000020845/55740,RAPID RECRUITMENT LTD,06/04/2020,877.71
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 15-3-2020,B000020845/19414,HEADS RECRUITMENT LIMITED,06/04/2020,925.86
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF,B000020847/46341,MORGAN HUNT UK LTD,06/04/2020,966.05
MOT GENERAL,TRAINING EXPENSES,TEMP STAFF W/E 22.3.20,B000020849/61466,AUTOTECH RECRUIT,06/04/2020,975.00
MOT GENERAL,AGENCY STAFF,TEMP STAFF W/E 29.3.20,B000020851/61466,AUTOTECH RECRUIT,06/04/2020,975.00
