Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HAWORTH ART GALLERY,SECURITY SYSTEM MAINTENANCE,KEY HOLDING SERVICES STABLES,B000020941/44845,KEYPLUS SECURITY LTD,18/05/2020,260.00
HYNDBURN CEMETERIES,NEW EQUIPMENT, STIHL PRESSURE WASHER,B000020934/7805,SPALDINGS UK LTD,13/05/2020,265.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 26.04.2020,B000020942/55740,RAPID RECRUITMENT LTD,18/05/2020,273.24
PARKS & OPEN SPACES,MATERIALS-DIRECT,ENCLEAN HARD SURFACE MOSS CLEANER ,B000020934/7461,RIGBY TAYLOR LTD,13/05/2020,275.00
CORPORATE PROPERTY,GENERAL REPAIR & MAINT BLDGS, FAULTY DOOR,B000020962/37111,AUTOMATIC DOOR COMPANY,31/05/2020,280.00
GYPSY SITE,SEWERAGE,CLEAR PUMP - 7.5.20,B000020945/1248,DUNCAN CAMPBELL,19/05/2020,300.00
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,LAND SURVEY,B000020948/64148,SITE SURVEYING SERVICES LIMITED,20/05/2020,300.00
DEVELOPMENT CONTROL B.U.,GENERAL SUBSCRIPTIONS,PLANNING JUNGLE SUBS 2021,B000020954/55406,PLANNING JUNGLE LTD,26/05/2020,300.00
PENDLE ST PH1,CONTRACTOR OTHER,STRUCTURAL SURVEY REPORT ,B000020963/46026,MICHAEL POOLER ASSOCIATES,31/05/2020,300.00
PENDLE ST PH1,CONTRACTOR OTHER,WORKS AT PENDLE ST,B000020928/61130,KIRK SCAFFOLDING LTD,12/05/2020,308.58
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,SUBS 2020,B000020963/39694,ROYAL TOWN PLANNING INSTITUTE,31/05/2020,315.00
LAND CHARGES,LAND CHARGES,LOCAL LAND CHARGE SEARCHES,B000020923/2496,LANCASHIRE COUNTY COUNCIL,11/05/2020,318.00
COVID 19,MATERIALS-DIRECT,SERVICE & REPAIRS,B000020960/63930,CROFT COMMERCIALS TRANSPORT LIMITED,29/05/2020,325.00
COVID 19,MATERIALS-DIRECT,SERVICE & REPAIRS,B000020960/63930,CROFT COMMERCIALS TRANSPORT LIMITED,29/05/2020,338.45
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,CALL OUT TO TREE ,B000020934/62398,WESTFIELD TREE SERVICES,13/05/2020,350.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT ,B000020939/61195,H2 HOMES LETTINGS & PROPERTY SERVICES,15/05/2020,350.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,ACCOMODATION,B000020954/12122,MAUNDY RELIEF,26/05/2020,350.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,"RENT DEPOSIT WATER ST, ACC",B000020963/61195,H2 HOMES LETTINGS & PROPERTY SERVICES,31/05/2020,350.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BRAKE SADALE,B000020937/8433,WALTON SUMMIT TRUCK CENTRE LTD,14/05/2020,350.03
GYPSY SITE,WATER CHARGES,01.04.20 - 31.03.21,B000020912/8325,WATER PLUS LTD,05/05/2020,365.80
PARKS & OPEN SPACES,ASSET MAINT R&M,MEMORIAL PARK PAV  CLEANING CWST TANKS,B000020912/57133,INTERSERVE FS (UK) LTD,05/05/2020,369.23
HYNDBURN CEMETERIES,AGENCY STAFF, WK 12.4.20 AGENCY STAFF ,B000020913/19414,HEADS RECRUITMENT LIMITED,05/05/2020,373.76
ADMINISTRATION SERVICES,OFFICE CONSUMABLES,30 BOXES PAPER,B000020963/781,CANON (UK) LTD,31/05/2020,376.50
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SENSOR,B000020960/8014,TERBERG MATTEC UK LTD,29/05/2020,382.07
COVID 19,MATERIALS-DIRECT,SERVICE & REPAIRS,B000020960/63930,CROFT COMMERCIALS TRANSPORT LIMITED,29/05/2020,389.95
HOUSING ADVICE,RENT DEPOSIT SCHEME,ACCOMODATION,B000020954/12122,MAUNDY RELIEF,26/05/2020,400.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,ACCOMODATION,B000020954/12122,MAUNDY RELIEF,26/05/2020,400.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,ACCOMODATION,B000020954/12122,MAUNDY RELIEF,26/05/2020,400.00
ENVIRONMENTAL PROTECTION TEAM,RENT DEPOSIT SCHEME,ACCOMODATION,B000020954/12122,MAUNDY RELIEF,26/05/2020,400.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E  10.5.20,B000020946/46341,MORGAN HUNT UK LTD,19/05/2020,401.70
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,FILLING IN POT HOLES,B000020956/38733,MARCHBRIDGE BUILDERS LTD,27/05/2020,422.10
HAWORTH ART GALLERY,ASSET MAINT R&M,HAWORTH STABLES AND POTTING SHED WATER INSPECTION,B000020912/57133,INTERSERVE FS (UK) LTD,05/05/2020,423.08
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 12.4.20 ,B000020913/19414,HEADS RECRUITMENT LIMITED,05/05/2020,428.06
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS LOCAL GOVT LAW - R 83,B000020945/50652,THOMSON REUTERS PROFESSIONAL UK LTD,19/05/2020,437.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF TIPPER WAGON,B000020925/9294,STANLEY BROTHERS (TIPPERS) LTD,11/05/2020,450.00
ARSON REFUSE VEHICLES,GENERAL REPAIR & MAINT BLDGS,WILLOWS LANE ELECTRICAL WORKS,B000020936/57949,STEVEN MERCER ELECTRICAL,14/05/2020,450.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 05/04/2020,B000020915/19414,HEADS RECRUITMENT LIMITED,06/05/2020,455.52
GREEN INFRASTRUCTURE,GREEN INFRASTRUCTURE,SOIL,B000020963/64175,FERTILE FIBRES LIMITED,31/05/2020,460.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 03.05.2020,B000020942/55740,RAPID RECRUITMENT LTD,18/05/2020,463.32
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,GA EMISSION ANALYSER,B000020937/7773,SNAP ON DIAGNOSTICS,14/05/2020,484.88
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 03.05.2020,B000020942/55740,RAPID RECRUITMENT LTD,18/05/2020,491.01
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 26.04.2020,B000020942/55740,RAPID RECRUITMENT LTD,18/05/2020,491.01
HAWORTH ART GALLERY,ASSET MAINT R&M,HAWORTH  EXT RE POINTING ,B000020933/59128,GEORGE PEARCE & SONS LTD,13/05/2020,491.80
MARKETS - OPERATIONS,ASSET MAINT R&M,ACC MARKET HALL  PPM DOMESTIC WATER INSPECTION,B000020912/57133,INTERSERVE FS (UK) LTD,05/05/2020,492.31
HYNDBURN CEMETERIES,NEW EQUIPMENT,HONDA PETROL GENERATOR,B000020934/7805,SPALDINGS UK LTD,13/05/2020,495.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT,B000020962/64195,HONEYWOOD VENTURES,31/05/2020,500.00
ACCRINGTON CREMATORIUM,URNS & CASKETS,CREMATION ASHES BOXES AND BAGS,B000020915/27901,TELESHORE (UK) LTD,06/05/2020,505.50
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,ADVERT - 22.5.20,B000020956/59724,TMP (UK) LTD,27/05/2020,526.80
COVID 19,MATERIALS-DIRECT,SERVICE & INSPECTION,B000020960/63930,CROFT COMMERCIALS TRANSPORT LIMITED,29/05/2020,552.11
GREEN INFRASTRUCTURE,GREEN INFRASTRUCTURE,WORKS AT FOXHILL,B000020936/52330,JOHN WADE GROUNDWORKS LTD,14/05/2020,560.00
COVID 19,MATERIALS-DIRECT,SERVICE & INSPECTION,B000020960/63930,CROFT COMMERCIALS TRANSPORT LIMITED,29/05/2020,598.00
