Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
PARKS & OPEN SPACES,SECURITY SYSTEM MAINTENANCE,"ALARM RESPONSE BULLOUGH PARK 05.04.20 / MEMORIAL PARK 15.04.20, NUMEROUS VISITS TO BULLOUGH APRIL",B000020967/44845,KEYPLUS SECURITY LTD,02/06/2020,276.50
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 11.05.20 ,B000020967/7871,STANLEY BROS TIPPERS LTD,02/06/2020,450.00
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 05.05.20 ,B000020967/7871,STANLEY BROS TIPPERS LTD,02/06/2020,450.00
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONTRIBUTION TO GRANT FOR EVENTS ,B000020967/60670,FRIENDS OF RHYDDINGS PARK,02/06/2020,500.00
STREET CLEANSING,LITTER BINS/ LINERS,10 X DUAL LITTER BINS AND FIXING CLIPS,B000020967/1292,EARTH ANCHORS LTD,02/06/2020,502.00
HYNDBURN CEMETERIES,NEW EQUIPMENT,20 TONNES OF TOP SOIL FOR CEMETERIES,B000020967/1913,HUPERADE LTD,02/06/2020,520.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK  22.03.20,B000020967/19414,HEADS RECRUITMENT LIMITED,02/06/2020,925.86
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,ANNUAL RENEWAL HAV SOFTWARE X 15,B000020967/26392,REACTEC,02/06/2020,954.00
WILLOWS LANE DEPOT,WATER CHARGES,"WASTE WATER TOWNS YARD WILLOWS LANE, 07.2.20 - 27.4.20 4700.00-5018.00",B000020967/8325,WATER PLUS LTD,02/06/2020,1000.87
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 11.05.20 TO 17.05.20,B000020967/55740,RAPID RECRUITMENT LTD,02/06/2020,1574.42
ARSON REFUSE VEHICLES,NEW EQUIPMENT,"STRIMMER, VAULT AND KEYS",B000020967/54462,TUDOR ENVIRONMENTAL,02/06/2020,1745.42
WILLOWS LANE DEPOT,SECURITY SYSTEM MAINTENANCE,"RANGER STREET/ WILLOWS LANE, ALARMS RESPONSE AND MOBILE PATROL VISITS APRIL 2020",B000020967/44845,KEYPLUS SECURITY LTD,02/06/2020,1922.00
INSURANCES,EXCESS PAYMENTS,EXCESS PAYMENT ,B000020967/55285,TRAVELLERS INSURANCE,02/06/2020,9825.00
RECYCLING COLLECTION,WASTE DISPOSAL CHARGES,"APRIL 2020, PLASTICS AND CANS 365.780KGS @ £28.50 PER TONNE",B000020967/33025,RISHTON WASTE PAPER LTD,02/06/2020,10424.73
VEHICLE MAINT SUPERVISION,FUEL STOCK,DIESEL ,B000020967/45743,WATSON PETROLEUM,02/06/2020,14210.00
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,CONTRACT VEHICLE HIRE ,B000020967/8810,SUEZ RECYCLING AND RECOVERY UK LTD,02/06/2020,37088.00
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,ACTIVE LS AND CLEARVIEW,B000020969/4467,HOPE & BROWN LTD,03/06/2020,319.70
