Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
P & CG,CENTRAL ADMIN,STATIONERY,P-CARD - AUG 20,OFFICE DEPOT,13/07/2020,411.31
ENVIRONMENTAL SERVICES,PEST CONTROL,TABLES,P-CARD - AUG 20,FTUK FOLDING TABLES,15/07/2020,279.6
P & CG,CENTRAL ADMIN,FLAG,P-CARD - AUG 20,HAMPSHIRE FLAGS,20/07/2020,292.89
ENVIRONMENTAL SERVICES,CVMU,DOOR LOCKS,P-CARD - AUG 20,AUTOTIME,24/07/2020,1184.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E 30/07/2020,B000021116/19414,HEADS RECRUITMENT LIMITED,04/08/2020,463.32
MARKETS - OPERATIONS,MARKETING INITIATIVES,ADVERT FOR MARKET HALL AND STALLS,B000021116/52885,ACORN COMMUNITY NEWS,04/08/2020,375.00
ACCRINGTON TOWN CENTRE,ADVERTISING GENERAL,ADVERT FOR SHOP LOCAL,B000021116/52885,ACORN COMMUNITY NEWS,04/08/2020,430.00
ACCRINGTON CREMATORIUM,NEW EQUIPMENT,MUSIC/MEDIA JULY 2020,B000021116/55609,OBITUS (VIVEDIA LTD),04/08/2020,1653.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E 24/07/2020,B000021116/55740,RAPID RECRUITMENT LTD,04/08/2020,967.92
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CHARGES APR TO AUG 2020 ,B000021116/60670,FRIENDS OF RHYDDINGS PARK,04/08/2020,570.00
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,PLOT TO POT DELIVERY CLAIM 5 HLF PROJECT,B000021116/60670,FRIENDS OF RHYDDINGS PARK,04/08/2020,1080.00
MARKETS - OPERATIONS,WATER CHARGES,WATER CHARGES MARKET HALL JUNE - JULY 20,B000021116/8325,WATER PLUS LTD,04/08/2020,863.38
TIPPING CHARGES,HIRED VEHICLE,HIRE OF TIPPER WAGON 23/07/2020,B000021116/9294,STANLEY BROTHERS (TIPPERS) LTD,04/08/2020,450.00
LICENSING,OFFICE CONSUMABLES,GOODS FOR TAXI LICENSING,B000021117/21487,VIP-SYSTEM LTD,05/08/2020,1616.62
LOWER WOODNOOK HSING RENEW SCH,CONTRACTOR OTHER,CDM ADVISOR WOODNOOK P2,B000021117/44108,RJD ASSOCIATES (NORTH WEST) LIMITED,05/08/2020,300.00
HUMAN RESOURCES,DRUGS & ALCOHOL,MOUTHPIEES AND DRUG WIPES,B000021117/57686,D TEC INTERNATIONAL,05/08/2020,1461.00
Corporate Property Bus Unit,AGENCY STAFF,STAFF W/C 20.07.20,B000021117/58852,OYSTER PARTNERSHIP,05/08/2020,1260.00
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,LEGAL NOTICE,B000021117/59724,TMP (UK) LTD,05/08/2020,310.80
COVID 19,EQUIPMNT REPAIR & MAINT,REPLACE ROLLER,B000021118/1640,GIBSONS GARDEN MACHINERY LTD,05/08/2020,755.04
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,BLADE CLUTCH,B000021118/442,BALMERS GARDEN MACHINERY,05/08/2020,260.26
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SENSOR,B000021118/8014,TERBERG MATTEC UK LTD,05/08/2020,665.21
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,EF AND P ONLINE,B000021120/22900,LEXIS NEXIS,06/08/2020,3466.00
SCAITCLIFFE HOUSE,ASSET MAINT R&M,SCAITCLIFFE HOUSE WATER RISK ASSESSMENT,B000021120/57133,INTERSERVE FS (UK) LTD,06/08/2020,650.00
LOCAL TAXATION,OFFICE CONSUMABLES,I.T SERVCIES,B000021120/57679,CRITIQOM,06/08/2020,270.23
LOCAL TAXATION,OFFICE CONSUMABLES,MAIL OUT POSTAGE,B000021120/57679,CRITIQOM,06/08/2020,1010.72
BROADWAY SHOPS,CONTRACTOR OTHER,12 BROADWAY CABLING WORKS,B000021120/57949,STEVEN MERCER ELECTRICAL,06/08/2020,456.00
CORPORATE PROPERTY,ASSET MAINT R&M,SHARED CAR PARK KEPYPAD,B000021120/58448,GATE AUTOMATION SOLUTIONS LTD,06/08/2020,250.95
CORPORATE PROPERTY,ASSET MAINT R&M,MERCER HOUSE ASBESTOS SURV,B000021120/59301,CONSULTANTS & SPEC SURVEYORS LTD,06/08/2020,550.00
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,IER WEEKLY PRINT,B000021120/62168,CIVICA ELECTION SERVICES,06/08/2020,1092.82
LEISURE IN HYNDBURN,LIH R&M,TOWN HALL MAINTENANCE,B000021125/24998,FULL CIRCUIT FIRE & SECURITY LTD,10/08/2020,350.00
