Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ROOM 26.06.20 - 29.06.20,B000021055/28199,HILL VIEW (PRIVATE) HOTEL,03/07/2020,345.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ROOM 29.05.20 - 04.06.20,B000021055/28199,HILL VIEW (PRIVATE) HOTEL,03/07/2020,805.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ROOM 19.05.20 - 09.06.20,B000021055/28199,HILL VIEW (PRIVATE) HOTEL,03/07/2020,1260.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ROOM 10.04.20 - 22.4.20,B000021055/28199,HILL VIEW (PRIVATE) HOTEL,03/07/2020,1380.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ROOM 11.05.20 - 25.05.20,B000021055/28199,HILL VIEW (PRIVATE) HOTEL,03/07/2020,1610.00
ENVIRONMENTAL PROTECTION TEAM,TEMPORARY ACCOMMODATION,ROOM 8 25.05.20 - 26.06.20,B000021055/28199,HILL VIEW (PRIVATE) HOTEL,03/07/2020,3680.00
CORPORATE PROPERTY,GENERAL REPAIR & MAINT BLDGS,14 BROADWAY INSTALL POCKET DOOR,B000021055/37111,AUTOMATIC DOOR COMPANY,03/07/2020,1385.86
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 28.06.20,B000021055/61657,G2 RECRUITMENT SOLUTIONS,03/07/2020,1103.40
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 28.06.20,B000021055/61657,G2 RECRUITMENT SOLUTIONS,03/07/2020,2023.84
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 28.06.20,B000021055/61657,G2 RECRUITMENT SOLUTIONS,03/07/2020,1409.04
ENVIRONMENTAL PROTECTION TEAM,RENT DEPOSIT SCHEME,DEPOSIT 64B WELLINGTON ST,B000021055/64282,MR ALAN DUFFY,03/07/2020,350.00
SCAITCLIFFE HOUSE,ASSET MAINT R&M,SCAITCLIFFE  REPAIRS TO 1ST FLOOR GENTS TOILETS,B000021056/25868,HYNDBURN PLUMBING & HEATING SERVICES,06/07/2020,509.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BUMPER COVER ASSEMBLY,B000021058/1164,DENNIS EAGLE LIMITED,06/07/2020,365.72
MOT GENERAL,AGENCY STAFF,TEMP MOT TESTER,B000021058/61466,AUTOTECH RECRUIT,06/07/2020,975.00
MOT GENERAL,AGENCY STAFF,TEMP MECHANIC,B000021058/64225,QUESTECH RECRUITMENT LIMITED,06/07/2020,851.70
BUSINESS SUPPORT GRANTS,GRANTS,SUPPORT GRANT,B000021059/63175,NAVEED AHMED,06/07/2020,10000.00
BUSINESS SUPPORT GRANTS,GRANTS,SUPPORT GRANT,B000021059/64313,ARAS ALI  MAHMOOD,06/07/2020,25000.00
BUSINESS SUPPORT GRANTS,GRANTS,SUPPORT GRANT,B000021059/64314,ACCRINGTON UK LIMITED,06/07/2020,10000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/1112,DANLEY ENGINEERING SERVICES LTD,06/07/2020,10000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/19112,SPECIALIST TRAINING CONSULTANCY LTD,06/07/2020,10000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/40394,CLAYTON CONTRACT UPHOLSTERY LTD,06/07/2020,10000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/5073,C & S CARAVAN SERVICES LTD,06/07/2020,10000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/52885,ACORN COMMUNITY NEWS,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,SUPPORT GRANT,B000021060/55712,SMITHS FRESH PRODUCE,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/57492,JULIE LIVESEY,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/59086,TOOL MANAGEMENT SERVICES LTD,06/07/2020,10000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/62182,ACCRINGTON STANLEY FOOTBALL IN THE COMMUNITY,06/07/2020,10000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/62286,TRUSTEES OF MILLY'S SMILES,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/64283,MR PAUL IAN COPPACK,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/64284,MRS LORRAINE TERESA MCSORLEY,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/64285,MISS VICTORIA LOUISE BARROW,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/64286,MRS LISA MARIA PATEFIELD,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/64287,MISS DEBORAH RACHEL WADE,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/64288,MR MARK RUSSELL WILKINSON,06/07/2020,5000.00
BUSINESS SUPPORT GRANTS,GRANTS,LDGF SUPPORT GRANT,B000021060/64289,MISS LAUREN ASHLEY WALKER,06/07/2020,5000.00
