Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SHACKLE BUSH & PIN REPAIR,B000021164/63930,CROFT COMMERCIALS TRANSPORT LIMITED,02/09/2020,262.74
ALLOTMENTS,WATER CHARGES,WAVERLEDGE 13.05.20 - 14.08.20,B000021162/8325,WATER PLUS LTD,02/09/2020,291.23
HUMAN RESOURCES,MEMBER TRAINING,16 SEP 2020 AUDIT COMMITTEE TRAINING,B000021162/44171,CIPFA BUSINES LIMITED,02/09/2020,295
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FILTERS ( SERVICE ),B000021164/7688,AEBI SCHMIDT UK LTD,02/09/2020,303.81
LIBRARY ST DEPOT,CLEANING OF BUILDINGS,CLEANING AUGUST 2020,B000021163/50873,SERVICEMASTER,02/09/2020,585
HAWORTH ART GALLERY,EQUIPMENT-RESALE,GOODS FOR RE SALE IN SHOP,B000021162/42878,MARSTON BOOK SERVICES LIMITED,02/09/2020,704.16
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CLAMP SPRING,B000021163/8014,TERBERG MATTEC UK LTD,02/09/2020,820.78
HOUSING ADVICE,RENT DEPOSIT SCHEME,DEPOSIT/RENT,B000021162/64519,BPJ PROPERTIES,02/09/2020,900
MOT GENERAL,AGENCY STAFF,TEMP STAFF  W/E 16/08/20,B000021163/61466,AUTOTECH RECRUIT,02/09/2020,1000
REGISTRATION OF ELECTORS,CANVASS,CANVASS 2020 CCB AND POSTAGE,B000021162/62168,CIVICA ELECTION SERVICES,02/09/2020,4508.44
REGISTRATION OF ELECTORS,CANVASS,CANVAS 2020 CCA AND POSTAGE,B000021162/62168,CIVICA ELECTION SERVICES,02/09/2020,8701.71
LEISURE IN HYNDBURN,ASSET MAINT R&M,TOWN HALL FIRE ALARM FAULT BROADWAY RETAIL UNITS,B000021167/24998,FULL CIRCUIT FIRE & SECURITY LTD,04/09/2020,310
WILLOWS LANE DEPOT,ASSET MAINT R&M,WILLOW LANE OFFICES NEW FLOORING TO MATTRESS STORE,B000021167/34573,MR R WILCOCK,04/09/2020,340
MARKETS - OPERATIONS,CLEANING MATERIALS,CLEANING AND DEGREASING OF UINIT 29,B000021167/50873,SERVICEMASTER,04/09/2020,350
MARKETS - OPERATIONS,MARKETING INITIATIVES,MARKET TRADER AD,B000021167/52885,ACORN COMMUNITY NEWS,04/09/2020,350
MARKETS - OPERATIONS,CLEANING,EXTRA CLEANING MARKETS,B000021167/50873,SERVICEMASTER,04/09/2020,1170
MARKETS - OPERATIONS,GENERAL SUBSCRIPTIONS,ANNUAL FEE FOR MUSIC LICENSE,B000021167/60557,PPL PRS LTD,04/09/2020,1211.05
MARKETS - OPERATIONS,YARD CLEANING,SKIPS JUN 20,B000021167/59730,BLACKBURN SKIPS LIMITED,04/09/2020,1379
MARKETS - OPERATIONS,WATER CHARGES,WATER 16.07.20 - 17.08.20 MARKETS,B000021167/8325,WATER PLUS LTD,04/09/2020,2540.6
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,K3057  16.7.20 - 15.8.20,B000021168/61288,XBM LTD,07/09/2020,294.29
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,COPIER CHARGES,B000021168/31105,KONICA MINOLTA B S EAST LTD,07/09/2020,391.1
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 30.08.20,B000021168/61657,G2 RECRUITMENT SOLUTIONS,07/09/2020,1133.28
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 23.08.20,B000021168/61657,G2 RECRUITMENT SOLUTIONS,07/09/2020,1182.56
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC RECHARGE AUG 20,B000021168/29112,HYNDBURN LEISURE,07/09/2020,1600
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 30.08.20,B000021168/61657,G2 RECRUITMENT SOLUTIONS,07/09/2020,2054
BROADWAY SHOPS,CONTRACTOR OTHER, ASBESTOS REMOVAL,B000021168/40686,ASSIST FM LTD,07/09/2020,2445
PLANNING POLICY B.U.,PUBLIC PARTICIPATION EXPENSE,ADVICE ON VARIOUSE SITES,B000021168/64528,ASPINALL VERDI,07/09/2020,3100
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021168/7874,STANNAH LIFT SERVICES LIMITED,07/09/2020,3256
MARKETS - OPERATIONS,MOBILES,T/HALL FIBRE INSTALLATION,B000021168/57313,NETWORKING PEOPLE (NORTH WEST) LTD,07/09/2020,3746.01
ACC MKT HALL SVCE YARD LAMPS,CONTRACTOR OTHER,SURFACING WORKS,B000021168/64527,MULTIPAVE NW LTD,07/09/2020,18341.85
WILLOWS LANE DEPOT,SECURITY SYSTEM MAINTENANCE,ALARM RESPONSE - JULY 20  ,B000021173/44845,KEYPLUS SECURITY LTD,09/09/2020,275
COVID 19,NEW EQUIPMENT,HYNDBURN BC - PUSH BUTTON HAND SANITISERS,B000021174/64418,SIGNAGE SYSTEMS,09/09/2020,295.5
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,BREAK OUT OLD ROUNDABOUT BASE ,B000021175/20,A BYRNE FENCING,09/09/2020,300
LCC COVID PREVENTION,AGENCY STAFF,TEMP STAFF 24.08.20 TO 30.08.20 ,B000021173/55740,RAPID RECRUITMENT LTD,09/09/2020,322.69
WILLOWS LANE DEPOT,DEPOT COSTS,CCTV SIGNS  X 27,B000021173/24708,SIGN IT,09/09/2020,347.5
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF WK 16.08.20 T.PAYNE,B000021173/19414,HEADS RECRUITMENT LIMITED,09/09/2020,421.74
LEGAL SERVICES,PUBLICATIONS & PERIODICALS,CROSS LOCAL GOVT LAW,B000021174/50652,THOMSON REUTERS PROFESSIONAL UK LTD,09/09/2020,437
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF WK  16.08.20 ,B000021173/19414,HEADS RECRUITMENT LIMITED,09/09/2020,463.32
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONTRIBUTION TO GRANT FUND EVENTS AS PART OF HLF AT RHYDDINGS PARK,B000021173/60670,FRIENDS OF RHYDDINGS PARK,09/09/2020,500
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 23.08.20,B000021170/46341,MORGAN HUNT UK LTD,09/09/2020,977.47
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 30.08.20,B000021170/46341,MORGAN HUNT UK LTD,09/09/2020,990.86
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 23.08.20,B000021170/33923,EDEN BROWN LIMITED,09/09/2020,1010.1
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 30.08.20,B000021170/33923,EDEN BROWN LIMITED,09/09/2020,1010.1
ACC TOWN HALL,ELECTRICITY,A T H AUGUST 20,B000021174/25200,E.ON UK PLC,09/09/2020,1079.92
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL - AUGUST 20,B000021174/25200,E.ON UK PLC,09/09/2020,1106.71
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,LANCASHIRE HOTEL BEDROOM PUBLICATION ADVERTISEMENT,B000021173/61523,KINGFISHER MEDIA LTD,09/09/2020,1250
CUSTOMER SERVICES,TRAINING EXPENSES,IRRV  DISTANCE LEARNING,B000021170/52997,IRRV,09/09/2020,1270
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF WK 16.08.20 ,B000021173/19414,HEADS RECRUITMENT LIMITED,09/09/2020,1366.02
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,"POT TO PLOT INTERACTIVE DEMONSTRATIONS, INGREDIENTS AND REFRESHMENTS - AUGUST 20",B000021173/60670,FRIENDS OF RHYDDINGS PARK,09/09/2020,1380
