Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
STREET SEATS GENERAL,WORK DONE DLO-HIGHWAYS,BENCH REPAIRS,B000021291/20,A BYRNE FENCING,04-Nov-20,380
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONTRIBUTION TO GRANT FOR EVENTS AS PART OF HLF PROJECT AT RHYDDINGS PARK,B000021292/60670,FRIENDS OF RHYDDINGS PARK,04-Nov-20,500
STREET CLEANSING,TRAFFIC MANAGEMENT,TRAFFIC MANAGEMENT DUNKENHALGH WAY 16.09.20,B000021292/64476,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,04-Nov-20,525
STREET CLEANSING,PRIVATE CONTRACTORS WORK,GRASS CUTTING AND LITTER REMOVAL 16.9.20 - DUNKENHALGH WAY,B000021292/64476,KAYS TRAFFIC MANAGEMENT SYSTEMS LTD,04-Nov-20,540
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF  12.10.20 - 18.10.20 ,B000021292/58023,BUCKINGHAM FUTURES LTD,04-Nov-20,588
LCC COVID PREVENTION,AGENCY STAFF,AGENCY STAFF  19.10.20 - 25.10.20,B000021292/58023,BUCKINGHAM FUTURES LTD,04-Nov-20,588
SYRIAN RESETTLEMENT PROGRAMME,VOID COSTS,RENT ,B000021291/61245,ONWARD HOMES,04-Nov-20,733.19
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,APPRENTICESHIP - OCTOBER 20,B000021292/60670,FRIENDS OF RHYDDINGS PARK,04-Nov-20,750
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 25.10.20,B000021291/55150,VENN GROUP LIMITED,04-Nov-20,925
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 18.10.20,B000021293/55150,VENN GROUP LIMITED,04-Nov-20,925
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 25.10.20,B000021293/46341,MORGAN HUNT UK LTD,04-Nov-20,948.68
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 18.10.20,B000021293/46341,MORGAN HUNT UK LTD,04-Nov-20,948.68
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 18.10.20,B000021293/46341,MORGAN HUNT UK LTD,04-Nov-20,990.86
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 25.10.20,B000021293/46341,MORGAN HUNT UK LTD,04-Nov-20,990.86
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 18.10.20,B000021293/33923,EDEN BROWN LIMITED,04-Nov-20,1010.1
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 25.10.20,B000021293/33923,EDEN BROWN LIMITED,04-Nov-20,1010.1
ACCOUNTANCY,ADVERTISING,JOB ADVERT,B000021291/64700,POINT THIRTEEN MEDIA LTD,04-Nov-20,2000
CCTV'S,PRIVATE CONTRACTORS WORK, CCTV MONITORING  AUGUST 2020,B000021292/28873,BLACKBURN WITH DARWEN B.C.,04-Nov-20,7497.6
CCTV'S,PRIVATE CONTRACTORS WORK, CCTV MONITORING SEPTEMBER 20,B000021292/28873,BLACKBURN WITH DARWEN B.C.,04-Nov-20,7497.6
