Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,CVMU PPE ITEMS STAFF,B000021402/49604,BE SMART CLOTHING LTD,01-Dec-20,590.43
MOT GENERAL,AGENCY STAFF,TEMP STAFF PERIOD: 22.11.20,B000021402/61466,AUTOTECH RECRUIT,01-Dec-20,1000
CORPORATE PROPERTY,ASSET MAINT R&M,CHURCHFIELD HOUSE ASBESTOS,B000021412/59301,CONSULTANTS & SPEC SURVEYORS LTD,02-Dec-20,275
CORPORATE PROPERTY,ASSET MAINT R&M,OSW CIVIC ASBESTOS,B000021412/59301,CONSULTANTS & SPEC SURVEYORS LTD,02-Dec-20,370
COVID 19 Waste Services,HIRED VEHICLE,MONTHLY VEHICLE CHARGES ,B000021414/2062,INTACK SELF DRIVE,02-Dec-20,380
COVID 19 Waste Services,HIRED VEHICLE,MONTHLY VEHICLE CHARGES ,B000021414/2062,INTACK SELF DRIVE,02-Dec-20,380
COVID 19 Waste Services,HIRED VEHICLE,MONTHLY VEHICLE CHARGES ,B000021414/2062,INTACK SELF DRIVE,02-Dec-20,380
HOUSING ADVICE,TEMPORARY ACCOMMODATION,DEPOSIT FEE,B000021417/64955,FALCON & FOXGLOVE,02-Dec-20,400
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE  23.11.20,B000021413/7871,STANLEY BROS TIPPERS LTD,02-Dec-20,450
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 18.11.20 ,B000021413/7871,STANLEY BROS TIPPERS LTD,02-Dec-20,450
INSURANCES,EXCESS PAYMENTS,INSURANCE EXCESS ,B000021413/62197,PROTECTOR INSURANCE,02-Dec-20,453.69
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,WEEKLY PRINT RUN,B000021412/62168,CIVICA ELECTION SERVICES,02-Dec-20,485.44
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,DEC 20 SERVICE CLEAN,B000021416/50873,SERVICEMASTER,02-Dec-20,585
LCC COVID PREVENTION,AGENCY STAFF,AGENCY STAF 9.11.20-15.11.20  ,B000021413/58023,BUCKINGHAM FUTURES LTD,02-Dec-20,588
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE HIRE 24.8.20 - 21.9.20,B000021413/2062,INTACK SELF DRIVE,02-Dec-20,599.6
