Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL SERVICES,CVMU,I - PAD BRACKETS,P-CARD- OCT 20,ARKON RESOURCES,17/09/2020,868.86
16 CHINA ST DV RENOVATION,CONTRACTOR OTHER,VAL 5 PENULTIMATE,B000021219/59128,GEORGE PEARCE & SONS LTD,01/10/2020,3192.83
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 27.09.20,B000021219/61657,G2 RECRUITMENT SOLUTIONS,01/10/2020,2028
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 27.09.20,B000021219/61657,G2 RECRUITMENT SOLUTIONS,01/10/2020,1095.84
HAWORTH ART GALLERY,EQUIPMNT REPAIR & MAINT,ANNUAL MEACO SERVICES,B000021220/20441,MEACO MEASUREMENTS,05/10/2020,410
FIRE RISK ASSESS WORKS VARIOUS,CONTRACTOR OTHER,SCAITCLIFFE FRA NEW DETECTORS,B000021220/24998,FULL CIRCUIT FIRE & SECURITY LTD,05/10/2020,747.65
HAWORTH ART GALLERY,ADVERTISING GENERAL,MARKETING LANCS AD,B000021220/54892,MARKETING LANCASHIRE LTD,05/10/2020,412
BROADWAY SHOPS,CONTRACTOR OTHER,VALUATION 1,B000021220/59128,GEORGE PEARCE & SONS LTD,05/10/2020,14188.16
BROADWAY SHOPS,CONTRACTOR OTHER,VALUATION 1,B000021220/59128,GEORGE PEARCE & SONS LTD,05/10/2020,13991.93
HAWORTH ART GALLERY,EQUIPMENT-RESALE,GOODS FOR RE SALE IN SHOP,B000021220/61798,CHRISTINA MAY LIMITED,05/10/2020,318.14
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,WEEKLY PRINT RUN,B000021220/62168,CIVICA ELECTION SERVICES,05/10/2020,1033.5
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,SHOP RESTORATION GRANT,B000021220/62169,ONE 7 GRP  LTD,05/10/2020,20712
LAND CHARGES,LAND CHARGES,LOCAL LAND CHARGE SEARCHES,B000021222/2496,LANCASHIRE COUNTY COUNCIL,05/10/2020,357
VEHICLE MAINT SUPERVISION,VEHICLE LEASING,12 MONTH EXTENSION ON LEASE AGREEMENT,B000021222/37942,JCB FINANCE LTD,05/10/2020,787.88
Asbestos removal various sites,CONTRACTOR OTHER,CLAYTON CIVIC CENTRE - ASBESTOS REMOVAL,B000021222/40686,ASSIST FM LTD,05/10/2020,7875
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,AGENCY STAFF LF W/E 27.09.20,B000021222/46341,MORGAN HUNT UK LTD,05/10/2020,803.4
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF - BS W/E 27.09.20,B000021222/46341,MORGAN HUNT UK LTD,05/10/2020,769.2
"AUDIT, BANK & TREASURY FEES",FEES-ANALYSTS & CONSULTANTS,TREASURY SERVICES,B000021222/60208,LINK ASSET SERVICES,05/10/2020,8100
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF 13.09.20 ,B000021225/19414,HEADS RECRUITMENT LIMITED,06/10/2020,1583.82
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 13.09.20 ,B000021225/19414,HEADS RECRUITMENT LIMITED,06/10/2020,463.32
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF 13.09.20 ,B000021225/19414,HEADS RECRUITMENT LIMITED,06/10/2020,314.82
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF 20.09.20 ,B000021225/19414,HEADS RECRUITMENT LIMITED,06/10/2020,285.12
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF 20.09.20 ,B000021225/19414,HEADS RECRUITMENT LIMITED,06/10/2020,926.64
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 20.09.20 ,B000021225/19414,HEADS RECRUITMENT LIMITED,06/10/2020,1628.75
DOG WARDEN,KENNELING - DAYTIME,KENNELLING COSTS SEPTEMBER 2020,B000021225/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,06/10/2020,763.86
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF  WK 25.9.20,B000021225/55740,RAPID RECRUITMENT LTD,06/10/2020,2351.17
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF 14.09.20 TO 20.09.20,B000021225/55740,RAPID RECRUITMENT LTD,06/10/2020,2275.6
VEHICLE MAINT SUPERVISION,FUEL STOCK,DIESEL FUEL,B000021225/56040,TATE FUEL OILS LTD,06/10/2020,17198.86
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CULTURAL LEARNING ,B000021225/60670,FRIENDS OF RHYDDINGS PARK,06/10/2020,750
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONTRIBUTION TO GRANT ,B000021225/60670,FRIENDS OF RHYDDINGS PARK,06/10/2020,500
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE  22.09.20 ,B000021225/7871,STANLEY BROS TIPPERS LTD,06/10/2020,450
BUILDING CONTROL B.U.,AGENCY STAFF,PROF SERVICES  - AUG,B000021226/55748,CAPITA PROPERTY & INFRASTRUCTURE LTD,06/10/2020,5913
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,PROFESSIONAL FEES,B000021226/64614,MR PIERS RILEY-SMITH,06/10/2020,1000
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021226/7874,STANNAH LIFT SERVICES LIMITED,06/10/2020,3382
RECYCLING COLLECTION,PRINTING,5000 X BROWN  BIN STICKERS,B000021227/1344,ELLISON PRINTING,06/10/2020,422
