Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL SERVICES,PARKS,PLANNING APPLICATION,P-CARD - JAN 21,PLANNING PORTAL,15/12/2020,487
REGENERATION,HOUSING SERVICES,SUBSCRIPTION,P-CARD - JAN 21,CIEH,15/12/2020,253
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,"MIRROR,BOLT,HORN,LAMP",B000021522/1164,DENNIS EAGLE LIMITED,05/01/2021,579.34
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,DROP LINKS,B000021522/1918,HYDRAIR,05/01/2021,251.52
PARKS & OPEN SPACES,MATERIALS-DIRECT,HONDA REAR WHEELS,B000021522/442,BALMERS GARDEN MACHINERY,05/01/2021,389.76
PARKS & OPEN SPACES,MATERIALS-DIRECT,LAWN MOWER PARTS,B000021522/442,BALMERS GARDEN MACHINERY,05/01/2021,583.62
PARKS & OPEN SPACES,MATERIALS-DIRECT,ROTARY BLADES,B000021522/7805,SPALDINGS UK LTD,05/01/2021,492
MOT GENERAL,AGENCY STAFF,TEMP STAFF,B000021523/61466,AUTOTECH RECRUIT,05/01/2021,1000
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 22.12.20,B000021525/61657,G2 RECRUITMENT SOLUTIONS,05/01/2021,1118.88
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 22.12.20,B000021525/61657,G2 RECRUITMENT SOLUTIONS,05/01/2021,2075.32
ADMINISTRATION SERVICES,OFFICE CONSUMABLES,INK FOR FRANKING MACHINE,B000021525/7231,PITNEY BOWES LTD,05/01/2021,519.85
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  13.12.20,B000021526/19414,HEADS RECRUITMENT LIMITED,05/01/2021,396.59
LCC COVID PREVENTION,AGENCY STAFF,TEMP STAFF W/E 20.12.20,B000021526/58023,BUCKINGHAM FUTURES LTD,05/01/2021,420
LCC COVID PREVENTION,AGENCY STAFF,AGENCY STAFF WK 7.12.20 ,B000021526/58023,BUCKINGHAM FUTURES LTD,05/01/2021,451.5
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF WK 7.12.20 ,B000021526/58852,OYSTER PARTNERSHIP,05/01/2021,918.96
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONT TOWARDS GRANT FOR EVENTS ,B000021526/60670,FRIENDS OF RHYDDINGS PARK,05/01/2021,2000
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,INVOICE DEC 2019 - MAR 2020,B000021528/24110,NEWGROUND CIC,05/01/2021,11185
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E 12/12/2020,B000021528/55740,RAPID RECRUITMENT LTD,05/01/2021,2906.39
LCC COVID PREVENTION,AGENCY STAFF,AGENCY STAFF 30.11.20 - 06.12.20 ,B000021528/58023,BUCKINGHAM FUTURES LTD,05/01/2021,588
HEALTH FOOD & SAFETY,AGENCY STAFF,AGENCY STAFF W/C 30/11/2020,B000021528/58852,OYSTER PARTNERSHIP,05/01/2021,918.96
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,RHYDDINGS PARK LESSON PLANNING,B000021528/64576,RURAL RESPITE LIMITED,05/01/2021,1350
TIPPING CHARGES,HIRED VEHICLE,HIRE OF TIPPER WAGON 12/12/2020,B000021528/7871,STANLEY BROS TIPPERS LTD,05/01/2021,450
P & C G ,HR,SUBSCRIPTION,P-CARD - JAN 21,CIPR,05/01/2021,290
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 20.12.20,B000021529/33923,EDEN BROWN LIMITED,06/01/2021,1010.1
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 20.12.20,B000021529/46341,MORGAN HUNT UK LTD,06/01/2021,307.68
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 20.12.20,B000021529/46341,MORGAN HUNT UK LTD,06/01/2021,910.52
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 20.12.20,B000021529/55150,VENN GROUP LIMITED,06/01/2021,925
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,PRESS NOTICE,B000021529/59724,TMP (UK) LTD,06/01/2021,267.6
ADMINISTRATION SERVICES,POSTAGES,TOP UP OF MACHINE,B000021529/7231,PITNEY BOWES LTD,06/01/2021,9498.69
CHURCH ST PLAY AREA,CONTRACTOR OTHER,PER TENDER RETURN DATED 5.8.19,B000021531/43700,KOMPAN LTD,06/01/2021,1806.08
VEHICLE MAINT SUPERVISION,FUEL STOCK,GAS OIL,B000021531/64492,CERTAS ENERGY,06/01/2021,1154.14
