Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
P & CG,HR,TRAINING,P-CARD - MAR 21,ONLINE TRAINING,17/02/21,420.00
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,EQPT FOR COVID TEST CENTRE,P-CARD - MAR 21,AMAZON,18/02/21,388.16
P & CG,CENTRAL ADMIN,STATIONERY,P-CARD - MAR 21,OFFICE DEPOT,18/02/21,253.29
BANK CHARGES,BANK CHARGES,STREAMLINE,33842,WORLDPAY,19/02/21,1907.39
P & CG,FINANCIAL SERVICES,SUBSCRIPTION,P-CARD - MAR 21,IRRV,25/02/21,1440.00
P & CG,HR,TRAINING,P-CARD - MAR 21,ONLINE TRAINING,26/02/21,280.00
P & CG,CENTRAL ADMIN,STATIONERY,P-CARD - MAR 21,OFFICE DEPOT,01/03/21,452.20
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BUMPER,B000021801/1164,DENNIS EAGLE LIMITED,02/03/21,278.42
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BUMPER,B000021801/1164,DENNIS EAGLE LIMITED,02/03/21,428.54
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,DROP LINKS,B000021801/1918,HYDRAIR,02/03/21,251.52
MOT GENERAL,AGENCY STAFF,TEMP STAFF,B000021801/61466,AUTOTECH RECRUIT,02/03/21,1000
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,JUMP PACK,B000021801/64658,KEITH CLEMENT AUTO ELECTRICAL SERVICE LIMITED,02/03/21,350
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,PIPES,B000021801/7228,PIRTEK PRESTON 2004 LTD,02/03/21,264.61
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SENSOR,B000021801/8014,TERBERG MATTEC UK LTD,02/03/21,316.8
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CLAMP SPRING,B000021801/8014,TERBERG MATTEC UK LTD,02/03/21,889.4
HEALTH FOOD & SAFETY,GPP + ORDNANCE SURVEY SHEETS,CSP FOR WINDOWS GGP 01.04.21- 31.3.22,B000021802/1639,GGP SYSTEMS LTD,02/03/21,1417.44
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF 7.2.21 ,B000021802/19414,HEADS RECRUITMENT LIMITED,02/03/21,396.59
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF   14.02.21,B000021802/19414,HEADS RECRUITMENT LIMITED,02/03/21,396.59
COVID TESTING,HIRED VEHICLE,VEHICLE RENTAL  25.01.21 -22.2.21,B000021802/2062,INTACK SELF DRIVE,02/03/21,599.6
CCTV'S,PRIVATE CONTRACTORS WORK,CCTV MONITORING DECEMBER 2020,B000021802/28873,BLACKBURN WITH DARWEN B.C.,02/03/21,7497.6
CCTV'S,PRIVATE CONTRACTORS WORK,CCTV MONITORING JANUARY 2021,B000021802/28873,BLACKBURN WITH DARWEN B.C.,02/03/21,7497.6
CCTV'S,PRIVATE CONTRACTORS WORK,CCTV MONITORING NOVEMBER 20,B000021802/28873,BLACKBURN WITH DARWEN B.C.,02/03/21,7497.6
CCTV'S,EQUIPMNT REPAIR & MAINT,NEW CAMERAS AND UPGRADE TO CCTV WITHIN HYNDBURN,B000021802/28873,BLACKBURN WITH DARWEN B.C.,02/03/21,49550.78
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK,CLEANING MARCH 21,B000021802/50873,SERVICEMASTER,02/03/21,848.25
HYNDBURN CEMETERIES,NEW SEATS,BENCH REPAIRS,B000021802/54326,ARK PLASTICS LTD,02/03/21,340
COVID TESTING,AGENCY STAFF,AGENCY WK 8.2.21 TO 14.2.21,B000021802/55740,RAPID RECRUITMENT LTD,02/03/21,517.26
COVID TESTING,AGENCY STAFF,AGENCY STAFF WK 15.02.21 - 21.02.21,B000021802/55740,RAPID RECRUITMENT LTD,02/03/21,614.28
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 04.01.21 - 10.01.21 ,B000021802/55740,RAPID RECRUITMENT LTD,02/03/21,2696.41
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 01.2.21 TO 07.2.21,B000021802/55740,RAPID RECRUITMENT LTD,02/03/21,3135.91
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 15.2.21 TO 21.2.21 ,B000021802/55740,RAPID RECRUITMENT LTD,02/03/21,3301.14
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF  WK 8.2.21 TO 14.2.21 ,B000021802/55740,RAPID RECRUITMENT LTD,02/03/21,3653.17
LCC COVID PREVENTION,AGENCY STAFF, AGENCY STAFF  8.2.21 TO 14.2.21 ,B000021802/58023,BUCKINGHAM FUTURES LTD,02/03/21,682.5
