Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
P & C G,CENTRAL ADMIN,STATIONERY,P-CARD- MAY 21,OFFICE DEPOT,13/04/2021,487.07
P & C G,FINANCIAL SECRVICES,HOUSEHOLD GOODS,P-CARD- MAY 21,AMAZON,19/04/2021,3404.67
REGENERATION,HOUSING,SUBSCRIPTION,P-CARD- MAY 21,HAYMARKET BUSINESS,22/04/2021,350.00
REGENERATION,HOUSING,SUBSCRIPTION,P-CARD- MAY 21,LANDLORD LAW,23/04/2021,625.00
P & C G,CENTRAL ADMIN,EYE CARE VOUCHERS,P-CARD- MAY 21,EDENRED,28/04/2021,756.75
LCC COVID PREVENTION,IMPLEMENTS & TOOLS,GT HAR COVID STATION,B000022092/28458,MARCHBRIDGE BUILDERS LTD,04/05/2021,386
PAVING IMPROVEMENTS,CONTRACTOR OTHER,TOWN  CENTRE PAVEMENT REPAIRS,B000022092/28458,MARCHBRIDGE BUILDERS LTD,04/05/2021,1136.27
OFF STREET PARKING,GENERAL REPAIR & MAINT BLDGS,ELLISON ST CAR PARK REPS,B000022092/28458,MARCHBRIDGE BUILDERS LTD,04/05/2021,4870.39
LEISURE IN HYNDBURN,GRANTS-GENERAL,SPORT ENG NRLF 1,B000022092/29112,HYNDBURN LEISURE,04/05/2021,51295
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,EXCAVATE HAWORTH PARK,B000022092/54512,CLEAR A DRAIN LTD,04/05/2021,517
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,THI MAINT GUIDE,B000022092/62122,FRANCIS ROBERTS ARCHITECTS,04/05/2021,720
DS6994  ACCRINGTON,GENERAL REPAIR & MAINT BLDGS,REPAIRS TO ROOF,B000022092/65847,A FISHER ROOFING,04/05/2021,950
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022092/7874,STANNAH LIFT SERVICES LIMITED,04/05/2021,3186
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SERVICE KIT,B000022096/1164,DENNIS EAGLE LIMITED,04/05/2021,518.7
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,ROLLER NUT ROD,B000022096/442,BALMERS GARDEN MACHINERY,04/05/2021,375.34
PARKS & OPEN SPACES,MATERIALS-DIRECT,MOWER PARTS,B000022096/442,BALMERS GARDEN MACHINERY,04/05/2021,1253.76
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,REPAIR BY PIRTEK,B000022096/7228,PIRTEK PRESTON 2004 LTD,04/05/2021,278.15
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,NEW HOSE REEL/HOSE,B000022096/7228,PIRTEK PRESTON 2004 LTD,04/05/2021,525.28
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SKIDS X 5 SWEEPERS,B000022096/7688,AEBI SCHMIDT UK LTD,04/05/2021,627.13
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF WK  18.4.21,B000022098/19414,HEADS RECRUITMENT LIMITED,05/05/2021,474.24
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF  WK 18.4.21 ,B000022098/19414,HEADS RECRUITMENT LIMITED,05/05/2021,1004.64
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE RENTAL  16.4.21 - 14.5.21 ,B000022098/2062,INTACK SELF DRIVE,05/05/2021,380
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REACTEC ANNUAL HAV MONITOR,B000022098/26392,REACTEC,05/05/2021,945
COVID MARSHALLS,PRIVATE CONTRACTORS WORK,COVID MARSHALLS  FEBRARY 2021 X 15,B000022098/29112,HYNDBURN LEISURE,05/05/2021,12562.89
COVID MARSHALLS,PRIVATE CONTRACTORS WORK,"MARSHALLS  X 15, PERIOD  MARCH 2021",B000022098/29112,HYNDBURN LEISURE,05/05/2021,13427.54
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK,"MAY 21,  WILLOWS LANE DEPOT",B000022098/50873,SERVICEMASTER,05/05/2021,807.14
COVID TESTING,AGENCY STAFF,TEMP STAFF WK 19.4.21 - 25.4.21 ,B000022098/55740,RAPID RECRUITMENT LTD,05/05/2021,517.26
SANITISATION STATIONS,AGENCY STAFF,AGENCY STAFF ,B000022098/55740,RAPID RECRUITMENT LTD,05/05/2021,754.92
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK  19.4.21 - 25.4.21 ,B000022098/55740,RAPID RECRUITMENT LTD,05/05/2021,1929.18
COVID MARSHALLS,AGENCY STAFF,TEMPS STAFF WK 19.4.21 ,B000022098/58852,OYSTER PARTNERSHIP,05/05/2021,294.3
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF WK 12.4.21 ,B000022098/58852,OYSTER PARTNERSHIP,05/05/2021,485.85
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF WK  12.4.21 ,B000022098/58852,OYSTER PARTNERSHIP,05/05/2021,918.96
COVID MARSHALLS,AGENCY STAFF,AGENCY STAFF  WK  19.4.21  ,B000022098/58852,OYSTER PARTNERSHIP,05/05/2021,918.96
COVID BACKFILL,AGENCY STAFF,TEMP STAFF WK 19.4.21 ,B000022098/58852,OYSTER PARTNERSHIP,05/05/2021,1645.92
COVID BACKFILL,AGENCY STAFF,TEMP STAFF WK 12.4.21 ,B000022098/58852,OYSTER PARTNERSHIP,05/05/2021,1998
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,ACTIVITY AND MATERIALS GRANT ,B000022098/60670,FRIENDS OF RHYDDINGS PARK,05/05/2021,1783.37
CORP & DEM CORE,HIRED VEHICLE,HIRE OF TELEHANDLER 22-31/3/21 ,B000022098/7871,STANLEY BROS TIPPERS LTD,05/05/2021,512
GYPSY SITE,SEWERAGE,CLEAR BLOCKAGES 25.4.21  02.05.21,B000022106/1248,DUNCAN CAMPBELL,06/05/2021,300
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 21.04.21,B000022106/33923,EDEN BROWN LIMITED,06/05/2021,819
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 25.04.21,B000022106/46341,MORGAN HUNT UK LTD,06/05/2021,991.34
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 04.04.21,B000022106/55150,VENN GROUP LIMITED,06/05/2021,925
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 25.04.21,B000022106/60568,CUMMINS MELLOR,06/05/2021,610.5
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,SOFTWARE 3D SECURE V2 AND ESTORE,B000022107/17209,CIVICA UK LIMITED,06/05/2021,34200
DEV CONTROL,DEV CONTROL SYSTEM,UPGRADE AND SERVER MIGRATION,B000022107/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,06/05/2021,3000
DEV CONTROL,DEV CONTROL SYSTEM,DCP ONLINE RENEWAL,B000022107/52420,HAYMARKET MEDIA GROUP,06/05/2021,2905
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022107/7874,STANNAH LIFT SERVICES LIMITED,06/05/2021,7595
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022109/35745,AGS HEATING & PLUMBING LTD,10/05/2021,1680
