Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,RTPI SUBS 2021,B000021958/39694,ROYAL TOWN PLANNING INSTITUTE,01/04/2021,315
DEVELOPMENT,ADVERTISING,ADVERTISING,B000021958/59687,BLUETOWNONLINE LTD,01/04/2021,398
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF WE 14.03.21,B000021958/63907,BUTLER ROSE,01/04/2021,436.45
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF WE 07.03.21,B000021958/63907,BUTLER ROSE,01/04/2021,629.15
CORP & DEM CORE,GENERAL SUBSCRIPTIONS,NW EMPLOYERS SUBS 21/22,B000021958/58090,NORTH WEST EMPLOYERS,01/04/2021,4281.81
OTHER SERVICES,SINGLE FUNDING POT,CAB GRANT FUNDING 20/21 2ND INSTALMENT,B000021958/905,CITIZENS ADVICE BUREAU,01/04/2021,15000
LICENSING,GENERAL SUBSCRIPTIONS,MEMBERSHIP RENEWAL,B000021968/47283,INSTITUTE OF LICENSING,07/04/2021,310
HAWORTH ART GALLERY,EXHIBITIONS,BLINDS FOR EXHIBITION ROOM,B000021968/60748,BLIND SOLUTIONS,07/04/2021,375
ADMINISTRATION SERVICES,OFFICE CONSUMABLES,40 BOXES PAPER,B000021968/781,CANON (UK) LTD,07/04/2021,502
INVESTIGATIONS/FRAUD,PUBLICATIONS & PERIODICALS,NAFN ANNUAL SUBS 21/22,B000021968/58700,TAMESIDE MBC,07/04/2021,1600
LOCAL ELECTIONS,COVID ITEMS,WASH BASINS,B000021968/65596,TEAL PATENTS LTD,07/04/2021,3660
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,YEARLY INV FOR MAYORAL CAR,B000021966/55818,LEX AUTOLEASE LTD,07/04/2021,4854.84
MEMBER SERVICES,COMPUTER SERVICES,ANNUAL LIC SUPPORT & MTCE,B000021968/17209,CIVICA UK LIMITED,07/04/2021,10601.2
LEISURE IN HYNDBURN,GRANTS-GENERAL,SPORT ENGLAND APR 20-SEP 20,B000021966/29112,HYNDBURN LEISURE,07/04/2021,76437
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,JET WASHING PAVILLION,B000021981/65707,DRAIN JETTING SERVICES LIMITED,08/04/2021,625
MARKETS - OPERATIONS,MARKETING INITIATIVES,DIGTAL ADVERTISING,B000021981/65704,BE SEEN ADVERTISING,08/04/2021,950
MARKETS - OPERATIONS,MARKETING INITIATIVES,WELCOME SIGNAGE,B000021981/65666,AT SERVICES,08/04/2021,1760
LOCAL TAXATION,LEGAL FEES,CONFERENCE RE HARWOOD BUSINESS CENTRE,B000021985/64928,MR FREDDIE HUMPHREYS,12/04/2021,300
GENERAL EXPENSES,CABINET ACTION FUND,FLOWERS PALS CHAPEL,B000021988/12446,ST JOHNS ACCRINGTON FLOWER ACCOUNT,12/04/2021,300
ENVIRONMENTAL PROTECTION TEAM,WORK IN DEFAULT,REMOVAL OF WASTE,B000021985/59338,WASTE BUSTERS WASTE REMOVAL,12/04/2021,380
OFF STREET PARKING,GENERAL REPAIR & MAINT BLDGS,"REPAIR TO WALL BEHIND CO OP, CLAYTON",B000021985/45450,MERCERS BUILDERS LTD,12/04/2021,390
LCC COVID PREVENTION,IMPLEMENTS & TOOLS,HOLGATE ST COVID CENTRE,B000021985/28458,MARCHBRIDGE BUILDERS LTD,12/04/2021,526
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 28.03.21,B000021988/60568,CUMMINS MELLOR,12/04/2021,592
MOT GENERAL,AGENCY STAFF,TEMP STAFF,B000021986/61466,AUTOTECH RECRUIT,12/04/2021,625
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 02.04.21,B000021985/61657,G2 RECRUITMENT SOLUTIONS,12/04/2021,635.89
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FLY WHEEL,B000021986/1918,HYDRAIR,12/04/2021,638.87
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT ,B000021985/26944,EAFIELD & MAPLE,12/04/2021,700
HEALTH FOOD & SAFETY,FEES-ANALYSTS & CONSULTANTS,COUNSEL FEE,B000021985/65710,MR KRISTIAN CAVANAGH,12/04/2021,750
GENERAL INVESTIGATION,WORK DONE DLO-HIGHWAYS,REMOVAL OF TREE,B000021988/56445,KEN LINFORD GARDEN CARE LTD,12/04/2021,800
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 07.03.21,B000021988/55150,VENN GROUP LIMITED,12/04/2021,925
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 14.03.21,B000021988/55150,VENN GROUP LIMITED,12/04/2021,925
ACC TOWN HALL,CLEANING OF BUILDINGS,BROADWAY OFFICES CLEANING MAR 21,B000021988/29112,HYNDBURN LEISURE,12/04/2021,936
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 28.03.21,B000021988/46341,MORGAN HUNT UK LTD,12/04/2021,990.86
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF WE 28.03.21,B000021988/33923,EDEN BROWN LIMITED,12/04/2021,1010.1
HOUSING ADVICE,AGENCY STAFF,STAFF PE 28.03.21,B000021985/61860,VIVID RESOURCING,12/04/2021,1514.21
HOUSING ADVICE,AGENCY STAFF,STAFF P/E  02.04.21   04.04.21,B000021985/61860,VIVID RESOURCING,12/04/2021,1514.21
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000021985/64557,HARRIS HEATING (NW) LTD,12/04/2021,1585
GYPSY SITE,RENT AND HIRE OF PREMISES,RENT OF PITCHES ,B000021985/45458,GLOSSOP CARAVANS LTD,12/04/2021,1960
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000021985/35745,AGS HEATING & PLUMBING LTD,12/04/2021,2700
HUMAN RESOURCES,TRAINING EXPENSES,LEARNING POOL ANN SUBS,B000021985/60910,LEARNING POOL LTD,12/04/2021,6500
"AUDIT, BANK & TREASURY FEES",APPROVED AUDIT FEES,AUDIT FEES H/B 19-20,B000021985/38319,GRANT THORNTON UK LLP,12/04/2021,17600
ACCRINGTON TOWN CENTRE,T C PROMOTIONS,SALES AND WELCOME PACK DESIGN,B000021991/17546,SCOTT DAWSON ADVERTISING LTD,13/04/2021,275
MARKETS - OPERATIONS,GENERAL SUBSCRIPTIONS,NABMA MEMBERSHIP,B000021991/8811,NABMA,13/04/2021,738
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,APRIL CLEAN,B000021991/50873,SERVICEMASTER,13/04/2021,1195.74
COVID 19,PRIVATE CONTRACTORS WORK,OAKHILL PARK APRIL 21,B000021998/50873,SERVICEMASTER,14/04/2021,292.5
PUBLIC TRANSPORT,MAINTENANCE,BUS SHELTER CHURCH KIRK,B000021996/8372,VICTORIA GLASS JOINERY & PLUMBING LTD,14/04/2021,317.75
ACCRINGTON CREMATORIUM,SECURITY SYSTEM MAINTENANCE,CALL OUT TWO PHONE LINES NOT WORKING,B000021998/65390,DIRECT VOICE AND DATA,14/04/2021,375
COVID 19,PRIVATE CONTRACTORS WORK,CLEANING WILSONS APRIL 21,B000021998/50873,SERVICEMASTER,14/04/2021,448.4
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF WK 28.03.21 ,B000021998/19414,HEADS RECRUITMENT LIMITED,14/04/2021,463.32
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF W/C  28.03.21 ,B000021998/19414,HEADS RECRUITMENT LIMITED,14/04/2021,491.01
COVID TESTING,AGENCY STAFF,AGENCY STAFF WK 29.3.21 - 4.4.21 ,B000021998/55740,RAPID RECRUITMENT LTD,14/04/2021,564.73
LCC COVID PREVENTION,AGENCY STAFF,AGENCY STAFF 22.03.21-28.03.21 ,B000021998/58023,BUCKINGHAM FUTURES LTD,14/04/2021,588
ACCRINGTON CREMATORIUM,PRIVATE CONTRACTORS WORK,CLEANING ACCRIGNTON CEMETERY APRIL 21,B000021998/50873,SERVICEMASTER,14/04/2021,597.87
COVID 19,PRIVATE CONTRACTORS WORK,CLEANING RHYDDINGS APRIL 21,B000021998/50873,SERVICEMASTER,14/04/2021,672.61
COVID TESTING,AGENCY STAFF,AGENCY STAFF WK 22.03.21 - 28.03.21 ,B000021998/55740,RAPID RECRUITMENT LTD,14/04/2021,676.8
COVID 19,HIRED VEHICLE,VEHICL RENTAL 6.3.21 - 3.4.21,B000021998/2062,INTACK SELF DRIVE,14/04/2021,819.17
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK,WILLOWS LANE CLEANING APRIL 21,B000021998/50873,SERVICEMASTER,14/04/2021,866.91
PARKS & OPEN SPACES,ADVERTISING,JOB ADVERT,B000021996/58800,HAYMARKET MEDIA GROUP LTD,14/04/2021,1095
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF P/E 28.03.21,B000021996/61657,G2 RECRUITMENT SOLUTIONS,14/04/2021,1162.5
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021997/50640,PRISM MEDICAL UK,14/04/2021,1646
WASTE SERVICES,AGENCY STAFF,"AGNCY STAFF WK  29.03.21 - 04.04.21, ",B000021998/55740,RAPID RECRUITMENT LTD,14/04/2021,3086.63
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021997/25868,HYNDBURN PLUMBING & HEATING SERVICES,14/04/2021,3132
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021997/7874,STANNAH LIFT SERVICES LIMITED,14/04/2021,3420
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,INFO AT WORK SUPPORT,B000021996/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,14/04/2021,4000
WASTE SERVICES,AGENCY STAFF,AGENCY WK 22.03.21 - 28.03.21 3 ,B000021998/55740,RAPID RECRUITMENT LTD,14/04/2021,4542.77
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FILTERS,B000022017/42081,TOWNSON TRACTORS,19/04/2021,279.6
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,HINGE,B000022017/1758,GUNN JCB LTD,19/04/2021,306.64
PARKS & OPEN SPACES,ELECTRICITY,COMMUNITY HUB MAR 2021,B000022014/59343,EDF ENERGY,19/04/2021,308.19
CUSTOMER SERVICES,AGENCY STAFF,STAFF WE 04.04.21,B000022018/60568,CUMMINS MELLOR,19/04/2021,486.75
INSURANCES,PREMIUMS PAID,PERSONAL ACCIDENT INSURANCE 21/22,B000022014/64419,AON UK LTD,19/04/2021,560
COVID 19,CLEANING,CLEANING AT CVMU,B000022017/50873,SERVICEMASTER,19/04/2021,597.87
