Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL SERVICES,WASTE SERVCES,SUBSCRIPTION,P-CARD - JUNE 21,SOLACE,24/05/2021,250.00
ENVIRONMENTAL SERVICES,ACC CEMETERY,WOOD,P-CARD - JUNE 21,WHEWELLS,01/06/2021,250.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 23.5.21,B000022189/33923,EDEN BROWN LIMITED,02/06/2021,1010.10
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 23.5.21,B000022189/46341,MORGAN HUNT UK LTD,02/06/2021,611.10
COVID 19,DISASTER PLANNING,10 LOGITECH WEBCAMS,B000022189/52932,INSIGHT DIRECT (UK) LTD,02/06/2021,319.90
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 2.5.21,B000022189/55150,VENN GROUP LIMITED,02/06/2021,925.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 23.5.21,B000022189/55150,VENN GROUP LIMITED,02/06/2021,999.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 9.5.21,B000022189/55150,VENN GROUP LIMITED,02/06/2021,925.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 11.4.21,B000022189/55150,VENN GROUP LIMITED,02/06/2021,925.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 18.4.21,B000022189/55150,VENN GROUP LIMITED,02/06/2021,925.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 25.4.21,B000022189/55150,VENN GROUP LIMITED,02/06/2021,925.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 16.5.21,B000022189/55150,VENN GROUP LIMITED,02/06/2021,925.00
ACCOUNTANCY,TRAINING EXPENSES,CODE OF PRACTICE 20/21,B000022189/58814,CIPFA,02/06/2021,715.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 17.5.21,B000022189/58852,OYSTER PARTNERSHIP,02/06/2021,1645.14
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 10.5.21,B000022189/58852,OYSTER PARTNERSHIP,02/06/2021,1767.36
LICENSING,OFFICE CONSUMABLES,GOODS FOR TAXI LICENSING,B000022189/60103,NEWAUTO LTD,02/06/2021,1211.90
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 23.5.21,B000022189/60568,CUMMINS MELLOR,02/06/2021,610.50
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,RENTAL OF RICOH COPIER,B000022189/62209,RIGBY CAPITAL LTD,02/06/2021,393.22
ADMINISTRATION SERVICES,POSTAGES,POSTAGE,B000022189/7231,PITNEY BOWES LTD,02/06/2021,9011.88
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022190/45450,MERCERS BUILDERS LTD,02/06/2021,10000.00
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 14.5.21,B000022190/59823,HAYS,02/06/2021,1548.08
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 21.5.21,B000022190/59823,HAYS,02/06/2021,1234.28
INSURANCES,PREMIUMS PAID,METLIFE RENEWAL 2021,B000022190/60858,METLIFE,02/06/2021,1482.33
MARKETS - OPERATIONS,MARKETING INITIATIVES,2 PAGE ADVERT ACORN MAG,B000022192/52885,ACORN COMMUNITY NEWS,02/06/2021,450.00
INDOOR MARKET HALL REDEVELOPMT,CONTRACTOR OTHER,"NEW ELECTRICS STALL 5,6,7",B000022192/57949,STEVEN MERCER ELECTRICAL CONTRACTORS LIMITED,02/06/2021,2235.00
INDOOR MARKET HALL REDEVELOPMT,CONTRACTOR OTHER,"STALL 13,8,7,29",B000022192/65965,TONY HOWARTH JOINERY,02/06/2021,2410.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY 16.5.21 2 X OPERATIVES,B000022196/19414,HEADS RECRUITMENT LIMITED,03/06/2021,895.16
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF 16.5.21,B000022196/19414,HEADS RECRUITMENT LIMITED,03/06/2021,474.24
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF 16.5.21,B000022196/19414,HEADS RECRUITMENT LIMITED,03/06/2021,474.24
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE HIRE 14.5.21 - 11.6.21,B000022196/2062,INTACK SELF DRIVE,03/06/2021,380.00
COVID 19,HIRED VEHICLE,VEHICLE HIRE 27.4.21 - 25.5.21,B000022196/2062,INTACK SELF DRIVE,03/06/2021,506.52
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE HIRE 14.5.21 -11.6.21,B000022196/2062,INTACK SELF DRIVE,03/06/2021,380.00
HYNDBURN CEMETERIES,HEADSTONE SAFETY,GROUND BEAMS AT LEE LANE CEMETERY ,B000022196/28458,MARCHBRIDGE BUILDERS LTD,03/06/2021,4950.00
COVID 19,PRIVATE CONTRACTORS WORK,ACCRINGTON CEMETERY MARCH 21,B000022196/50873,SERVICEMASTER,03/06/2021,585.00
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 10.5.21 TO 16.5.21 ,B000022196/55740,RAPID RECRUITMENT LTD,03/06/2021,1551.78
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF 17.5.21 - 23.5.21,B000022196/55740,RAPID RECRUITMENT LTD,03/06/2021,1034.52
SANITISATION STATIONS,AGENCY STAFF,AGENCY CRT 17.5.21 TO 23.5.21 ,B000022196/55740,RAPID RECRUITMENT LTD,03/06/2021,929.76
COVID TESTING,AGENCY STAFF,TEMP STAFF 10.5.21 TO 16.5.21,B000022196/55740,RAPID RECRUITMENT LTD,03/06/2021,517.26
COVID TESTING,AGENCY STAFF,TEMP STAFF WK 17.5.21 TO 23.5.21,B000022196/55740,RAPID RECRUITMENT LTD,03/06/2021,614.28
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF WK 17.5.21 ,B000022196/58852,OYSTER PARTNERSHIP,03/06/2021,918.96
COVID BACKFILL,AGENCY STAFF,TEMP STAFF WK 17.5.21 ,B000022196/58852,OYSTER PARTNERSHIP,03/06/2021,1998.00
COVID BACKFILL,AGENCY STAFF,TEMP STAFF WK 10.5.21 ,B000022196/58852,OYSTER PARTNERSHIP,03/06/2021,2017.98
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF WK 10.5.21,B000022196/58852,OYSTER PARTNERSHIP,03/06/2021,918.96
PEST CONTROL,GENERAL SUBSCRIPTIONS,ANNUAL RENEWAL FULL SERVICING  ,B000022196/60701,BRITISH PEST CONTROL ASSOCIATION,03/06/2021,430.00
WILLOWS LANE DEPOT,DEPOT COSTS,CLEAN OUT INTERCEPTORS AND GULLIES,B000022196/61581,C J JETZ LTD,03/06/2021,993.00
COVID-COMF,ADVERTISING GENERAL,MESSAGE SIGN IN HYNDBURN X 7 - MAY 21,B000022196/65009,CLANCY PLANT LIMITED,03/06/2021,6820.31
HIGH STREET FUND,ADVERTISING GENERAL,MESSAGE SIGN IN HYNDBURN X 3 - MAY 21,B000022196/65009,CLANCY PLANT LIMITED,03/06/2021,2922.06
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,STREET NAME PLATES,B000022197/24038,G & G SIGNS,04/06/2021,933.45
LCC COVID PREVENTION,IMPLEMENTS & TOOLS,HIRE OF BARRIERS - MAY 21,B000022197/28458,MARCHBRIDGE BUILDERS LTD,04/06/2021,560.00
LEISURE IN HYNDBURN,GRANTS-GENERAL,WEIGHT MGT GRANT - APR-JUN 21,B000022197/29112,HYNDBURN LEISURE,04/06/2021,6591.75
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 28.5.21,B000022197/59823,HAYS,04/06/2021,313.80
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 23.5.21,B000022197/63907,BUTLER ROSE,04/06/2021,799.20
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 2.5.21,B000022197/63907,BUTLER ROSE,04/06/2021,825.40
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 25.4.21,B000022197/63907,BUTLER ROSE,04/06/2021,799.20
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 9.5.21,B000022197/63907,BUTLER ROSE,04/06/2021,577.20
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 16.5.21,B000022197/63907,BUTLER ROSE,04/06/2021,543.90
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 30.5.21,B000022197/63907,BUTLER ROSE,04/06/2021,632.70
ADMINISTRATION SERVICES,EQUIPMNT REPAIR & MAINT,COPIER CHARGES - 22.2.21 - 21.5.21,B000022197/781,CANON (UK) LTD,04/06/2021,354.54
ENVIRONMENTAL SERVICES,PEST CONTROL,PESTICIDE PRODUCTS,P-CARD - JUNE 21,1ENV SOLUTIONS,04/06/2021,258.44
CLINICALLY & EXTEME VULNERABLE,GRANTS,CLINICAL & EXTREMELY VULNERABLE GRANT,B000022207/29112,HYNDBURN LEISURE,07/06/2021,240368.25
AMH LANDSCAPING PEEL ST,CONTRACTOR OTHER,JET & SURVEY DRAINS - ACC MARKET,B000022207/54512,CLEAR A DRAIN LTD,07/06/2021,635.00
MARKETS - OPERATIONS,ELECTRICITY,ACC MARKET - MAY 21,B000022207/59343,EDF ENERGY,07/06/2021,2202.34
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL - MAY 21,B000022207/59343,EDF ENERGY,07/06/2021,780.22
LIBRARY ST DEPOT,ELECTRICITY,CVMU - MAY 21,B000022207/59343,EDF ENERGY,07/06/2021,1141.81
GYPSY SITE,ELECTRICITY,TRAVELLER SITE - MAY 21,B000022207/59343,EDF ENERGY,07/06/2021,1452.40
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE- MAY 21,B000022207/59343,EDF ENERGY,07/06/2021,6351.21
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE - MAY 21,B000022207/59343,EDF ENERGY,07/06/2021,3600.53
ACC TOWN HALL,ELECTRICITY,ACC TOWN HALL - MAY 21,B000022207/59343,EDF ENERGY,07/06/2021,1221.54
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,PRINTING,B000022207/62168,CIVICA ELECTION SERVICES,07/06/2021,325.01
HAWORTH ART GALLERY,WEDDING EXPENDITURE,WEDDING ADVERT,B000022207/65971,PRESCRIPTION MEDIA,07/06/2021,446.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022208/25868,HYNDBURN PLUMBING & HEATING SERVICES,07/06/2021,4556.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022208/7874,STANNAH LIFT SERVICES LIMITED,07/06/2021,3152.16
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 30.5.21,B000022210/33923,EDEN BROWN LIMITED,08/06/2021,1010.10
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 24.5.21,B000022210/46341,MORGAN HUNT UK LTD,08/06/2021,1004.92
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 24.5.21,B000022210/58852,OYSTER PARTNERSHIP,08/06/2021,1578.36
HAWORTH ART GALLERY,PROFESSIONAL ARTISTS FEE,ARTISTS FEES,B000022210/60070, AKA DINKYSTRUMPET,08/06/2021,300.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 30.5.21,B000022210/60568,CUMMINS MELLOR,08/06/2021,1221.00
HOUSING ADVICE,AGENCY STAFF,TEMP STAFF W/E 30.5.21,B000022210/61860,VIVID RESOURCING,08/06/2021,1767.09
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT,B000022210/66001,COLNE 1 LTD,08/06/2021,433.33
MARKETS - OPERATIONS,GENERAL REPAIR & MAINT BLDGS,JUNE 21 SUP CLEANING,B000022213/50873,SERVICEMASTER,08/06/2021,1195.74
BOLTON AVENUE PLAY AREA,CONTRACTOR OTHER,SITE INVESTIGATION WORK ,B000022214/54512,CLEAR A DRAIN LTD,08/06/2021,275.00
PARKS WALL RECONSTRUCTION PROJ,CONTRACTOR OTHER,CARRY OUT REPAIRS AND RECONSTRUCTION,B000022214/54658,WADE GROUP,08/06/2021,6195.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,BOWCOM SUPREME PLUS RED SPOT,B000022214/57563,BOWCOM,08/06/2021,1170.00
PARKS & OPEN SPACES,IMPLEMENTS & TOOLS,BILLY GOAT LATEST ELECTRIC START MODEL,B000022214/60260,CHESHIRE TURF MACHINERY,08/06/2021,3150.00
VEHICLE MAINT SUPERVISION,FUEL STOCK,DIESEL,B000022214/64492,CERTAS ENERGY,08/06/2021,17847.37
PARKS & OPEN SPACES,IMPLEMENTS & TOOLS,KERBSIDE BOX IN RED ,B000022214/7908,STRAIGHT MANUFACTURING LTD,08/06/2021,521.40
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF,B000022215/19414,HEADS RECRUITMENT LIMITED,08/06/2021,1004.64
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF 23.5.21,B000022215/19414,HEADS RECRUITMENT LIMITED,08/06/2021,370.88
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF23.5.21,B000022215/19414,HEADS RECRUITMENT LIMITED,08/06/2021,279.68
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,OAKHILL PARK MONTHLY CLEAN JUNE 21,B000022215/50873,SERVICEMASTER,08/06/2021,292.50
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,CLEAN RHYDDINGS PARK JUNE 21,B000022215/50873,SERVICEMASTER,08/06/2021,672.61
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,WILSONS MONTHLY CLEAN JUNE 21,B000022215/50873,SERVICEMASTER,08/06/2021,448.40
HYNDBURN CEMETERIES,PRIVATE CONTRACTORS WORK,ACCRINGTON CEMETERY CLEAN JUNE 21,B000022215/50873,SERVICEMASTER,08/06/2021,597.87
CEMETERY WELFARE & DEPOT FAC,CONTRACTOR OTHER,BAT SURVEY AND GROUND INVESTIGATION,B000022215/52714,THE INTELLIGENT DESIGN CENTRE LTD,08/06/2021,6822.67
SANITISATION STATIONS,AGENCY STAFF,AGENCY STAFF 24.5.21 - 30.5.21 ,B000022215/55740,RAPID RECRUITMENT LTD,08/06/2021,762.00
