Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
UNAPPORTIONED CENTRAL O/HEAD,PENSION INCREASE ACT PAYMENT,RECHARGEABLE PENSION COSTS 21/22,B000022302/1709,GREATER MANCHESTER PENSION FUND,01/07/2021,3223.96
LOWERFOLD PARK BUILDINGS,CONTRACTOR OTHER,WORKS - LOWERFOLD PARK GT HARWOOD,B000022302/27030,LIGHTING AND BUILDING SERVICES LTD,01/07/2021,275.00
PUBLIC TRANSPORT,MAINTENANCE,BROADFIELD RD ACC REMOVE BUS STOP ,B000022302/27030,LIGHTING AND BUILDING SERVICES LTD,01/07/2021,325.00
PARKS & OPEN SPACES,ASSET MAINT R&M,MILNSHAW - BOARD AND SECURE ,B000022302/37017,PILKINGTON BROS (CHURCH) LTD,01/07/2021,851.96
PARKS & OPEN SPACES,ASSET MAINT R&M,RHYDDINGS - REPLACE METAL RAILINGS ,B000022302/37017,PILKINGTON BROS (CHURCH) LTD,01/07/2021,1215.36
GENERAL INVESTIGATION,WORK DONE DLO-HIGHWAYS,ACCRINGTON WOODLANDS CULVERT WORKS,B000022302/52330,JOHN WADE GROUNDWORKS LTD,01/07/2021,10502.80
PARKS & OPEN SPACES,ASSET MAINT R&M,KING GEORGE V PAVILION - CHANGE LOCKS,B000022302/54975,ROLLER SHUTTER SERVICES LTD,01/07/2021,280.00
CORPORATE PROPERTY,ASSET MAINT R&M, BROADWAY - WRA WORKS,B000022302/57133,INTERSERVE FS (UK) LIMITED,01/07/2021,261.08
CORPORATE PROPERTY,ASSET MAINT R&M,ARTHUR WILSON CENTRE - WRA WORKS,B000022302/57133,INTERSERVE FS (UK) LIMITED,01/07/2021,356.15
LEISURE IN HYNDBURN,ASSET MAINT R&M,CLAYTON CIVIC CENTRE - WATER SAMPLES,B000022302/57133,INTERSERVE FS (UK) LIMITED,01/07/2021,516.15
HOUSING ADVICE,AGENCY STAFF,TEMP STAFF P/E 16.05.21,B000022302/61860,VIVID RESOURCING,01/07/2021,1485.57
HOUSING ADVICE,AGENCY STAFF,TEMP STAFF P/E 27.06.21,B000022302/61860,VIVID RESOURCING,01/07/2021,1517.31
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022302/7874,STANNAH LIFT SERVICES LIMITED,01/07/2021,3116.00
P & C G,CENTRAL ADMIN,STATIONERY,P-Card - July 21,OFFICE DEPOT,01/07/2021,383.07
ENVIRONMENTAL SERVICES,CVMU,OPERATOR LICENCE,P-Card - July 21,DVSA,02/07/2021,401
MANAGEMENT BUSINESS UNIT,ADVERTISING,ADVERTISING,B000022307/58800,HAYMARKET MEDIA GROUP LTD,05/07/2021,1925.00
ACCOUNTANCY,ADVERTISING,ADVERTISING LG CHRONICLE,B000022307/66139,EMAP PUBLISHING LIMTED,05/07/2021,400.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,"NUT WHEEL STUDS,BOLTS",B000022308/36492,CHORLEY NISSAN,05/07/2021,369.98
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SWEEPER REPAIR,B000022308/7688,AEBI SCHMIDT UK LTD,05/07/2021,292.97
P & C G,IT,I PAD ENCLOSURES,P-Card - July 21,MAC LOCKS,05/07/2021,358.34
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022311/34573,MR R WILCOCK,06/07/2021,9305.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022315/40686,ASSIST FM LTD,07/07/2021,1375.00
HAWORTH ART GALLERY,ASSET MAINT R&M,"HAG -  CALLOUT , REPAIR TO RADIATOR",B000022315/59248,LANCASHIRE GAS SERVICES,07/07/2021,277.60
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF 20.6.21 ,B000022316/19414,HEADS RECRUITMENT LIMITED,07/07/2021,283.36
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF 27.6.21 J,B000022316/19414,HEADS RECRUITMENT LIMITED,07/07/2021,383.04
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF 20.6.21 ,B000022316/19414,HEADS RECRUITMENT LIMITED,07/07/2021,412.16
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF 13.6.21,B000022316/19414,HEADS RECRUITMENT LIMITED,07/07/2021,474.24
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF 13.06.21 ,B000022316/19414,HEADS RECRUITMENT LIMITED,07/07/2021,502.32
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF  27.6.21,B000022316/19414,HEADS RECRUITMENT LIMITED,07/07/2021,502.32
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE HIRE 16.4.21 - 14.5.21,B000022316/2062,INTACK SELF DRIVE,07/07/2021,380.00
COVID 19,HIRED VEHICLE,VEHICLE HIRE 25.5.21 - 22.6.21 ,B000022316/2062,INTACK SELF DRIVE,07/07/2021,506.52
COVID TESTING,HIRED VEHICLE,VEHICLE HIRE  22.3.21 TO 19.4.21,B000022316/2062,INTACK SELF DRIVE,07/07/2021,599.60
COVID TESTING,HIRED VEHICLE,VEHICLE HIRE 17.5.21 - 14.6.21,B000022316/2062,INTACK SELF DRIVE,07/07/2021,599.60
COVID 19,HIRED VEHICLE,VEHICLE HIRE 29.5.21 - 26-6.21,B000022316/2062,INTACK SELF DRIVE,07/07/2021,819.17
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK,CLEANING WILLOWS LANE  JULY 21,B000022316/50873,SERVICEMASTER,07/07/2021,896.84
COVID 19 Waste Services,AGENCY STAFF,TEMP STAFF 21.6.21 27.6.21,B000022316/55740,RAPID RECRUITMENT LTD,07/07/2021,310.36
COVID TESTING,AGENCY STAFF,TEMP STAFF 14.6.21 TO 20.6.21 ,B000022316/55740,RAPID RECRUITMENT LTD,07/07/2021,609.97
WASTE SERVICES,AGENCY STAFF,TEMP STAFF 14-JUN-21 TO 20-JUN-21 ,B000022316/55740,RAPID RECRUITMENT LTD,07/07/2021,1034.52
WASTE SERVICES,AGENCY STAFF, TEMP STAFF 21.6.21 - 27.6.21 ,B000022316/55740,RAPID RECRUITMENT LTD,07/07/2021,1034.52
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,GRASS CUTTING CONTRACT - VERGE CUTTING,B000022316/57700,MASTER GROUND SERVICES,07/07/2021,6133.50
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF WK 14.6.21 ,B000022316/58852,OYSTER PARTNERSHIP,07/07/2021,918.96
COVID BACKFILL,AGENCY STAFF,TEMP STAFF 14.6.21,B000022316/58852,OYSTER PARTNERSHIP,07/07/2021,1998.00
ENFORCEMENT,ADVERTISING GENERAL,ADVERT JUNE 11/25 ACCRINGTON OBSERVER,B000022316/60625,REACH PUBLISHING SERVICES LTD,07/07/2021,332.00
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF  27.6.21 ,B000022316/61860,VIVID RESOURCING,07/07/2021,1665.00
COVID-COMF,MARKETING COMMUNICATIONS,MEDIA ADVERTISING  MARCH 21,B000022316/65606,NEWSQUEST MEDIA GROUP,07/07/2021,1513.28
ALLOTMENTS,GENERAL REPAIR & MAINT BLDGS,WASTE CLEARANCE,B000022321/1248,DUNCAN CAMPBELL,08/07/2021,750.00
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLM CIVIC HALL JUNE 21,B000022321/29112,HYNDBURN LEISURE,08/07/2021,1600.00
LIBRARY ST DEPOT,ELECTRICITY,CVMU JUN 21,B000022321/59343,EDF ENERGY,08/07/2021,575.49
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL  JUNE 2021,B000022321/59343,EDF ENERGY,08/07/2021,859.40
GYPSY SITE,ELECTRICITY,TRAVELLERS SITE SITE JUN 21,B000022321/59343,EDF ENERGY,08/07/2021,1067.74
ACC TOWN HALL,ELECTRICITY,A.T.H. JUN 21,B000022321/59343,EDF ENERGY,08/07/2021,1145.22
MARKETS - OPERATIONS,ELECTRICITY,ACC MARKET JUN 21,B000022321/59343,EDF ENERGY,08/07/2021,2320.83
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE HOUSE JUNE 21,B000022321/59343,EDF ENERGY,08/07/2021,2395.30
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE JUN 2021,B000022321/59343,EDF ENERGY,08/07/2021,6502.50
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF WE 06.06.21,B000022322/63907,BUTLER ROSE,08/07/2021,743.70
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF WE 13.06.21,B000022322/63907,BUTLER ROSE,08/07/2021,821.40
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 20.06.21,B000022322/63907,BUTLER ROSE,08/07/2021,884.45
ACCOUNTANCY,AGENCY STAFF,TEMP STAFF W/E 27.06.21,B000022322/63907,BUTLER ROSE,08/07/2021,1165.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022322/7874,STANNAH LIFT SERVICES LIMITED,08/07/2021,3385.00
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,P-Card - July 21,DVLA,08/07/2021,277.5
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,P-Card - July 21,DVLA,08/07/2021,277.5
DEV CONTROL,FEES-ANALYSTS & CONSULTANTS,CONSULTATION ,B000022327/61603,MR JONATHON EASTON,09/07/2021,1000.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022327/7874,STANNAH LIFT SERVICES LIMITED,09/07/2021,4053.00
MARKETS - OPERATIONS,ASSET MAINT R&M,KEYHOLDING APRIL 21,B000022329/44845,KEYPLUS SECURITY LTD,10/07/2021,251.88
MARKETS - OPERATIONS,MARKETING INITIATIVES, ARTWORK,B000022329/65011,BRANDS INSIDE OUT LIMITED,10/07/2021,450.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF  W/D 28.06.21,B000022331/58852,OYSTER PARTNERSHIP,12/07/2021,1575.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF  W/C 21.06.21,B000022331/58852,OYSTER PARTNERSHIP,12/07/2021,1578.36
VEHICLE MAINT SUPERVISION,FUEL STOCK,GAS OIL,B000022332/1033,CROWN OIL LTD,12/07/2021,1949.50
VEHICLE MAINT SUPERVISION,FUEL STOCK,DIESEL,B000022332/1033,CROWN OIL LTD,12/07/2021,23644.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,TO DIG OUT & REPLACE DEFECTIVE GULLIES ,B000022332/28458,MARCHBRIDGE BUILDERS LTD,12/07/2021,1050.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,PAINT 2 PICNIC BENCHES ,B000022332/66054,C. HORNE LTD,12/07/2021,400.00
STREET CLEANSING,WEEDKILLING,PROVIDE TWO WEED CONTROL TREATMENTS ,B000022332/7357,RM SERVICES LTD,12/07/2021,1240.00
STREET CLEANSING,WEEDKILLING,PROVIDE  WEED CONTROL TREATMENT,B000022332/7357,RM SERVICES LTD,12/07/2021,14309.00
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF WK 21.6.21 ,B000022333/58852,OYSTER PARTNERSHIP,12/07/2021,918.96
COVID BACKFILL,AGENCY STAFF,TEMP STAFF WK 21.6.21,B000022333/58852,OYSTER PARTNERSHIP,12/07/2021,2061.18
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF  4.7.21 ,B000022333/61860,VIVID RESOURCING,12/07/2021,1665.00
HIGH STREET FUND,ADVERTISING GENERAL, 3 X MOBILE SIGNGE - JUNE 21,B000022333/65009,CLANCY PLANT LIMITED,12/07/2021,2977.80
COVID-COMF,ADVERTISING GENERAL,"MOBILE VARIABLE SIGNS,  JUNE 21 ",B000022333/65009,CLANCY PLANT LIMITED,12/07/2021,6950.30
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 2.7.21  ,B000022333/7871,STANLEY BROS TIPPERS LTD,12/07/2021,450.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE 22.6.21  ,B000022333/7871,STANLEY BROS TIPPERS LTD,12/07/2021,450.00
TIPPING CHARGES,HIRED VEHICLE,HIRE OF VEHICLE 8.7.21,B000022333/7871,STANLEY BROS TIPPERS LTD,12/07/2021,450.00
COVID-19 WINTER FUNDING GRANT,BPR/CONTACT CENTRE,WINTER GRANT APR 21,B000022337/29112,HYNDBURN LEISURE,13/07/2021,4827.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRE REPAIRS,B000022340/29877,ROSSENDALE VULCANISING (SALES LTD),13/07/2021,3769.00
LIBRARY ST DEPOT,CLEANING,CLEANING,B000022340/50873,SERVICEMASTER,13/07/2021,597.87
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,"SENSOR, BARRIER",B000022340/8014,TERBERG MATEC UK,13/07/2021,588.76
PARKS & OPEN SPACES,MATERIALS-DIRECT,LIFT ROAD,B000022343/442,BALMERS GARDEN MACHINERY,14/07/2021,328.57
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,8 X SOMERS COLUMN LIFT,B000022343/58111,MRB WORKSHOP SERVICES,14/07/2021,745.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,EJECTOR RAM FAULT REPAIR,B000022343/63930,CROFT COMMERCIALS TRANSPORT LIMITED,14/07/2021,1265.92
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CROFT WELD REPAIR TO BLADE,B000022343/63930,CROFT COMMERCIALS TRANSPORT LIMITED,14/07/2021,2499.12
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CROFT WELDING REPAIR,B000022343/63930,CROFT COMMERCIALS TRANSPORT LIMITED,14/07/2021,2607.90
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,WELDING AND STEEL REPAIRS,B000022343/63930,CROFT COMMERCIALS TRANSPORT LIMITED,14/07/2021,2743.83
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,CROFT REPAIRS,B000022343/63930,CROFT COMMERCIALS TRANSPORT LIMITED,14/07/2021,3692.89
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,RESPRAY,B000022343/65358,XILE MOTORS,14/07/2021,455.00
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,OIL NUTS AND FLUID,B000022343/66129,LOOKERS PRESTON TRADE PARTS CENTRE,14/07/2021,519.83
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,"SPRING CLAMP, WASHER, BOLT",B000022343/8014,TERBERG MATEC UK,14/07/2021,464.92
HOUSING BENEFIT ADMIN,SECURITY SERVICES,G4S,34404,G4S,15/07/2021,412.06
ENVIRONMENTAL PROTECTION TEAM,TEMPORARY ACCOMMODATION,ACCOMMODATION,B000022345/28199,HILL VIEW (PRIVATE) HOTEL,15/07/2021,720.00
SCAITCLIFFE HOUSE RECEPTION,CONTRACTOR OTHER,ALTERATIONS TO RECEPTION VAL 1,B000022345/37017,PILKINGTON BROS (CHURCH) LTD,15/07/2021,12165.77
PHOENIX 1D,CONTRACTOR OTHER,CLAIM 3  16.06.21  DATED 17.2.21,B000022345/41590,KEEPMOAT HOMES,15/07/2021,363032.30
GYPSY SITE,RENT AND HIRE OF PREMISES,17.05.21  - 11.07.21,B000022345/45458,GLOSSOP CARAVANS LTD,15/07/2021,3920.00
MARKETS - OPERATIONS,CLEANING OF BUILDINGS,SERVICEMASTER,B000022348/50873,SERVICEMASTER,15/07/2021,1195.74
MARKETS - OPERATIONS,MARKETING INITIATIVES,SIGNAGE X 19,B000022348/66223,COLOURWAVE,15/07/2021,969.98
LEISURE IN HYNDBURN,ASSET MAINT R&M,TOWN HALL REPLACE WINDOW PANE,B000022350/37017,PILKINGTON BROS (CHURCH) LTD,16/07/2021,477.68
SCAITCLIFFE HOUSE RECEPTION,CONTRACTOR OTHER,SCAITCLIFFE INSTALL NEW POSTBOX,B000022350/37017,PILKINGTON BROS (CHURCH) LTD,16/07/2021,492.82
HAWORTH ART GALLERY,ASSET MAINT R&M,HAWORTH ART  REPLACE DOWN PIPE,B000022350/37017,PILKINGTON BROS (CHURCH) LTD,16/07/2021,586.50
Welfare & Storage Gt Hwd Cem,CONTRACTOR OTHER,GT HARWOOD CEM,B000022350/37017,PILKINGTON BROS (CHURCH) LTD,16/07/2021,6724.63
PSDS HSC,CONTRACTOR OTHER,HYNDBURN LEISURE ASBESTOS REMOVAL,B000022350/40686,ASSIST FM LTD,16/07/2021,960.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,MERCER PARK PAVILION  CLEANING JUL21,B000022350/50873,SERVICEMASTER,16/07/2021,299.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,RHYDDINGS PARK PAV  CLEANING JUL 21,B000022350/50873,SERVICEMASTER,16/07/2021,299.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,MILNSHAW PARK PAV  GENERAL CLEANING JULY 21,B000022350/50873,SERVICEMASTER,16/07/2021,299.00
