Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL SERVICES,MARKETS,NOTICE BOARDS,P-CARD - AUG 21,CREATIVE SOLUTIONS,16/07/2021,298.91
ENVIRONMENTAL SERVICES,PARKS,PLANNING APPLICATION,P-CARD - AUG 21,PLANNING PORTAL,22/07/2021,490.00
P & C G,IT,PRINTER,P-CARD - AUG 21,UK.INSIGHT.COM,22/07/2021,318.99
P & C G,HR,TRAINING,P-CARD - AUG 21,READ.CO.UK,30/07/2021,537.50
DEV CONTROL,DEV CONTROL SYSTEM,NGZ UPGRADE,B000022409/1639,GGP SYSTEMS LTD,04/08/2021,2350
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLAYTON CIVIC HALL JUL 2021,B000022409/29112,HYNDBURN LEISURE,04/08/2021,1600
SYRIAN RESETTLEMENT PROGRAMME,VOID COSTS,RENT  26.05.21 - 23.06.21,B000022409/61245,ONWARD HOMES,04/08/2021,329.92
SYRIAN RESETTLEMENT PROGRAMME,VOID COSTS,RENT  21.04.21 - 23.05.21,B000022409/61245,ONWARD HOMES,04/08/2021,407.06
SYRIAN RESETTLEMENT PROGRAMME,VOID COSTS,RENT  21.04.21 - 23.05.21,B000022409/61245,ONWARD HOMES,04/08/2021,407.06
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022409/64557,HARRIS HEATING (NW) LTD,04/08/2021,1545
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022409/64557,HARRIS HEATING (NW) LTD,04/08/2021,1625
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,EVALUATION OF COMM RESPONSE TO COVID 19,B000022409/66312,TRUEMAN CHANGE MANAGEMENT LTD,04/08/2021,13120
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,PLANTATION BRIDGE REPAIRS,B000022412/28458,MARCHBRIDGE BUILDERS LTD,04/08/2021,8000.24
COVIID 19,EVENT EXPENDITURE,"MICROPHONES, STANDS & SOUND ENGINEER",B000022412/29112,HYNDBURN LEISURE,04/08/2021,1020.72
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,JUBILEE GARDENS SINK HOLE REPAIRS,B000022412/58049,BREWERS CONTRACTORS LTD,04/08/2021,1397.04
LOWERFOLD PARK BUILDINGS,CONTRACTOR OTHER,LOWERFOLD BOWLS PAVILION DEMOLITION,B000022412/58049,BREWERS CONTRACTORS LTD,04/08/2021,7255.5
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,COPIER CHARGES  04/05/21 - 21/07/21,B000022412/61288,XBM LTD,04/08/2021,372.65
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022412/61433,JCM STEEL FABRICATIONS LTD,04/08/2021,594
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,WEEKLY PRIINTING,B000022412/62168,CIVICA ELECTION SERVICES,04/08/2021,653.14
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022412/64557,HARRIS HEATING (NW) LTD,04/08/2021,2340
OFF STREET PARKING,SEWERAGE,CAR PARK - CRAWSHAW STREET,B000022412/8325,WATER PLUS LTD,04/08/2021,561.46
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,PROXIMITY SWITCH  X 2,B000022413/1164,DENNIS EAGLE LIMITED,04/08/2021,294.02
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,REPLACEMENT MIRROR AND HOSE,B000022413/1164,DENNIS EAGLE LIMITED,04/08/2021,307.08
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,HAZARD LIGHT FLASHER BEACON ,B000022413/1164,DENNIS EAGLE LIMITED,04/08/2021,350.66
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,WINGS/ BUMPERS/OIL FILTER,B000022413/1164,DENNIS EAGLE LIMITED,04/08/2021,1072.54
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,STARTER MOTOR FAULT ,B000022413/64658,KEITH CLEMENT AUTO ELECTRICAL SERVICE LIMITED,04/08/2021,282.5
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TAIL LIFT FAULT  ,B000022413/64658,KEITH CLEMENT AUTO ELECTRICAL SERVICE LIMITED,04/08/2021,441.5
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,REPAIR ANS RESPRAY OF PANELS,B000022413/65358,XILE MOTORS,04/08/2021,455
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,DRIVELOCK AND LOGIN FACILITY,B000022413/66048,MAPLE FLEET SERVICES LIMITED,04/08/2021,1163
VEHICLE MAINT SUPERVISION,PROTECTIVE CLOTHING,PPE OVERALLS,B000022413/7417,TEXICARE LTD,04/08/2021,367.5
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,RUBBER BUFFER,B000022413/8014,TERBERG MATEC UK,04/08/2021,575.97
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022414/32120,THYSSENKRUPP ENCASA,04/08/2021,4160
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,2 X SAMSUNG A20E MOBILE PHONES,B000022414/46800,CLOUDCOCO,04/08/2021,310
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022414/61433,JCM STEEL FABRICATIONS LTD,04/08/2021,480
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022414/7874,STANNAH LIFT SERVICES LIMITED,04/08/2021,2515
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022414/7874,STANNAH LIFT SERVICES LIMITED,04/08/2021,7071
LEISURE IN HYNDBURN,ASSET MAINT R&M,CLAYTON CIVI HALL ALARM,B000022420/24998,FULL CIRCUIT FIRE & SECURITY LTD,09/08/2021,775
PARKS & OPEN SPACES,ASSET MAINT R&M,MILNSHAW PARK  SINK REPAIR,B000022420/37017,PILKINGTON BROS (CHURCH) LTD,09/08/2021,272.22
MARKETS - OPERATIONS,ASSET MAINT R&M,MARKET HALL WATER HEATER REPAIR,B000022420/37017,PILKINGTON BROS (CHURCH) LTD,09/08/2021,306.78
PARKS & OPEN SPACES,ASSET MAINT R&M,LOWERFOLD PARK  REPAIRS,B000022420/37017,PILKINGTON BROS (CHURCH) LTD,09/08/2021,697.21
SCAITCLIFFE HOUSE RECEPTION,CONTRACTOR OTHER,SCAITCLIFFE HOUSE SHOWER ROOM REPAIRS,B000022420/37017,PILKINGTON BROS (CHURCH) LTD,09/08/2021,1385
PARKS & OPEN SPACES,MATERIALS-DIRECT,REPLACEMENT PARTS FOR MOWER  ,B000022421/442,BALMERS GARDEN MACHINERY,09/08/2021,1805.4
PARKS & OPEN SPACES,MATERIALS-DIRECT,HEAVE BAR ,B000022421/442,BALMERS GARDEN MACHINERY,09/08/2021,2131.6
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,DRIVELOCK,B000022421/66048,MAPLE FLEET SERVICES LIMITED,09/08/2021,1163
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,GREEN DRIVELOCK ,B000022421/66048,MAPLE FLEET SERVICES LIMITED,09/08/2021,1163
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,COMPRESSION LEG AND BOLTS,B000022421/7688,AEBI SCHMIDT UK LTD,09/08/2021,630.89
