Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
P & C G,IT,PRINTERS,P-CARD - SEPT 21,PRINTERLAND,13/08/2021,669.67
P & C G,IT,LICENCE RENEWAL,P-CARD - SEPT 21,TEAM VIEWER,18/08/2021,1603.89
ENVIRONMENTAL SERVICES,MARKETS,DJ,P-CARD - SEPT 21,LANCS EVENTS,18/08/2021,360
P & C G,IT,LAPTOPS,P-CARD - SEPT 21,DEANE COMPUTER,25/08/2021,352.3
ENVIRONMENTAL SERVICES,CEMETERIES,WOOD,P-CARD - SEPT 21,WHEWELLS,27/08/2021,410.4
ENVIRONMENTAL SERVICES,CVMU,PARTS,P-CARD - SEPT 21,CICELEY,02/09/2021,243.18
MARKETS - OPERATIONS,MARKETING INITIATIVES,ADVERT,B000022498/57973,NEWSQUEST,03/09/2021,290.01
MARKETS - OPERATIONS,WATER CHARGES,MARKET HALL WATER AND WASTE AUG 21,B000022498/8325,WATER PLUS LTD,03/09/2021,1449.54
P & C G,CENTRAL ADMIN,EYE CARE VOUCHERS,P-CARD - SEPT 21,EDENRED,03/09/2021,479.25
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,LOWER FOLDS BOWLING PAV  DEMOLITION,B000022501/24038,G & G SIGNS,06/09/2021,380.20
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF PE 25.07.21,B000022501/33923,EDEN BROWN LIMITED,06/09/2021,1010.10
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF PE 29.08.21,B000022501/46341,MORGAN HUNT UK LTD,06/09/2021,1004.92
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF 29.08.21,B000022501/60568,CUMMINS MELLOR,06/09/2021,486.75
LAND ASSEMBLY & REMEDIATION,LEGAL FEES,PROFESSIONAL FEES,B000022501/60851,DWF LLP,06/09/2021,567.00
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT,B000022501/61195,H2 HOMES LETTINGS & PROPERTY SERVICES,06/09/2021,495.00
HOUSING ADVICE,AGENCY STAFF,STAFF P/E 29.08.21,B000022501/61860,VIVID RESOURCING,06/09/2021,1767.09
HAWORTH ART GALLERY,WORKSHOPS/COURSES,MATERIALS FOR CRAFT SESSIONS,B000022501/8566,YORKSHIRE PURCHASING ORGANISATION,06/09/2021,446.62
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF 15.8.21 ,B000022502/19414,HEADS RECRUITMENT LIMITED,06/09/2021,502.32
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF 15.8.21 ,B000022502/19414,HEADS RECRUITMENT LIMITED,06/09/2021,502.32
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF WK 22.8.21 ,B000022502/19414,HEADS RECRUITMENT LIMITED,06/09/2021,502.32
HYNDBURN CEMETERIES,AGENCY STAFF,TEMP STAFF 8.8.21 39,B000022502/19414,HEADS RECRUITMENT LIMITED,06/09/2021,502.32
PARKS & OPEN SPACES,AGENCY STAFF,TEMP STAFF  WK 8.8.21,B000022502/19414,HEADS RECRUITMENT LIMITED,06/09/2021,1004.64
