Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
CHRISTMAS DECS & AMENITY COSTS,WORK DONE DLO-HIGHWAYS,NIGHT INSPECTIONS,B000022698/27030,LIGHTING AND BUILDING SERVICES LTD,02-Nov-21,350.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,COLLECT AND INSTALL 3 BENCHES AT BELTHORN,B000022702/20,A BYRNE FENCING,02-Nov-21,450.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,"WORKS AT EASTGATE CARPARK, ACCRINGTON",B000022702/22189,ROY CATTERMOLE (TREE SURGEON),02-Nov-21,450.00
WILLOWS LANE DEPOT,DEPOT COSTS,CLEAN WHEEL WASH AT WILLOWS LANE  12.10.21   TICKET 14833,B000022697/61581,C J JETZ LTD,02-Nov-21,658.50
HYNDBURN CEMETERIES,MATERIALS-DIRECT,POLYANTHUS MIXED X 3000,B000022697/28726,LES HALMAN NURSERIES LTD,02-Nov-21,690.00
COVID MARSHALLS,AGENCY STAFF,TEMP STAFF,B000022697/58852,OYSTER PARTNERSHIP,02-Nov-21,918.96
CHRISTMAS DECS & AMENITY COSTS,WORK DONE DLO-HIGHWAYS,REPAIRS TO LIGHTING,B000022698/27030,LIGHTING AND BUILDING SERVICES LTD,02-Nov-21,1802.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022700/7874,STANNAH LIFT SERVICES LIMITED,02-Nov-21,2865.00
BUSINESS RESTART GRANT,PRIVATE CONTRACTORS WORK,G-H STREET FURNITURE DECORATION,B000022702/37017,PILKINGTON BROS (CHURCH) LTD,02-Nov-21,16977.24
BUSINESS RESTART GRANT,PRIVATE CONTRACTORS WORK,ACC TOWN CENTRE STREET FURNITURE DECORATION,B000022702/37017,PILKINGTON BROS (CHURCH) LTD,02-Nov-21,22805.54
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,TRAINING FEES,B000022704/46443,HBINFO LTD,03-Nov-21,660.00
CORPORATE PROPERTY,HORSE REMOVAL FRM COUNCIL LAND,RISK ASSESSMENT & WELFARE INSPEACTIONS,B000022704/65028,SPECIALIST & EQUINE BAILIFFS LTD,03-Nov-21,1950.00
ENVIRONMENTAL PROTECTION TEAM,IMPLEMENTS & TOOLS,PRECISION SOUND ANALYSER,B000022704/49216,CAMPBELL ASSOCIATES LTD,03-Nov-21,5810.00
MARKETS - OPERATIONS,SEWERAGE,PEEL ST LOOS WATER/WASTE OCT 21,B000022709/8325,WATER PLUS LTD,05-Nov-21,308.35
MARKETS - OPERATIONS,WINDOW CLEANING,MARKET HALL WINDOW CLEANING,B000022709/62140,CLEARVIEW CONTRACTORS LTD,05-Nov-21,440.00
MARKETS - OPERATIONS,WATER CHARGES,MARKET HALL WATER/WSTE OCT 21,B000022709/8325,WATER PLUS LTD,05-Nov-21,964.77
PARKS & OPEN SPACES,EQUIPMNT REPAIR & MAINT,JOCKEY WHEEL/ CLAMPS AND JOHN DEERE BLADE,B000022711/7805,SPALDINGS UK LTD,08-Nov-21,250.78
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BUMPER CORNER/ PLASTIC RIVET/  WING LH,B000022711/1164,DENNIS EAGLE LIMITED,08-Nov-21,265.07
DEVELOPMENT CONTROL B.U.,ADVERTISING GENERAL,PRESS NOTICE 5/11/21,B000022714/59724,TMP (UK) LTD,08-Nov-21,267.60
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,205LTR DRUM SYNMAX SPECTRUM,B000022711/59186,SAR LUBRICANTS,08-Nov-21,338.25
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,SYNMAX SCORPIO 205LTR DRUM,B000022711/59186,SAR LUBRICANTS,08-Nov-21,360.80
CUSTOMER SERVICES,AGENCY STAFF,AGENCY STAFF,B000022714/60568,CUMMINS MELLOR,08-Nov-21,367.13
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,WARRANTY,B000022715/50640,PRISM MEDICAL UK,08-Nov-21,375.00
MARKETS - OPERATIONS,ASSET MAINT R&M,INATLSS  NEW INSTANT HOT WATER HEATER,B000022715/66371,FGCC LTD,08-Nov-21,387.50
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,AGRISTAR STOU 205LTR DRUM,B000022711/59186,SAR LUBRICANTS,08-Nov-21,410.00
LAND CHARGES,SEARCH FEES,LAND CHARGES - SEPT 21,B000022716/2496,LANCASHIRE COUNTY COUNCIL,08-Nov-21,444.00
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 26.10.21,B000022710/7871,STANLEY BROS TIPPERS LTD,08-Nov-21,450.00
PARKS & OPEN SPACES,ELECTRICITY,COMMUNITY HUB - OCT 21,B000022716/59343,EDF ENERGY,08-Nov-21,464.25
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SENSON FAULT ,B000022711/63930,CROFT COMMERCIALS TRANSPORT LIMITED,08-Nov-21,499.33
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,PART 37020 X 2 PROTECTIVE STP,B000022711/8014,TERBERG MATEC UK,08-Nov-21,516.50
WASTE SERVICES,AGENCY STAFF,TEMP STAFF 18-10-21 TO 24-10-21 ,B000022710/55740,RAPID RECRUITMENT LTD,08-Nov-21,517.26
COVID TESTING,AGENCY STAFF,TEMP STAFF 18.10.21 TO 24.10.21,B000022710/55740,RAPID RECRUITMENT LTD,08-Nov-21,538.82
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 31.10.21,B000022715/61657,G2 RECRUITMENT SOLUTIONS,08-Nov-21,639.00
ACCOUNTANCY,TRAINING EXPENSES,ENROLMENT FEE ,B000022715/58814,CIPFA,08-Nov-21,765.00
