Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
PARKS & OPEN SPACES,WATER CHARGES,CHARGES 2 8.9.21 TO 13.11.21 ,B000022789/8325,WATER PLUS LTD,02-Dec-21,367.13
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 12.11.21,B000022789/7871,STANLEY BROS TIPPERS LTD,02-Dec-21,450.00
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE  18.11.21,B000022789/7871,STANLEY BROS TIPPERS LTD,02-Dec-21,450.00
COVID TESTING,AGENCY STAFF,TEMP STAFF 15.11.21 - 21.11.21,B000022789/55740,RAPID RECRUITMENT LTD,02-Dec-21,469.45
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF WK 15.11.21 ,B000022789/58852,OYSTER PARTNERSHIP,02-Dec-21,918.96
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF WK 8.11.21 ,B000022789/58852,OYSTER PARTNERSHIP,02-Dec-21,918.96
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 22.11.21 ,B000022789/58852,OYSTER PARTNERSHIP,02-Dec-21,918.96
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF WK 1.11.21 ,B000022789/58852,OYSTER PARTNERSHIP,02-Dec-21,918.96
WASTE SERVICES,AGENCY STAFF,TEMP STAFF 15.11.21 - 21.11.21 ,B000022789/55740,RAPID RECRUITMENT LTD,02-Dec-21,1034.52
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,WORKS HAWORTH PARK,B000022791/28458,MARCHBRIDGE BUILDERS LTD,03-Dec-21,287.00
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,"CLEARANCE OF TRASH SCREENS, VARIOUS",B000022791/28458,MARCHBRIDGE BUILDERS LTD,03-Dec-21,446.00
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,WEEKLY PRINT RUN,B000022791/62168,CIVICA ELECTION SERVICES,03-Dec-21,526.50
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,HYDRAULIC UNIT REPAIR KITS FOR PROSAFE GATE,B000022795/36213,I A E FENCING,03-Dec-21,800.00
MARKETS - OPERATIONS,WATER CHARGES,MARKET HALL WATER & WASTE,B000022792/8325,WATER PLUS LTD,03-Dec-21,1219.66
PUBLIC TRANSPORT,MAINTENANCE,"REPAIRS, VARIOUS",B000022791/59697,AUTOCROSS EUROSHEL LTD,03-Dec-21,1357.00
PAVING IMPROVEMENTS,CONTRACTOR OTHER,WORK MARKET HALL AND JUB ILEE GARDENS,B000022791/28458,MARCHBRIDGE BUILDERS LTD,03-Dec-21,1550.41
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CIVIC HALL NOV 21,B000022791/29112,HYNDBURN LEISURE,03-Dec-21,1600.00
INSURANCES,EXCESS PAYMENTS,FEES,B000022791/66995,TRAVELERS,03-Dec-21,2405.00
STREET CLEANSING,PRIVATE CONTRACTORS WORK,HGV MECHANICAL SWEEPER HIRE,B000022795/6987,DAWSONGROUP SWEEPERS LTD,03-Dec-21,4356.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,WORKS ACC TOWN CENTRE,B000022791/42372,ATKINS LTD,03-Dec-21,12823.33
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,AIR FILTERS,B000022796/7688,AEBI SCHMIDT UK LTD,06-Dec-21,269.48
VEHICLE MAINT WORK DONE,EQUIPMNT REPAIR & MAINT,DIBOND SIGNS,B000022796/2908,MCCORMACK & BROWN,06-Dec-21,710.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,IMPELLER ASSEMBLY,B000022796/7688,AEBI SCHMIDT UK LTD,06-Dec-21,1508.99
ADMINISTRATION EXPENSES,PRINTING,COPIER COSTS ,B000022805/999,SHARP BUSINESS SYSTEMS UK PLC,07-Dec-21,288.08
COVID 19,PRIVATE CONTRACTORS WORK,OAKHILL PARK LEANING DECEMBER 21,B000022805/50873,SERVICEMASTER,07-Dec-21,292.50
HAWORTH ART GALLERY,PROFESSIONAL ARTISTS FEE,HYNDBURN HERITAGE FEES,B000022804/60368,CROWTHER EDUCATIONAL CONSULTANCY LTD,07-Dec-21,300.00
