Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
MAYORALTY,REMEMBRANCE SUNDAY EXPENSES,GENERATOR REMEMBRANCE SUNDAY,B000022864/27030,LIGHTING AND BUILDING SERVICES LTD,04/01/2022,300.00
MARKETS - OPERATIONS,WATER CHARGES,MARKET HALL WATER WASTE DEC21,B000022863/8325,WATER PLUS LTD,04/01/2022,977.55
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 19.12.21,B000022864/46341,MORGAN HUNT UK LTD,04/01/2022,977.76
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 19.12.21,B000022864/33923,EDEN BROWN LIMITED,04/01/2022,1010.10
PEST CONTROL,HIRED VEHICLE,VEHICLE HIRE 6.10.21 - 21.10.21,B000022870/2062,INTACK SELF DRIVE,05/01/2022,289.37
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE HIRE 1.10.21 - 29.10.21,B000022870/2062,INTACK SELF DRIVE,05/01/2022,380.00
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE HIRE 1.10.21 TO 29.10.21 ,B000022870/2062,INTACK SELF DRIVE,05/01/2022,380.00
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE HIRE 1.10.21- 29.10.21,B000022870/2062,INTACK SELF DRIVE,05/01/2022,380.00
TIPPING CHARGES,HIRED VEHICLE,VEHICLE HIRE 10.12.21 ,B000022870/7871,STANLEY BROS TIPPERS LTD,05/01/2022,450.00
COVID TESTING,AGENCY STAFF,TEMP STAFF 13.12.21-19.12.21,B000022870/55740,RAPID RECRUITMENT LTD,05/01/2022,517.26
COVID TESTING,AGENCY STAFF,TEMP STAFF 6.12.21 - 12.12.21,B000022870/55740,RAPID RECRUITMENT LTD,05/01/2022,517.26
HYNDBURN CEMETERIES,PRIVATE CONTRACTORS WORK,DECEMBER 21- ACCRINGTON CEMETERY OFFICE,B000022870/50873,SERVICEMASTER,05/01/2022,597.87
HYNDBURN CEMETERIES,NEW SEATS,"2 X 1.5M BENCHES, INC FIXINGS",B000022870/54326,ARK PLASTICS LTD,05/01/2022,638.00
HYNDBURN CEMETERIES,PROTECTIVE CLOTHING,"WATERPROOFS, KNEE PADS, JACKETS , CEMETERIES",B000022870/666,"BUBBLES, BRUSHES & WIPER CO LTD",05/01/2022,809.95
PARKS & OPEN SPACES,HIRED VEHICLE,VEHICLE HIRE 18.9.21 - 16.10.21,B000022870/2062,INTACK SELF DRIVE,05/01/2022,819.17
ACCRINGTON CREMATORIUM,VISUAL TRIBUTES,MEDIA CHARGES ACCRINGTON CREMATORIUM NOVEMBER 21,B000022870/55609,OBITUS (VIVEDIA LTD),05/01/2022,898.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,MAXICROP NMOSSKILLER 30 X 10LTR BAGS,B000022870/7461,RIGBY TAYLOR LTD,05/01/2022,898.50
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 13.12.21 ,B000022870/58852,OYSTER PARTNERSHIP,05/01/2022,918.96
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 6.12.21,B000022870/58852,OYSTER PARTNERSHIP,05/01/2022,918.96
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF WK 8.11.21 ,B000022870/58852,OYSTER PARTNERSHIP,05/01/2022,936.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF  W/C 1.11.21,B000022870/58852,OYSTER PARTNERSHIP,05/01/2022,972.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF 22.11.21 ,B000022870/58852,OYSTER PARTNERSHIP,05/01/2022,984.00
PARKS & OPEN SPACES,WATER CHARGES,WATER CHARGES RHYDDINGS PARK COMMUNITY HUB  1.7.20-30.11.21,B000022870/67118,SES BUSINESS WATER,05/01/2022,1043.86
HEALTH FOOD & SAFETY,AGENCY STAFF,W/C 29.11.21 TEMP STAFF,B000022870/58852,OYSTER PARTNERSHIP,05/01/2022,1056.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF WK 6.12.21 ,B000022870/58852,OYSTER PARTNERSHIP,05/01/2022,1200.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF 15.11.21 ,B000022870/58852,OYSTER PARTNERSHIP,05/01/2022,1212.00
HYNDBURN CEMETERIES,WATER CHARGES,WASTE WATER CHARGES  CEM GATES ACCRINGTON INV07008859  23.8.21 TO 20.11.21,B000022870/8325,WATER PLUS LTD,05/01/2022,1226.29
ACCRINGTON CREMATORIUM,NEW EQUIPMENT,NEW HVS SYSTEM WITH NUMBER PORTS CEMETERY OFFICE,B000022870/65390,DIRECT VOICE AND DATA,05/01/2022,1636.66
WASTE SERVICES,AGENCY STAFF,TEMP STAFF 13.12.21- 19.12.21,B000022870/55740,RAPID RECRUITMENT LTD,05/01/2022,1722.28
WASTE SERVICES,AGENCY STAFF,TEMP STAFF 6.12.21 - 12.12.21,B000022870/55740,RAPID RECRUITMENT LTD,05/01/2022,1839.71
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,EMISSIONS TEST ACCRINGTON CREMATORIUM,B000022870/28418,FACULTATIEVE TECHNOLOGIES,05/01/2022,2290.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,CONSULTANCY FEES,B000022870/66574,CBRE LTD,05/01/2022,3500.00
HYNDBURN CEMETERIES,NEW SEATS,"21 MEMORIAL TREES, ACCRINGTON CEMETERY",B000022870/12998,J A JONES AND SONS,05/01/2022,3891.00
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,JULY/AUGUST/SEPTEMBER 21 MEDICAL REFS,B000022870/7171,PEEL HOUSE MEDICAL PRACTICE,05/01/2022,4740.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,BUILDING SURVEY,B000022870/65816,BRADSHAW ADVISARY LTD,05/01/2022,5355.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,PROFESSIONAL FEES 1 SEPT 21 TO 30 NOV 21,B000022870/66553,WOMBLE BOND DICKINSON,05/01/2022,8428.00
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,SERVICE AGREEMENT CHARGE  10/9/21 9/12/21,B000022870/28418,FACULTATIEVE TECHNOLOGIES,05/01/2022,8928.80
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,PROJECT SERVICES FEES,B000022870/66574,CBRE LTD,05/01/2022,10500.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,"ACCRINGTON TOWN CTR LUF WORKS, ARCHITECT FEES, BLUESKY FEES",B000022870/67037,AEW ARCHITECTS & DESIGNERS LTD,05/01/2022,13063.33
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,STEAM CLEAN,B000022873/58642,KEEP EM CLEAN,06/01/2022,435.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TAIL LIFT REPAIR,B000022873/62002,TAIL LIFT UK,06/01/2022,968.30
HOUSING ADVICE,AGENCY STAFF,STAFF P/E 31.12.21,B000022877/61860,VIVID RESOURCING,10/01/2022,252.89
ALLOTMENTS,GENERAL REPAIR & MAINT BLDGS,URGENT BARRIER REPAIR WOODNOOK,B000022876/1248,CAMPBELL CONSTRUCTION,10/01/2022,260.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,GRP SIGN,B000022882/66936,SHELLEY SIGNS LIMITED,10/01/2022,325.00
HUMAN RESOURCES,TRAINING EXPENSES,STAFF COURSE FEE,B000022876/67120,C.M.I.T.,10/01/2022,445.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF WE 26.12.21,B000022876/60568,CUMMINS MELLOR,10/01/2022,453.75
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,WELDING TO SKATEBOARD RAMPS,B000022882/20,A BYRNE FENCING,10/01/2022,480.00
LCC COVID PREVENTION,IMPLEMENTS & TOOLS,HIRE OF FENCING AND BARRIERS,B000022876/28458,MARCHBRIDGE BUILDERS LTD,10/01/2022,492.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF WE 26.12.21,B000022876/46341,MORGAN HUNT UK LTD,10/01/2022,814.80
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,SUPPLY  AND INSTALL FENCING,B000022882/20,A BYRNE FENCING,10/01/2022,960.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 26.12.21,B000022877/61657,G2 RECRUITMENT SOLUTIONS,10/01/2022,999.00
LICENSING,LEGAL FEES,PROFESSIONAL FEES,B000022876/61448,TRINITY CHAMBERS,10/01/2022,1000.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF WE 26.12.21,B000022876/33923,EDEN BROWN LIMITED,10/01/2022,1010.10
HOUSING ADVICE,AGENCY STAFF,STAFF PE 26.12.21,B000022877/61860,VIVID RESOURCING,10/01/2022,1011.54
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 19.12.21,B000022876/55150,VENN GROUP LIMITED,10/01/2022,1110.30
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF WE 26.12.21,B000022876/55150,VENN GROUP LIMITED,10/01/2022,1110.30
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 19.12.21,B000022878/61657,G2 RECRUITMENT SOLUTIONS,10/01/2022,1181.40
STREET NAMEPLATES GEN,WORK DONE DLO-HIGHWAYS,INSTALLATION STREET NAME PLATES,B000022876/28458,MARCHBRIDGE BUILDERS LTD,10/01/2022,1198.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 26.12.21,B000022877/61657,G2 RECRUITMENT SOLUTIONS,10/01/2022,1228.35
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 12.12.21,B000022877/61657,G2 RECRUITMENT SOLUTIONS,10/01/2022,1306.50
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,CLEARANCE OF TRASH SCREENS,B000022876/28458,MARCHBRIDGE BUILDERS LTD,10/01/2022,1321.20
DOG WARDEN,STREET SIGNS,SIGNS,B000022882/28932,TATLOW SIGNS,10/01/2022,1357.50
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF WC 20.12.21,B000022877/58852,OYSTER PARTNERSHIP,10/01/2022,1370.46
LEISURE IN HYNDBURN,PROTECTIVE CLOTHING,ACTIVE LANCASHIRE 21/22,B000022878/60804,ACTIVE LANCASHIRE,10/01/2022,1500.00
HOUSING ADVICE,AGENCY STAFF,STAFF P/E 19.12.21,B000022876/61860,VIVID RESOURCING,10/01/2022,1514.21
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,CLM CIVIC HALL DEC 2021,B000022877/29112,HYNDBURN LEISURE,10/01/2022,1600.00
HOUSING ADVICE,PYMTS REDUCE RENT ARREARS HPG,GRANT FUNDING ,B000022877/9605,NEW PROGRESS HOUSING ASSOCIATION,10/01/2022,1828.82
COVID BACKFILL,AGENCY STAFF,STAFF W/C 20.12.21,B000022877/58852,OYSTER PARTNERSHIP,10/01/2022,2120.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 12.12.21  AND 19.12.21,B000022877/61657,G2 RECRUITMENT SOLUTIONS,10/01/2022,2497.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022880/7874,STANNAH LIFT SERVICES LIMITED,10/01/2022,2985.00
DEVELOPMENT,FEES-ANALYSTS & CONSULTANTS,LEISURE FEASIBILITY STUDY FINAL PAYMENT,B000022880/64622,MAX ASSOCIATES (HOLDINGS) LIMITED,10/01/2022,3270.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022879/61433,JCM STEEL FABRICATIONS LTD,10/01/2022,4680.00
PSDS Scaitcliffe,CONTRACTOR OTHER,SCAITCLIFFE DECARBON LED DES VAL 2,B000022877/62094,DARWEN ELECTRICAL SERVICES LTD,10/01/2022,16562.42
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,LUF- APPLICATION PART 1,B000022882/65816,BRADSHAW ADVISARY LTD,10/01/2022,21750.00
PSDS Scaitcliffe,CONTRACTOR OTHER,SCAITCLIFFE DECARBON LED DES VAL 1,B000022877/62094,DARWEN ELECTRICAL SERVICES LTD,10/01/2022,28344.30
PSDS Scaitcliffe,CONTRACTOR OTHER,SCAITCLIFFE DECARBON VRV AIRCO VAL 2,B000022877/67024,AIRCO,10/01/2022,35824.27
HLC ROOF & ELEC SUB STATION,CONTRACTOR OTHER,HLC DECARBON ROOF VAL 3,B000022877/48468,ALLIANCE LEISURE SERVICES LTD,10/01/2022,109186.26
PSDS HLC,CONTRACTOR OTHER,HLC DECARBON ALLIANCE SERV PSDS DELIVERY VAL 2,B000022876/48468,ALLIANCE LEISURE SERVICES LTD,10/01/2022,264813.61
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,BUMPERS,B000022888/1164,DENNIS EAGLE LIMITED,11/01/2022,407.32
LICENSING,OFFICE CONSUMABLES,GOODS FOR TAXI LICENSING,B000022890/60103,NEWAUTO LTD,11/01/2022,1939.90
REGISTRATION OF ELECTORS,POSTAGES,RETURN MAIL  IER,B000022890/51517,ROYAL MAIL GROUP LTD,11/01/2022,2696.65
LCC COVID PREVENTION,IMPLEMENTS & TOOLS,WORS AT HOLGATE ST CAR PARK,B000022897/28458,MARCHBRIDGE BUILDERS LTD,14/01/2022,285.00
LIBRARY ST DEPOT,ASSET MAINT R&M,REMOVE FAULTY AND REPLACE HEATER FUSES,B000022900/57949,STEVEN MERCER ELECTRICAL CONTRACTORS LIMITED,14/01/2022,292.00
PARKS & OPEN SPACES,ELECTRICITY,COMMUNITY HUB DEC 2021,B000022897/59343,EDF ENERGY,14/01/2022,535.68
CORPORATE PROPERTY,HORSE REMOVAL FRM COUNCIL LAND,BAILIFF SERVICES FOR TRAVELLERS HORSES,B000022900/65028,SPECIALIST & EQUINE BAILIFFS LTD,14/01/2022,650.00
HOUSING BENEFIT ADMINISTRATION,FRANKING MACHINE LEASE,WEB BENEFIT CALC SOFTWARE,B000022897/19244,OVALTECH LTD,14/01/2022,765.00
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022897/66797,ALLFORONE& ONEFORALL,14/01/2022,899.00
CORPORATE PROPERTY,ELECTRICITY,ELECTRIC -  AUG TO NOV 2021,B000022897/43682,SCOTTISH POWER,14/01/2022,998.74
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF WE 02.01.22,B000022897/55150,VENN GROUP LIMITED,14/01/2022,1110.30
HOUSING ADVICE,AGENCY STAFF,STAFF PE 09.01.22,B000022897/61860,VIVID RESOURCING,14/01/2022,1264.43
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL DEC 2021,B000022897/59343,EDF ENERGY,14/01/2022,1705.79
ECONOMIC DEVELOPMENT LEVEL UP,FEES-ANALYSTS & CONSULTANTS,DEC 2021 SERVICES,B000022897/66485,CHEREGEN,14/01/2022,2083.33
GYPSY SITE,ELECTRICITY,GYPSY SITE  DEC 21,B000022897/59343,EDF ENERGY,14/01/2022,2146.87
ACC TOWN HALL,ELECTRICITY,ATH  DEC 2021,B000022897/59343,EDF ENERGY,14/01/2022,2200.98
LIBRARY ST DEPOT,GAS,CVMU  DEC 2021,B000022897/59343,EDF ENERGY,14/01/2022,2480.74
MARKETS - OPERATIONS,ELECTRICITY,ACC MARKET DEC 2021,B000022897/59343,EDF ENERGY,14/01/2022,3965.74
CORPORATE PROPERTY,ASSET MAINT R&M,ANNUAL WAR MEMORIAL CLEANING,B000022900/27030,LIGHTING AND BUILDING SERVICES LTD,14/01/2022,4150.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022900/64332,R W BUILDING AND DEVELOPMENT,14/01/2022,5628.75
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE DEC 2021,B000022897/59343,EDF ENERGY,14/01/2022,6063.56
DEVELOPMENT,AGENCY STAFF,FEES,B000022900/59823,HAYS,14/01/2022,6756.40
PLANNING POLICY B.U.,PUBLIC PARTICIPATION EXPENSE,SDH LOCAL PLAN VIABILITY ASST INTERIM,B000022897/67155,HDH PLANNING & DEVELOPMENT LTD,14/01/2022,7250.00
LEISURE IN HYNDBURN,ELECTRICITY,SPORTS CENTRE  DEC 2021,B000022897/59343,EDF ENERGY,14/01/2022,9604.76
SCAITCLIFFE HOUSE RECEPTION,CONTRACTOR OTHER,SCAITCLIFFE  RECEPTION PROJECT  VAL 3,B000022897/37017,PILKINGTON BROS (CHURCH) LTD,14/01/2022,15092.91
LAND CHARGES,SEARCH FEES,LOCAL LAND CHARGE SEARCHES,B000022904/2496,LANCASHIRE COUNTY COUNCIL,17/01/2022,300.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/C 27.12.21,B000022904/58852,OYSTER PARTNERSHIP,17/01/2022,315.00
COMPUTER SERVICES,PRINTER/ COPIER RENTAL & MAINT,COPIER CHARGES 26/11/21 - 04/01/22,B000022904/61288,XBM LTD,17/01/2022,365.55
HUMAN RESOURCES,TRAINING EXPENSES,DYNAMICS 365 - 2 DAY TRAINING,B000022904/36434,BYTES SOFTWARE SERVICES LTD,17/01/2022,390.00
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,SITE HELP DESK MAINTENANCE,B000022904/43299,SITEHELPDESK.COM,17/01/2022,822.50
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 09.01.22,B000022904/33923,EDEN BROWN LIMITED,17/01/2022,1010.10
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022904/66471,MCCALLOTT WINDOWS,17/01/2022,1785.13
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022904/7874,STANNAH LIFT SERVICES LIMITED,17/01/2022,3499.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022904/25868,HYNDBURN PLUMBING & HEATING SERVICES,17/01/2022,3710.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,VEHICLE RECOVERED,B000022911/39746,ASSURED AUTOMOBILE ASSESSORS LTD,18/01/2022,560.00
ACCRINGTON CREMATORIUM,ASSET MAINT R&M,REPAIRS TO ROOF ACC CREMATORIUM,B000022907/37017,PILKINGTON BROS (CHURCH) LTD,18/01/2022,778.05
ACC TOWN HALL,ASSET MAINT R&M,NEW WINDOWS REVENUES OFFICE,B000022907/37017,PILKINGTON BROS (CHURCH) LTD,18/01/2022,1766.00
HAWORTH ART GALLERY,SALE OR RETURN SHOP ITEMS,ARTIST PAYMENT - 4/8/21 - 19/12/21,B000022913/70,A SANDERS & D WALLACE,19/01/2022,555.20
DFG (AREA IMPROVEMENT),EXTERNAL CHARGES - DFG,PART PAYMENT FOR DESIGN WORK,B000022913/62103,THE INTELLIGENT DESIGN CENTRE LTD,19/01/2022,697.50
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 09.01.22,B000022913/61657,G2 RECRUITMENT SOLUTIONS,19/01/2022,999.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,STAFF PE 09.1.22,B000022913/61657,G2 RECRUITMENT SOLUTIONS,19/01/2022,1180.50
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/C 03.01.22,B000022913/58852,OYSTER PARTNERSHIP,19/01/2022,1395.66
COVID BACKFILL,AGENCY STAFF,TEMP STAFF W/C 03.01.22,B000022913/58852,OYSTER PARTNERSHIP,19/01/2022,2120.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022913/61427,INDEPENDENT ADAPTIONS LTD,19/01/2022,3793.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022913/7874,STANNAH LIFT SERVICES LIMITED,19/01/2022,5736.00
PLANNING POLICY B.U.,PUBLIC PARTICIPATION EXPENSE,OPEN SPACE AUDIT - 3RD STAGE,B000022913/31450,KNIGHT KAVANAGH & PAGE,19/01/2022,7332.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022913/7874,STANNAH LIFT SERVICES LIMITED,19/01/2022,7793.00
ADMINISTRATION SERVICES,POSTAGES,POSTAGE,B000022913/7231,PITNEY BOWES LTD,19/01/2022,9000.00
LEISURE IN HYNDBURN,GRANTS-GENERAL,SPORT ENGLAND TOGETHER - CLAIM APR 21 - SEPT 21,B000022913/29112,HYNDBURN LEISURE,19/01/2022,72223.00
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,IMPACT GUN,B000022920/49523,R M WILLIAMS (ACCRINGTON) LTD,20/01/2022,354.99
LIBRARY ST DEPOT,WATER CHARGES,WATER BILL CVMU,B000022920/8325,WATER PLUS LTD,20/01/2022,388.88
LIBRARY ST DEPOT,WATER CHARGES,WATER BILL,B000022920/8325,WATER PLUS LTD,20/01/2022,437.75
VEHICLE MAINT SUPERVISION,EQUIPMNT REPAIR & MAINT,REPAIR BRAKE TESTER,B000022920/58111,MRB WORKSHOP SERVICES,20/01/2022,1124.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SWEEPER PARTS,B000022920/7688,AEBI SCHMIDT UK LTD,20/01/2022,2987.94
