Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HOUSING BENEFIT ADMIN,SWIPE CARDS,FEBRUARY,35016,ALLPAY.NET LTD,28/03/2021,449.52
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,SUBSCRIPTION,P-CARD- FEB 22,CIEH,14/01/2022,896.00
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,FLAG,P-CARD- FEB 22,HAMPSHIRE FLAG,24/01/2022,462.26
REGENERATION,HOUSING,ACCOMMODATION,P-CARD- FEB 22,TRAVELODGE,25/01/2022,300.82
P & C G,HR,SUBSCRIPTION,P-CARD- FEB 22,ADOBE,26/01/2022,1137.46
P & C G,LEGAL,SUBSCRIPTION,P-CARD- FEB 22,CILEX,26/01/2022,367.00
P & C G,HR,CONDERENCE,P-CARD- FEB 22,GOVT EVENTS,28/01/2022,358.8
ACCRINGTON CREMATORIUM,BOOK OF REMEMBRANCE,BOOK OF REMEMBERANCE INSCRIPTION,B000022959/23978,CALLIGRAPHY UK LTD,01/02/2022,427.22
DOG WARDEN,KENNELING - DAYTIME,KENNELING FEES,B000022959/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,01/02/2022,928.43
ACCRINGTON CREMATORIUM,VISUAL TRIBUTES,MUSIC/MEDIA CHARGES,B000022959/55609,OBITUS (VIVEDIA LTD),01/02/2022,700.00
COVID TESTING,AGENCY STAFF,COVID COLLECTIONS,B000022959/55740,RAPID RECRUITMENT LTD,01/02/2022,299.61
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF,B000022959/55740,RAPID RECRUITMENT LTD,01/02/2022,1481.85
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,MED REF - CREMATION AUTHORISATION,B000022959/7171,PEEL HOUSE MEDICAL PRACTICE,01/02/2022,4125.00
HOUSING ADVICE,ADVERTISING,INSIDE HOSUING JOB ADVERT,B000022961/41567,INSIDE HOUSING SOLUTIONS LTD,02/02/2022,995.00
BUILDING CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,CIOB 2022 RENEWAL ,B000022961/61434,CHARTERED INSTITUTE OF BUILDING,02/02/2022,294.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,EXHAUST,B000022968/1758,GUNN JCB LTD,03/02/2022,616.05
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FUEL TANK,B000022968/2521,LANCASHIRE LEYLAND DAF LTD,03/02/2022,436.40
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES AND CALL OUT CHARGES,B000022968/29877,ROSSENDALE VULCANISING (SALES LTD),03/02/2022,4247.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES/ CALL OUT CHARGES,B000022968/29877,ROSSENDALE VULCANISING (SALES LTD),03/02/2022,4698.00
LIBRARY ST DEPOT,CLEANING,CVMU CLEAN JANUARY22,B000022968/50873,SERVICEMASTER,03/02/2022,597.87
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,"SUSPENSION ARMS, OIL FILTER, FUEL FILTER",B000022968/66006,ALLIANCE AUTOMOTIVE UK LV T/A JPN AUTOPARTS,03/02/2022,393.91
REGENERATION,HAG,CURTAIN FABRIC,P-CARD- FEB 22,LAURA'S BEAU,04/02/2022,481.66
GYPSY SITE,GENERAL REPAIR & MAINT BLDGS,REMOVE PUMP AND CLEAN - 16.12.21 AND 20.12.21,B000022975/1248,CAMPBELL CONSTRUCTION,07/02/2022,300.00
GYPSY SITE,GENERAL REPAIR & MAINT BLDGS,SUPPLY NEW DOOR AND REPAIR LOCK,B000022975/1248,CAMPBELL CONSTRUCTION,07/02/2022,760.00
DFG (AREA IMPROVEMENT),EXTERNAL CHARGES - DFG,DESIGN WORK ON DFG,B000022975/39718,GLOVERS PROJECT SERVICES LTD,07/02/2022,390.00
CORPORATE PROPERTY,WATER CHARGES,RECONNECT WATER AND PARTS,B000022975/59248,LANCASHIRE GAS SERVICES,07/02/2022,353.67
MARKETS - OPERATIONS,ASSET MAINT R&M,DIAGNOSTIC CHECK ON LIFT,B000022975/64522,R J LIFT SERVICES LTD,07/02/2022,450.00
FIRE RISK ASSESS WORKS VARIOUS,CONTRACTOR OTHER,FIRE DOOR SURVEY,B000022975/65824,INDEPENDENT FIRE SAFETY SERVICE LTD,07/02/2022,760.00
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022976/35745,AGS HEATING & PLUMBING LTD,07/02/2022,2100.00
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022976/36324,R H DENBIGH,07/02/2022,2200.00
HOUSING ADVICE,PYMTS REDUCE RENT ARREARS HPG,HOUSING RENT,B000022976/61195,H2 HOMES LETTINGS & PROPERTY SERVICES,07/02/2022,808.08
HOUSING ADVICE,PYMTS REDUCE RENT ARREARS HPG,HOUSING RENT ,B000022976/61195,H2 HOMES LETTINGS & PROPERTY SERVICES,07/02/2022,4189.51
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022976/64557,HARRIS HEATING (NW) LTD,07/02/2022,1875.00
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022976/64557,HARRIS HEATING (NW) LTD,07/02/2022,5600.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,POWER STEERING ASSEMBLEY,B000022978/46914,OMC FORD (ACCRINGTON),07/02/2022,304.19
LIBRARY ST DEPOT,CLEANING,CLEANING,B000022978/50873,SERVICEMASTER,07/02/2022,597.87
LIBRARY ST DEPOT,DEPOT COSTS,WATER BILL,B000022978/8325,WATER PLUS LTD,07/02/2022,815.05
LCC COVID PREVENTION,IMPLEMENTS & TOOLS,"HIRE OF FENCING, BARRIERS AND CONES",B000022979/28458,MARCHBRIDGE BUILDERS LTD,07/02/2022,615.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 30/01/22,B000022979/46341,MORGAN HUNT UK LTD,07/02/2022,991.34
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 23.01.22,B000022979/55150,VENN GROUP LIMITED,07/02/2022,1110.00
REFUSE/CLEANSING ADMIN STAFF,CIVIL CONTINGENCY ACT,INSTALL NEW SOCKETS,B000022979/57949,STEVEN MERCER ELECTRICAL CONTRACTORS LIMITED,07/02/2022,293.15
HUMAN RESOURCES,OD AND EQUALITY,CVMU TRAINING,B000022979/60445,HIGHER SAFETY & TRAINING SOLUTIONS LTD,07/02/2022,1140.00
Tree Project PlanT,MISCELLANEOUS,TREESCAPES PROJECT ILLUSTRATIONS PAYMENT 1,B000022979/61128,PROFFITTS,07/02/2022,1058.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022979/61714,AUTHORIZED ACCESS SYSTEMS LTD,07/02/2022,7595.58
ADMINISTRATION SERVICES,AGENCY STAFF,CLEANERS - JANUARY 2022,B000022980/50873,SERVICEMASTER,07/02/2022,552.00
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF - W/C 17.01.22,B000022980/58852,OYSTER PARTNERSHIP,07/02/2022,1588.86
COVID BACKFILL,AGENCY STAFF,TEMP STAFF - W/C 24.01.22,B000022980/58852,OYSTER PARTNERSHIP,07/02/2022,2650.00
DEV CONTROL,ADVERTISING GENERAL,PRESS NOTICE INSERTION,B000022980/59724,TMP (UK) LTD,07/02/2022,310.80
HOUSING ADVICE,PYMTS REDUCE RENT ARREARS HPG,HOUSING RENT,B000022980/61195,H2 HOMES LETTINGS & PROPERTY SERVICES,07/02/2022,336.76
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF - P/E 30.01.22,B000022980/61657,G2 RECRUITMENT SOLUTIONS,07/02/2022,1248.75
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 30.01.22,B000022980/61657,G2 RECRUITMENT SOLUTIONS,07/02/2022,1491.15
HOUSING ADVICE,AGENCY STAFF,TEMP STAFF W/E 30.01.22,B000022980/61860,VIVID RESOURCING,07/02/2022,1514.21
HOUSING ADVICE,PYMTS REDUCE RENT ARREARS HPG,GRANT FUNDING ,B000022980/64211,ONWARD HOMES,07/02/2022,2011.43
HOUSING ADVICE,PYMTS REDUCE RENT ARREARS HPG,GRANT FUNDING ,B000022980/64211,ONWARD HOMES,07/02/2022,3217.40
HAWORTH ART GALLERY,PROFESSIONAL ARTISTS FEE,DEVELOPMENT OF HERITAGE TRAIL + MAP,B000022980/67278,B L DESIGN,07/02/2022,300.00
ENVIRONMENTAL PROTECTION TEAM,AIR QUALITY REVIEW,AIR QUALITY NO2 TUBES - ANNUAL RENEWAL,B000022984/35839,GRADKO INTERNATIONAL LTD,09/02/2022,701.40
HUMAN RESOURCES,TRAINING EXPENSES,5 DAYS SCCM TRAINING ,B000022984/36434,BYTES SOFTWARE SERVICES LTD,09/02/2022,975.00
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,COMMUNITY CHARGE FOR Q4 2021,B000022984/66155,NOMINET UK,09/02/2022,765.94
CORPORATE PROPERTY,GENERAL REPAIR & MAINT BLDGS,"REMOVE RUBBISH, MAKE TIDY AND REPAIR LEAK",B000022985/1248,CAMPBELL CONSTRUCTION,09/02/2022,1060.00
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING COSTS - JAN 22,B000022985/29112,HYNDBURN LEISURE,09/02/2022,964.43
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,HB INFO SUBS 22,B000022985/46443,HBINFO LTD,09/02/2022,475.00
COVID 19,MOBILES,15 X UCC V 4.0 FOR MIVOICE,B000022985/46800,CLOUDCOCO,09/02/2022,3225.00
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,CONNECT PRTOTECT MDR,B000022985/52650,SECON,09/02/2022,15990.00
CUSTOMER SERVICES,TRAINING EXPENSES,IRRV SUBS 22,B000022985/52997,IRRV,09/02/2022,1200.00
PROPOSED SELEC LICENSING 2017,FEES-ANALYSTS & CONSULTANTS,CONSULTANCY FEE - 3 OF 4 INVOICES,B000022985/53366,ARC4 LTD,09/02/2022,1990.00
CORP & DEM CORE,MARKETING COMMUNICATIONS,ADVERT - 25.1.22- 31.1.22,B000022985/60625,REACH PUBLISHING SERVICES LTD,09/02/2022,350.00
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,ADVERT - 17.1.22 - 23.1.22,B000022985/60625,REACH PUBLISHING SERVICES LTD,09/02/2022,350.00
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,ADVERTS - 20.12.21-31.12.21,B000022985/60625,REACH PUBLISHING SERVICES LTD,09/02/2022,602.61
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,ARTWORK SUPPORT,B000022985/65011,BRANDS INSIDE OUT LIMITED,09/02/2022,450.00
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,DESIGN SUPPORT,B000022985/65011,BRANDS INSIDE OUT LIMITED,09/02/2022,1800.00
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,GOV DELIVERY SERVICES,B000022985/67137,GRANICUS,09/02/2022,11743.00
PLANNING POLICY B.U.,PUBLIC PARTICIPATION EXPENSE,CONSULTANCE FEES,B000022985/67252,JBA CONSULTING,09/02/2022,1098.96
HUMAN RESOURCES,OD AND EQUALITY,EFFECTIVE EMAIL WRITING TRAINING,B000022985/67315,TOTAL SUCCESS TRAINING LIMITED,09/02/2022,1200.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022988/30178,B3P SERVICES LTD,09/02/2022,3532.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000022988/30178,B3P SERVICES LTD,09/02/2022,3688.00
GREEN INFRASTRUCTURE,FEES-ANALYSTS & CONSULTANTS,KEMP DELPH PROJECT DEVELOPMENT,B000022988/61128,PROFFITTS,09/02/2022,673.00
LICENSING,DVLA FEES,DVLA CHECKS,B000022988/62170,PERSONNEL CHECKS,09/02/2022,252.00
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,GRAPHICS SUPPORT,B000022988/65011,BRANDS INSIDE OUT LIMITED,09/02/2022,450.00
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000022988/66471,MCCALLOTT WINDOWS,09/02/2022,2219.94
HUMAN RESOURCES,OD AND EQUALITY,LEADERSHIP IN HYBRID WORLD (5 PLACES) ,B000022988/6959,NORTH WEST EMPLOYERS,09/02/2022,2750.00
LIBRARY ST DEPOT,SECURITY SYSTEM MAINTENANCE,CVMU LINE RENTAL FEES,B000022990/65390,DIRECT VOICE AND DATA,10/02/2022,494.99
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD- FEB 22,DVLA,10/02/2022,277.50
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD- FEB 22,DVLA,10/02/2022,277.50
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD- FEB 22,DVLA,10/02/2022,277.50
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD- FEB 22,DVLA,10/02/2022,277.50
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000022994/29877,ROSSENDALE VULCANISING (SALES LTD),11/02/2022,6820.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,STEERING RACK,B000022994/46914,OMC FORD (ACCRINGTON),11/02/2022,765.40
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FILTERS,B000022994/7688,AEBI SCHMIDT UK LTD,11/02/2022,1300.73
COMPUTER SERVICES,TELEPHONES,CHARGES - 1.10.21 TO 31.12.21,B000022998/40272,CABLE & WIRELESS,14/02/2022,801.03
COMPUTER SERVICES,TELEPHONES,CHARGES - 1.1.22 - 31.1.22,B000022998/46800,CLOUDCOCO,14/02/2022,2328.95
