Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
SCAITCLIFFE HOUSE RECEPTION,MISCELLANEOUS,1 X MR20 MERAKI CLOUD AP + 3YR LICENCE,B000022388/64781,VIRTUAL GRAFFITI LIMITED,01-Mar-22,258.69
TIPPING CHARGES,HIRED VEHICLE,EMPTY WASTE BAGS WILLOWS LANE,B000023060/9294,STANLEY BROTHERS (TIPPERS) LTD,01-Mar-22,450
COVID TESTING,HIRED VEHICLE,VEHICLE HIRE,B000023060/2062,INTACK SELF DRIVE,01-Mar-22,599.6
COVID 19 Waste Services,HIRED VEHICLE,VEHICLE HIRE,B000023060/2062,INTACK SELF DRIVE,01-Mar-22,797.32
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 14/02/22,B000023060/58852,OYSTER PARTNERSHIP,01-Mar-22,918.96
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 07.02.2022,B000023060/58852,OYSTER PARTNERSHIP,01-Mar-22,1128
COVID 19,CLEANING,JAN 22 CLEAN,B000022942/50873,SERVICEMASTER,01-Mar-22,1234.13
SCAITCLIFFE HOUSE RECEPTION,MISCELLANEOUS,RELOCATION OF CABLES IN RECEPTION,B000022822/7968,T I S LTD,01-Mar-22,1418
HYNDBURN CEMETERIES,WATER CHARGES,WATER RATES D/H CEM,B000023060/8325,WATER PLUS LTD,01-Mar-22,10474.86
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,ANNUAL SOFTWARE LICENCE FOR 10 LICENCES,B000023067/65823,NEC SOFTWARE SOLUTIONS UK LTD,02-Mar-22,400
LIBRARY ST DEPOT,GENERAL REPAIR & MAINT BLDGS,"ANCHOR LAS PADLOCK WITH EVVA CYLINDER , KEYS",B000023065/21804,ACCESS & SURVEILLANCE BY BLAKEYS LTD,02-Mar-22,412.46
LCC COVID PREVENTION,IMPLEMENTS & TOOLS,"HIRE OF FENCING, BARRIERS, CONES ",B000023067/28458,MARCHBRIDGE BUILDERS LTD,02-Mar-22,492
ARDEN INN DEFIBRILLATOR GRANT,CAPITAL GRANTS,PEEL AND BARNFIELD AREA GRANT,B000023067/63807,A J PUBS LIMITED,02-Mar-22,500
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,10 ADDITIONAL INFO@WORK LICENCES,B000023067/65823,NEC SOFTWARE SOLUTIONS UK LTD,02-Mar-22,707.09
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING BROADWAY OFFICES -DEC 21,B000023067/29112,HYNDBURN LEISURE,02-Mar-22,964.43
LOCAL TAXATION,COMPUTER RENTAL & MAINT,COVID 19  SCRIPT PACKAGE,B000023067/65220,CAPITA  BUSINESS SERVICES LTD,02-Mar-22,995
