Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,P-CARD - MAY 22,DVLA,20/04/2022,292.5
ENVIRONMENTAL SERVICES,CVMU,SERVICE CONTRACT,P-CARD - MAY 22,SNAP ON DIAGNOSTICS,20/04/2022,1494
ENVIRONMENTAL SERVICES,PARKS,CONCRETE,P-CARD - MAY 22,WATCA.UK.LTD,21/04/2022,293.85
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,EQUIPMENT,P-CARD - MAY 22,SP-MOISTURE METER,25/04/2022,363
P & C G ,IT,HP LAPTOPS,P-CARD - MAY 22,BUY IT DIRECT,28/04/2022,1290.04
ENVIRONMENTAL SERVICES,PARKS,PLANTS,P-CARD - MAY 22,BROOKSIDE NURSERY,03/05/2022,254.73
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  W/E 24.04.2022,B000023252/19414,PROMAN RECRUITMENT LIMITED,04/05/2022,832.38
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 29.04.22,B000023252/19414,PROMAN RECRUITMENT LIMITED,04/05/2022,899.64
DOG WARDEN,KENNELING - DAYTIME,KENNELLING CONTRACT,B000023252/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,04/05/2022,668.86
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E 24.04.2022,B000023252/55740,RAPID RECRUITMENT LTD,04/05/2022,750.07
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF -  W/C 18.04.2022,B000023252/58852,OYSTER PARTNERSHIP,04/05/2022,858.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 04.04.22 11.04.22 18.04.22,B000023252/58852,OYSTER PARTNERSHIP,04/05/2022,2912.00
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,TRAFFIC MANAGEMENT CONTRIBUTION FUNDING - CARNIVAL,B000023252/67660,OSWALDTWISTLE CARNIVAL,04/05/2022,1375.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023254/25868,HYNDBURN PLUMBING & HEATING SERVICES,04/05/2022,3673.00
ADMINISTRATION SERVICES,AGENCY STAFF,CLEANING - MAY 22,B000023254/50873,SERVICEMASTER,04/05/2022,1275.18
CORPORATE PROPERTY,ASSET MAINT R&M,REPAIR WORKS TO BRIDGE,B000023254/52330,JOHN WADE GROUNDWORKS LTD,04/05/2022,2802.50
MOORFIELD ENCAPSULATION,WORK DONE DLO-HIGHWAYS,PERMIT CHARGE - 1.4.22 -31.3.23,B000023254/59657,ENVIRONMENT AGENCY,04/05/2022,3002.95
