Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
ENVIRONMENTAL HEALTH,ENVIRONMENTAL HEALTH,TRAINING,P-CARD - JUNE 22,CIEH,19/05/2022,815.00
P & C G ,HR,TRAINING,P-CARD - JUNE 22,ATCM,24/05/2022,390.00
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 22.05.2022,B000023314/19414,PROMAN SUPPLY CHAIN LTD,01/06/2022,306.02
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF  W/E 15.05.2022,B000023314/19414,PROMAN SUPPLY CHAIN LTD,01/06/2022,1040.46
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF -  W/E 22.05.2022,B000023314/19414,PROMAN SUPPLY CHAIN LTD,01/06/2022,1040.46
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF W/E 15.05.2022,B000023314/19414,PROMAN SUPPLY CHAIN LTD,01/06/2022,1136.10
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E22.05.2022,B000023314/55740,RAPID RECRUITMENT LTD,01/06/2022,1133.78
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,MAC PROFFESIONAL SERVICES - PART 3,B000023314/65816,BRADSHAW ADVISARY LTD,01/06/2022,2550.00
TIPPING CHARGES,HIRED VEHICLE,TIPPER HIRE 20.5.22,B000023314/9294,STANLEY BROTHERS (TIPPERS) LTD,01/06/2022,540.00
TIPPING CHARGES,HIRED VEHICLE,EMPTY WASTE BAYS 27.5.22,B000023314/9294,STANLEY BROTHERS (TIPPERS) LTD,01/06/2022,540.00
SELF ISOLATION PROJECT,GENERAL CONTRIBUTIONS,FOCUS GROUP PILOT PROJECT,B000023315/2496,LANCASHIRE COUNTY COUNCIL,06/06/2022,600.00
SELF ISOLATION PROJECT,GENERAL CONTRIBUTIONS,FOCUS GROUP PILOT PROJECT,B000023315/3298,ACCRINGTON ACADEMY,06/06/2022,300.00
HOUSING ADVICE,ADVERTISING,INSIDE HOUSING JOB AD,B000023315/41567,INSIDE HOUSING SOLUTIONS LTD,06/06/2022,995.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF WE 29.05.22,B000023315/46341,MORGAN HUNT UK LTD,06/06/2022,1075.59
SELF ISOLATION PROJECT,GENERAL CONTRIBUTIONS,FOCUS GROUP PILOT PROJECT,B000023315/49037,BLACKBURN WITH DARWEN BOROUGH COUNCIL,06/06/2022,300.00
Replacement Boilers various,CONTRACTOR OTHER,BROADWAY OFFICES BOILER REPLACEMENT,B000023315/59248,LANCASHIRE GAS SERVICES,06/06/2022,26602.50
HOUSING ADVICE,RENT DEPOSIT SCHEME,DEPOSIT FEE,B000023315/67745,OPEN RENT LTD,06/06/2022,500.00
SELF ISOLATION PROJECT,GENERAL CONTRIBUTIONS,FOCUS GROUP PILOT PROJECT,B000023315/67746,LET EDUCATION TRUST,06/06/2022,300.00
SELF ISOLATION PROJECT,GENERAL CONTRIBUTIONS,FOCUS GROUP PILOT PROJECT,B000023315/67747,ALDER GRANGE SCHOOL,06/06/2022,300.00
MEMBERS EXPENSES,GENERAL CONTRIBUTIONS,MAYOR MAKING CATERING,B000023315/67748,WAHEEDS BUFFET LTD,06/06/2022,1390.00
