Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
HOUSING BENEFIT ADMIN,SECURITY SERVICES,G4S,35507,G4S,18/07/2022,408.76
BANK CHARGES,BANK CHARGES,STREAMLINE,35507,WORLDPAY,19/07/2022,3683.88
BANK CHARGES,BANK CHARGES,STREAMLINE,35507,WORLDPAY,19/07/2022,1642.88
HOUSING BENEFIT ADMIN,SWIPE CARDS,JUNE,35522,ALLPAY.NET LTD,26/07/2022,1126.63
ENVIRONMENTAL PROTECTION TEAM,RENTAL & MAINT SOFTWARE MISC,GGP LICENCES,B000023376/1639,GGP SYSTEMS LTD,05/07/2022,963.86
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,ARTWORK FOR JUBILEE BUS,B000023376/17546,SCOTT DAWSON ADVERTISING LTD,05/07/2022,600.00
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,JUBILEE VIDEO,B000023376/17546,SCOTT DAWSON ADVERTISING LTD,05/07/2022,1500.00
COVID 19 Waste Services,PRIVATE CONTRACTORS WORK,EXTRA CLEANING WL DEPOT,B000023376/50873,SERVICEMASTER,05/07/2022,828.69
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF W/E 20/06/2022,B000023376/55740,RAPID RECRUITMENT LTD,05/07/2022,642.91
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 20/06/2022,B000023376/58852,OYSTER PARTNERSHIP,05/07/2022,897.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 13/06/2022,B000023376/58852,OYSTER PARTNERSHIP,05/07/2022,949.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 13/06/2022,B000023376/58852,OYSTER PARTNERSHIP,05/07/2022,1092.00
HEALTH FOOD & SAFETY,AGENCY STAFF,TEMP STAFF W/C 20/06/2022,B000023376/58852,OYSTER PARTNERSHIP,05/07/2022,1092.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,CONSULTANCY FEES LUF BID,B000023376/65816,BRADSHAW ADVISARY LTD,05/07/2022,22250.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,LEGAL ADVICE,B000023376/66553,WOMBLE BOND DICKINSON,05/07/2022,2000.00
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,FUEL FOR JUBILEE BUS SERVICE,B000023376/67543,TOWN AND DISTRICT TRANSPORT TRUST,05/07/2022,1000.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,CONSULTANCY FEES LUF BID,B000023376/67812,MA COST CONSULTING LIMITED,05/07/2022,7200.00
TIPPING CHARGES,HIRED VEHICLE,EMPTY TIP BAYS WILLOWS LANE,B000023376/9294,STANLEY BROTHERS (TIPPERS) LTD,05/07/2022,540.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,"PANEL, RAM BUMPER",B000023377/1164,DENNIS EAGLE LIMITED,06/07/2022,424.15
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,MOVE EQUIPMENT,B000023377/58111,MRB WORKSHOP SERVICES,06/07/2022,1635.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,SPRING MECHANISM,B000023377/60483,WASTEPARTS UK LTD,06/07/2022,480.86
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,"BALL JOINT, DROP LINKS",B000023377/7688,AEBI SCHMIDT UK LTD,06/07/2022,747.39
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION - 1.6.22 TO 9.6.22 ,B000023378/28199,HILL VIEW (PRIVATE) HOTEL,06/07/2022,600.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION - 30.5.22-27.6.22 ,B000023378/28199,HILL VIEW (PRIVATE) HOTEL,06/07/2022,2240.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION - 30.5.22 - 27.6.22 ,B000023378/28199,HILL VIEW (PRIVATE) HOTEL,06/07/2022,3080.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMODATION - 30.5.22 - 27.6.22,B000023378/28199,HILL VIEW (PRIVATE) HOTEL,06/07/2022,3220.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION - 30.5.22 TO 23.6.2 ,B000023378/28199,HILL VIEW (PRIVATE) HOTEL,06/07/2022,3720.00
SCAITCLIFFE HOUSE RECEPTION,CONTRACTOR OTHER,EXTERNAL DECORATION - SCAITCLIFFE,B000023378/37017,PILKINGTON BROS (CHURCH) LTD,06/07/2022,5305.27
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,CLEANING JULY 22 - OAKHILL,B000023378/50873,SERVICEMASTER,06/07/2022,254.96
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,CLEANING - JULY 22 - MILNSHAW,B000023378/50873,SERVICEMASTER,06/07/2022,318.79
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023378/7874,STANNAH LIFT SERVICES LIMITED,06/07/2022,5622.00
PUBLIC TRANSPORT,MAINTENANCE,REGLAZING OF BUS SHELTERS,B000023378/8372,VICTORIA GLASS JOINERY & PLUMBING LTD,06/07/2022,6490.41
POLICY AND PERFORMANCE REVIEW,DOMESTIC VIOLENCE,DOMESTIC ABUSE CONTRIBUTION - 22/23,B000023379/11051,LANCASHIRE POLICE AUTHORITY,07/07/2022,6644.00
PARKS & OPEN SPACES,ASSET MAINT R&M,WATER PROCESS SYSTEM - RHYDDINGS PARK,B000023379/57133,MITIE (UK) LIMITED,07/07/2022,575.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023379/61433,JCM STEEL FABRICATIONS LTD,07/07/2022,4645.00
