Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
REGENERATION,HOUSING,ACCOMMODATION,P-CARD - AUG 22,TRAVELODGE,19/07/2022,431.74
ENVIRONMENTAL HEALTH,PEST CONTROL,TRAINING,P-CARD - AUG 22,FLYDRIVE,20/07/2022,300.00
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - AUG 22,DVLA,21/07/2022,302.50
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - AUG 22,DVLA,21/07/2022,292.50
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - AUG 22,DVLA,21/07/2022,292.50
P & C G ,IT,PC UPGRADES,P-CARD - AUG 22,AMAZON,21/07/2022,758.2
REGENERATION,HOUSING,ACCOMMODATION,P-CARD - AUG 22,TRAVELODGE,26/07/2022,398.60
PARKS & OPEN SPACES,MATERIALS-DIRECT,VARIOUS SIGNS ,B000023446/1866,HITCHENS ENGRAVERS LTD,03/08/2022,268.50
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,2 BASKETBALL BACKBOARDS C/W FIXINGS,B000023446/22476,STEELWAY FENSECURE LTD,03/08/2022,270.00
BOLTON AVENUE MUGA,CONTRACTOR OTHER,SUPPLY AND INSTALL A 20M X 30M MULTI-USE,B000023446/22476,STEELWAY FENSECURE LTD,03/08/2022,45631.54
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,TO GRIND OUT APPROX 115 STUMPS,B000023446/56356,STUMP BUSTERS NORTH LANCS,03/08/2022,5550.00
UNDERSPENDS,FEES-ANALYSTS & CONSULTANTS,12 MONTH FOLLOW UP CDM AUDIT,B000023446/60761,BIG C PROJECTS LIMITED,03/08/2022,1750.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,EMERGENCY ROOM 27.06.22 - 11.07.22,B000023447/28199,HILL VIEW (PRIVATE) HOTEL,03/08/2022,1540.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION 27.06.22 - 15.07.22,B000023447/28199,HILL VIEW (PRIVATE) HOTEL,03/08/2022,2070.00
HUMAN RESOURCES,OD AND EQUALITY,HCB TRAINING,B000023447/67724,LINDE MH UK LIMITED,03/08/2022,1800.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF W/E24.07.2022,B000023448/19414,PROMAN SUPPLY CHAIN LTD,03/08/2022,328.75
PARKS & OPEN SPACES,AGENCY STAFF,AGENY STAFF W/E 24.07.2022,B000023448/19414,PROMAN SUPPLY CHAIN LTD,03/08/2022,384.56
