Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount,RecId
,,,,,,,
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD -SEP 22 ,DVLA,11-Aug-22,292.50,
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD -SEP 22 ,DVLA,11-Aug-22,302.50,
P & CG,CENTRAL ADMIN,RADAR KEYS,P-CARD -SEP 22 ,RADAR KEY COMPANY,17-Aug-22,423,
P & CG,IT,LICENCE RENEWAL,P-CARD -SEP 22 ,TEAMVIEWER,18-Aug-22,1603.89,
REGENERATION,HOUSING,ACCOMMODATION,P-CARD -SEP 22 ,WILLOWS,18-Aug-22,320.42,
P & CG,IT,LAPTOP,P-CARD -SEP 22 ,HP,25-Aug-22,718.00,
REGENERATION,HOUSING,ACCOMMODATION,P-CARD -SEP 22 ,WILLOWS,26-Aug-22,255.83,
REGENERATION,HOUSING,ACCOMMODATION,P-CARD -SEP 22 ,TRAVELODGE,30-Aug-22,358.65,
HOUSING BENEFIT ADMIN,SECURITY SERVICES,G4S,35664,G4S,15-Sep-22,408.76,
LOCAL TAXATION,SUMMONSES,HMCTS,35664,HMCTS,16-Sep-22,443.50,
BANK CHARGES,BANK CHARGES,STREAMLINE,35681,WORLDPAY,21-Sep-22,2991.51,
BANK CHARGES,BANK CHARGES,STREAMLINE,35681,WORLDPAY,21-Sep-22,1155.51,
HOUSING BENEFIT ADMIN,SWIPE CARDS,AUGUST,35690,ALLPAY.NET LTD,26-Sep-22,958.04,
BANK CHARGES,BANK CHARGES,02.06.22-02.09.22,35690,NatWest,30-Sep-22,4077.61,
