Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,ANNUAL SUPPRT & MTC OCT 22 - SEP 23,B000023579/819,ADVANCED BUSINESS SOLUTIONS,05/10/2022,40656.35
HOUSING BENEFIT ADMINISTRATION,FRANKING MACHINE LEASE,BENEFIT CALCULATOR - OCT 22 - SEPT 23,B000023580/19244,OVALTECH LTD,05/10/2022,800.00
HARGREAVES WAREHOUSE,FIRE DAMAGE REPAIRS,WORKS AT HARGREAVES WAREHOUSE,B000023580/46026,MICHAEL POOLER ASSOCIATES,05/10/2022,2250.00
ADMINISTRATION SERVICES,AGENCY STAFF,TEMP STAFF - OCTOBER 22,B000023580/50873,SERVICEMASTER,05/10/2022,637.43
INSURANCES,CLAIMS,INSURANCE CLAIM ,B000023580/62078,TRAVELLERS INSURANCE,05/10/2022,25000.00
CORP & DEM CORE,MARKETING COMMUNICATIONS,DESIGN SUPPORT,B000023580/65011,BRANDS INSIDE OUT LIMITED,05/10/2022,450.00
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,DESIGN SUPPORT,B000023580/65011,BRANDS INSIDE OUT LIMITED,05/10/2022,900.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION - 23.9.22 - 30.9.22,B000023580/67383,MOLESWORTH HOTEL,05/10/2022,553.00
HARGREAVES WAREHOUSE,FIRE DAMAGE REPAIRS,FIRE INCIDENT - 21.8.22,B000023580/67945,PGC DISMANTLING LTD,05/10/2022,1585.00
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,AIR FILTERS,B000023581/1164,DENNIS EAGLE LIMITED,05/10/2022,667.30
LIBRARY ST DEPOT,CLEANING OF BUILDINGS,SUPPLEMENTRY CLEANING,B000023581/50873,SERVICEMASTER,05/10/2022,637.45
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,STEAM CLEANING,B000023581/58642,KEEP EM CLEAN,05/10/2022,262.50
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,SAFETY CHECK,B000023581/634,BRITISH OXYGEN CO LTD,05/10/2022,302.00
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,PUMP ASSEMBLEY,B000023581/7688,AEBI SCHMIDT UK LTD,05/10/2022,1102.65
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,DUMP VALVES AND TENSIONERS,B000023581/7688,AEBI SCHMIDT UK LTD,05/10/2022,2827.00
ACCRINGTON TOWN CENTRE,T C PROMOTIONS,PIGEON SIGNAGE,B000023582/24708,SIGN IT,05/10/2022,250.40
ACCRINGTON CREMATORIUM,REPAIR & MAINT CREMATOR,CREAMTOR - SERVICING,B000023582/28418,FACULTATIEVE TECHNOLOGIES,05/10/2022,8928.80
ACCRINGTON CREMATORIUM,CLEANING MATERIALS,CARPET/UPHOLSTERY CLEANING,B000023582/33866,ZAGOTA CREATIONS LTD,05/10/2022,535.00
ACCRINGTON CREMATORIUM,VISUAL TRIBUTES,MEDIA CHARGES,B000023582/55609,OBITUS (VIVEDIA LTD),05/10/2022,909.00
ACCRINGTON CREMATORIUM,EQUIPMNT REPAIR & MAINT,LOLER INSPECTION,B000023582/59779,J & J MAINTENANCE SERVICES,05/10/2022,504.94
ACCRINGTON CREMATORIUM,FLOWERS,CREMATORIUM FLOWERS,B000023582/62163,OPEN ALL FLOWERS,05/10/2022,260.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,CONSULTANCY WORK,B000023582/65816,BRADSHAW ADVISARY LTD,05/10/2022,3075.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,LEGAL ADVICE,B000023582/66553,WOMBLE BOND DICKINSON,05/10/2022,1300.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,LEGAL ADVICE,B000023582/66553,WOMBLE BOND DICKINSON,05/10/2022,3347.50
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,CHRISTMAS TREE ,B000023582/67991,CHRISTMAS TREE WORLD,05/10/2022,999.99
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,MEDICAL REFEREE FEES,B000023582/7171,PEEL HOUSE MEDICAL PRACTICE,05/10/2022,4480.00
PARKS & OPEN SPACES,WATER CHARGES,WATER BILL PEEL PARK,B000023582/8325,WATER PLUS LTD,05/10/2022,293.44
TIPPING CHARGES,HIRED VEHICLE,EMPTY WASTE BAYS - 29.9.22,B000023582/9294,STANLEY BROTHERS (TIPPERS) LTD,05/10/2022,540.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023583/61433,JCM STEEL FABRICATIONS LTD,05/10/2022,1700.00
Electical works various,CONTRACTOR OTHER,ACCTOWN HALL - EICR REMIDIAL WORKS,B000023584/60330,CALBARRIE COMPLIANCE SERVICES,05/10/2022,6000.00
HOUSING STANDARDS,AGENCY STAFF,TEMP STAFF - W/E 06.02.22,B000023584/61657,G2 RECRUITMENT SOLUTIONS,05/10/2022,1248.75
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF- W/E 17.05.20,B000023584/61657,G2 RECRUITMENT SOLUTIONS,05/10/2022,1440.96
PROPOSED SELEC LICENSING 2017,AGENCY STAFF,TEMP STAFF - W/E 24.07.22,B000023584/61657,G2 RECRUITMENT SOLUTIONS,05/10/2022,1874.05
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF - W/E 09.08.20,B000023584/61657,G2 RECRUITMENT SOLUTIONS,05/10/2022,2019.16
HOUSING STANDARDS,AGENCY STAFF,TEMP STAFF W/E 26-.04.20,B000023584/61657,G2 RECRUITMENT SOLUTIONS,05/10/2022,2062.32
LOCAL TAXATION,COMPUTER RENTAL & MAINT,CAPITA SBRR UPDATE,B000023584/65220,CAPITA  BUSINESS SERVICES LTD,05/10/2022,2227.00
MARKETS - OPERATIONS,EVENT EXPENDITURE,REMOVAL OF JUBILEE BUNTING ,B000023586/14998,STERLING CONSTRUCTION (SERVICES) LTD,06/10/2022,450.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REMOVE OLD LOGS,B000023586/20,A BYRNE FENCING,06/10/2022,393.00
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,FIT REBOUND PANELS TO MUGA AT MILNSHAW,B000023586/20,A BYRNE FENCING,06/10/2022,592.00
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,REMOVE OLD TRAMPOLINE ,B000023586/20,A BYRNE FENCING,06/10/2022,756.00
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,NEW BEARINGS FITTED TO SKYSURF ,B000023586/26199,PROLUDIC LTD,06/10/2022,1597.40
PARKS & OPEN SPACES,IMPLEMENTS & TOOLS,6 LOLER INSPECTIONS AND REPORT ,B000023586/45081,G M TREE CONSULTANTS,06/10/2022,510.00
CEMETERY WELFARE & DEPOT FAC,CONTRACTOR OTHER,INSPECTIONS AND REPORTS,B000023586/52714,THE INTELLIGENT DESIGN CENTRE LTD,06/10/2022,1949.85
PARKS & OPEN SPACES,MATERIALS-DIRECT,PALLET OF BOWCOM SUPREME ,B000023586/57563,BOWCOM,06/10/2022,1170.00
VEHICLE MAINT SUPERVISION,FUEL STOCK,DIESEL FUEL,B000023586/64492,CERTAS ENERGY,06/10/2022,6210.00
VEHICLE MAINT SUPERVISION,FUEL STOCK,DIESEL FUEL,B000023586/64492,CERTAS ENERGY,06/10/2022,24960.06
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,MEASURED BUILDING SURVEY ,B000023586/67856,GREENHATCH GROUP LTD,06/10/2022,13220.00
DOG WARDEN,KENNELING - DAYTIME,KENNELING COSTS,B000023587/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,06/10/2022,742.86
DOG WARDEN,KENNELING - DAYTIME,HYNDBURN STRAY DOG/ KENNELING COSTS,B000023587/36271,ASPEN VALLEY BOARDING KENNELS & CATTERY,06/10/2022,1587.36
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - OCT 22,DVLA,06/10/2022,292.50
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - OCT 22,DVLA,06/10/2022,292.50
LAND AT NOOK LANE,CONTRACTOR OTHER,FOOTBRIDGE INST AND INTERCEPTOR REPAIR,B000023588/14998,STERLING CONSTRUCTION (SERVICES) LTD,07/10/2022,4750.00
COMMUNITY HUB YOUTH SUPPORT GR,GRANTS,GRANT PAYMENT,B000023588/56041,COMMUNITY SOLUTIONS NORTH WEST LTD,07/10/2022,8053.00
COVID BACKFILL,AGENCY STAFF,TEMP STAFF W/C 19/09/22,B000023588/58852,OYSTER PARTNERSHIP,07/10/2022,1060.00
COVID BACKFILL,AGENCY STAFF,TEMP STAFF W/C 26/09/22,B000023588/58852,OYSTER PARTNERSHIP,07/10/2022,2650.00
COVID BACKFILL,AGENCY STAFF,TEMP STAFF  W/C 12/09/22,B000023588/58852,OYSTER PARTNERSHIP,07/10/2022,2650.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023588/61433,JCM STEEL FABRICATIONS LTD,07/10/2022,5974.00
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF W/C 26/09/22,B000023588/61657,G2 RECRUITMENT SOLUTIONS,07/10/2022,2025.00
"AUDIT, BANK & TREASURY FEES",FEES-ANALYSTS & CONSULTANTS,EXTERNAL AUDIT,B000023588/67662,MAZARS LLP,07/10/2022,18067.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION ,B000023589/28199,HILL VIEW (PRIVATE) HOTEL,10/10/2022,300.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION ,B000023589/28199,HILL VIEW (PRIVATE) HOTEL,10/10/2022,1105.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION,B000023589/28199,HILL VIEW (PRIVATE) HOTEL,10/10/2022,2080.00
ACCRINGTON CREMATORIUM,PRIVATE CONTRACTORS WORK,CREM/BOR/OFFICE CLEANER,B000023589/50873,SERVICEMASTER,10/10/2022,637.45
HYNDBURN CEMETERIES,KERBSTONE GRAVES,KERB SET,B000023589/604,BRENT STEVENSON MEMORIALS,10/10/2022,1500.00
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,MEDICAL REFEREES,B000023589/7171,PEEL HOUSE MEDICAL PRACTICE,10/10/2022,4000.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF - W/E 18.09.22,B000023590/33923,EDEN BROWN LIMITED,10/10/2022,539.18
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF- W/E 02.10.22,B000023590/33923,EDEN BROWN LIMITED,10/10/2022,791.70
LOCAL TAXATION,AGENCY STAFF,TEMP STAFF- W/E 02.10.22,B000023590/33923,EDEN BROWN LIMITED,10/10/2022,1291.46
GYPSY SITE,RENT AND HIRE OF PREMISES,RENT,B000023590/45458,ADA GLOSSOP LTD,10/10/2022,1255.00
GYPSY SITE,RENT AND HIRE OF PREMISES,RENT,B000023590/45458,ADA GLOSSOP LTD,10/10/2022,4920.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF - W/E 02.10.22,B000023590/46341,MORGAN HUNT UK LTD,10/10/2022,283.50
