Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
P & C G,HR,FLAG/PIN BADGES,P-CARD - DEC 22,WHITE RIBBON UK,14/11/2022,290.70
ENVIRONMENTAL HEALTH,CVMU,PARTS,P-CARD - DEC 22,CICELEY COMMERCIALS,15/11/2022,848.26
REGENERATION,HOUSING,AWARD TROPHIES,P-CARD - DEC 22,EE AWARDS,15/11/2022,499.35
P & C G,IT,4 X MONITORS,P-CARD - DEC 22,AMAZON,16/11/2022,341.65
ENVIRONMENTAL HEALTH,CEMETERIES,WOOD,P-CARD - DEC 22,WHEWELLS,16/11/2022,333.34
ENVIRONMENTAL HEALTH,CVMU,WATER INVOICE,P-CARD - DEC 22,WATER PLUS,21/11/2022,387.59
ENVIRONMENTAL HEALTH,PARKS,FUEL,P-CARD - DEC 22,GEM,21/11/2022,269.84
P & C G,LEGAL,SUBSCRIPTION,P-CARD - DEC 22,SRA,23/11/2022,316.00
P & C G,IT,MONITORS,P-CARD - DEC 22,CURRYS,25/11/2022,463.34
DFG Affordable Warmth Grant,CONTRACTOR OTHER,AFFORDABLE WARMTH GRANT,B000023706/24239,GREAT HARWOOD WINDOWS LTD,01/12/2022,2645.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION 31.10.22 - 23.11.22,B000023706/28199,HILL VIEW (PRIVATE) HOTEL,01/12/2022,1495.00
HOUSING ADVICE,TEMPORARY ACCOMMODATION,ACCOMMODATION 31.10.22 - 25.11.22,B000023706/28199,HILL VIEW (PRIVATE) HOTEL,01/12/2022,1625.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023706/34573,MR R WILCOCK,01/12/2022,10000.00
PARKS & OPEN SPACES,GAS,DISCONNECTION OF GAS OAKHILL TENNIS PAV,B000023706/44846,APOLLO ENERGY,01/12/2022,3335.80
HUMAN RESOURCES,EMPLOYEE ASSISTANCE PROGRAMME,VALIDIUM EAP ANNUAL SERVICE,B000023706/62141,VALIDIUM,01/12/2022,2523.90
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,WEEKLY PRINT,B000023706/62168,CIVICA ELECTION SERVICES,01/12/2022,617.79
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023708/59128,GEORGE PEARCE & SONS LTD,05/12/2022,8584.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023709/31205,BRYAN LEE BUILDING CONTRACTORS LTD,05/12/2022,22401.82
LOCAL TAXATION,AGENCY STAFF,TEMP STAFF WE 27.11.22,B000023709/33923,EDEN BROWN LIMITED,05/12/2022,1247.75
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF WE 27.11.22 ,B000023709/46341,MORGAN HUNT UK LTD,05/12/2022,945.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023709/61963,SMART BUILDING SOLUTIONS BLACKBURN LTD,05/12/2022,8000.00
HUNCOAT HOUSING ZONE,FEES-ANALYSTS & CONSULTANTS,HUNCOAT GARDEN VILLAGE,B000023709/65514,AVISON YOUNG (UK) LTD,05/12/2022,6236.60
HUNCOAT HOUSING ZONE,FEES-ANALYSTS & CONSULTANTS,HUNCOAT GARDEN VILAGE,B000023709/65514,AVISON YOUNG (UK) LTD,05/12/2022,9355.00
HYNDBURN CEMETERIES,AGENCY STAFF,AGENCY STAFF,B000023712/19414,PROMAN SUPPLY CHAIN LTD,06/12/2022,482.66
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF,B000023712/61971,RAPID RECRUIT LTD,06/12/2022,532.43
WILLOWS LANE DEPOT,CLEANING MATERIALS,EMPTY WASTE BAYS W/L,B000023712/9294,STANLEY BROTHERS (TIPPERS) LTD,06/12/2022,540.00
CORP & DEM CORE,MARKETING COMMUNICATIONS,RECEPTION CANVASES,B000023713/1344,ELLISON PRINTING,07/12/2022,828.00
PROPOSED SELEC LICENSING 2017,AGENCY STAFF,TEMP STAFF WB 14.11.22,B000023713/58852,OYSTER PARTNERSHIP,07/12/2022,1735.50
PROPOSED SELEC LICENSING 2017,AGENCY STAFF,TEMP STAFF WB 21.11.22,B000023713/58852,OYSTER PARTNERSHIP,07/12/2022,1735.50
CORP & DEM CORE,MARKETING COMMUNICATIONS,GRAPHOC DESIGN SUPPORT,B000023713/65011,BRANDS INSIDE OUT LIMITED,07/12/2022,450.00
CORP & DEM CORE,MARKETING COMMUNICATIONS,PLACE BRANDING,B000023713/66163,MEDIA VILLAGE,07/12/2022,275.00
CORP & DEM CORE,MARKETING COMMUNICATIONS,BRANDING,B000023713/66163,MEDIA VILLAGE,07/12/2022,550.00
COMMUNITY CHAMPIONS FUNDING,COMMUNITY CHAMPIONS FUNDING,COMMUNITY ENGAGEMENT STAND,B000023713/66163,MEDIA VILLAGE,07/12/2022,650.00
ADMINISTRATION SERVICES,EQUIPMNT REPAIR & MAINT,COPIER CHARGES 22.8.22 - 21.11.22,B000023715/55485,CANON (UK) LTD,07/12/2022,255.66
PARKS & OPEN SPACES,ASSET MAINT R&M,RHYDDING PARK WATER SYSTEM,B000023715/57133,MITIE (UK) LIMITED,07/12/2022,300.00
PLANNING POLICY B.U.,AGENCY STAFF,TEMP STAFF WC 21.11.22 ,B000023715/58852,OYSTER PARTNERSHIP,07/12/2022,1446.25
DEVELOPMENT CONTROL B.U.,AGENCY STAFF,TEMP STAFF WC 21.11.22,B000023715/58852,OYSTER PARTNERSHIP,07/12/2022,463.20
WAR MEMORIAL RESTORATION,CONTRACTOR OTHER,HBC WAR MEMORIALS SURVEY,B000023715/68005,STONE CENTRAL,07/12/2022,2395.00
GREEN INFRASTRUCTURE,GREEN INFRASTRUCTURE,JACKHOUSE NATURE OSW,B000023716/58050,PAUL WALSH GROUNDWORK & PLANT HIRE,07/12/2022,1850.00
PROPOSED SELEC LICENSING 2017,AGENCY STAFF,TEMP STAFF WB 31.10.22 ,B000023716/58852,OYSTER PARTNERSHIP,07/12/2022,1735.50
PROPOSED SELEC LICENSING 2017,AGENCY STAFF,TEMP STAFF WB 07.11.22  ,B000023716/58852,OYSTER PARTNERSHIP,07/12/2022,1735.50
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,DISMANTLE 3 ASH TREES,B000023717/24202,MARK RIDING TREE SERVICES,07/12/2022,2850.00
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,4 HYDRAULIC UNIT REPAIR KITS,B000023717/36213,I A E FENCING,07/12/2022,908.00
WASTE SERVICES,PROTECTIVE CLOTHING,X5 SUMO GLOVES - 9,B000023717/49604,BE SMART CLOTHING LTD,07/12/2022,486.00
CEMETERY WELFARE & DEPOT FAC,MISCELLANEOUS,PROFESSIONAL FEES,B000023717/52714,THE INTELLIGENT DESIGN CENTRE LTD,07/12/2022,1949.85
REFUSE COLLECTION,NEW CONTAINERS,GREY 240LTR WHEELED BINS ,B000023717/59653,MGB PLASTICS,07/12/2022,5850.00
RECYCLING COLLECTION,NEW CONTAINERS,BLUE 240LTR WHELLED BINS ,B000023717/59653,MGB PLASTICS,07/12/2022,6000.00
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,ANNUAL  INSPECTIONS FOR 32 PLAY AREA,B000023717/66815,PLAYGROUND PROJECTS CONSULTANCY LIMITED,07/12/2022,1512.00
UNDERSPENDS,FEES-ANALYSTS & CONSULTANTS,LEGAL ADVICE/ WORK,B000023717/67894,WOMBLE BOND DICKINSON (UK) LLP,07/12/2022,4810.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,LEGAL ADVICE/ WORK,B000023717/67894,WOMBLE BOND DICKINSON (UK) LLP,07/12/2022,4506.00
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,LEGAL ADVICE/ WORK,B000023717/67894,WOMBLE BOND DICKINSON (UK) LLP,07/12/2022,2886.30
ECONOMIC DEVELOPMENT FUND,FEES-ANALYSTS & CONSULTANTS,LEGAL ADVICE/ WORK,B000023717/67894,WOMBLE BOND DICKINSON (UK) LLP,07/12/2022,2500.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023719/21792,H & M BUILDING & JOINERY LTD,07/12/2022,2965.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023719/24239,GREAT HARWOOD WINDOWS LTD,07/12/2022,1250.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023719/30178,B3P SERVICES LTD,07/12/2022,5847.00
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,H/B PAYMENT - DEC 22,B000023719/45458,ADA GLOSSOP LTD,07/12/2022,1479.00
COMMUNITY HUB YOUTH SUPPORT GR,GRANTS,YOUTH HUB PROJECT GRANT,B000023719/56041,COMMUNITY SOLUTIONS NORTH WEST LTD,07/12/2022,8053.00
ENVIRONMENTAL PROTECTION,AGENCY STAFF,TEMP STAFF W/E 27.11.22,B000023719/58023,BUCKINGHAM FUTURES LTD,07/12/2022,1672.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000023719/59301,CONSULTANTS & SPEC SURVEYORS LTD,07/12/2022,395.00
ENVIRONMENTAL PROTECTION,AGENCY STAFF,TEMP STAFF W/E 27.11.22 ,B000023719/61860,VIVID RESOURCING,07/12/2022,696.94
HOUSING STANDARDS,AGENCY STAFF,TEMP STAFF W/E 27.11.22,B000023719/61860,VIVID RESOURCING,07/12/2022,2220.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,DWP LA DATA SHARE COSTS,B000023719/65220,CAPITA  BUSINESS SERVICES LTD,07/12/2022,5537.83
LOCAL TAXATION,LEGAL FEES,ENFORCEMENT COSTS,B000023719/66036,MARSTON (HOLDINGS) LTD,07/12/2022,857.85
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,H/B PAYMENT - DEC 22,B000023719/67784,CHEVAL SOCIAL MANAGEMENT,07/12/2022,1633.16
ENVIRONMENTAL HEALTH,CVMU,ROAD TAX,P-CARD - DEC 22,DVLA,07/12/2022,292.50
P & C G,IT,2 X SEAGATE EXOS,P-CARD - DEC 22,MISCO,07/12/2022,372.97
LIBRARY ST DEPOT,ELECTRICITY,CVMU  NOV 22,B000023722/59343,EDF ENERGY,09/12/2022,1947.41
PARKS & OPEN SPACES,ELECTRICITY,COMMUNITY HUB - NOV 22,B000023722/59343,EDF ENERGY,09/12/2022,600.86
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE NOV 22,B000023722/59343,EDF ENERGY,09/12/2022,5199.61
MARKETS - OPERATIONS,ELECTRICITY,ACC MARKET  NOV 22,B000023722/59343,EDF ENERGY,09/12/2022,4641.62
ACC TOWN HALL,ELECTRICITY,ATH NOV 22,B000023723/59343,EDF ENERGY,09/12/2022,2316.55
LEISURE IN HYNDBURN,ELECTRICITY,MERCER HALL NOV 22,B000023723/59343,EDF ENERGY,09/12/2022,2456.95
Corporate Property Bus Unit,SUBSIDISED PROFESSIONAL SUBS,RICS FEES,B000023724/12583,RICS BUSINESS SERVICES,09/12/2022,539.00
REGISTRATION OF ELECTORS,STATIONERY,SCHOFIELD REL 67,B000023724/50652,THOMSON REUTERS PROFESSIONAL UK LTD,09/12/2022,314.00
HMO,AGENCY STAFF,TEMP STAFF WC 21.11.22 ,B000023724/58852,OYSTER PARTNERSHIP,09/12/2022,1443.00
HMO,AGENCY STAFF,TEMP STAFF WC 21.11.22,B000023724/58852,OYSTER PARTNERSHIP,09/12/2022,1404.00
