Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(£)
P & C G,IT,WILDCARD CERTIFICATE,P-CARD - JAN 23,GO DADDY,18/12/2022,449.99
CORPORATE PROPERTY,GENERAL REPAIR & MAINT BLDGS,PEEL ST NO 15 FIRE ALARM,B000023758/24998,FULL CIRCUIT FIRE & SECURITY LTD,04/01/2023,1221.45
PARKS & OPEN SPACES,ASSET MAINT R&M,KNUZDEN REC GROUND FENCE REPAIRS,B000023758/27030,LIGHTING AND BUILDING SERVICES LTD,04/01/2023,1225.00
CHRISTMAS DECS & AMENITY COSTS,WORK DONE DLO-HIGHWAYS,MERCER PARK MUGA LIGHTING,B000023758/27030,LIGHTING AND BUILDING SERVICES LTD,04/01/2023,4800.00
PARKS & OPEN SPACES,ASSET MAINT R&M,MEMORIAL PARK FIRE RISK ASSESS,B000023758/68104,FIRESEC COMPLIANCE LTD,04/01/2023,264.00
HYNDBURN CEMETERIES,ASSET MAINT R&M,GT HAR CEM FIRE RISK ASSESS,B000023758/68104,FIRESEC COMPLIANCE LTD,04/01/2023,264.00
MARKETS - OPERATIONS,ASSET MAINT R&M,ACC MARKET HALL GUTTERS,B000023759/27030,LIGHTING AND BUILDING SERVICES LTD,04/01/2023,275.00
CANNON ST ACC,ASSET MAINT R&M,CANNON ST  GUTTERS,B000023759/27030,LIGHTING AND BUILDING SERVICES LTD,04/01/2023,325.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF WE 18.12.22 ,B000023759/33923,EDEN BROWN LIMITED,04/01/2023,1010.10
LOCAL TAXATION,AGENCY STAFF,TEMP STAFF WE 18.02.22 ,B000023759/33923,EDEN BROWN LIMITED,04/01/2023,1356.56
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF WE 18.12.22 ,B000023759/46341,MORGAN HUNT UK LTD,04/01/2023,918.00
COVID TESTING,GENERAL REPAIR & MAINT BLDGS,DEEP CLEAN,B000023759/50873,SERVICEMASTER,04/01/2023,320.00
ADMINISTRATION SERVICES,AGENCY STAFF,CLEANING JAN 2023,B000023759/50873,SERVICEMASTER,04/01/2023,669.30
PARKS & OPEN SPACES,ASSET MAINT R&M,MILNSHAW PARK WATER SYSTEM,B000023759/57133,MITIE (UK) LIMITED,04/01/2023,300.00
WILLOWS LANE DEPOT,ASSET MAINT R&M,WILLOWS LANE OFFICE WATER SYSTEM,B000023759/57133,MITIE (UK) LIMITED,04/01/2023,350.00
Corporate Property Bus Unit,AGENCY STAFF,TEMP STAFF WC 5.12.22 ,B000023759/61657,G2 RECRUITMENT SOLUTIONS,04/01/2023,2025.00
REGISTRATION OF ELECTORS,DOCUMENT MANAGEMENT,WEEKLY RUN PRINT,B000023759/62168,CIVICA ELECTION SERVICES,04/01/2023,277.39
ACCOUNTANCY,NEW OFFICE FURNITURE,DESK  CHAIRS PANELS,B000023759/9535,BEVLAN OFFICE INTERIORS LTD,04/01/2023,1928.00
CORP & DEM CORE,MARKETING COMMUNICATIONS,INTERNAL COMMS POSTERS,B000023760/1344,ELLISON PRINTING,04/01/2023,308.00
HOUSING BENEFIT ADMINISTRATION,OFFICE CONSUMABLES,WHINNEY HILL RENTS,B000023760/45458,ADA GLOSSOP LTD,04/01/2023,1320.00
COMPUTER SERVICES,TELEPHONES,CHARGES - 1.11.22 TO 30.11.22,B000023760/46800,CLOUDCOCO LIMITED,04/01/2023,2294.57
