Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount,RecId
HOUSING BENEFIT ADMIN,ALLPAY,FEBRUARY,36160,ALLPAY.NET LTD,27-Mar-23,404.77,
REGENERATION,HOUSING,RENT DEPOSIT,P-CARD - MAR 23,COUNTRY NORTH,14-Feb-23,690.00,
ENVIRONMENTAL HEALTH,CEMETRERIES,TARPAULIN,P-CARD - MAR 23,GREENVALE PRODUCTS,16-Feb-23,300.00,
REGENERATION,H.A.G,PARKING,P-CARD - MAR 23,PRESENTATION EQPT,17-Feb-23,532.37,
ENVIRONMENTAL HEALTH,PARKS,FUEL,P-CARD - MAR 23,GEM ACCRINGTON,17-Feb-23,297.38,
ENVIRONMENTAL HEALTH,PEST CONTROL,THERMAL IMAGER,P-CARD - MAR 23,BUSHWEAR,17-Feb-23,521.99,
ENVIRONMENTAL HEALTH,CEMETRERIES,TIMBER,P-CARD - MAR 23,WHEWELLS,20-Feb-23,274.06,
ENVIRONMENTAL HEALTH,CVMU,WOODCHIPPER,P-CARD - MAR 23,Spectrum Plant,03-Mar-23,258.60,
P & C G ,CENTRAL ADMIN,STAKE POSTS,P-CARD - MAR 23,LANLEE.CO.UK,07-Mar-23,303.00,
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - MAR 23,DVLA,09-Mar-23,292.50,
ENVIRONMENTAL HEALTH,CEMETRERIES,SOIL,P-CARD - MAR 23,GREENVALE PRODUCTS,09-Mar-23,400.00,
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - MAR 23,DVLA,10-Mar-23,292.50,
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - MAR 23,DVLA,10-Mar-23,292.50,
ENVIRONMENTAL HEALTH,CVMU,VEHICLE TAX,P-CARD - MAR 23,DVLA,10-Mar-23,292.50,
P & C G ,CONTACT CENTRE,CPAG PUBLICATION,P-CARD - MAR 23,CPAG,13-Mar-23,485.41,
HOUSING BENEFIT ADMIN,SECURITY SERVICES,G4S,36127,G4S,15-Mar-23,421.90,
"AUDIT, BANK & TREASURY",NATWEST,BANK CHARGES,36167,NATWEST,31-Mar-23,3125.66,
