,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Willows Lane Depot,Private Contractors Work,WILLOWS LANE CANTEEN FLOOR,B000024066/21792,H & M Building & Joinery Ltd,6 Jun 2023,"1,708.75"
Oakhill Tennis Pavilion,Contractor Other,PAVILLION ROOFING/DECORATION - OAKHILL,B000024067/21792,H & M Building & Joinery Ltd,6 Jun 2023,"16,395.00"
Accountancy,Training Expenses,ENROLEMENT FEE ,B000024088/58814,Cipfa,6 Jun 2023,"1,060.00"
Computer Services,Printer/ Copier Rental & Maint,2/5/23 - 31/5/23,B000024088/61288,Xbm Ltd,6 Jun 2023,364.88
Housing Advice,Temporary Accommodation,RENT PAYMENT,B000024088/64211,Onward Homes,6 Jun 2023,503.90
Computer Services,Rental & Maint Software Misc,VRANGER RENEWAL 2/3/23 - 1/3/24,B000024088/67587,Quest Software International Limited,6 Jun 2023,341.30
Strategic Housing Department,General Subscriptions,MEMBERSHIP TO NORTHERN HOUSING CONSORTIUM,B000024088/6983,Northern Housing Consortium Ltd,6 Jun 2023,990.00
Accrington Town Centre,Event Expenditure,FOOD FESTIVAL EVENT DELIVERY,B000024089/17546,Scott Dawson Advertising Ltd,6 Jun 2023,"10,750.00"
Cemetery Welfare & Depot Fac,Contractor Other,FEES PHASE 2 ACCY CEM,B000024089/52714,The Intelligent Design Centre Ltd,6 Jun 2023,"1,250.00"
Cemetery Welfare & Depot Fac,Contractor Other,INTERIM PAYMENT NO 3 FOR TIMBER ACCY CEM,B000024089/68295,Timber Tight Limited,6 Jun 2023,"2,138.61"
Cemetery Welfare & Depot Fac,Contractor Other,INTERIM PAYMENT FOR NEW DEPOT BUILDING,B000024089/7524,Ross Lee Construction Ltd,6 Jun 2023,"53,724.09"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024090/30178,B3p Services Ltd,6 Jun 2023,"4,045.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024090/50640,Prism Medical Uk,6 Jun 2023,"1,633.56"
Housing Benefit Administration,Agency Staff,AGENCY STAFF -  W/E 21.5.23,B000024092/33923,Eden Brown Limited,6 Jun 2023,"1,010.10"
Customer Services,Computer Rental & Maint,1/2/23 - 31/1/26 3 YEARS,B000024092/46800,Cloudcoco Limited,6 Jun 2023,317.33
Environmental Protection,Agency Staff,AGENCY STAFF,B000024092/58023,Buckingham Futures Ltd,6 Jun 2023,"1,555.20"
Levelling Up Fund Delivery Stg,Fees-Analysts & Consultants,BO WRITING SUPPORT - NLHF,B000024092/65816,Bradshaw Advisary Ltd,6 Jun 2023,"6,950.00"
