,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD - AUG 23,DVLA,17 July 2023,302.50
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD - AUG 23,DVLA,17 July 2023,302.50
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD - AUG 23,DVLA,17 July 2023,302.50
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,POSTERS,P-CARD - AUG 23,BEVLAN,18 July 2023,370.56
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,ACCOMMODATION,P-CARD - AUG 23,PREMIER INN,01 August 2023,267.98
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,ACCOMMODATION,P-CARD - AUG 23,PREMIER INN,02 August 2023,262.60
Elmfield Hall Flats,Asset Maint R&M,SCAFFOLDING FOR BEE REMOVAL ,B000024178/37017,Pilkington Bros (Church) Ltd,03 August 2023,"1,693.84"
Scaitcliffe House,Asset Maint R&M,NEW PUSHBAR FIRE DOORS SCAITCLIFFE,B000024178/37017,Pilkington Bros (Church) Ltd,03 August 2023,909.98
Accountancy,Agency Staff,AGENCY STAFF - W/C 03/07/23,B000024181/58852,Oyster Partnership,03 August 2023,"3,550.00"
Accountancy,Agency Staff,AGENCY STAFF - W/E 09/07/23,B000024181/61860,Vivid Resourcing,03 August 2023,"2,950.00"
Community Safety,Domestic Violence,DOMESTICE HOMICIDE REVIEW 1,B000024181/68243,Streetmellor,03 August 2023,"3,000.00"
Parks & Open Spaces,Implements & Tools,60 L BAGS OF MANURE,B000024183/7461,Rigby Taylor Ltd,03 August 2023,"1,500.00"
Licensing,General Subscriptions,ANNUAL SUBS,B000024185/47283,Institute Of Licensing,03 August 2023,310.00
Housing Advice,Agency Staff,STAFF P/E 09.07.23 ,B000024185/61860,Vivid Resourcing,03 August 2023,"1,491.84"
Accrington Town Centre,Event Expenditure,TRAFFIC MANAGEMENT RISHTON CARNIVAL,B000024186/68681,Paragon Traffic Management Limited,03 August 2023,715.00
Development Control B.U.,Agency Staff,STAFF W/C 03.07.23 ,B000024187/58852,Oyster Partnership,03 August 2023,463.20
Housing Standards,Agency Staff,STAFF WC 03.07.23 ,B000024187/58852,Oyster Partnership,03 August 2023,728.10
Planning Policy B.U.,Agency Staff,STAFF - WC 03.07.23,B000024187/58852,Oyster Partnership,03 August 2023,"1,134.75"
Environmental Protection,Agency Staff,STAFF- P/E 09.07.23,B000024187/61860,Vivid Resourcing,03 August 2023,"1,850.00"
Environmental Protection,Agency Staff,TEMP STAFF 30.06.23  02.07.23  09.07.23,B000024187/61860,Vivid Resourcing,03 August 2023,"1,971.27"
Computer Services,Fees-Analysts & Consultants,PROFESSIONAL SERVICES,B000024189/52650,Secon,03 August 2023,"2,250.00"
Computer Services,Rental & Maint Software Misc,XGX 3300 FOR 3 YRS,B000024189/52650,Secon,03 August 2023,"10,560.89"
Hyndburn Cemeteries,Equipmnt Repair & Maint,MOWER REPAIRS,B000024197/68556,Rob Mercer,03 August 2023,670.68
Cvmu,Materials-Direct,SENSOR,B000024197/8014,Terberg Matec Uk,03 August 2023,380.00
Hyndburn Cemeteries,Printing,CEMETERY RECEIPT BOOKS,B000024198/59037,Nottingham Label Company Limited,03 August 2023,215.00
Cvmu,Materials-Direct,FAILURE TO RETURN PARTS,B000024202/1164,Dennis Eagle Limited,03 August 2023,300.00
Cvmu,Materials-Direct,PRESSURE VALVE,B000024202/1164,Dennis Eagle Limited,03 August 2023,471.55
Cvmu,Materials-Direct,PACK RAM BEARING,B000024203/1164,Dennis Eagle Limited,03 August 2023,284.55
Parks & Open Spaces,Materials-Direct,NEW DECK AND CLUTCH,B000024203/68556,Rob Mercer,03 August 2023,592.81
Hmo,Agency Staff,AGENCY STAFF - W/C 26.6.23,B000024205/58852,Oyster Partnership,03 August 2023,"1,040.00"
Hmo,Agency Staff,AGENCY STAFF - W/C 3.7.23 ,B000024205/58852,Oyster Partnership,03 August 2023,"1,092.00"
Housing Standards,Agency Staff,AGENCY STAFF P/E 9.7.23,B000024205/61657,G2 Recruitment Solutions,03 August 2023,"1,864.93"
Customer Services,Contrib From Earmarked Reserve,CAPITA BEST PRACTICE REVIEWS,B000024205/783,Capita Business Services Ltd,03 August 2023,"11,700.00"
Corporate Property,Electricity,ELECTRICITY MERCER HOUSE - 20.06.23 - 25.07.23,B000024224/35310,Sse Energy Solutions,03 August 2023,371.86
Parks & Open Spaces,Cleaning Of Buildings,OAKHILL PAR PAV CLEANING AUG 23,B000024224/68396,Servicemaster Cs Aaa,03 August 2023,279.70
Housing Benefit Administration,Agency Staff,TEMP STAFF WE 28.05.23 ,B000024225/33923,Eden Brown Limited,03 August 2023,"1,010.10"
Emergency Works Grant,Contractor Other,GRANT WORK,B000024225/68216,Scl Building Services Limited,03 August 2023,"2,998.20"
Housing Benefit Administration,Computer Rental & Maint,CTS SCHEME,B000024226/57030,Acs Ltd,03 August 2023,"1,000.00"
Corporate Property Bus Unit,Agency Staff,TEMP STAFF - P/E 07.07.23 ,B000024226/61657,G2 Recruitment Solutions,03 August 2023,"1,215.00"
Market Chambers - Luf,Legal Fees,LEGAL FEES - ADVICE AND STAT DOCS,B000024226/66553,Womble Bond Dickinson,03 August 2023,752.50
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT ,B000024226/68294,Artisan Windows,03 August 2023,"1,495.00"
P & C G,IT,CONSUMABLE KIT,P-CARD - AUG 23,SCANNERSHOP,07 August 2023,292.00
Burton Chambers  - Luf,Consultants Fees,PROGRAMME DIRECTOR - JUNE 23,B000024178/68462,Rider Levett Bucknall Uk Ltd,08 August 2023,"4,400.00"
Market Hall - Luf,Consultants Fees,PROGRAMME DIRECTOR - JUNE 23,B000024178/68462,Rider Levett Bucknall Uk Ltd,08 August 2023,"4,400.00"
Development Control B.U.,Advertising General,PRESS NOTICE 14/07/23,B000024195/59724,Tmp (Uk) Ltd,08 August 2023,271.92
Parks & Open Spaces,Materials-Direct,DECK,B000024203/68556,Rob Mercer,08 August 2023,550.81
Parks & Open Spaces,Materials-Direct,NEW ENGINE AND EXHAUST,B000024203/68556,Rob Mercer,08 August 2023,"2,339.43"
Registration Of Electors,Postages,I E R RETURN POSTAGE,B000024212/18867,Royal Mail,08 August 2023,108.64
Waste Services,Agency Staff,AGENCY STAFF W/C 10.7.23,B000024218/61971,Rapid Recruit Ltd,08 August 2023,734.01
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024228/64332,R W Building And Development,08 August 2023,"10,430.00"
Hag Reroof And Refurb,Contractor Other,REPAIR AND RECOVER TURRET ROOF,B000024228/68735,Lancashire Roofing Services,08 August 2023,"5,000.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024229/25868,Hyndburn Plumbing & Heating Services,08 August 2023,"5,295.90"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024229/59301,Consultants & Spec Surveyors Ltd,08 August 2023,325.00
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024229/61433,Jcm Steel Fabrications Ltd,08 August 2023,"7,450.00"
Dfg (Area Improvement),External Charges - Dfg,DISABLED FACILITIES GRANT,B000024231/39718,Glovers Project Services Ltd,08 August 2023,390.00
Hlc Leisure Inv Prog,Other Fees,ACCESS AGREEMENT -LEISURE TRANSFORMATION STAGE 4 VAL 6,B000024231/48468,Alliance Leisure Services Limited,08 August 2023,"18,559.58"
Acc Town Hall,Electricity,ATH (ACCRINGTON TOWN HALL) JULY 2023,B000024231/59343,Edf Energy,08 August 2023,"3,663.85"
Leisure In Hyndburn,Electricity,MERCER HALL- JULY 2023,B000024231/59343,Edf Energy,08 August 2023,"5,227.51"
Library St Depot,Electricity,CVMU- JULY 23,B000024231/59343,Edf Energy,08 August 2023,"2,275.34"
Markets - Operations,Electricity,ACCRINGTON MARKET- JULY 2023,B000024231/59343,Edf Energy,08 August 2023,"6,630.51"
Parks & Open Spaces,Electricity,COMMUNITY HUB JULY 23,B000024231/59343,Edf Energy,08 August 2023,829.33
Scaitcliffe House,Protective Clothing,SCAITCLIFFE HOUSE JULY 2023,B000024231/59343,Edf Energy,08 August 2023,"4,905.32"
Accountancy,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,8.96
Building Control B.U.,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,5.23
Bulky Waste Collection,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,8.96
Computer Services,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,11.21
Consultancy-Engineering Div,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,16.43
Customer Services,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,8.96
Development,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,33.67
Development Control B.U.,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,14.78
Environmental Initiatives B.U.,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,2.20
Environmental Protection,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,17.91
Health Food & Safety,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,13.41
Housing Benefit Administration,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,4.42
Housing Standards,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,0.85
Human Resources,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,13.35
Hyndburn Cemeteries,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,3.33
Internal Audit,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,20.21
Legal Services,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,14.58
Licensing,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,31.41
Local Taxation,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,11.13
Member Services,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,11.21
Parks & Open Spaces,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,9.81
Refuse/Cleansing Admin Staff,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,26.98
Waste Services,Mgnt Fees - Salary Sacrifice,SALARY SACRIFICE,B000024231/61891,Avc Wise Ltd,08 August 2023,35.98
Other Services,Single Funding Pot,WEB BASED ADVERTISING,B000024231/68736,Spacehouse Limited,08 August 2023,"1,450.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024233/30178,B3p Services Ltd,08 August 2023,"4,315.09"
Corp & Dem Core,Marketing Communications,GENERAL DESIGN TIME,B000024233/65011,Brands Inside Out Limited,08 August 2023,500.00
Burton Chambers  - Luf,Consultants Fees,PROGRAMME DIRECTOR JULY 23,B000024233/68462,Rider Levett Bucknall Uk Ltd,08 August 2023,"4,400.00"
Market Hall - Luf,Consultants Fees,PROGRAMME DIRECTOR JULY 23,B000024233/68462,Rider Levett Bucknall Uk Ltd,08 August 2023,"4,400.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024233/7874,Stannah Lift Services Limited,08 August 2023,"3,242.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024233/7874,Stannah Lift Services Limited,08 August 2023,"5,553.00"
Cctv'S,Energy,AMENITY LIGHTING - 04.07.23 - 01.08.23,B000024236/35310,Sse Energy Solutions,08 August 2023,170.28
Christmas Decs & Amenity Costs,Electricity,CHRISTMAS LIGHTING - 04.07.23 - 01.08.23,B000024236/35310,Sse Energy Solutions,08 August 2023,"1,760.05"
Christmas Decs & Amenity Costs,Energy,AMENITY LIGHTING - 04.07.23 - 01.08.23,B000024236/35310,Sse Energy Solutions,08 August 2023,"2,511.57"
Off Street Parking,Energy,AMENITY LIGHTING - 04.07.23 - 01.08.23,B000024236/35310,Sse Energy Solutions,08 August 2023,"1,986.55"
Other Services,Energy,AMENITY LIGHTING - 04.07.23 - 01.08.23,B000024236/35310,Sse Energy Solutions,08 August 2023,85.14
Public Transport,Energy,AMENITY LIGHTING - 04.07.23 - 01.08.23,B000024236/35310,Sse Energy Solutions,08 August 2023,922.33
Accrington Crematorium,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,263.12
Corporate Property,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,46.00
Hyndburn Cemeteries,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,131.56
Library St Depot,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,263.12
Markets - Operations,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,345.35
Parks & Open Spaces,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,506.00
Ranger St Compound & Depot,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,263.12
Scaitcliffe House,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,57.20
Willows Lane Depot,Security System Maintenance,HBC - KEY PLUS SECURITY - KEYHOLDER CALLOUTS - JULY 2023,B000024236/44845,Keyplus Security Ltd,08 August 2023,65.78
General Expenses,Cabinet Action Fund,CONTRIBUTION TOWARDS ANNUAL FIREWORK SHOW 23/24,B000024237/53768,Accrington Stanley Community Trust,08 August 2023,"1,500.00"
General Expenses,Cabinet Action Fund,CONT TOWARDS NEW SETS OF COACHING BOWLS,B000024237/68737,Great Harwood Bowling Club,08 August 2023,500.00
