,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Dev Control,Other Dvlpmnts - Change Of Use,PLANNING APPLICATION REFUND,B000024346/53359,Steven Hartley Mrtpi Mrics,05/10/23,462.00
Accountancy,Agency Staff,AGENCY COSTS  W/C 04/09/23,B000024349/58852,Oyster Partnership,05/10/23,"3,550.00"
Disabled Facilities General,Contractor Other,DT02445-SERVICE-DFG 11463 ,B000024355/25868,Hyndburn Plumbing & Heating Services,05/10/23,"6,583.00"
Disabled Facilities General,Contractor Other,DT02447-SERVICE-DFG 11376 ,B000024355/59806,Greenwood Plumbers,05/10/23,"3,700.00"
Disabled Facilities General,Contractor Other,DT02469-SERVICE-DFG 11502 ,B000024355/68700,Simply Moving And Sleeping Limited,05/10/23,"4,192.75"
Disabled Facilities General,Contractor Other,DT02427-SERVICE-DFG 11454 ,B000024355/7874,Stannah Lift Services Limited,05/10/23,"3,887.00"
Disabled Facilities General,Contractor Other,DT02471-SERVICE-DFG 11541 ,B000024355/7874,Stannah Lift Services Limited,05/10/23,"6,063.00"
Fire Risk Assess Works Various,Contractor Other,INSTALL NEW DETECTOR IN BOILER ROOM,B000024356/24998,Full Circuit Fire & Security Ltd,05/10/23,390.80
Burton Chambers  - Luf,Securing Premises,SECURITY - SEPT 23 - BURTON CHAMBERS,B000024356/27659,Vps (Uk) Limited,05/10/23,"1,321.28"
Market Chambers - Luf,Securing Premises,SECURITY - SEPT 23 - 47 BBURN RD,B000024356/27659,Vps (Uk) Limited,05/10/23,420.40
Market Chambers - Luf,Securing Premises,SECURITY - SEPT 23 - 49/51 BBURN RD,B000024356/27659,Vps (Uk) Limited,05/10/23,623.76
Strategic Housing Department,Fees-Analysts & Consultants,25% ESIGN CODE FEE - HUNCOAT,B000024356/59167,Arcadis Consulting (Uk) Ltd,05/10/23,"2,880.25"
Market Chambers - Luf,Legal Fees,PROFESSIONAL SERVICES - MARKET CHAMBERS CPO,B000024356/66553,Womble Bond Dickinson,05/10/23,"5,828.00"
Ukspf - Regeneration,D&F Studies Market Chamb Ac&Hc,FEASIBILTY - NHLF BID - MARKET CHAMBERS,B000024356/67812,Ma Cost Consulting Limited,05/10/23,"30,444.90"
Indoor Market Hall Redevelopmt,Contractor Other,LIFT CONSULTANCY SERVICES - STAGE 2,B000024356/68541,Mand Plus Ltd,05/10/23,"3,750.00"
Haworth Art Gallery,Asset Maint R&M,HAWORTH ART GALLERY- NEW DISTRIBUTION BOARD FOR KITCHEN APPLIANCES AND DEFIBRILLATOR,B000024358/57949,Steven Mercer Electrical Contractors Limited,05/10/23,395.00
Customer Services,Computer Rental & Maint,OPEN ROAD 11.2 UPGRADE,B000024358/65220,Capita  Business Services Ltd,05/10/23,980.00
Housing Benefit Administration,Computer Rental & Maint,OPEN ROAD 11.2 UPGRADE,B000024358/65220,Capita  Business Services Ltd,05/10/23,"1,960.00"
Local Taxation,Computer Rental & Maint,OPEN ROAD 11.2 UPGRADE,B000024358/65220,Capita  Business Services Ltd,05/10/23,"1,960.00"
