Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
P & C G ,CENTRAL ADMIN,HOOVER,P-CARD - NOV 23,DONAGHY BROS,13 October 2023,274.17
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,CHAIRS,P-CARD - NOV 23,BEVLAN,13 October 2023,900.2
P & C G ,LEGAL,PRACTISING CERTIFICATE,P-CARD - NOV 23,CILEX,16 October 2023,337.00
P & C G ,LEGAL,PRACTISING CERTIFICATE,P-CARD - NOV 23,CILEX,18 October 2023,337.00
P & C G ,IT,MONITORS,P-CARD - NOV 23,SERVERROOM ENVIRO,19 October 2023,365.00
PLANNING,PLANNING,PLANNING PORTAL,P-CARD - NOV 23,PLANNING APPLICATION,23 October 2023,472.67
P & C G ,LEGAL,PRACTISING CERTIFICATE,P-CARD - NOV 23,CILEX,24 October 2023,337.00
P & C G ,LEGAL,ENVIRONMENTAL SEARCH,P-CARD - NOV 23,THE COAL SOCIETY ,25 October 2023,339.63
P & C G ,IT,5 X LAPTOPS,P-CARD - NOV 23,LAPTOPS DIRECT,25 October 2023,1439.00
ENVIRONMENTAL SERVICES,MARKETS,ARTIST FEES,P-CARD - NOV 23,SUM UP LA VITA BELLA,27 October 2023,250.00
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,TRAINING,P-CARD - NOV 23,CIEH,27 October 2023,840.00
P & C G ,LEGAL,ENVIRONMENTAL SEARCH,P-CARD - NOV 23,THE COAL SOCIETY ,31 October 2023,273.33
Gang Mower F12213,Aquisition Of Vehicles,TRIMAX PEGASUS SPARE PARTS,B000024407/68624,Richard Campey Limited,07 November 2023,911.92
Corporate Property,General Repair & Maint Bldgs,WATER RISK ASSESSMENT,B000024418/68680,H S L Compliance,07 November 2023,230.00
Christmas Decs & Amenity Costs,Work Done Dlo-Highways,HBC NIGHT INSPECTION OF LIGHTS,B000024422/27030,Lighting And Building Services Ltd,07 November 2023,350.00
Housing Benefit Administration,Agency Staff,TEMP STAFF WE 22.10.23,B000024422/33923,Eden Brown Limited,07 November 2023,"1,010.10"
Parks & Open Spaces,Electricity,KING G V PAVILION  ELECTRIC 02.08.23 - 01.10.23,B000024422/35310,Sse Energy Solutions,07 November 2023,297.02
Oswaldtwistle Civic Theatre,Asset Maint R&M,OSW CIVIC  ASBESTOS SURVERY,B000024422/59301,Consultants & Spec Surveyors Ltd,07 November 2023,550.00
Accrington Crematorium,Christmas Tree Expenses,XMAS TREES,B000024422/60084,Bolton Christmas Trees,07 November 2023,150.00
Christmas Decs & Amenity Costs,Christmas Tree Expenses,13 X XMAS TREES,B000024422/60084,Bolton Christmas Trees,07 November 2023,"7,280.00"
Accrington Crematorium,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. CREM,B000024422/68680,H S L Compliance,07 November 2023,36.00
Acc Town Hall,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. BROADWAY,B000024422/68680,H S L Compliance,07 November 2023,52.00
Corporate Property,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. MERCER HOUSE,B000024422/68680,H S L Compliance,07 November 2023,28.00
Corporate Property,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. PEEL ST TOILETS,B000024422/68680,H S L Compliance,07 November 2023,43.00
Haworth Art Gallery,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. HAG,B000024422/68680,H S L Compliance,07 November 2023,45.00
Haworth Art Gallery,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. HAG STABLES,B000024422/68680,H S L Compliance,07 November 2023,43.00
Hyndburn Cemeteries,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. CEM OFFICE,B000024422/68680,H S L Compliance,07 November 2023,36.00
Hyndburn Cemeteries,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. CEM SERV BUILDING,B000024422/68680,H S L Compliance,07 November 2023,35.00
Hyndburn Cemeteries,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. DILL HALL CEM,B000024422/68680,H S L Compliance,07 November 2023,29.00
Hyndburn Cemeteries,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. GT HAR CEM,B000024422/68680,H S L Compliance,07 November 2023,36.00
Leisure In Hyndburn,Lih R&M,WATER SYSTEM COMPLIANCE. SEPT 23. ACC TOWN HALL,B000024422/68680,H S L Compliance,07 November 2023,83.00
Library St Depot,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. CVMU,B000024422/68680,H S L Compliance,07 November 2023,42.00
Markets - Operations,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. MARKET HALL,B000024422/68680,H S L Compliance,07 November 2023,78.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. BULLOUGH PARK,B000024422/68680,H S L Compliance,07 November 2023,65.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. B WALMSLEY,B000024422/68680,H S L Compliance,07 November 2023,62.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. KING GEORGES,B000024422/68680,H S L Compliance,07 November 2023,139.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. LOWERFOLD,B000024422/68680,H S L Compliance,07 November 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. MEILNSHAW BOWLS,B000024422/68680,H S L Compliance,07 November 2023,34.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. MEMORIAL,B000024422/68680,H S L Compliance,07 November 2023,42.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. MERCER P BOWLS,B000024422/68680,H S L Compliance,07 November 2023,26.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. MERCER SERV BUILDING,B000024422/68680,H S L Compliance,07 November 2023,28.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. OAKHILL BOWLS,B000024422/68680,H S L Compliance,07 November 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. OAKHILL TENNIS,B000024422/68680,H S L Compliance,07 November 2023,33.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. PARKER ST,B000024422/68680,H S L Compliance,07 November 2023,28.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. PEEL PARK,B000024422/68680,H S L Compliance,07 November 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. RHYDDINGS PARK BOWLS,B000024422/68680,H S L Compliance,07 November 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. WILSONS,B000024422/68680,H S L Compliance,07 November 2023,31.00
Rhyddings Cafe,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. RHYDDINGS COACH HOUSE,B000024422/68680,H S L Compliance,07 November 2023,39.00
Rhyddings Cafe,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. RHYDDINGS PARK SERV BUILDING,B000024422/68680,H S L Compliance,07 November 2023,31.00
Scaitcliffe House,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. SCAITCLIFFE,B000024422/68680,H S L Compliance,07 November 2023,64.00
Willows Lane Depot,Asset Maint R&M,WATER SYSTEM COMPLIANCE. SEPT 23. WILLOWS LANE STORES,B000024422/68680,H S L Compliance,07 November 2023,31.00
Accrington Town Centre,Event Expenditure,XMAS LIGHTS SWITCH ON DEPOSIT PAYMENT,B000024423/17546,Scott Dawson Advertising Ltd,07 November 2023,"9,000.00"
Willows Lane Depot,Cleaning Of Buildings,SUPPLEMENTARY CLEANING WILLOWS LANE OFFICES NOV 2023,B000024423/68396,Servicemaster Cs Aaa,07 November 2023,954.53
Cemetery Welfare & Depot Fac,Contractor Other,PHASE 2 CONSTRUCTION OF NEW BUILDING,B000024423/7524,Ross Lee Construction Ltd,07 November 2023,"26,202.09"
Ukspf - Regeneration,D&F Studies Market Chamb Ac&Hc,NLH FEASIBILITY MRKT CHAMBERS,B000024424/65816,Bradshaw Advisary Ltd,07 November 2023,"1,000.00"
Market Chambers - Luf,Legal Fees,LEGAL ADVICE MARKET CHAMBERS,B000024424/66553,Womble Bond Dickinson,07 November 2023,"1,355.00"
Market Chambers - Luf,Legal Fees,LEGAL FEES MRKT CHAMBERS OP AGREEMENT,B000024424/66553,Womble Bond Dickinson,07 November 2023,"9,205.90"
Burton Chambers  - Luf,Consultants Fees,PROFESSIONAL FESS ACC TOWN CENTRE REGEN,B000024424/67812,Ma Cost Consulting Limited,07 November 2023,"2,666.66"
Market Chambers - Luf,Consultants Fees,PROFESSIONAL FESS ACC TOWN CENTRE REGEN,B000024424/67812,Ma Cost Consulting Limited,07 November 2023,"2,666.67"
Market Hall - Luf,Consultants Fees,PROFESSIONAL FESS ACC TOWN CENTRE REGEN,B000024424/67812,Ma Cost Consulting Limited,07 November 2023,"2,666.67"
Ukspf - Regeneration,Business Development,BUSINESS PLANE MARKT CHAMBERS,B000024424/68462,Rider Levett Bucknall Uk Ltd,07 November 2023,"15,400.00"
Burton Chambers  - Luf,Consultants Fees,ACC LUF MULTI DISCIPLINE TEAM,B000024424/68608,Aecom Limited,07 November 2023,"61,889.36"
Market Chambers - Luf,Consultants Fees,ACC LUF MULTI DISCIPLINE TEAM,B000024424/68608,Aecom Limited,07 November 2023,"61,889.36"
Market Hall - Luf,Consultants Fees,ACC LUF MULTI DISCIPLINE TEAM,B000024424/68608,Aecom Limited,07 November 2023,"61,889.36"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024425/50640,Prism Medical Uk,07 November 2023,"5,366.80"
Parks & Open Spaces,Cleaning Of Buildings,MERCER PARK- WEEKLY CLEANING,B000024425/68396,Servicemaster Cs Aaa,07 November 2023,403.70
Oswaldtwistle Civic Theatre,Asset Maint R&M,OSW CIVIC THEATRE- PPM ANNUAL PASSENGER/ PLATFORM LIFT ,B000024425/68890,H Breakell & Co (Blackburn) Limited,08 November 2023,380.00
Parks & Open Spaces,Materials-Direct,BEE MIX' BULBS ,B000024407/2674,Lubbe & Sons (Bulbs) Ltd,09 November 2023,991.00
Tipping Charges,Hired Vehicle,EMPTY WASTE BAYS,B000024423/9294,Stanley Brothers (Tippers) Ltd,09 November 2023,540.00
Corporate Property,Electricity,ELECTRICITY MERCER HOUSE 26-07-23 TO 24-10-23,B000024428/35310,Sse Energy Solutions,09 November 2023,827.23
Library St Depot,Cleaning,CLEANING,B000024430/68396,Servicemaster Cs Aaa,09 November 2023,734.24
Cvmu,Materials-Direct,TYRES,B000024431/29877,Rossendale Vulcanising (Sales Ltd),09 November 2023,"4,205.00"
Dog Warden,Kenneling - Daytime,KENNELING CONTRACT,B000024432/36271,Aspen Valley Boarding Kennels & Cattery,09 November 2023,920.67
Willows Lane Depot,Water Charges,WATER CHARGES TOWNS YARD 25.9.23-31.10.23,B000024432/8325,Water Plus Ltd,09 November 2023,605.10
Computer Services,Rental & Maint Software Misc,20 ARCSERVE UDP LICENSES,B000024434/36434,Bytes Software Services Ltd,09 November 2023,"13,399.40"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024434/67640,Peter Walsh,09 November 2023,"1,376.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024434/68658,1st Choice Frames Ltd,09 November 2023,"1,050.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024434/68658,1st Choice Frames Ltd,09 November 2023,"1,875.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024434/68700,Simply Moving And Sleeping Limited,09 November 2023,"2,582.30"
Waste Services,Cpc Driver Training,DCPC REG - ACCRINGTON,B000024407/19112,Specialist Training Consultancy Ltd,14 November 2023,26.25
Waste Services,Cpc Driver Training,DRIVER HOURS AND TACHOGRAPHS 20.10.23,B000024407/19112,Specialist Training Consultancy Ltd,14 November 2023,228.75
Pest Control,Baits & Poisons,RATIMOR BRODI FRESH BAIT ,B000024407/2419,Killgerm Chemicals Ltd,14 November 2023,220.32
Pest Control,Baits & Poisons,MEDIUM BAIT TRAYS ,B000024407/2419,Killgerm Chemicals Ltd,14 November 2023,60.00
Pest Control,Baits & Poisons,BRODIKIL WHOLE WHEAT ,B000024407/2419,Killgerm Chemicals Ltd,14 November 2023,189.00
