,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
ENVIRONMENTAL SERVICES,MARKETS,COACH TRANSPORT,P-CARD - DEC 23,THE COACH COMPANY,14 Nov 2023,375.00
P & C G ,CENTRAL ADMIN,EYE CARE VOICHERS,P-CARD - DEC 23,EDENRED,16 Nov 2023,"1,044.70"
ENVIRONMENTAL SERVICES,CEMETERIES,SAND/CEMENT/CHIPPINGS,P-CARD - DEC 23,GREENGATES,20 Nov 2023,262.05
ENVIRONMENTAL SERVICES,CVMU,VEHICLE TAX,P-CARD - DEC 23,DVLA,23 Nov 2023,322.50
P & C G ,IT,2 X TELEVISIONS,P-CARD - DEC 23,CURRYS,23 Nov 2023,944.17
P & C G ,LEGAL SERVICES,SUBSCRIPTION,P-CARD - DEC 23,CLC.UK.ORG,24 Nov 2023,400.00
P & C G ,FINANCIAL SERVICES,SUBSCRIPTION,P-CARD - DEC 23,IRRV,1 Dec 2023,255.00
Accountancy,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,29.61
Building Control B.U.,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,5.23
Bulky Waste Collection,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,8.96
Computer Services,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,11.21
Consultancy-Engineering Div,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,11.20
Customer Services,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,8.95
Development,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,35.04
Development Control B.U.,Mgnt Fees - Salary Sacrifice,AVC SALARY SACRIFICE DEC 23,B000024492/61891,Avc Wise Ltd,7 Dec 2023,15.08
