,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P & C G,IT,ADOBE ACROBAT LICENCE,P-Card Feb 23,ICO,15/01/2024,"2,900.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVIRONMENTAL SERVICES,ENVIRONMENTAL HEALTH,ILM TRAINING,P-Card Feb 23,BURNLEY COLLEGE,18/01/2024,374.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P & C G,CENTRAL ADMIN,ANNUAL CHARGES,P-Card Feb 23,ADOBE SYSTEM SOFTWARE,25/01/2024,"1,230.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Resources,Training Expenses,IOL PROFESSIONAL LICENSING QUALIFICATION,B000024564/54674,The Institute Of Licensing,06/02/2024,578.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pest Control,General Subscriptions,GENERAL SUBSCRIPTIONS,B000024566/60701,British Pest Control Association,06/02/2024,505.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Investigation,Work Done Dlo-Highways,JET CLEAN,B000024568/54512,Clear A Drain Ltd,06/02/2024,835.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broad Oak Culvert,Contractor Other,GROUNDWORKS . SHELLEY GARDENS,B000024568/69017,A Aspden Ltd,06/02/2024,"5,735.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvmu,Materials-Direct,"BUMPER, RIVET, BOLT ETC",B000024576/1164,Dennis Eagle Limited,06/02/2024,"1,638.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvmu,Materials-Direct,TERBERG REPAIR,B000024578/8014,Terberg Matec Uk,06/02/2024,"2,051.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaitcliffe House,Cleaning Materials,CLEANING MATERIALS,B000024581/7033,Option Hygiene,06/02/2024,255.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leisure In Hyndburn,Asset Maint R&M,ACCRINGTON TOWN HALL - REPLACE 2 X SMOKE DETECTORS,B000024587/24998,Full Circuit Fire & Security Ltd,06/02/2024,219.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024590/30178,B3p Services Ltd,06/02/2024,"6,305.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024590/59806,Greenwood Plumbers,06/02/2024,"3,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024590/61433,Jcm Steel Fabrications Ltd,06/02/2024,"8,187.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuse/Cleansing Admin Staff,Civil Contingency Act,CIVIL CONTINGENCY RADIO SYSTEM,B000024591/41111,Radio Service,06/02/2024,"2,677.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrington Town Centre,Event Expenditure,EVENT - XMAS RISHTON,B000024591/48827,Rishton People'S Centre,06/02/2024,250.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Services,Single Funding Pot,15 DEPLOYMENTS OF SPIDS ACROSS HYNDBURN,B000024591/55299,Altham Parish Council,06/02/2024,"5,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Services,Agency Staff,AGENCY STAFF W/C 8.1.24,B000024591/61971,Rapid Recruit Ltd,06/02/2024,"1,162.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrington Crematorium,Medical Referee Fees,MEDICAL REF FEES,B000024591/7171,Peel House Medical Practice,06/02/2024,"5,264.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
