Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,,P-CARD- MAR 24,DVLA,14/02/2024,£322.50
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,,P-CARD- MAR 24,DVLA,14/02/2024,£322.50
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,,P-CARD- MAR 24,DVLA,14/02/2024,£322.50
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,,P-CARD- MAR 24,DVLA,14/02/2024,£322.50
ENVIRONMENTAL SERVICES,PARKS,TOOLS,,P-CARD- MAR 24,TOOLSTATION UK,22/02/2024,£666.32
ENVIRONMENTAL SERVICES,CVMU,HGV COURSE,,P-CARD- MAR 24,LLOYD MORGAN GROUP,29/02/2024,£438.00
ENVIRONMENTAL SERVICES,PARKS,TOOLS,,P-CARD- MAR 24,AMAZON,05/03/2024,£448.26
P & C G ,CENTRAL ADMIN,FEES & REGS,,P-CARD- MAR 24,GOV.UK,06/03/2024,£336.00
RESO - Resources,AAG - Management Resources,LS Consultancy for Hyndburn Lesiure Transformation Q2 July-September 23,1,CRINV0000021,Hyndburn Leisure,07/03/2024,"£8,624.40"
REGN - Regeneration & Housing,FAB - Facilities,1.1.24 to 31.1.24,1,CRINV0000059,"SSE - 8700277599 Christmas Lighting, Facilities",07/03/2024,"£2,251.24"
RESO - Resources,AAC - Chief Executive,Contribution towards flowers for St Johns Church 2024,1,CRINV0000077,St Johns Church Accrington,07/03/2024,£300.00
REGN - Regeneration & Housing,FAB - Facilities,Period: 25-Oct-23 to 06-Feb-24,1,CRINV0000078,"SSE - 8700214041 Mercer House, Mercer Park",07/03/2024,£416.59
REGN - Regeneration & Housing,FAB - Facilities,Affordable Warmth Grant ,1,CRINV0000082,Harris Heating (Nw) Ltd,07/03/2024,"£3,410.00"
RESO - Resources,AAF - Finance,Copier charges - 22.11.23 to 21.2.24,1,CRINV0000092,Canon (Uk) Ltd,07/03/2024,£302.34
REGN - Regeneration & Housing,FAB - Facilities,Call out to CVMU - 27.2.24,1,CRINV0000098,Roller Shutter Services Ltd,07/03/2024,£360.00
REGN - Regeneration & Housing,FAB - Facilities,Instal CCTV 5 Camera IP System at Oakhill ,1,CRINV0000117,Full Circuit Fire & Security Ltd,07/03/2024,"£3,166.69"
REGN - Regeneration & Housing,FAB - Facilities,Scaitcliffe House- new 8TB Hard Drive required to replace faulty unit,1,CRINV0000119,Full Circuit Fire & Security Ltd,07/03/2024,£427.10
REGN - Regeneration & Housing,FAB - Facilities, refurbishment survey ,1,CRINV0000126,Consultants & Specialist Surveyors Ltd,07/03/2024,£325.00
RESO - Resources,AAF - Finance,23/24 Accounts closedown - 29.2.24,1,CRINV0000132,CIPFA Business Limited,07/03/2024,£438.00
REGN - Regeneration & Housing,FAB - Facilities,Disabled Facilities Grant 10821,1,CRINV0000133,Bryan Lee Building Contractors Ltd,07/03/2024,"£2,783.08"
REGN - Regeneration & Housing,FAB - Facilities,Disabled Facilities Grant 11609,1,CRINV0000134,Stannah Lift Services Limited,07/03/2024,"£4,392.00"
REGN - Regeneration & Housing,FAB - Facilities,Disabled Facilities Grant 11598,1,CRINV0000136,Astor-Bannerman (Medical)Ltd,07/03/2024,"£15,906.39"
REGN - Regeneration & Housing,FAB - Facilities,Call out to Cemetery Chapel - Replace light fittings,1,CRINV0000140,Steven Mercer Electrical Contractors Limited,07/03/2024,£282.00
REGN - Regeneration & Housing,FAB - Facilities,Mercer Park refurbishment project - Val No 1,1,CRINV0000159,Mercers Builders Ltd,07/03/2024,"£11,034.00"
